date,open,high,low,close,volume
2017-07-03,364.0,370.6,359.5,368.45,2162276
2017-07-04,368.5,375.7,368.0,371.25,4181547
2017-07-05,373.85,374.4,371.9,372.65,1419556
2017-07-06,372.05,375.65,371.5,372.05,2317800
2017-07-07,372.2,374.95,370.0,370.8,3075952
2017-07-10,375.0,376.8,370.8,374.0,21475696118
2017-07-11,376.0,376.5,371.7,371.7,2645586
2017-07-12,373.0,375.3,371.65,374.0,2023347
2017-07-13,375.75,377.8,372.25,375.35,2946100
2017-07-14,376.15,378.45,374.5,374.85,1733722
2017-07-17,374.6,383.7,374.6,380.9,4756983
2017-07-18,379.0,383.9,379.0,381.7,3925407
2017-07-19,381.75,383.8,377.3,381.05,4847017
2017-07-20,380.75,382.5,377.1,380.0,4488720
2017-07-21,380.4,382.65,378.7,382.5,6612731
2017-07-24,383.5,390.25,381.1,387.85,4773246
2017-07-25,390.15,393.35,385.15,390.0,3289891
2017-07-26,391.3,394.35,388.0,391.65,3240403
2017-07-27,394.25,394.85,390.75,392.1,2845450
2017-07-28,391.35,398.45,390.0,394.95,3201802
2017-07-31,396.1,397.95,393.6,395.5,1575925
2017-08-01,397.25,405.3,396.45,404.0,3382315
2017-08-02,404.9,413.5,402.8,411.5,2994943
2017-08-03,411.85,411.85,402.75,407.75,2537329
2017-08-04,405.1,410.25,403.1,407.3,2765315
2017-08-07,411.8,421.35,408.55,413.3,3852637
2017-08-08,413.95,418.8,410.2,415.05,2152554
2017-08-09,411.85,417.5,395.0,396.0,3602361
2017-08-10,392.55,396.85,381.35,392.0,3170165
2017-08-11,380.6,385.4,379.05,384.05,6475153
2017-08-14,387.1,405.3,387.1,396.0,2744152
2017-08-16,397.65,404.9,392.25,397.9,2650113
2017-08-17,398.9,401.4,388.05,391.8,2500928
2017-08-18,388.65,390.75,383.3,386.65,2550930
2017-08-21,387.05,388.7,374.65,375.0,1995138
2017-08-22,377.3,381.75,369.65,376.5,3243544
2017-08-23,378.55,386.2,378.55,385.0,3001124
2017-08-24,386.2,387.65,379.0,379.8,2504317
2017-08-28,382.0,389.85,380.9,387.7,3239365
2017-08-29,387.0,387.35,378.3,382.6,3417306
2017-08-30,385.15,392.25,385.1,389.15,2975760
2017-08-31,391.0,396.0,388.7,395.15,2772428
2017-09-01,394.0,396.5,391.7,394.7,1509054
2017-09-04,395.9,395.9,380.3,384.15,2424712
2017-09-05,386.8,393.0,382.2,392.0,2361468
2017-09-06,387.55,388.7,384.4,385.0,1823122
2017-09-07,387.85,390.8,385.5,388.0,1830563
2017-09-08,389.05,391.6,382.65,385.65,1856889
2017-09-11,388.3,390.4,384.3,385.85,2408077
2017-09-12,387.15,389.95,385.0,389.2,2573398
2017-09-13,390.05,394.8,386.15,389.75,2112895
2017-09-14,390.85,405.6,390.2,405.5,5051586
2017-09-15,404.95,409.65,403.25,403.9,6445709
2017-09-18,406.9,408.05,398.2,405.2,3696948
2017-09-19,405.65,408.5,402.1,405.75,4104883
2017-09-20,408.85,412.85,406.05,410.5,5230655
2017-09-21,407.0,414.55,406.0,409.35,4315913
2017-09-22,409.0,409.5,398.6,400.0,4370562
2017-09-25,400.1,401.1,383.0,387.85,4412402
2017-09-26,386.2,394.25,386.2,388.95,3111334
2017-09-27,391.6,391.6,370.45,372.85,3008254
2017-09-28,372.5,375.0,363.8,370.95,3782309
2017-09-29,374.05,378.1,372.4,378.0,2106104
2017-10-03,377.65,385.8,375.7,382.75,3667011
2017-10-04,383.5,389.5,379.15,388.9,2082523
2017-10-05,387.0,389.15,384.2,386.5,1846254
2017-10-06,388.4,392.3,387.3,389.25,2999482
2017-10-09,388.0,395.55,382.1,391.9,4358363
2017-10-10,393.95,398.35,390.25,396.0,4065903
2017-10-11,398.5,401.05,394.05,395.2,5119335
2017-10-12,397.25,406.25,393.0,404.55,4198754
2017-10-13,406.5,409.5,400.45,407.65,3239661
2017-10-16,409.1,410.8,403.65,406.05,4206525
2017-10-17,406.4,408.25,403.0,406.85,3290279
2017-10-18,407.2,407.2,402.35,406.9,4298608428
2017-10-23,397.5,412.9,397.5,407.05,16416952877
2017-10-24,407.25,408.75,404.7,405.5,3403031
2017-10-25,408.1,417.6,405.2,415.95,2472139
2017-10-26,417.0,419.35,409.55,416.5,1538682
2017-10-27,416.5,438.8,414.6,431.75,5300581
2017-10-30,435.75,435.75,427.8,428.8,1458466
2017-10-31,430.2,432.85,425.6,430.75,3416794
2017-11-01,432.0,437.3,429.35,433.25,3930850
2017-11-02,433.0,439.8,429.4,437.5,3075063
2017-11-03,438.65,440.8,432.75,435.0,3095740
2017-11-06,434.0,443.3,431.2,436.9,4539653
2017-11-07,437.5,439.55,428.3,431.7,3987211
2017-11-08,433.0,436.7,427.3,429.55,2723262
2017-11-09,430.6,437.25,428.25,433.5,3477676
2017-11-10,435.45,434.3,426.15,431.8,1502247
2017-11-13,433.0,433.5,411.4,412.5,4341830
2017-11-14,413.35,417.85,406.75,411.0,2324729
2017-11-15,410.0,414.25,403.8,406.8,1848428
