date,open,high,low,close,volume
2017-07-03,517.25,521.7,515.0,517.0,3694498
2017-07-04,515.95,517.55,506.55,507.7,4075762
2017-07-05,507.75,515.4,507.75,515.0,3148128
2017-07-06,510.0,512.85,508.3,509.45,3507974
2017-07-07,508.2,508.8,501.45,504.5,3499613
2017-07-10,504.5,512.95,504.5,510.0,25771040706
2017-07-11,511.45,512.4,505.85,507.8,3924283
2017-07-12,508.4,509.7,504.2,507.3,5499268
2017-07-13,508.0,516.7,508.0,511.75,22215769
2017-07-14,513.7,514.45,507.8,512.75,3153885
2017-07-17,513.1,514.0,508.5,510.05,3143634
2017-07-18,508.65,522.6,508.45,516.55,7859982
2017-07-19,518.0,521.7,516.05,520.55,8105742
2017-07-20,520.75,544.05,520.75,539.55,16385025
2017-07-21,540.2,542.3,532.25,540.4,5544367
2017-07-24,541.0,546.4,531.4,535.45,4769388
2017-07-25,534.0,547.4,529.95,547.4,8169838
2017-07-26,537.85,543.3,525.5,526.9,12050517
2017-07-27,532.1,534.95,522.25,523.6,12274648
2017-07-28,522.2,529.65,512.0,514.55,8255282
2017-07-31,517.4,521.0,509.6,520.5,7240635
2017-08-01,518.9,521.55,514.8,515.3,4538043
2017-08-02,518.0,524.0,512.65,513.6,4076681
2017-08-03,516.0,516.0,504.9,505.4,4131656
2017-08-04,507.3,510.8,505.0,508.0,4966587
2017-08-07,509.85,511.8,504.15,505.55,5288231
2017-08-08,507.65,510.9,496.1,498.7,8894015
2017-08-09,493.9,498.4,485.45,487.05,7151145
2017-08-10,485.4,494.05,483.75,488.0,10084624
2017-08-11,481.8,493.35,480.0,488.1,9252904
2017-08-14,491.0,497.45,489.75,491.3,3967729
2017-08-16,492.65,501.55,488.0,501.45,5953925
2017-08-17,500.3,503.45,495.0,496.65,3945557
2017-08-18,493.25,495.6,489.85,490.5,4160716
2017-08-21,492.45,503.4,491.95,494.7,17871518
2017-08-22,496.25,507.0,496.25,499.7,6646856
2017-08-23,504.15,505.75,500.2,501.6,3274416
2017-08-24,503.0,510.45,502.55,507.0,7153248
2017-08-28,507.9,512.9,506.25,510.85,3720791
2017-08-29,508.85,509.35,501.0,503.7,3263840
2017-08-30,506.3,509.5,502.3,503.95,3966537
2017-08-31,504.35,505.4,498.75,500.0,4485051
2017-09-01,501.2,509.75,498.6,507.9,4563910
2017-09-04,506.25,509.0,499.7,502.0,3741372
2017-09-05,503.0,506.6,501.5,501.6,3214594
2017-09-06,501.65,501.8,491.6,492.75,4935372
2017-09-07,494.3,499.0,494.3,496.5,4557378
2017-09-08,498.45,498.5,492.35,493.7,3659118
2017-09-11,496.75,497.4,492.65,494.2,3585437
2017-09-12,494.9,502.2,493.25,496.1,3320042
2017-09-13,496.1,505.45,495.05,499.0,4428871
2017-09-14,503.0,521.8,502.2,519.45,15146575
2017-09-15,516.85,519.85,511.0,517.6,8935272
2017-09-18,518.6,525.95,518.3,523.1,7332122
2017-09-19,522.55,524.0,517.5,521.0,2380695
2017-09-20,519.95,522.45,518.05,519.4,8289495
2017-09-21,518.2,522.5,505.8,512.4,3099948
2017-09-22,509.4,509.95,503.5,504.4,4543540
2017-09-25,504.0,505.0,488.4,504.0,11917961
2017-09-26,501.6,518.2,500.15,512.7,5289276
2017-09-27,513.55,513.55,500.8,507.0,5293760
2017-09-28,507.85,517.2,505.8,508.0,10398757
2017-09-29,511.55,516.95,505.5,510.2,11574748
2017-10-03,513.05,517.0,504.2,506.9,10701180
2017-10-04,507.4,510.9,504.75,505.9,4791098
2017-10-05,506.65,507.8,497.5,501.05,9340864
2017-10-06,502.5,507.0,501.3,503.4,11334466
2017-10-09,503.45,508.75,501.25,505.5,3935466
2017-10-10,506.5,515.65,504.1,513.65,4926105
2017-10-11,519.65,523.0,510.1,514.7,6171168
2017-10-12,515.95,525.9,513.35,524.75,4798286
2017-10-13,524.25,534.65,522.5,528.0,6445188
2017-10-16,531.0,531.75,514.35,518.9,7143787
2017-10-17,520.5,526.1,511.15,511.5,9413114
2017-10-18,511.5,511.5,461.4,464.5,26638307651
2017-10-23,458.3,460.85,447.85,449.95,21127652
2017-10-24,451.65,457.8,450.15,450.95,19315592
2017-10-25,470.0,476.5,457.0,474.0,37525571
2017-10-26,471.6,487.85,471.6,484.25,24912049
2017-10-27,483.95,491.4,481.7,487.25,7570100
2017-10-30,487.3,489.0,481.65,485.45,4810182
2017-10-31,497.0,529.0,494.15,525.0,39589666
2017-11-01,524.95,543.5,524.85,536.0,22511192
2017-11-02,534.0,538.0,526.35,536.65,7787596
2017-11-03,535.35,545.65,534.5,540.3,9297820
2017-11-06,539.05,541.4,531.0,537.0,8003185
2017-11-07,535.5,539.1,523.15,526.25,9637686
2017-11-08,537.7,551.8,533.6,547.75,19592070
2017-11-09,548.95,555.45,533.2,538.2,11270126
2017-11-10,534.95,548.9,532.45,547.25,9858266
2017-11-13,557.0,564.4,534.1,535.0,21600287
2017-11-14,537.35,549.95,533.15,547.05,10629784
2017-11-15,546.5,550.95,537.1,543.5,7807894
2017-11-16,544.0,548.5,541.2,542.95,5171863
2017-11-17,550.0,557.3,540.65,542.25,4349395
2017-11-20,542.25,547.5,536.9,545.0,3454828
2017-11-21,547.0,548.85,539.2,546.15,5767994
2017-11-22,546.55,546.8,539.0,540.5,4529421
2017-11-23,542.4,547.65,535.65,544.5,10721281
2017-11-24,544.95,547.5,541.1,546.25,3921574
2017-11-27,544.1,561.8,541.2,559.9,9293352
2017-11-28,559.5,565.6,558.0,562.2,10089512
2017-11-29,560.55,561.5,546.8,548.5,6378484
2017-11-30,547.15,547.15,534.15,537.3,19359811
2017-12-01,539.4,539.85,532.1,533.75,7132253
2017-12-04,536.2,540.6,529.8,537.4,4178106
2017-12-05,535.0,537.75,530.75,533.3,6165685
2017-12-06,532.2,534.5,529.35,530.95,4232683
2017-12-07,532.9,538.0,529.1,537.9,3526624
2017-12-08,536.7,544.5,536.6,543.5,6004006
2017-12-11,550.0,552.25,542.7,545.2,5300958
2017-12-12,544.0,544.0,535.1,538.65,5230209
2017-12-13,538.0,543.0,533.6,535.6,4158838
2017-12-14,537.0,543.4,534.8,542.55,3554920
2017-12-15,552.2,549.8,543.05,549.0,6014990
2017-12-18,537.95,553.8,531.25,548.7,5879624
2017-12-19,549.25,555.55,545.45,554.0,4321913
2017-12-20,553.5,557.8,548.6,554.95,3530052
2017-12-21,551.8,556.9,545.25,548.05,5776391
2017-12-22,549.9,554.8,547.1,553.6,3072407
2017-12-26,555.0,557.25,550.3,555.5,3268222
2017-12-27,554.0,560.45,551.0,553.6,4161612
2017-12-28,546.15,553.85,544.1,547.95,8408936
2017-12-29,548.2,567.85,547.0,562.05,8355722
2018-01-01,563.8,569.8,560.5,562.95,6932605
2018-01-02,567.0,568.5,556.35,558.4,6288010
2018-01-03,561.3,565.45,555.8,559.75,3988289
2018-01-04,564.85,565.0,558.2,559.2,2756175
2018-01-05,561.05,566.0,556.75,564.3,3247804
2018-01-08,565.8,567.4,562.5,563.45,3765823
2018-01-09,564.0,573.0,563.05,564.1,4601643
2018-01-10,566.15,566.15,560.5,563.2,2407946
2018-01-11,562.0,563.05,553.55,559.5,2824292
2018-01-12,560.2,563.4,552.5,556.5,6010904
2018-01-15,556.7,564.45,556.4,561.2,3940731
2018-01-16,562.95,566.9,556.25,561.2,5987354
2018-01-17,564.05,589.3,561.0,587.55,8441278
2018-01-18,596.0,596.35,578.65,584.0,9409766
2018-01-19,584.9,593.75,581.2,591.55,3889064
2018-01-22,595.95,621.65,583.15,611.3,21761471
2018-01-23,616.4,627.45,611.6,621.8,14242237
2018-01-24,621.9,621.75,606.3,608.0,6146809
2018-01-25,610.0,619.1,601.4,614.75,6739084
2018-01-29,614.55,620.85,603.65,605.6,7008898
2018-01-30,605.6,607.4,592.45,595.0,6442709
2018-01-31,589.3,596.0,587.4,593.85,7079112
2018-02-01,593.6,609.7,586.9,592.45,7835867
2018-02-02,587.8,586.05,561.35,565.0,6179203
