date,open,high,low,close,volume
2017-07-03,559.9,559.9,548.85,552.5,487608
2017-07-04,558.0,558.0,543.3,544.15,558210
2017-07-05,545.6,547.55,541.45,546.35,832174
2017-07-06,546.35,547.9,540.2,543.0,556139
2017-07-07,542.6,552.0,541.5,545.7,892071
2017-07-10,546.0,560.0,545.5,548.75,21474957566
2017-07-11,550.5,552.15,536.05,539.5,1525499
2017-07-12,539.45,543.5,537.0,539.05,1037284
2017-07-13,540.2,544.45,538.9,543.55,689877
2017-07-14,544.25,551.0,540.85,547.65,958713
2017-07-17,550.3,559.0,546.7,558.0,686253
2017-07-18,556.0,567.0,555.8,559.25,1317834
2017-07-19,561.0,569.45,561.0,567.8,760208
2017-07-20,569.15,577.0,562.65,570.0,1090190
2017-07-21,569.15,569.45,560.15,565.95,672679
2017-07-24,567.0,575.5,562.15,570.0,872536
2017-07-25,571.4,571.4,562.9,565.0,508833
2017-07-26,564.65,577.45,563.5,574.6,863319
2017-07-27,573.6,579.2,565.15,566.9,1851672
2017-07-28,566.75,570.9,556.5,566.8,906615
2017-07-31,567.7,568.8,556.8,561.9,753010
2017-08-01,560.1,565.9,558.6,562.85,710248
2017-08-02,562.85,570.9,560.0,567.0,664304
2017-08-03,569.7,574.95,553.8,555.9,1063914
2017-08-04,551.85,571.7,543.05,568.3,1002289
2017-08-07,568.3,571.1,553.0,565.2,769073
2017-08-08,562.85,580.0,562.85,579.8,1351005
2017-08-09,580.3,580.65,557.25,558.7,1798557
2017-08-10,560.0,569.3,541.5,546.85,1215926
2017-08-11,543.0,563.0,525.7,549.7,4331517
2017-08-14,556.8,575.95,554.8,569.5,4016641
2017-08-16,569.0,593.7,561.05,591.5,1836211
2017-08-17,593.4,593.4,569.95,574.0,1418215
2017-08-18,573.0,575.75,560.2,564.9,1678938
2017-08-21,566.55,570.0,555.15,561.35,1219185
2017-08-22,563.0,567.65,558.0,560.4,845041
2017-08-23,561.7,565.0,556.65,557.65,848086
2017-08-24,558.9,575.75,557.3,575.55,1864277
2017-08-28,575.45,581.0,570.65,572.95,902759
2017-08-29,574.05,574.05,564.5,570.85,607360
2017-08-30,574.0,576.0,565.5,567.8,595552
2017-08-31,570.0,578.0,562.0,575.0,1906419
2017-09-01,574.65,577.25,565.3,568.3,890511
2017-09-04,572.5,577.0,557.55,562.1,1729919
2017-09-05,564.7,565.85,557.0,558.5,927133
2017-09-06,559.9,560.6,555.6,557.75,580713
2017-09-07,560.0,561.0,552.05,552.7,884702
2017-09-08,554.65,558.0,549.3,551.0,774895
2017-09-11,556.0,557.6,550.0,551.3,522586
2017-09-12,554.4,562.75,543.5,558.55,1328379
2017-09-13,556.6,561.85,552.55,554.85,1158562
2017-09-14,556.0,567.0,555.45,566.0,1598610
2017-09-15,564.7,565.75,556.55,561.6,924707
2017-09-18,563.7,572.1,560.9,570.0,649298
2017-09-19,570.8,574.5,564.5,574.1,674330
2017-09-20,573.4,573.7,565.25,568.2,758581
2017-09-21,571.0,594.0,570.05,593.0,3101838
2017-09-22,591.55,600.0,582.55,584.0,3999044
2017-09-25,581.9,594.4,564.35,577.25,2387774
2017-09-26,582.0,582.0,570.0,577.0,976294
2017-09-27,579.6,580.7,563.0,568.95,560483
2017-09-28,565.0,587.4,564.15,582.25,2991634
2017-09-29,580.0,592.0,577.75,585.8,1017979
2017-10-03,590.5,592.1,575.5,577.4,520964
2017-10-04,579.9,587.4,579.35,583.05,630943
2017-10-05,583.05,590.0,579.05,585.0,646353
2017-10-06,587.7,589.2,583.35,585.5,461809
2017-10-09,585.1,595.5,582.6,587.0,1114214
2017-10-10,589.75,593.45,585.55,592.0,740512
2017-10-11,591.0,593.95,579.55,585.0,1052596
2017-10-12,589.45,593.35,580.3,591.0,750553
2017-10-13,590.3,598.2,588.3,592.9,935373
2017-10-16,594.95,608.9,594.95,605.0,1719563
2017-10-17,606.0,635.45,602.2,632.1,2559103
2017-10-18,631.85,631.85,609.3,611.0,6222886077
2017-10-23,608.0,619.45,589.9,592.9,5767871647
2017-10-24,600.3,600.5,591.55,595.0,1127426
2017-10-25,599.0,603.95,589.5,589.85,989165
2017-10-26,594.5,616.8,592.55,614.0,2001159
2017-10-27,623.0,629.8,616.2,622.9,2188890
2017-10-30,625.0,629.85,614.85,625.5,1043882
2017-10-31,628.95,634.8,624.2,626.25,1519446
2017-11-01,628.25,633.3,622.0,623.0,1358395
2017-11-02,626.4,642.8,626.4,632.75,2057615
2017-11-03,640.0,648.0,629.55,640.0,1717758
2017-11-06,637.1,661.0,636.9,653.4,2192691
2017-11-07,663.4,661.95,602.35,608.25,7321850
2017-11-08,624.85,637.75,620.0,621.0,5553831
2017-11-09,624.0,628.0,611.6,614.6,1805810
2017-11-10,617.5,621.5,603.65,608.35,1397264
2017-11-13,610.3,611.3,596.3,601.75,1107964
2017-11-14,598.0,613.3,599.8,602.7,1496859
2017-11-15,602.65,607.7,590.2,593.65,1169402
2017-11-16,595.35,599.25,590.0,593.5,1227053
2017-11-17,607.0,614.75,601.65,605.75,1442930
2017-11-20,605.55,607.85,596.1,603.8,1604798
2017-11-21,607.0,624.0,607.15,614.85,2220939
2017-11-22,616.9,625.5,614.0,620.0,2012460
2017-11-23,619.25,625.1,615.35,615.35,791092
2017-11-24,619.5,623.9,613.25,617.2,1113958
2017-11-27,617.0,619.9,611.05,615.0,1384816
2017-11-28,616.0,621.0,609.8,613.2,1485371
2017-11-29,615.0,619.15,605.65,607.0,1462343
2017-11-30,605.0,607.85,597.05,602.4,1607596
2017-12-01,604.5,606.0,593.7,598.0,746813
2017-12-04,599.3,602.75,588.8,595.7,658782
2017-12-05,595.0,599.8,591.9,597.65,978154
2017-12-06,595.8,603.45,594.5,597.0,918302
2017-12-07,598.0,600.0,588.35,594.0,752123
2017-12-08,595.0,607.0,592.7,605.05,604937
2017-12-11,612.0,612.0,597.4,603.9,848017
2017-12-12,604.7,606.0,590.0,591.45,761028
2017-12-13,591.5,596.25,576.35,578.9,1195110
2017-12-14,580.0,593.7,575.1,592.0,1426666
2017-12-15,597.0,596.8,573.3,575.2,4309744
2017-12-18,578.4,594.9,571.9,592.0,2374302
2017-12-19,592.45,605.7,592.45,603.9,1472698
2017-12-20,605.7,611.0,597.75,599.65,1066810
2017-12-21,602.95,608.7,596.0,601.0,1273754
2017-12-22,603.0,603.6,598.85,602.8,667056
2017-12-26,604.05,614.9,596.1,612.85,1234853
2017-12-27,613.0,623.75,610.75,612.4,1763954
2017-12-28,614.0,616.15,603.45,605.7,1427449
2017-12-29,606.15,611.9,604.2,607.0,702263
2018-01-01,608.0,617.85,607.0,616.3,873029
2018-01-02,614.2,619.0,605.5,610.0,1037616
2018-01-03,611.0,613.45,604.65,605.0,770745
2018-01-04,609.45,618.3,603.5,615.5,989148
2018-01-05,617.0,619.3,611.1,612.7,1070576
2018-01-08,618.5,627.5,612.3,614.15,1060070
2018-01-09,617.0,618.55,610.8,614.3,844914
2018-01-10,616.0,624.0,612.9,617.05,1206623
2018-01-11,619.0,619.0,609.15,612.05,1091735
2018-01-12,614.0,618.2,603.1,612.0,891278
2018-01-15,612.5,615.5,608.2,611.3,469779
2018-01-16,610.15,613.0,599.0,600.6,1087719
2018-01-17,601.05,610.2,597.05,610.0,882664
2018-01-18,608.1,612.9,598.25,603.65,1028320
2018-01-19,603.65,605.1,600.15,603.0,809197
2018-01-22,604.4,605.0,593.1,603.95,933216
2018-01-23,602.5,624.85,600.9,622.65,2103679
2018-01-24,621.95,623.7,613.05,618.15,1086481
2018-01-25,618.15,631.0,613.8,620.15,2972107
2018-01-29,624.95,628.25,611.1,612.05,1563004
2018-01-30,613.0,613.1,603.4,605.85,595299
2018-01-31,608.0,608.5,590.0,591.8,1263060
2018-02-01,591.9,597.0,580.2,590.25,1049041
2018-02-02,586.0,593.9,575.35,579.0,997329
2018-02-05,576.0,581.9,571.4,579.75,795791
2018-02-06,561.0,572.0,558.05,561.95,1278942
2018-02-07,578.5,578.5,554.2,570.0,3159582
2018-02-08,584.0,616.95,582.1,616.0,8336955
2018-02-09,595.0,625.95,597.8,625.4,2369661
2018-02-12,629.35,634.95,618.95,621.0,1950218
2018-02-14,622.1,630.2,611.5,613.0,1303921
2018-02-15,613.25,621.45,603.0,608.05,1390456
2018-02-16,611.3,613.9,605.75,609.4,904270
2018-02-19,612.0,612.0,594.35,600.95,1173807
2018-02-20,603.45,606.1,592.0,603.5,1587842
2018-02-21,607.0,607.75,589.5,595.0,1405754
2018-02-22,595.0,597.05,586.9,588.0,1849575
2018-02-23,591.8,604.7,590.6,594.0,1574550
2018-02-26,596.25,598.2,588.75,589.5,1415671
2018-02-27,591.7,598.9,583.1,586.65,1348708
2018-02-28,590.0,596.55,587.35,591.0,2246106
2018-03-01,593.9,593.9,580.7,582.45,1331686
2018-03-05,582.1,584.8,578.05,580.5,1177979
2018-03-06,581.6,589.35,580.05,585.0,1890617
2018-03-07,587.45,589.05,578.2,580.0,1844121
2018-03-08,584.0,583.5,574.0,576.0,1083542
2018-03-09,579.95,585.0,568.05,572.9,1148300
2018-03-12,575.05,582.2,563.55,578.7,918908
2018-03-13,579.0,582.9,575.3,580.1,801288
2018-03-14,578.35,583.55,571.65,577.6,810587
