date,open,high,low,close,volume
2017-07-03,649.0,674.0,648.6,671.0,1297372
2017-07-04,672.4,674.25,653.0,657.8,516990
2017-07-05,655.0,662.8,647.75,657.75,599439
2017-07-06,657.4,664.0,655.5,656.1,543035
2017-07-07,655.5,685.65,654.2,680.7,1762706
2017-07-10,700.4,745.0,680.4,734.0,21476102569
2017-07-11,743.85,755.7,730.5,732.15,2032395
2017-07-12,736.8,738.8,721.3,730.1,789129
2017-07-13,732.5,746.2,726.7,727.5,776422
2017-07-14,729.75,742.0,729.25,736.95,891245
2017-07-17,738.75,738.75,725.25,732.9,644665
2017-07-18,728.9,742.65,726.05,736.65,684865
2017-07-19,741.05,759.0,737.6,756.0,1545981
2017-07-20,759.05,760.4,742.0,744.85,625724
2017-07-21,750.0,750.0,707.9,720.0,974118
2017-07-24,691.0,696.7,681.05,689.0,2428244
2017-07-25,686.95,689.5,674.0,676.5,947827
2017-07-26,677.6,684.4,675.3,679.0,946019
2017-07-27,681.7,684.5,657.0,660.2,2059656
2017-07-28,656.6,677.45,650.25,675.0,877890
2017-07-31,677.0,680.8,669.1,672.95,732085
2017-08-01,671.0,674.95,663.0,669.5,970541
2017-08-02,670.4,671.9,665.0,669.7,345133
2017-08-03,674.2,684.7,667.5,668.9,603130
2017-08-04,668.05,696.5,660.25,684.6,1210580
2017-08-07,686.0,692.7,681.0,681.45,425361
2017-08-08,682.0,685.0,670.5,674.9,359435
2017-08-09,672.2,672.2,625.0,627.0,1427303
2017-08-10,631.6,646.55,613.4,629.0,1217787
2017-08-11,620.0,640.05,611.0,627.0,1247358
2017-08-14,636.05,643.15,616.95,636.0,932962
2017-08-16,642.6,660.0,635.5,657.0,781171
2017-08-17,659.0,659.4,644.0,645.5,401588
2017-08-18,640.0,644.75,630.5,635.0,323763
2017-08-21,637.1,639.25,618.2,622.0,308893
2017-08-22,626.0,645.3,621.65,628.0,751038
2017-08-23,635.0,643.65,626.4,638.9,742257
2017-08-24,638.0,676.0,637.0,675.0,1926138
2017-08-28,679.0,705.9,678.95,694.0,2002118
2017-08-29,692.0,703.45,681.5,688.0,956973
