date,open,high,low,close,volume
2017-07-03,426.0,426.98,416.15,419.9,3949362
2017-07-04,424.3,424.88,419.0,420.0,1919022
2017-07-05,418.5,420.6,417.55,419.0,2418406
2017-07-06,420.0,421.2,417.85,420.27,1370620
2017-07-07,420.25,420.25,414.67,416.0,2302394
2017-07-10,417.5,426.9,415.05,424.27,25770193658
2017-07-11,428.3,434.5,424.75,425.0,2988452
2017-07-12,425.0,429.1,423.05,428.02,1205352
2017-07-13,428.25,431.95,427.77,429.75,1905662
2017-07-14,429.77,430.2,422.52,425.0,1283168
2017-07-17,423.02,435.0,422.65,434.48,1810784
2017-07-18,434.55,442.15,434.17,440.12,1975104
2017-07-19,442.5,449.75,442.5,449.35,2904718
2017-07-20,447.48,447.48,441.2,442.45,1611290
2017-07-21,443.0,454.0,442.33,451.5,2483260
2017-07-24,452.02,456.0,450.6,451.1,3003618
2017-07-25,452.45,452.45,443.05,448.5,3583074
2017-07-26,446.5,451.75,442.0,444.0,3019734
2017-07-27,451.5,463.98,442.8,449.5,9275222
2017-07-28,442.48,448.45,434.15,445.5,3040396
2017-07-31,445.0,448.6,439.25,445.3,1889440
2017-08-01,444.52,449.0,439.1,444.0,2645000
2017-08-02,444.85,446.5,439.17,440.5,1656118
2017-08-03,441.08,441.95,435.5,437.65,2543574
2017-08-04,436.55,447.25,436.55,444.0,1139958
2017-08-07,445.0,447.27,440.7,443.0,1646354
2017-08-08,441.33,442.7,438.05,441.25,1731366
2017-08-09,436.12,442.33,436.12,439.73,1056248
2017-08-10,436.52,443.0,435.4,443.0,1692620
2017-08-11,439.05,444.42,432.27,435.5,3383966
2017-08-14,436.5,439.2,428.02,431.0,807010
2017-08-16,431.05,434.27,425.5,433.45,2248928
2017-08-17,436.5,437.55,430.38,436.67,1601710
2017-08-18,436.92,442.33,431.77,438.0,2125526
2017-08-21,438.88,442.5,435.1,435.75,1338512
2017-08-22,440.48,443.12,437.1,438.65,1462194
2017-08-23,438.0,441.48,431.5,441.25,1508466
2017-08-24,442.0,442.0,433.0,433.1,1622908
2017-08-28,434.25,437.27,428.92,433.52,1789474
2017-08-29,434.0,434.7,425.0,425.58,1944610
2017-08-30,428.5,429.0,421.62,426.0,3387268
2017-08-31,425.85,435.05,420.12,427.5,5015860
2017-09-01,431.6,436.38,428.15,433.88,1598778
2017-09-04,435.83,436.25,428.5,428.75,1121120
2017-09-05,429.0,431.2,424.2,430.0,1094938
2017-09-06,431.0,435.98,423.17,426.0,1656940
2017-09-07,428.67,431.85,425.7,429.02,2946372
2017-09-08,433.0,434.75,428.05,429.9,2291320
2017-09-11,431.0,433.52,426.0,431.23,1439408
2017-09-12,433.5,433.5,428.12,430.75,1696136
2017-09-13,432.88,437.5,430.85,437.05,2236776
2017-09-14,438.0,441.02,435.65,440.55,2324470
2017-09-15,440.4,446.5,434.23,445.5,3499528
2017-09-18,445.0,449.25,444.5,448.15,1363504
2017-09-19,449.0,449.0,444.62,446.0,1095068
2017-09-20,447.0,448.33,442.55,445.0,1791552
2017-09-21,444.73,447.0,434.52,435.98,5194368
2017-09-22,435.0,444.95,435.0,441.45,6279000
2017-09-25,440.0,441.88,435.15,437.0,3548020
2017-09-26,438.85,443.42,432.25,435.95,3446202
2017-09-27,438.02,440.48,436.05,436.5,2540708
2017-09-28,437.33,440.38,430.83,440.0,6189714
2017-09-29,438.55,443.0,433.35,435.5,2358356
2017-10-03,439.85,443.73,438.38,442.0,2678172
2017-10-04,439.0,444.23,439.0,443.02,1239862
2017-10-05,443.08,450.83,442.6,447.0,3545342
2017-10-06,443.9,454.5,443.9,452.48,3637450
2017-10-09,453.27,453.27,448.73,450.45,1207204
2017-10-10,452.52,458.5,448.55,449.55,3422470
2017-10-11,450.02,457.75,450.02,454.98,4336142
2017-10-12,456.5,460.0,453.15,458.5,2074440
2017-10-13,459.0,467.92,456.98,465.0,2210356
2017-10-16,463.23,466.05,460.0,461.2,1646542
2017-10-17,459.15,466.92,459.15,461.5,950738
2017-10-18,461.5,465.5,458.9,461.85,7431569522
2017-10-23,462.0,471.9,461.4,468.62,9995932422
2017-10-24,469.45,469.75,454.05,455.5,3141926
2017-10-25,447.2,461.95,438.0,451.58,6134218
2017-10-26,453.23,454.17,429.0,433.0,11553888
2017-10-27,435.48,435.9,426.12,428.48,4588736
2017-10-30,430.0,431.73,416.0,419.38,7249236
2017-10-31,419.77,430.25,418.77,427.65,2956574
2017-11-01,430.0,429.0,419.0,420.5,3254074
2017-11-02,422.2,430.0,422.02,429.02,2962164
2017-11-03,430.0,430.0,422.5,424.1,2758962
2017-11-06,426.0,427.55,418.8,422.0,2268676
2017-11-07,425.0,439.9,422.88,438.5,5959738
2017-11-08,441.0,442.38,432.77,438.1,3808440
2017-11-09,439.75,444.23,436.23,439.0,1592402
2017-11-10,440.48,439.42,431.35,433.55,3067534
2017-11-13,432.25,439.2,432.25,435.0,5321074
2017-11-14,434.0,442.42,433.05,434.75,2012138
2017-11-15,438.5,438.23,423.0,424.0,3119480
2017-11-16,424.85,429.0,419.35,426.5,2179918
2017-11-17,424.45,427.95,419.25,420.4,3090710
2017-11-20,421.5,424.1,418.45,421.38,2258932
2017-11-21,421.55,423.1,417.6,420.0,2982496
2017-11-22,419.27,422.15,417.4,420.5,2266060
2017-11-23,424.0,428.0,421.12,426.5,2323880
2017-11-24,427.5,431.75,427.95,430.0,1640410
2017-11-27,428.75,431.5,426.55,431.05,1590986
2017-11-28,430.5,432.02,428.7,429.0,2107110
2017-11-29,430.0,431.48,423.1,425.0,1522418
2017-11-30,425.0,428.95,421.17,423.05,6821042
2017-12-01,423.5,424.98,413.58,416.08,2765982
2017-12-04,418.0,424.75,412.42,424.45,1789800
2017-12-05,423.95,426.45,419.92,421.75,1978372
2017-12-06,422.75,430.08,422.5,428.02,3178378
2017-12-07,430.08,433.5,426.8,432.65,2449342
2017-12-08,434.85,436.4,431.7,435.45,1735038
2017-12-11,437.25,441.0,436.08,440.5,1592796
2017-12-12,440.5,440.9,435.12,436.98,2920404
2017-12-13,435.0,436.23,431.7,433.1,8608116
2017-12-14,431.5,442.5,431.5,441.98,6360846
2017-12-15,444.45,448.23,442.5,445.92,4465130
2017-12-18,444.05,445.88,438.1,440.38,2610696
2017-12-19,444.5,444.5,432.5,436.25,3969596
2017-12-20,435.0,437.5,432.0,435.12,2105570
2017-12-21,437.0,446.0,435.8,444.0,2857462
2017-12-22,445.5,446.0,439.15,442.5,2099580
2017-12-26,441.05,446.65,441.02,443.02,2125102
2017-12-27,443.0,445.8,440.27,441.0,801026
2017-12-28,441.0,445.42,437.83,438.92,2318552
2017-12-29,439.15,450.83,437.5,447.5,3018858
2018-01-01,444.5,445.1,437.98,438.45,1285254
2018-01-02,438.45,447.5,438.42,447.0,1905256
2018-01-03,446.5,453.88,446.5,448.0,2582078
2018-01-04,448.0,449.73,441.52,446.58,1192768
2018-01-05,444.12,451.5,441.15,449.75,1489136
2018-01-08,450.08,451.7,447.55,448.08,2352906
2018-01-09,450.25,451.42,442.55,446.85,2502344
2018-01-10,446.0,459.0,445.55,456.5,3398298
2018-01-11,459.5,462.42,455.5,457.0,4232250
2018-01-12,459.25,464.0,456.12,463.38,1976568
2018-01-15,462.5,465.55,452.75,454.95,2534496
2018-01-16,457.05,477.25,455.25,474.65,8955828
2018-01-17,475.0,481.5,471.65,477.5,5494238
2018-01-18,476.5,479.83,470.25,478.62,1868198
2018-01-19,478.5,483.17,473.12,479.5,4721700
2018-01-22,480.0,487.45,472.55,486.0,4429610
2018-01-23,484.98,500.0,484.27,497.45,5011836
2018-01-24,497.0,520.35,496.12,510.0,9266340
2018-01-25,509.4,510.0,495.45,510.0,5305884
2018-01-29,505.0,510.23,502.52,502.88,4005390
2018-01-30,508.75,507.83,499.0,500.0,2705476
2018-01-31,499.98,508.92,490.85,492.02,3220512
2018-02-01,491.05,504.5,484.77,495.92,3054898
2018-02-02,490.0,503.8,489.0,495.62,3343544
2018-02-05,495.0,500.62,490.0,496.15,2173866
2018-02-06,482.48,484.38,474.05,476.15,3304264
2018-02-07,479.1,479.45,461.1,469.25,4045968
2018-02-08,472.88,481.5,469.0,471.15,2895080
2018-02-09,467.5,485.3,465.17,482.75,3456194
2018-02-12,482.75,486.38,468.67,469.98,2973496
2018-02-14,469.9,479.9,465.17,467.0,2883374
2018-02-15,472.0,474.8,466.0,470.5,2277636
2018-02-16,472.5,485.23,465.5,466.5,5693296
2018-02-19,468.92,469.3,450.05,457.0,2812652
2018-02-20,458.0,462.48,452.5,454.02,2453556
2018-02-21,459.0,473.67,456.02,472.6,5536318
2018-02-22,471.5,481.45,468.5,472.52,8130090
2018-02-23,474.45,483.95,471.6,476.5,5667872
2018-02-26,477.95,482.55,471.52,474.48,2110552
