date,open,high,low,close,volume
2017-11-17,310.0,368.55,308.45,343.9,168811164
2017-11-20,344.7,358.75,344.8,355.0,14568224
2017-11-21,356.4,418.9,352.6,386.9,42927582
2017-11-22,388.0,408.0,387.9,394.0,15150820
2017-11-23,390.0,391.8,371.1,375.2,12206474
2017-11-24,376.05,383.0,366.1,370.55,9401725
2017-11-27,371.0,384.5,371.5,381.0,3820074
2017-11-28,383.0,386.0,378.1,382.0,2401278
2017-11-29,382.4,384.5,376.2,379.8,1625454
2017-11-30,379.8,379.5,370.8,372.0,2526413
2017-12-01,373.7,379.5,368.75,373.0,1894390
2017-12-04,374.05,374.9,362.0,363.0,1316438
2017-12-05,361.0,365.6,357.2,362.1,1799414
2017-12-06,360.9,371.45,358.7,370.0,3328870
2017-12-07,370.05,389.75,370.6,387.75,3336932
2017-12-08,390.0,395.65,386.35,388.0,2480014
2017-12-11,387.0,392.0,379.35,381.4,1020080
2017-12-12,380.9,387.0,377.45,386.3,2563449
2017-12-13,386.45,389.2,378.5,380.5,744177
2017-12-14,382.85,386.0,378.15,384.9,1159478
2017-12-15,388.0,390.25,380.15,381.2,1695680
2017-12-18,380.0,383.3,372.25,376.1,1391609
2017-12-19,378.0,380.75,372.25,375.8,1634339
2017-12-20,377.45,377.5,371.5,377.5,2240683
2017-12-21,379.25,381.8,375.0,375.0,1442155
2017-12-22,376.25,380.0,374.2,374.3,773230
2017-12-26,376.0,378.6,373.4,376.3,1305112
2017-12-27,375.1,377.9,373.8,374.9,586112
2017-12-28,375.0,380.0,372.4,378.7,902496
2017-12-29,379.0,390.8,375.65,384.9,1604527
2018-01-01,388.5,399.8,386.55,390.15,1439319
2018-01-02,391.7,397.55,384.75,396.65,1218055
2018-01-03,398.0,398.3,384.1,385.7,2269331
2018-01-04,390.0,401.95,387.25,399.25,2965617
2018-01-05,401.0,411.8,398.0,406.15,3544620
2018-01-08,410.0,428.15,409.55,420.2,3791481
2018-01-09,424.0,447.6,423.15,435.9,6167146
2018-01-10,438.0,441.9,427.0,429.0,2363395
2018-01-11,424.0,449.8,426.0,447.55,2596222
2018-01-12,449.75,458.7,444.8,454.2,5357713
2018-01-15,460.0,488.0,458.0,475.4,5622034
2018-01-16,479.9,493.7,471.95,485.65,8277900
2018-01-17,485.4,487.85,470.0,479.5,5683956
2018-01-18,483.2,489.7,478.4,488.15,1766931
2018-01-19,489.25,490.7,477.0,481.5,3479144
2018-01-22,481.5,488.85,469.05,470.0,3808313
2018-01-23,474.25,474.15,454.55,456.3,3557165
2018-01-24,457.5,460.0,448.0,454.5,2068085
2018-01-25,455.0,460.0,447.0,447.9,1186390
2018-01-29,447.0,452.4,444.5,444.8,1109374
2018-01-30,444.0,448.0,417.85,418.15,3580578
2018-01-31,418.4,432.75,395.85,426.7,14712954
2018-02-01,429.95,450.0,423.2,449.25,4947144
2018-02-02,441.0,454.45,430.0,444.25,5299289
2018-02-05,428.2,444.0,424.05,441.5,2262323
2018-02-06,418.0,440.0,417.1,438.8,1888205
2018-02-07,443.0,448.9,431.0,432.8,1041908
2018-02-08,434.9,444.0,434.85,442.5,926067
2018-02-09,430.3,446.0,433.3,438.0,1007417
2018-02-12,442.0,450.6,436.55,438.15,1940532
2018-02-14,441.8,442.9,431.0,431.75,2146723
2018-02-15,433.0,436.95,428.0,432.8,503774
2018-02-16,434.15,435.3,426.6,431.1,520935
2018-02-19,432.0,439.4,426.8,438.5,673463
2018-02-20,439.5,441.9,432.95,435.8,777134
2018-02-21,438.9,450.15,436.15,449.9,1305931
2018-02-22,447.2,454.5,443.9,449.0,766357
2018-02-23,452.1,471.7,452.05,470.1,1836632
2018-02-26,472.8,472.8,461.35,469.5,917308
2018-02-27,467.9,477.7,460.0,470.0,1373949
2018-02-28,467.5,467.9,460.0,461.25,1355223
2018-03-01,461.9,464.35,450.1,450.15,1100821
2018-03-05,450.0,456.15,448.15,454.0,1247585
2018-03-06,457.0,457.4,445.1,446.05,1593329
2018-03-07,446.45,447.45,435.0,436.4,2896096
2018-03-08,441.0,442.0,428.3,429.9,1947698
2018-03-09,434.75,434.8,423.0,424.5,1492724
2018-03-12,429.95,433.3,425.55,431.0,877789
2018-03-13,431.95,445.5,430.0,444.0,1395617
2018-03-14,441.95,447.9,440.8,444.95,870557
2018-03-15,445.0,450.8,444.55,449.2,655373
2018-03-16,450.95,450.05,436.1,442.6,550410
2018-03-19,440.0,442.35,425.0,425.75,692408
2018-03-20,424.85,428.65,419.65,422.75,1777444
2018-03-21,426.8,438.0,419.25,423.1,1335207
2018-03-22,426.8,429.75,424.2,426.35,1262671
2018-03-23,418.45,431.0,416.1,426.9,935664
2018-03-26,428.15,439.0,427.25,438.35,674405
2018-03-27,440.1,449.4,440.1,449.25,1230920
2018-03-28,446.65,460.0,444.15,454.0,1215570
2018-04-02,457.5,487.0,456.6,486.4,2111086
2018-04-03,483.5,508.3,482.2,492.9,3141938
2018-04-04,495.0,504.0,488.9,497.5,1681775
2018-04-05,501.8,505.85,487.05,497.85,1701906
2018-04-06,497.8,504.4,494.0,496.3,1502107
2018-04-09,496.45,510.9,490.0,491.7,2700050
2018-04-10,494.95,505.9,492.1,504.8,1433419
2018-04-11,501.5,507.7,495.0,498.05,2542067
2018-04-12,500.0,501.5,497.4,498.75,867621
2018-04-13,500.25,501.55,497.6,499.0,986216
2018-04-16,495.7,500.3,492.75,495.0,836811
2018-04-17,497.5,500.3,486.0,494.0,1324177
2018-04-18,496.0,500.25,488.0,492.9,1037461
2018-04-19,501.0,511.0,497.1,501.2,4257062
2018-04-20,502.8,503.25,494.0,494.0,1676150
2018-04-23,496.4,496.85,489.0,492.0,1347085
2018-04-24,495.8,503.0,489.1,497.0,2174047
2018-04-25,499.0,514.9,495.0,511.35,3735388
2018-04-26,512.95,536.8,512.95,534.05,4440183
2018-04-27,537.9,546.85,517.0,517.95,2901907
2018-04-30,520.0,525.75,514.3,519.0,1981291
2018-05-02,520.75,525.3,508.1,509.0,1464789
2018-05-03,510.55,510.9,493.0,496.15,1924298
2018-05-04,490.1,504.9,490.1,497.5,1264202
2018-05-07,502.55,504.8,497.2,500.0,1482198
2018-05-08,503.3,513.95,499.0,512.5,1438098
2018-05-09,511.9,518.0,511.0,514.25,1596221
2018-05-10,517.0,520.9,509.5,519.7,1444383
