date,open,high,low,close,volume
2017-07-03,677.95,686.0,671.53,682.42,511581
2017-07-04,683.22,688.5,675.85,677.5,214904
2017-07-05,682.5,697.7,681.0,691.5,608116
2017-07-06,695.0,696.6,685.0,685.47,390154
2017-07-07,687.33,696.92,685.58,688.0,328850
2017-07-10,676.1,700.0,676.1,683.45,12885118368
2017-07-11,689.83,697.5,687.0,695.45,1036488
2017-07-12,696.25,697.62,687.53,688.0,366893
2017-07-13,685.0,689.5,683.12,684.5,394897
2017-07-14,686.75,691.22,684.85,687.0,326251
2017-07-17,690.0,702.7,689.6,690.97,654053
2017-07-18,692.5,700.9,688.72,691.75,410537
2017-07-19,694.0,696.5,688.58,690.5,948495
2017-07-20,692.5,698.85,690.65,695.5,451063
2017-07-21,697.0,698.97,682.88,691.25,350431
2017-07-24,692.9,695.97,687.7,695.0,290045
2017-07-25,696.0,698.05,693.15,694.9,360252
2017-07-26,695.35,710.0,694.62,706.75,633669
2017-07-27,710.0,711.85,697.53,701.0,966431
2017-07-28,698.0,698.65,688.12,691.55,200380
2017-07-31,697.47,704.47,690.05,703.0,255380
2017-08-01,707.5,716.5,702.5,714.97,968423
2017-08-02,716.22,716.83,704.15,705.0,238147
2017-08-03,708.55,710.83,702.05,708.28,281461
2017-08-04,710.45,712.2,697.55,709.5,1117989
2017-08-07,692.5,715.0,692.5,700.03,741157
2017-08-08,700.05,708.28,695.5,699.85,425812
2017-08-09,698.53,703.25,692.6,695.0,385331
2017-08-10,692.5,697.9,690.0,697.5,407881
2017-08-11,690.0,693.05,670.03,675.0,563088
2017-08-14,677.5,685.22,673.8,678.55,342171
2017-08-16,681.03,688.0,674.45,684.0,372156
2017-08-17,687.47,687.47,679.3,683.12,305714
2017-08-18,682.0,689.75,681.0,685.5,339278
2017-08-21,685.1,696.47,685.08,689.28,350983
2017-08-22,692.75,692.9,685.53,686.6,146084
2017-08-23,688.17,693.5,683.7,687.5,394467
2017-08-24,687.6,691.45,683.9,688.15,395094
2017-08-28,689.92,690.22,683.25,686.38,517581
2017-08-29,687.3,689.5,683.53,687.5,268352
2017-08-30,691.1,694.28,676.92,680.0,527496
2017-08-31,679.47,680.15,666.5,672.05,778597
2017-09-01,672.4,675.83,668.45,673.4,543237
2017-09-04,674.0,674.0,662.08,663.17,203156
2017-09-05,664.75,665.6,656.72,662.5,386752
2017-09-06,660.6,662.33,655.0,658.4,324290
2017-09-07,659.5,671.22,659.5,671.0,581866
2017-09-08,673.42,673.42,644.15,648.0,983944
2017-09-11,652.55,655.35,639.0,641.3,830783
2017-09-12,641.85,652.45,639.5,650.0,530303
2017-09-13,655.0,660.03,651.5,654.0,1192485
2017-09-14,655.83,656.5,644.12,647.0,357807
2017-09-15,644.47,651.9,642.5,643.0,419496
2017-09-18,650.08,653.1,645.5,646.7,325081
2017-09-19,651.5,652.15,644.05,647.03,242971
2017-09-20,651.35,652.95,644.83,644.83,418249
2017-09-21,646.75,648.12,640.25,645.5,242037
2017-09-22,643.85,648.5,640.78,642.72,428959
2017-09-25,641.28,645.67,623.0,631.0,572388
2017-09-26,632.28,632.72,621.17,623.25,328314
2017-09-27,625.47,627.58,612.0,618.12,355139
2017-09-28,615.58,624.5,612.5,614.0,769524
2017-09-29,615.5,630.25,615.5,629.0,607435
2017-10-03,631.53,645.38,626.38,628.53,889882
2017-10-04,632.45,645.88,628.12,643.5,588907
2017-10-05,653.55,658.0,646.75,648.1,1046958
2017-10-06,653.78,660.6,649.62,650.0,449646
2017-10-09,653.4,656.45,649.62,652.45,208655
2017-10-10,658.47,659.5,650.58,652.45,345813
2017-10-11,655.0,665.12,653.0,658.0,820898
2017-10-12,660.85,670.8,657.08,668.72,411834
2017-10-13,670.0,672.75,661.5,662.5,270464
2017-10-16,669.45,687.95,665.55,683.97,584908
2017-10-17,685.75,687.75,671.75,686.67,510994
2017-10-18,685.65,689.25,681.12,685.28,9542086442
2017-10-23,688.4,696.97,673.3,683.53,299939
2017-10-24,681.85,682.65,673.47,677.0,195275
2017-10-25,677.0,686.75,674.47,685.9,331853
2017-10-26,685.92,690.35,682.3,686.75,825823
2017-10-27,686.47,695.35,686.47,690.38,387088
2017-10-30,694.0,696.3,685.03,686.05,281463
2017-10-31,688.83,688.83,671.08,673.0,399567
2017-11-01,673.62,681.6,668.0,676.95,982488
2017-11-02,671.5,674.7,665.53,668.0,434911
2017-11-03,669.5,671.47,660.05,666.1,542086
2017-11-06,673.92,688.85,671.65,685.25,1284469
2017-11-07,690.0,690.12,674.05,676.9,1105710
2017-11-08,680.5,687.5,677.0,686.97,342337
2017-11-09,686.5,690.0,670.0,680.03,241635
2017-11-10,681.05,706.0,673.62,697.5,1482754
2017-11-13,704.0,715.65,704.0,705.25,1613331
2017-11-14,709.5,719.0,707.55,711.65,897695
2017-11-15,714.5,712.5,703.53,708.03,497885
2017-11-16,707.53,713.0,704.0,707.03,435568
2017-11-17,712.5,712.5,706.0,706.97,723920
2017-11-20,709.88,710.0,700.05,702.45,631135
2017-11-21,710.0,711.0,704.1,707.5,426171
2017-11-22,712.0,720.9,709.8,716.25,719240
2017-11-23,717.2,716.25,706.28,710.0,244674
2017-11-24,712.5,719.95,710.08,717.9,482347
2017-11-27,717.5,722.0,712.53,715.95,432883
2017-11-28,716.33,720.72,713.5,718.4,371463
2017-11-29,719.47,721.38,715.0,715.5,345560
2017-11-30,715.0,714.97,700.28,703.55,1340954
2017-12-01,707.0,713.2,703.0,704.5,538200
