date,open,high,low,close,volume
2017-07-03,7239.6,7363.2,7211.2,7359.0,555966
2017-07-04,7359.0,7415.05,7341.0,7360.2,427510
2017-07-05,7376.2,7386.6,7332.0,7385.0,273345
2017-07-06,7377.0,7498.0,7376.2,7480.0,415958
2017-07-07,7460.0,7474.0,7420.0,7428.0,339212
2017-07-10,7500.5,7500.5,6855.15,7433.3,21474883119
2017-07-11,7459.9,7494.95,7400.0,7450.0,422386
2017-07-12,7480.05,7485.0,7435.1,7463.1,232466
2017-07-13,7465.25,7574.0,7465.15,7561.0,470253
2017-07-14,7569.05,7588.9,7520.0,7560.9,267022
2017-07-17,7570.0,7576.25,7505.05,7508.1,286442
2017-07-18,7524.6,7590.0,7519.95,7538.0,386928
2017-07-19,7564.25,7584.0,7537.65,7555.55,223399
2017-07-20,7577.75,7584.5,7480.05,7495.0,289937
2017-07-21,7503.0,7549.9,7445.0,7529.0,434208
2017-07-24,7553.85,7569.0,7495.0,7535.05,356760
2017-07-25,7565.0,7571.15,7495.15,7500.0,322722
2017-07-26,7529.95,7595.0,7504.0,7576.0,377494
2017-07-27,7614.9,7683.4,7536.0,7571.5,1146830
2017-07-28,7614.65,7673.6,7584.0,7624.1,457757
2017-07-31,7662.65,7764.95,7651.6,7745.1,504372
2017-08-01,7757.35,7920.0,7725.0,7855.0,1094144
2017-08-02,7877.15,7880.0,7775.0,7776.9,413226
2017-08-03,7792.7,7829.0,7711.0,7750.0,286177
2017-08-04,7740.75,7804.9,7740.0,7775.0,323980
2017-08-07,7780.0,7892.35,7774.0,7845.0,326947
2017-08-08,7842.0,7885.0,7740.0,7762.0,319629
2017-08-09,7758.0,7795.0,7639.5,7654.95,284463
2017-08-10,7640.0,7640.0,7538.9,7604.9,385075
2017-08-11,7500.0,7530.75,7380.0,7480.0,676577
2017-08-14,7525.0,7647.0,7515.0,7594.95,327609
2017-08-16,7636.75,7715.0,7585.05,7714.0,487705
2017-08-17,7705.05,7708.0,7565.0,7575.0,320545
2017-08-18,7553.8,7623.9,7532.0,7594.9,332427
2017-08-21,7624.95,7658.05,7490.0,7502.0,276073
2017-08-22,7525.0,7567.5,7475.75,7507.85,277721
2017-08-23,7539.95,7589.9,7501.0,7570.0,257373
2017-08-24,7501.9,7635.0,7488.45,7609.95,435372
2017-08-28,7640.05,7644.95,7568.6,7575.2,389792
2017-08-29,7569.05,7575.55,7495.05,7505.0,367779
2017-08-30,7595.15,7638.3,7533.2,7557.0,468612
2017-08-31,7564.9,7720.0,7543.6,7719.95,586894
2017-09-01,7745.0,7834.9,7730.0,7807.0,625553
2017-09-04,7833.0,7875.0,7757.0,7804.95,361234
2017-09-05,7842.6,7855.95,7801.0,7817.0,181990
2017-09-06,7802.4,7904.0,7770.0,7851.35,339845
2017-09-07,7874.95,7948.0,7858.5,7920.0,388852
2017-09-08,7927.85,7979.4,7892.0,7968.0,340749
2017-09-11,8007.8,8168.0,8001.1,8144.0,545910
2017-09-12,8184.25,8184.25,8117.6,8136.3,386405
2017-09-13,8170.15,8199.8,8100.65,8110.45,370732
2017-09-14,8130.5,8164.8,8042.1,8071.3,293461
2017-09-15,8060.15,8116.4,8045.35,8107.0,399448
2017-09-18,8134.0,8185.0,8134.0,8168.0,218459
2017-09-19,8178.0,8184.95,8124.45,8143.9,245418
2017-09-20,8160.0,8160.0,8110.25,8118.5,185487
2017-09-21,8101.0,8170.85,8075.1,8170.0,257219
2017-09-22,8142.95,8175.0,8050.0,8058.0,365919
2017-09-25,8074.8,8089.0,7855.45,7978.15,625484
2017-09-26,7978.95,7978.95,7869.1,7879.0,445710
2017-09-27,7949.0,7977.45,7717.05,7735.0,563555
2017-09-28,7749.85,7910.0,7651.0,7902.3,767815
2017-09-29,7960.7,8005.0,7925.0,7984.0,484911
2017-10-03,8062.05,8062.05,7855.05,7867.15,513397
2017-10-04,7891.0,7933.0,7830.6,7843.0,300843
