date,open,high,low,close,volume
2017-07-03,157.6,159.5,155.9,159.1,6584013
2017-07-04,159.6,161.7,159.0,160.1,5352457
2017-07-05,160.05,163.5,159.95,163.0,5590109
2017-07-06,162.8,163.4,160.1,162.05,7107188
2017-07-07,161.5,162.0,159.1,159.1,5218155
2017-07-10,160.05,163.2,159.1,162.15,21476198595
2017-07-11,162.75,163.4,160.0,160.45,7974636
2017-07-12,161.1,165.85,161.05,163.15,12955799
2017-07-13,163.7,163.9,158.65,159.0,9018185
2017-07-14,159.7,160.0,157.65,158.5,7087171
2017-07-17,160.25,160.9,159.0,160.2,6536707
2017-07-18,160.35,162.0,159.4,161.85,5302676
2017-07-19,161.95,163.5,159.85,162.6,9774269
2017-07-20,163.0,167.85,162.5,165.5,15852380
2017-07-21,166.35,166.5,163.6,164.45,7072528
2017-07-24,164.95,164.95,161.7,163.25,10378212
2017-07-25,163.5,163.65,161.75,163.0,6509764
2017-07-26,164.1,164.6,163.4,164.0,9130571
2017-07-27,164.8,164.9,162.0,162.6,12323910
2017-07-28,161.6,165.4,160.25,165.0,10273785
2017-07-31,165.2,170.0,165.15,169.0,13872195
2017-08-01,170.0,170.0,166.8,167.05,6637194
2017-08-02,167.5,167.5,164.15,164.45,7737335
2017-08-03,164.85,166.75,163.15,166.1,6888861
2017-08-04,165.45,167.3,163.65,166.0,6300847
2017-08-07,166.3,167.05,165.1,165.5,3282171
2017-08-08,165.95,165.95,162.5,164.1,5972473
2017-08-09,163.95,166.1,162.5,165.15,5904516
2017-08-10,164.5,165.0,162.15,163.55,8393555
2017-08-11,161.4,162.0,158.55,159.4,5460799
2017-08-14,160.5,162.3,160.0,161.55,3881778
2017-08-16,161.7,161.7,159.5,160.85,6190889
2017-08-17,160.7,161.65,160.05,161.0,5178108
2017-08-18,160.15,161.65,159.5,160.85,5551631
2017-08-21,161.6,164.55,156.5,157.15,11107563
2017-08-22,158.5,160.4,157.5,159.5,5587908
2017-08-23,160.2,160.7,159.25,159.9,2336974
2017-08-24,160.2,160.35,159.05,159.5,3714699
2017-08-28,160.2,161.4,159.6,160.3,3672817
2017-08-29,159.8,159.8,157.0,157.3,7739295
2017-08-30,158.3,159.1,157.65,158.7,5205491
2017-08-31,160.35,160.6,156.05,156.9,16624263
2017-09-01,158.0,160.4,157.3,160.05,6497657
2017-09-04,159.4,162.25,159.1,161.4,4851256
2017-09-05,162.9,163.65,161.4,162.6,5807088
2017-09-06,162.1,163.8,161.9,162.2,3773107
2017-09-07,163.2,163.2,161.7,162.1,9090656
2017-09-08,162.4,163.3,159.35,162.0,10496804
2017-09-11,162.4,163.9,161.0,162.9,9438699
2017-09-12,163.5,163.5,161.5,162.05,10524960
2017-09-13,162.3,162.8,160.9,161.3,6994923
2017-09-14,161.6,162.5,158.25,159.5,15363309
2017-09-15,159.65,167.75,159.0,166.25,25400797
2017-09-18,167.15,167.75,164.8,165.25,8448855
2017-09-19,164.05,166.55,163.8,166.0,7028857
2017-09-20,166.7,170.9,164.5,167.95,12034991
2017-09-21,167.4,168.15,163.75,165.75,7173919
2017-09-22,164.6,165.2,163.35,164.5,10305816
2017-09-25,164.3,165.3,161.05,164.7,8926182
2017-09-26,166.5,172.4,166.35,170.25,19761110
2017-09-27,172.3,173.0,169.65,170.2,7403258
2017-09-28,168.75,173.35,166.75,170.9,14093622
2017-09-29,171.95,174.3,170.0,171.3,6406877
2017-10-03,173.15,173.55,170.0,170.35,5565446
2017-10-04,170.75,172.8,170.1,172.05,5078515
2017-10-05,172.4,172.4,170.8,171.4,3735812
2017-10-06,171.9,174.65,171.55,173.75,6116803
2017-10-09,173.0,173.45,170.45,170.6,2973340
2017-10-10,171.4,172.15,169.1,170.65,3104211
2017-10-11,171.2,172.1,168.0,168.3,4187432
2017-10-12,169.6,170.45,167.75,169.65,4867523
2017-10-13,169.85,170.35,168.3,169.65,5168474
2017-10-16,170.2,172.9,170.05,171.75,5084391
2017-10-17,171.7,171.9,170.0,171.2,6806891
2017-10-18,171.5,174.95,170.5,174.45,8597801987
2017-10-23,172.15,173.35,170.75,171.7,4126144
2017-10-24,173.0,177.2,171.1,176.1,11717430
2017-10-25,177.9,178.25,175.55,176.4,6093142
2017-10-26,176.4,179.95,175.9,176.95,15314154
2017-10-27,178.5,184.9,177.2,184.05,9934557
2017-10-30,187.7,191.2,186.0,186.35,16524683
2017-10-31,186.35,192.0,184.6,191.1,10674116
2017-11-01,192.0,193.1,190.15,190.85,5320336
2017-11-02,191.0,192.2,187.55,188.3,4006564
2017-11-03,187.15,192.4,186.35,191.65,7915324
2017-11-06,192.85,200.4,191.1,199.15,16347562
2017-11-07,202.5,205.4,192.9,193.8,20486386
2017-11-08,195.0,195.45,191.0,193.7,6250247
2017-11-09,193.95,195.0,185.85,189.25,7511998
2017-11-10,190.0,192.55,188.45,191.3,6026639
2017-11-13,189.95,189.95,183.55,184.25,6872155
2017-11-14,184.9,185.0,181.35,182.15,4656727
2017-11-15,180.6,180.5,175.9,178.0,7685652
2017-11-16,182.5,181.4,177.1,180.0,7218208
2017-11-17,182.4,183.45,177.2,177.7,6826649
2017-11-20,178.7,180.45,177.7,180.0,3992746
2017-11-21,180.9,182.0,178.2,181.35,5158471
2017-11-22,181.2,182.75,180.0,180.7,3206128
2017-11-23,181.9,182.75,180.55,181.15,3502784
2017-11-24,182.5,182.5,180.4,181.0,2336964
2017-11-27,182.35,184.45,181.65,184.05,6913269
2017-11-28,183.3,183.5,180.0,181.0,10695924
2017-11-29,181.0,184.15,181.0,182.15,5398801
2017-11-30,181.0,182.0,179.45,181.0,9628829
2017-12-01,182.0,183.05,179.0,180.0,3443125
2017-12-04,181.25,183.8,181.0,181.4,6331481
2017-12-05,180.1,180.7,177.3,178.05,4534851
2017-12-06,178.4,179.2,175.45,175.5,4188031
2017-12-07,175.55,177.35,175.35,176.95,4360660
2017-12-08,177.5,181.4,177.6,181.15,4824261
2017-12-11,181.95,181.95,177.75,179.1,2300594
2017-12-12,180.4,184.15,180.6,183.8,6960399
2017-12-13,183.7,187.0,183.1,184.0,11423018
2017-12-14,185.95,186.65,182.4,184.5,5862894
2017-12-15,185.15,186.1,182.3,183.15,7286846
2017-12-18,183.0,183.85,177.0,183.0,4770272
2017-12-19,183.05,186.0,183.5,185.4,4232368
2017-12-20,190.7,190.5,187.5,187.8,8744647
2017-12-21,188.9,189.6,187.1,187.95,3880972
2017-12-22,188.7,193.8,188.45,193.5,8901324
2017-12-26,194.85,197.15,192.7,193.55,11301407
2017-12-27,195.3,196.0,191.4,192.65,7240455
2017-12-28,193.15,194.3,192.05,192.65,12754845
2017-12-29,194.0,195.8,192.55,195.05,5886838
2018-01-01,195.2,195.6,192.0,192.0,5876990
2018-01-02,195.75,197.5,195.0,196.5,12839298
2018-01-03,197.4,196.65,193.0,193.65,8015509
2018-01-04,195.3,200.0,195.3,198.75,12718483
2018-01-05,200.95,200.45,196.3,197.75,6781864
2018-01-08,198.0,199.85,196.75,197.25,4848291
2018-01-09,198.5,198.95,196.5,196.85,4585759
2018-01-10,198.3,200.0,197.25,198.0,7641358
2018-01-11,198.0,199.7,197.0,197.55,5667801
2018-01-12,198.9,201.95,197.65,200.05,9276089
