date,open,high,low,close,volume
2017-10-03,735.0,738.0,702.0,713.3,35327368
2017-10-04,709.65,710.75,699.1,702.05,3606146
2017-10-05,704.2,704.5,686.3,695.0,2667287
2017-10-06,692.05,701.5,689.0,694.25,1412627
2017-10-09,695.0,702.5,694.3,695.5,950244
2017-10-10,698.35,701.1,696.0,698.0,553993
2017-10-11,699.95,703.0,686.8,689.0,1076748
2017-10-12,692.05,694.0,685.0,685.0,437830
2017-10-13,690.0,695.0,680.05,691.25,1342614
2017-10-16,687.95,689.45,669.05,669.75,971150
2017-10-17,670.9,674.0,669.05,671.25,663127
2017-10-18,671.25,672.1,664.15,668.4,23694014665
2017-10-23,674.0,674.0,665.0,665.8,292330
2017-10-24,663.8,671.45,663.15,670.0,349211
2017-10-25,669.8,673.45,658.1,668.05,582281
2017-10-26,667.65,669.0,660.5,665.0,241599
2017-10-27,663.2,666.05,659.0,663.0,396082
2017-10-30,664.05,665.0,649.9,655.45,1162679
2017-10-31,656.0,668.9,656.0,656.85,1400612
2017-11-01,664.0,664.5,642.55,644.0,858654
2017-11-02,647.05,653.6,641.2,643.5,572931
2017-11-03,643.05,653.0,641.1,643.0,671473
2017-11-06,642.65,659.9,642.65,655.0,481753
2017-11-07,659.0,657.1,639.85,643.0,762818
2017-11-08,649.0,647.95,629.05,632.0,842646
2017-11-09,633.0,670.1,635.0,658.6,355651
2017-11-10,655.1,679.2,658.1,674.0,783401
2017-11-13,665.0,680.8,663.0,664.7,191668
2017-11-14,655.2,667.75,654.0,659.55,349797
2017-11-15,650.1,660.0,644.4,648.5,268692
2017-11-16,648.6,659.15,642.8,649.0,261155
2017-11-17,653.0,663.4,645.1,655.9,3200045
2017-11-20,657.3,664.8,656.5,661.3,711916
2017-11-21,660.0,696.25,660.05,688.5,2044571
2017-11-22,689.0,698.95,682.3,693.5,667873
2017-11-23,689.0,685.0,664.0,667.0,826489
2017-11-24,668.0,670.45,655.0,656.0,597878
2017-11-27,655.55,662.7,651.85,653.0,239143
2017-11-28,653.0,666.95,652.0,654.0,268718
2017-11-29,654.05,658.0,650.8,656.0,258283
2017-11-30,665.95,664.0,654.05,655.5,315138
2017-12-01,658.0,658.0,652.25,656.0,86399
2017-12-04,660.0,665.75,653.25,661.8,161970
2017-12-05,660.0,661.95,653.55,659.25,125401
2017-12-06,654.05,660.0,654.25,655.0,210602
2017-12-07,655.1,670.0,651.0,667.1,278890
2017-12-08,664.05,689.9,666.7,682.6,480265
2017-12-11,680.0,682.7,671.05,671.2,121486
2017-12-12,671.05,682.0,671.1,675.55,121601
2017-12-13,671.05,682.0,657.0,678.9,259019
2017-12-14,675.1,683.0,673.3,680.35,443635
2017-12-15,680.5,690.25,678.0,690.0,351245
2017-12-18,681.45,693.9,665.0,690.0,258903
2017-12-19,688.1,699.9,688.1,697.3,343098
2017-12-20,692.15,703.75,693.05,695.0,531390
2017-12-21,693.3,704.4,696.95,698.0,259217
2017-12-22,694.0,703.9,694.0,702.5,388668
2017-12-26,702.75,707.8,697.2,700.0,271273
2017-12-27,700.0,702.0,695.1,699.85,163738
2017-12-28,697.0,703.0,690.55,695.05,268891
2017-12-29,695.45,705.0,693.0,695.25,667074
2018-01-01,694.0,703.0,694.0,700.25,174351
2018-01-02,699.5,699.95,680.1,682.9,341784
2018-01-03,685.05,695.0,680.25,694.6,125290
2018-01-04,694.6,702.2,690.0,700.05,411594
2018-01-05,700.0,704.9,699.0,701.0,195359
2018-01-08,692.0,706.85,695.05,705.1,309190
2018-01-09,700.15,719.95,701.05,711.75,604785
2018-01-10,714.85,715.0,706.1,709.95,296758
2018-01-11,707.0,714.7,699.0,701.5,113008
2018-01-12,703.8,709.0,700.0,701.45,93325
2018-01-15,701.5,724.6,701.75,715.0,764019
2018-01-16,716.0,716.0,696.05,700.9,337975
2018-01-17,696.0,714.8,691.65,704.0,231984
2018-01-18,706.6,712.0,700.25,705.0,322914
2018-01-19,705.05,713.85,701.45,710.0,292995
2018-01-22,704.1,717.0,701.85,716.55,464322
2018-01-23,710.0,722.0,712.0,715.2,398645
2018-01-24,711.2,714.3,698.0,700.5,199478
2018-01-25,702.5,706.75,661.15,683.0,424203
2018-01-29,682.0,689.45,680.0,683.0,143117
2018-01-30,681.7,681.7,663.9,667.95,338611
2018-01-31,670.0,681.5,654.3,660.0,323838
2018-02-01,665.0,721.3,660.8,708.0,1534269
2018-02-02,708.4,732.55,691.2,714.0,1766771
2018-02-05,716.45,714.95,690.1,693.9,349539
2018-02-06,670.0,705.0,666.0,692.0,397446
2018-02-07,700.05,715.0,702.0,714.0,314173
2018-02-08,717.1,720.0,711.05,714.0,159162
2018-02-09,700.0,717.65,703.5,710.0,158361
2018-02-12,709.0,718.0,681.65,687.0,688838
2018-02-14,689.0,695.0,679.5,684.0,311685
2018-02-15,685.0,693.75,673.2,683.0,281738
2018-02-16,688.0,694.55,685.75,692.0,226713
2018-02-19,700.0,705.0,678.95,685.5,404053
2018-02-20,687.0,690.0,670.0,673.75,171557
2018-02-21,680.0,682.95,662.45,675.1,425352
2018-02-22,675.0,675.4,664.0,665.7,235059
2018-02-23,670.0,679.4,666.15,675.0,288281
2018-02-26,680.0,689.75,674.25,674.85,271353
2018-02-27,681.5,690.8,676.1,689.4,219392
2018-02-28,689.4,698.55,682.1,692.0,360078
2018-03-01,695.9,696.0,686.0,689.5,272436
2018-03-05,689.0,689.0,667.9,675.8,301108
2018-03-06,678.0,681.4,651.0,652.0,245036
2018-03-07,657.0,659.85,651.1,654.5,191993
2018-03-08,653.6,659.45,647.0,648.0,113442
2018-03-09,657.5,674.4,650.55,670.0,483422
2018-03-12,670.2,689.9,668.9,680.1,162536
2018-03-13,677.0,685.0,673.05,681.0,72923
2018-03-14,673.0,683.25,667.5,675.0,305275
2018-03-15,672.5,676.75,671.05,676.45,140673
2018-03-16,675.0,677.35,666.0,672.5,149955
2018-03-19,666.45,681.8,666.45,675.1,137148
2018-03-20,670.95,688.0,668.4,688.0,167210
2018-03-21,686.95,691.0,670.55,675.0,395670
2018-03-22,673.65,679.0,662.05,668.9,147081
2018-03-23,660.0,673.9,658.0,664.0,224368
2018-03-26,662.6,669.45,659.0,663.15,185807
2018-03-27,668.0,680.8,666.05,668.0,368926
2018-03-28,668.9,711.0,664.0,681.0,444659
2018-04-02,682.0,695.0,681.05,682.95,262731
2018-04-03,683.9,685.5,675.0,680.4,783581
2018-04-04,681.05,690.95,677.1,677.1,520403
2018-04-05,680.5,687.65,674.15,675.0,514612
2018-04-06,679.65,685.0,674.0,679.5,666855
2018-04-09,675.55,685.0,675.0,677.8,886140
2018-04-10,678.0,699.95,679.55,697.0,955268
2018-04-11,691.0,720.0,691.0,718.5,714157
2018-04-12,713.55,724.7,712.0,715.1,664300
2018-04-13,714.0,720.0,706.35,718.05,681108
2018-04-16,702.0,712.5,702.0,711.45,389399
2018-04-17,710.0,723.0,708.2,720.05,307348
2018-04-18,715.9,724.5,713.05,724.0,241426
2018-04-19,716.05,724.95,713.9,723.25,228209
2018-04-20,718.0,721.95,710.1,716.5,114600
2018-04-23,712.1,725.0,712.1,721.05,523192
2018-04-24,717.0,755.0,714.95,753.0,1179112
2018-04-25,749.9,768.8,746.05,766.5,1759591
2018-04-26,767.0,771.05,742.65,750.65,1351168
2018-04-27,750.0,774.6,745.0,754.5,699016
2018-04-30,756.0,762.85,732.0,741.0,448216
2018-05-02,736.5,757.65,736.5,742.0,513610
2018-05-03,746.55,752.05,716.25,721.0,258757
2018-05-04,725.0,728.95,700.1,700.7,404678
2018-05-07,704.0,714.6,696.3,704.2,291353
2018-05-08,708.9,708.9,692.25,702.65,256255
2018-05-09,704.9,709.0,691.0,705.2,1770781
2018-05-10,702.9,719.0,693.0,715.95,586423
2018-05-11,711.05,715.9,696.05,697.15,402372
2018-05-14,702.0,704.55,688.0,691.0,225979
2018-05-15,690.0,699.0,672.2,679.05,579084
2018-05-16,674.0,683.0,665.05,667.9,631740
2018-05-17,670.1,679.7,665.5,670.0,202956
2018-05-18,669.0,673.7,663.05,666.25,224360
2018-05-21,663.0,706.7,647.0,655.85,297161
2018-05-22,656.0,670.0,655.9,662.0,403516
2018-05-23,664.8,684.0,659.3,675.0,355449
2018-05-24,673.65,686.85,671.6,674.5,74950
2018-05-25,675.0,688.0,673.05,683.5,91315
2018-05-28,681.75,698.35,679.9,685.5,824006
2018-05-29,680.4,702.5,680.0,694.9,1042233
2018-05-30,694.5,698.8,685.1,692.9,208356
2018-05-31,690.35,698.25,670.55,689.4,205224
2018-06-01,688.9,692.65,673.65,674.45,250135
2018-06-04,676.2,680.0,658.5,660.05,635580
2018-06-05,660.05,672.8,660.0,669.0,189313
2018-06-06,669.0,686.4,662.0,681.15,174054
2018-06-07,689.95,697.0,681.1,692.0,339188
2018-06-08,685.5,696.9,681.55,692.4,231250
2018-06-11,688.5,714.0,688.2,712.55,871815
2018-06-12,708.2,729.9,708.2,720.2,677900
2018-06-13,715.7,729.9,700.0,701.0,584261
2018-06-14,701.95,701.95,686.0,689.5,463505
2018-06-15,685.35,689.1,668.1,674.5,4171830
2018-06-18,676.7,684.05,670.0,670.0,158646
2018-06-19,667.0,680.0,667.0,674.0,381625
2018-06-20,673.45,686.0,673.45,677.7,294356
2018-06-21,676.2,685.75,675.0,675.5,192612
2018-06-22,678.8,692.5,678.8,684.95,157725
2018-06-25,686.0,698.9,677.7,689.0,173140
2018-06-26,689.75,694.35,678.4,681.55,140962
2018-06-27,681.55,688.85,674.5,679.0,216785
2018-06-28,681.1,681.1,658.05,674.0,254865
2018-06-29,666.0,685.0,666.0,675.3,162250
2018-07-02,675.3,683.85,660.85,671.0,125258
2018-07-03,670.5,674.4,665.65,670.0,84280
2018-07-04,668.0,672.0,661.4,663.2,133864
2018-07-05,670.0,670.5,663.0,663.0,134049
2018-07-06,669.8,670.0,664.25,667.5,166563
2018-07-09,665.0,670.0,660.75,664.6,133585
2018-07-10,669.7,669.7,660.0,660.9,330181
2018-07-11,659.95,664.05,659.95,663.0,293942
2018-07-12,664.25,667.35,661.4,664.0,138210
2018-07-13,662.0,665.0,659.0,661.0,98175
2018-07-16,661.1,661.55,655.0,655.0,55432
2018-07-17,655.2,666.0,654.5,666.0,56921
2018-07-18,667.0,668.0,640.0,653.9,273084
2018-07-19,650.0,656.95,631.0,631.5,189959
2018-07-20,632.0,638.0,628.0,635.8,295396
2018-07-23,633.5,657.2,630.0,657.0,127782
2018-07-24,652.5,658.15,647.4,650.0,98513
2018-07-25,655.7,664.8,651.1,661.0,309552
2018-07-26,663.0,682.0,658.25,670.0,348898
2018-07-27,684.8,697.7,672.65,694.95,376641
2018-07-30,694.05,703.55,684.5,688.4,111513
2018-07-31,683.2,711.7,682.55,689.75,300197
2018-08-01,691.1,708.25,686.95,696.7,141371
2018-08-02,691.2,705.0,685.55,694.95,156514
2018-08-03,704.0,704.0,686.0,688.7,86429
2018-08-06,691.0,697.4,680.1,687.05,137427
