date,open,high,low,close,volume
2017-07-03,47.12,47.78,46.97,47.58,55595550
2017-07-04,47.62,47.89,47.03,47.18,43394740
2017-07-05,47.03,47.72,47.03,47.54,40768020
2017-07-06,47.53,48.14,47.44,47.87,56139620
2017-07-07,47.73,47.93,47.59,47.71,35348810
2017-07-10,48.22,48.51,47.43,48.24,185519015720
2017-07-11,48.43,48.54,47.96,48.05,42388420
2017-07-12,48.25,48.47,47.94,48.21,34982220
2017-07-13,48.82,48.89,48.39,48.7,36477120
2017-07-14,48.79,48.8,48.09,48.33,40369560
2017-07-17,48.51,48.68,48.12,48.34,20979670
2017-07-18,48.14,49.15,48.14,48.59,29680570
2017-07-19,48.72,49.44,48.66,49.41,28332240
2017-07-20,48.43,48.7,48.05,48.16,28015870
2017-07-21,48.2,48.2,46.96,47.68,28433930
2017-07-24,47.86,47.86,47.28,47.31,18647000
2017-07-25,47.4,47.86,47.4,47.75,24476500
2017-07-26,47.94,49.06,47.9,48.87,61117780
2017-07-27,48.94,49.11,48.21,48.47,34669200
2017-07-28,48.36,48.36,47.38,47.68,20798420
2017-07-31,47.86,49.35,47.86,49.03,48556110
2017-08-01,49.21,49.69,49.12,49.32,43825710
2017-08-02,49.55,49.56,48.85,49.05,25778500
2017-08-03,48.9,49.1,48.17,48.35,28356820
2017-08-04,48.31,50.15,48.31,50.15,29020010
2017-08-07,50.58,51.97,50.53,51.91,94754670
2017-08-08,52.63,54.03,52.42,53.04,171867900
2017-08-09,53.25,53.58,52.05,52.27,44690850
2017-08-10,52.2,53.08,51.67,52.39,66269580
2017-08-11,51.74,52.34,51.08,51.83,74041250
2017-08-14,52.38,54.04,52.38,53.9,73684700
2017-08-16,54.0,54.65,53.62,54.61,63204790
2017-08-17,54.77,54.95,53.91,54.05,39721460
2017-08-18,53.74,54.31,53.57,54.28,29262100
2017-08-21,54.59,55.17,53.49,53.64,35895630
2017-08-22,54.34,54.34,53.1,53.67,31736470
2017-08-23,53.85,54.98,53.26,54.88,33772480
2017-08-24,55.03,55.33,54.5,55.12,42307940
2017-08-28,55.31,55.52,54.58,54.82,30716440
2017-08-29,54.86,55.32,54.25,54.39,29699130
2017-08-30,54.82,55.4,54.79,55.08,30390500
2017-08-31,55.06,55.53,54.61,55.11,56220150
2017-09-01,55.22,56.39,55.21,56.23,53083950
2017-09-04,56.23,56.29,55.42,55.87,20772400
2017-09-05,55.96,56.53,55.96,56.33,27340630
2017-09-06,55.91,56.67,55.77,56.47,23467320
2017-09-07,56.63,56.71,56.19,56.4,21598390
2017-09-08,56.53,57.33,56.31,56.32,40631130
2017-09-11,56.76,57.34,56.38,57.27,27675110
2017-09-12,58.45,59.86,58.43,58.82,88678690
2017-09-13,58.82,59.04,58.37,58.85,20279130
2017-09-14,58.71,59.06,58.06,58.54,16416110
2017-09-15,58.27,58.86,58.03,58.44,27940590
2017-09-18,58.72,58.72,57.97,58.01,19732970
2017-09-19,58.2,58.85,58.14,58.45,31975840
2017-09-20,58.41,59.76,58.27,59.35,75793940
