date,open,high,low,close,volume
2017-07-03,560.7,572.67,560.7,572.33,1555096
2017-07-04,573.33,573.33,563.4,566.57,843450
2017-07-05,565.13,571.23,564.07,569.27,878905
2017-07-06,568.73,570.33,562.2,562.4,1398138
2017-07-07,564.03,567.47,560.57,567.27,1040629
2017-07-10,574.57,574.57,565.33,568.0,32212448825
2017-07-11,567.33,575.97,566.03,568.63,1651555
2017-07-12,568.13,583.27,568.13,577.2,2794370
2017-07-13,580.03,582.6,572.7,576.33,2416310
2017-07-14,575.77,584.57,571.37,576.67,1229705
2017-07-17,576.67,581.17,572.0,574.67,647495
2017-07-18,571.4,579.0,568.63,569.07,1553427
2017-07-19,571.83,575.33,569.4,572.0,1037156
2017-07-20,573.3,575.1,569.7,570.67,709949
2017-07-21,570.63,578.5,570.33,574.0,1848299
2017-07-24,574.87,582.43,571.93,579.5,1404959
2017-07-25,580.03,594.7,578.93,589.5,4216216
2017-07-26,591.3,599.67,580.8,583.33,4455782
2017-07-27,585.27,588.2,576.67,577.8,1365827
2017-07-28,572.37,583.83,572.37,578.97,980065
2017-07-31,580.67,592.0,578.4,582.77,3029680
2017-08-01,585.4,601.67,584.03,596.67,2548739
2017-08-02,598.6,600.3,590.73,591.87,1424511
2017-08-03,593.63,597.97,585.37,588.6,1421336
2017-08-04,589.33,592.6,585.73,591.33,1143777
2017-08-07,592.03,595.93,582.1,586.3,996955
2017-08-08,588.6,588.67,573.8,575.67,990378
2017-08-09,574.67,574.67,548.03,555.33,1816707
2017-08-10,555.27,559.6,526.4,550.0,1914208
2017-08-11,541.3,553.17,529.77,542.0,1889190
2017-08-14,546.0,576.7,546.0,574.0,1519635
2017-08-16,572.63,585.93,566.17,566.67,1794469
2017-08-17,572.0,576.47,564.0,569.5,1328344
2017-08-18,568.47,572.63,561.27,563.67,905490
2017-08-21,565.93,566.67,536.83,539.2,2101692
2017-08-22,541.33,551.0,528.67,533.33,2008974
2017-08-23,536.07,544.43,534.33,544.0,1157220
2017-08-24,547.77,557.8,540.57,555.2,1310874
2017-08-28,556.37,561.73,551.7,557.4,1094527
2017-08-29,564.33,570.77,556.93,558.7,1593446
2017-08-30,563.33,564.6,558.73,559.5,1768134
2017-08-31,560.67,561.83,548.73,554.57,2292677
2017-09-01,554.7,560.13,550.0,553.33,1430651
2017-09-04,554.67,558.0,538.87,544.7,1443560
2017-09-05,544.0,548.13,541.33,547.7,935573
2017-09-06,540.83,551.73,540.77,549.3,868783
2017-09-07,551.93,552.57,547.33,549.23,796829
2017-09-08,549.33,554.93,540.67,542.0,1712027
2017-09-11,546.57,549.33,539.87,540.33,1253421
2017-09-12,545.13,547.47,542.07,542.93,1428686
2017-09-13,547.13,551.63,538.77,541.07,1378460
2017-09-14,541.33,549.27,541.07,546.33,1258807
2017-09-15,545.33,555.33,545.0,552.0,2780315
2017-09-18,556.03,562.6,553.6,556.37,1262633
2017-09-19,558.03,561.4,554.27,556.83,740178
2017-09-20,559.73,561.97,550.87,552.93,1378544
2017-09-21,553.83,555.97,541.83,546.67,835845
2017-09-22,543.73,545.5,535.33,537.33,1396819
2017-09-25,539.37,539.37,515.33,522.67,2191211
2017-09-26,521.33,522.33,509.13,519.0,2598858
2017-09-27,523.93,528.6,510.27,510.6,2152976
2017-09-28,514.47,518.3,503.53,508.0,10695190
2017-09-29,512.63,526.13,512.17,518.73,2933465
2017-10-03,525.27,532.23,513.0,529.4,2231847
2017-10-04,531.4,535.63,523.47,527.0,1210333
2017-10-05,528.0,529.07,520.77,522.83,1491330
2017-10-06,524.67,531.33,519.07,528.67,1950784
2017-10-09,531.87,535.1,526.87,528.5,1137930
2017-10-10,528.6,549.33,528.6,549.13,3996044
2017-10-11,551.4,554.67,534.0,541.33,2330680
2017-10-12,541.33,545.0,536.7,539.67,933100
2017-10-13,541.23,544.4,533.53,534.33,1222783
2017-10-16,536.67,543.97,536.1,543.87,1536966
2017-10-17,541.8,541.87,534.0,537.33,972730
2017-10-18,537.33,540.47,524.57,526.23,13310483727
2017-10-23,527.97,533.6,512.93,518.9,10020513498
2017-10-24,521.93,534.87,518.7,531.23,1737968
2017-10-25,536.67,536.83,527.0,531.67,1448170
2017-10-26,536.57,544.47,530.83,543.43,3461749
2017-10-27,546.0,556.37,543.77,554.0,2763586
2017-10-30,558.0,566.47,544.57,551.27,6271929
2017-10-31,550.17,557.0,529.6,533.67,3835683
2017-11-01,533.0,536.17,518.0,521.33,4018820
2017-11-02,523.13,529.3,518.17,519.63,2464195
2017-11-03,520.17,523.07,514.93,517.1,1320487
2017-11-06,518.43,521.2,506.8,507.37,2019498
2017-11-07,507.93,509.33,490.33,491.3,4246841
2017-11-08,494.67,496.93,486.47,492.47,4803142
2017-11-09,496.0,503.6,492.7,498.6,3184604
2017-11-10,496.53,498.0,487.33,488.7,1675486
2017-11-13,489.13,496.47,483.13,493.33,1938598
2017-11-14,494.0,502.5,492.67,494.93,1286268
2017-11-15,497.67,496.67,477.87,480.83,1305928
2017-11-16,480.73,490.63,479.4,487.47,1487295
2017-11-17,490.63,494.47,481.93,482.17,1438573
2017-11-20,484.67,488.33,480.67,486.17,830904
2017-11-21,488.0,504.0,487.37,503.33,2933069
2017-11-22,506.67,506.67,495.47,497.4,1660655
2017-11-23,496.67,504.0,492.87,499.43,1769124
2017-11-24,501.3,503.9,494.13,496.33,1914550
2017-11-27,493.43,506.53,493.7,502.0,3980764
2017-11-28,505.87,512.5,502.6,507.77,3480991
