date,open,high,low,close,volume
2017-07-03,830.88,842.5,827.5,842.5,79021
2017-07-04,842.2,843.53,823.67,830.55,60318
2017-07-05,837.47,860.3,831.5,857.55,73837
2017-07-06,862.62,871.45,858.0,861.0,67679
2017-07-07,861.7,866.85,848.5,850.0,55822
2017-07-10,850.0,858.47,846.28,850.0,8589973993
2017-07-11,854.7,857.35,840.53,854.0,84280
2017-07-12,854.47,854.47,840.08,847.03,30117
2017-07-13,849.2,859.88,843.75,850.0,56059
2017-07-14,840.03,850.0,837.0,837.0,62291
2017-07-17,838.0,848.0,828.65,837.1,27382
2017-07-18,837.38,844.45,821.67,823.5,56086
2017-07-19,826.0,829.47,815.45,820.0,31259
2017-07-20,826.2,826.2,816.5,820.0,23288
2017-07-21,823.2,823.2,806.92,815.0,61410
2017-07-24,816.1,821.55,805.05,807.42,28117
2017-07-25,814.7,837.0,803.0,834.0,126569
2017-07-26,835.0,837.1,806.05,817.0,165614
2017-07-27,814.7,816.67,791.67,800.0,219748
2017-07-28,798.2,817.65,793.45,805.53,37499
2017-07-31,804.58,819.95,804.58,817.95,37108
2017-08-01,815.58,817.47,797.5,798.0,45591
2017-08-02,802.05,815.0,785.0,808.62,123093
2017-08-03,809.0,809.72,794.62,797.0,42406
2017-08-04,793.92,804.0,786.03,795.0,42445
2017-08-07,797.5,829.5,797.5,824.5,93718
2017-08-08,829.5,831.5,803.03,810.12,46139
2017-08-09,808.95,808.95,790.28,792.03,46164
2017-08-10,790.08,803.03,754.92,765.0,72752
2017-08-11,750.3,765.0,728.35,754.97,64840
2017-08-14,766.5,774.72,758.1,765.0,19483
2017-08-16,765.58,781.83,752.25,779.33,43251
2017-08-17,779.17,779.97,760.5,762.97,21712
2017-08-18,760.0,760.0,740.0,744.5,48565
2017-08-21,747.5,752.0,728.0,728.5,59041
2017-08-22,737.0,750.0,719.0,740.0,73197
2017-08-23,747.2,799.75,728.17,790.53,590560
2017-08-24,797.88,798.0,780.83,787.78,85344
2017-08-28,788.0,789.53,767.53,768.1,86192
2017-08-29,767.5,793.5,756.58,770.53,96454
2017-08-30,774.0,787.35,774.0,778.03,29216
2017-08-31,786.0,795.0,777.5,788.0,103199
2017-09-01,791.5,827.5,791.5,824.72,154973
2017-09-04,824.5,824.5,802.05,807.0,62046
2017-09-05,811.5,824.88,809.83,815.62,62876
2017-09-06,810.2,810.35,801.0,803.5,29541
2017-09-07,810.08,824.65,808.47,819.92,84022
2017-09-08,819.92,822.42,808.08,812.75,33957
2017-09-11,816.03,847.5,815.92,838.5,92687
2017-09-12,844.45,848.97,835.05,845.95,66370
2017-09-13,851.5,857.5,823.55,840.0,138802
2017-09-14,840.5,842.7,831.4,836.72,39348
2017-09-15,835.0,847.22,822.58,834.9,106669
2017-09-18,840.8,877.0,828.03,873.33,138483
2017-09-19,874.97,882.35,856.78,858.0,119126
2017-09-20,873.83,879.45,855.03,858.47,79977
2017-09-21,853.92,863.0,841.0,847.45,59835
2017-09-22,851.0,860.75,830.9,832.03,69838
2017-09-25,830.0,844.72,795.55,826.0,91348
2017-09-26,825.5,851.75,819.25,845.25,46970
2017-09-27,846.03,854.5,827.62,832.5,120693
2017-09-28,834.0,861.72,825.45,850.38,119146
2017-09-29,855.0,861.9,840.58,852.5,130065
2017-10-03,859.97,860.53,843.5,843.5,89602
2017-10-04,849.67,849.67,833.03,834.95,67890
2017-10-05,837.35,841.0,820.8,834.0,51238
2017-10-06,831.12,858.2,830.3,850.65,101264
2017-10-09,856.9,858.53,840.28,844.0,46522
2017-10-10,848.38,855.0,841.03,845.03,39754
2017-10-11,851.5,863.42,830.58,835.9,102010
2017-10-12,847.35,862.97,836.62,857.5,72219
2017-10-13,862.42,877.5,852.05,863.5,118147
2017-10-16,864.0,867.35,856.03,858.1,36790
2017-10-17,862.15,869.0,853.8,863.28,45861
2017-10-18,864.95,871.42,857.5,862.65,45596
2017-10-23,846.12,859.5,842.5,849.65,8422242122
2017-10-24,853.5,853.5,834.17,839.33,59517
2017-10-25,848.97,849.0,812.47,822.5,89232
2017-10-26,820.0,840.0,805.0,815.75,412288
2017-10-27,820.42,836.9,817.5,824.17,44703
2017-10-30,826.0,841.4,826.0,841.0,43799
2017-10-31,841.05,857.5,834.0,855.92,159350
2017-11-01,856.62,872.5,856.62,872.5,79495
2017-11-02,874.5,887.4,870.25,877.0,58527
2017-11-03,880.85,888.12,862.5,871.72,86416
2017-11-06,873.9,911.95,871.5,909.83,98845
2017-11-07,919.85,932.95,893.28,930.0,123536
2017-11-08,928.5,928.5,870.0,895.08,170063
