date,open,high,low,close,volume
2017-07-03,68458.5,71250.0,68201.0,71110.0,16727
2017-07-04,71260.0,71500.0,70029.7,70105.0,10968
2017-07-05,70401.0,71120.4,70259.9,70770.0,8282
2017-07-06,70984.0,71450.0,70005.0,70005.1,12194
2017-07-07,70801.7,70801.7,69600.0,69702.0,10185
2017-07-10,69839.0,70450.0,69403.0,69500.0,25769805287
2017-07-11,69993.9,70079.9,68871.5,69200.0,9253
2017-07-12,69201.0,70295.0,68800.0,70000.0,10271
2017-07-13,70016.6,70400.0,69528.7,69765.0,6469
2017-07-14,69999.9,70000.0,69150.0,69545.0,5389
2017-07-17,69662.0,70270.0,69100.0,69911.0,8379
2017-07-18,69788.9,70350.0,69600.0,69730.0,7080
2017-07-19,69930.5,70770.0,69710.0,70230.0,16336
2017-07-20,70148.0,70499.4,69027.0,69099.0,7177
2017-07-21,69375.0,69721.0,68700.0,68898.0,11177
2017-07-24,69199.0,69340.0,68750.0,68750.0,6294
2017-07-25,69377.0,70654.0,69050.0,70200.0,16371
2017-07-26,70388.0,70554.3,69820.0,69911.0,8624
2017-07-27,70200.0,70300.0,68510.0,68660.0,8513
2017-07-28,68660.0,69684.8,68501.0,69119.0,8215
2017-07-31,69120.7,69974.0,69000.0,69082.4,8837
2017-08-01,69330.0,69665.6,69001.0,69274.0,7471
2017-08-02,69276.1,70999.8,69276.1,70640.0,17210
2017-08-03,70600.0,70846.8,68907.1,69139.0,14560
2017-08-04,68410.1,68448.8,65293.3,67200.0,47787
2017-08-07,67000.0,68182.3,66506.1,67799.0,23441
2017-08-08,67900.0,68091.4,66601.0,66750.0,11951
2017-08-09,67000.0,67000.0,65501.0,65802.0,10481
2017-08-10,65700.0,66365.6,63400.0,64350.0,14430
2017-08-11,63250.0,65096.7,62382.1,63715.0,16947
2017-08-14,64400.0,64873.7,63601.1,63650.0,11830
2017-08-16,64525.0,65987.0,63300.0,65987.0,15531
2017-08-17,65920.5,66395.0,64301.0,64666.0,11255
2017-08-18,64452.0,64452.0,63501.0,63559.5,12619
2017-08-21,63798.2,64770.0,63002.0,63130.0,8759
2017-08-22,63498.8,63999.9,62450.0,62570.0,14307
2017-08-23,62999.0,63240.6,62600.0,62700.0,12454
2017-08-24,63248.0,63349.5,62611.0,63100.0,7850
2017-08-28,63350.0,63350.0,62661.5,62895.0,7897
2017-08-29,62820.1,63199.0,62400.0,62800.0,12673
2017-08-30,63200.0,63299.9,62655.6,62800.0,5027
2017-08-31,63179.9,64234.9,62850.0,64200.0,11808
2017-09-01,64090.0,65496.9,64090.0,65199.0,9055
2017-09-04,65290.0,65357.0,63950.0,64150.0,8611
2017-09-05,64474.3,64999.0,64238.2,64630.0,6746
2017-09-06,64260.0,65330.0,63709.2,64830.0,13550
2017-09-07,65269.9,65350.0,64102.0,64370.0,5001
2017-09-08,64505.0,64799.9,63671.0,63723.0,7510
2017-09-11,64199.9,64799.0,64020.0,64655.0,8276
2017-09-12,64893.8,65545.0,64650.1,65300.0,10372
2017-09-13,65650.0,65650.0,64101.0,64425.2,8612
2017-09-14,64430.0,64599.8,63705.0,63800.0,6507
2017-09-15,63999.9,64750.0,63555.0,64600.0,12602
2017-09-18,64698.0,65300.0,64648.1,64980.0,20019
2017-09-19,64648.0,65248.0,64003.1,64060.0,9225
2017-09-20,65101.0,65600.0,63933.1,64000.5,15420
2017-09-21,64438.0,64447.8,63152.6,63311.0,8697
2017-09-22,63877.2,63928.9,62650.0,62700.0,16968
2017-09-25,62950.0,63360.6,61251.1,63200.0,15430
2017-09-26,62799.9,63000.0,62210.1,62500.0,11496
2017-09-27,62720.0,62999.0,61501.0,61505.0,6843
2017-09-28,61790.0,62200.0,61059.4,61901.1,15811
2017-09-29,62051.0,63940.0,62051.0,63220.0,25174
2017-10-03,63599.0,64000.0,63208.8,63404.4,14553
2017-10-04,63749.0,63752.1,62750.0,63123.0,9059
2017-10-05,63298.0,63666.0,62884.6,63250.0,13632
2017-10-06,63349.9,64620.0,63207.9,64351.5,10322
2017-10-09,64550.0,65000.5,64195.4,64700.0,6733
2017-10-10,65000.0,65300.0,64510.1,64695.8,4691
2017-10-11,64949.9,64970.0,63269.6,63449.0,8363
2017-10-12,63800.1,64000.0,63460.0,63884.0,5258
2017-10-13,63800.1,63918.7,63500.0,63650.0,5172
2017-10-16,63602.0,64003.9,63101.0,63600.0,7697
2017-10-17,63700.0,64190.0,63328.1,63777.1,4414
2017-10-18,63765.0,64000.0,63516.4,63670.4,3556
2017-10-23,63233.1,63600.0,62501.1,63490.6,12588
2017-10-24,63450.0,63574.0,62981.1,63116.1,7736
2017-10-25,63315.0,63498.9,62910.5,63047.0,4014
2017-10-26,63197.9,63500.0,62811.9,63330.0,5874
2017-10-27,63300.0,64999.0,63210.7,64820.0,10762
2017-10-30,65002.1,67342.8,65002.1,66700.0,15464
2017-10-31,66775.0,67222.0,65715.0,66500.0,7386
2017-11-01,66789.9,66999.0,65852.0,66300.0,6268
2017-11-02,66011.2,66719.9,65590.0,65700.0,4250
2017-11-03,65726.9,66739.7,65726.9,66500.0,5356
2017-11-06,66500.0,67800.0,65911.0,67600.0,9301
2017-11-07,67650.0,67810.0,65521.9,65570.0,8901
2017-11-08,65900.0,66341.6,65000.0,65200.0,5114
2017-11-09,65398.8,65800.0,64836.0,65000.0,4117
2017-11-10,64995.0,67749.0,63620.5,67335.0,39919
2017-11-13,66812.2,69000.0,66800.0,68250.0,20013
2017-11-14,68624.9,68621.0,67428.0,67700.0,5467
2017-11-15,68300.0,69655.2,67687.5,68481.0,18800
2017-11-16,68500.0,69956.0,68607.0,69849.0,12699
2017-11-17,70000.0,70500.0,69195.6,69332.6,10971
2017-11-20,69437.4,69869.9,68476.0,68700.0,4113
