date,open,high,low,close,volume
2017-07-03,431.0,434.6,426.45,429.95,6214283
2017-07-04,434.55,436.35,426.0,426.5,5002855
2017-07-05,428.9,433.95,427.5,432.5,5042080
2017-07-06,434.85,438.8,433.95,436.85,4024809
2017-07-07,434.15,441.45,432.25,436.7,5293693
2017-07-10,436.7,448.0,436.7,447.0,21475945795
2017-07-11,451.45,462.25,451.2,456.55,12031725
2017-07-12,460.9,463.75,456.7,461.75,6037059
2017-07-13,464.5,464.5,455.55,458.3,4363354
2017-07-14,460.0,460.0,450.5,451.0,3964266
2017-07-17,455.05,458.35,453.25,454.85,4843374
2017-07-18,452.7,459.3,452.7,456.5,2343891
2017-07-19,453.65,462.9,453.65,460.5,3383956
2017-07-20,462.95,464.25,457.35,459.8,3306697
2017-07-21,460.0,465.9,457.6,464.5,3144696
2017-07-24,464.7,468.35,461.05,464.9,3766119
2017-07-25,463.55,464.7,454.7,456.3,7031236
2017-07-26,457.0,458.65,455.05,456.95,3634935
2017-07-27,459.0,460.95,440.4,444.25,13714902
2017-07-28,443.95,447.45,442.65,446.1,3358508
2017-07-31,446.25,449.6,443.8,444.3,3797868
2017-08-01,447.0,452.25,445.7,446.8,3995439
2017-08-02,449.7,449.7,438.15,438.85,4038610
2017-08-03,440.15,441.5,430.0,432.0,6183023
2017-08-04,435.0,438.7,433.5,435.75,4145536
2017-08-07,438.5,439.8,425.9,430.05,6445307
2017-08-08,431.7,435.4,426.0,430.25,7124566
2017-08-09,427.9,429.85,415.0,416.0,10800930
2017-08-10,402.8,402.8,375.45,382.0,27858990
2017-08-11,375.7,379.0,359.1,375.0,14655177
2017-08-14,380.05,381.5,372.65,376.0,8183621
2017-08-16,379.4,390.7,375.65,388.55,10992806
2017-08-17,391.9,392.0,384.5,385.0,5929318
2017-08-18,381.7,382.8,377.0,381.55,5841439
2017-08-21,382.5,382.5,371.35,375.35,5107103
2017-08-22,377.95,379.9,372.35,374.25,4156795
2017-08-23,375.1,381.15,373.35,380.3,4439351
2017-08-24,380.5,385.95,380.2,385.2,5199515
2017-08-28,385.85,387.2,378.3,379.8,4390475
2017-08-29,378.3,382.35,374.45,375.55,4680657
2017-08-30,380.35,382.7,377.45,379.0,3720422
2017-08-31,380.05,380.4,375.8,377.0,4672337
2017-09-01,379.0,392.85,378.65,391.4,7368408
2017-09-04,393.2,396.0,380.6,384.2,8409838
2017-09-05,385.6,389.2,383.45,389.1,4469568
2017-09-06,385.0,386.3,381.85,383.0,5938013
2017-09-07,383.95,384.35,376.0,378.25,7924302
2017-09-08,381.45,381.65,374.05,374.75,7458792
2017-09-11,379.45,379.7,374.2,374.85,5387907
2017-09-12,378.65,389.9,375.5,388.55,9249669
2017-09-13,390.85,393.95,387.2,390.0,6505219
2017-09-14,390.6,406.55,390.6,403.55,11461498
2017-09-15,402.7,406.5,400.0,401.8,9639502
2017-09-18,411.1,412.95,403.25,404.45,8921531
2017-09-19,415.05,427.6,415.05,424.25,28013627
2017-09-20,422.2,422.2,413.0,414.45,5129579
2017-09-21,415.4,418.4,408.8,415.0,6931975
2017-09-22,413.65,422.15,409.15,415.0,9764189
2017-09-25,413.45,415.25,404.65,407.95,6939539
2017-09-26,409.0,413.9,403.45,410.8,5066607
2017-09-27,412.95,414.2,402.0,406.9,4718339
2017-09-28,406.25,406.95,399.0,400.7,4843887
2017-09-29,402.15,404.5,397.4,403.2,7513606
2017-10-03,426.2,426.2,415.0,416.0,9600668
2017-10-04,417.55,426.0,412.95,426.0,7650029
2017-10-05,422.85,425.8,420.1,424.1,4577766
2017-10-06,420.4,426.0,416.5,424.9,5273850
2017-10-09,424.0,432.05,423.05,425.2,4406240
2017-10-10,426.0,428.75,421.4,423.9,5052823
2017-10-11,424.5,424.6,414.1,414.45,4309822
2017-10-12,415.9,421.8,409.35,420.0,5431453
2017-10-13,420.5,429.3,418.9,425.5,6984150
2017-10-16,426.3,438.0,425.85,437.3,8468521
2017-10-17,434.75,434.8,430.2,434.1,5109791
2017-10-18,434.0,437.25,426.6,433.2,15286548000
2017-10-23,424.35,430.65,421.0,422.75,8196663732
2017-10-24,422.7,423.8,415.15,415.6,4527066
2017-10-25,421.0,424.4,415.55,421.35,5655263
2017-10-26,421.35,422.3,417.0,422.0,6199807
2017-10-27,422.5,434.35,422.15,429.9,7401566
2017-10-30,428.65,440.95,428.6,437.6,7650934
2017-10-31,438.75,438.75,427.35,428.4,6198899
2017-11-01,430.95,439.95,428.45,437.05,7297070
2017-11-02,435.7,440.25,429.9,435.5,8240268
2017-11-03,434.0,449.2,432.7,448.0,8098343
2017-11-06,445.75,468.0,443.55,458.0,19432451
2017-11-07,458.2,465.8,450.1,451.5,13232792
2017-11-08,448.0,454.95,431.5,440.5,11122567
2017-11-09,442.1,450.7,426.15,440.05,40484337
2017-11-10,438.95,438.0,420.1,421.4,22418350
2017-11-13,423.0,427.45,416.2,417.85,9834778
2017-11-14,418.55,421.85,410.8,413.8,8973656
2017-11-15,414.3,417.5,407.0,409.65,9851697
2017-11-16,411.35,415.7,411.4,415.0,6272124
2017-11-17,419.45,423.45,417.0,421.7,6168044
2017-11-20,421.0,425.7,420.1,423.0,4038188
2017-11-21,424.45,430.0,422.6,424.0,6736579
2017-11-22,425.45,433.0,424.55,428.0,7887503
2017-11-23,428.6,431.0,423.0,426.4,7355292
2017-11-24,427.0,429.95,424.5,425.5,5088226
2017-11-27,423.0,424.7,417.95,421.65,7934669
2017-11-28,419.8,422.25,414.5,414.8,6203789
2017-11-29,415.9,419.45,412.05,412.5,4316844
2017-11-30,410.4,412.25,402.55,404.7,25626070
2017-12-01,407.9,410.15,396.65,399.0,7935988
2017-12-04,405.8,411.2,401.7,404.5,10017397
2017-12-05,404.55,405.5,396.55,402.25,7130915
2017-12-06,400.2,402.45,395.05,395.75,5560718
2017-12-07,398.0,405.3,397.15,402.2,7971795
2017-12-08,406.0,413.75,406.5,410.85,12251440
2017-12-11,412.0,415.2,409.25,410.2,5042218
2017-12-12,411.55,415.5,406.0,406.25,6138192
2017-12-13,407.0,409.85,400.0,401.65,5130626
2017-12-14,404.0,404.55,398.2,402.95,4663138
2017-12-15,406.5,409.0,404.3,405.0,5599219
2017-12-18,399.0,409.9,389.3,406.5,5335462
2017-12-19,407.35,421.65,407.4,421.0,9665783
2017-12-20,421.95,427.75,419.35,422.65,11173224
2017-12-21,424.0,426.0,419.55,420.85,4871665
2017-12-22,422.05,426.35,420.9,421.4,5332206
2017-12-26,422.0,425.1,421.15,423.0,3691796
2017-12-27,423.5,428.4,420.3,421.1,3668110
2017-12-28,423.5,423.5,416.1,417.5,4998523
2017-12-29,418.0,433.4,417.25,430.85,8609974
2018-01-01,430.95,436.4,422.25,424.2,6780653
2018-01-02,428.85,440.55,422.25,438.15,15307717
2018-01-03,440.4,441.2,431.95,433.45,9764966
2018-01-04,430.0,433.2,425.8,430.0,8358262
2018-01-05,431.25,436.35,429.85,430.35,7006537
2018-01-08,432.0,436.2,431.65,432.75,4606924
2018-01-09,434.25,443.45,433.0,435.5,12573027
2018-01-10,438.0,439.3,431.45,432.6,4682984
2018-01-11,433.5,437.6,432.9,434.0,4555478
2018-01-12,437.0,441.4,432.15,436.5,7378681
2018-01-15,438.05,440.0,431.05,432.25,4025990
2018-01-16,433.0,435.2,419.6,421.9,5607833
2018-01-17,422.05,424.1,410.5,423.25,10194219
2018-01-18,424.0,428.3,414.55,418.0,9566262
2018-01-19,415.2,421.9,415.05,418.2,3869892
2018-01-22,419.05,424.4,418.65,422.2,4632874
2018-01-23,422.8,422.8,414.75,417.5,6168811
2018-01-24,416.0,415.9,402.75,403.95,10769083
2018-01-25,403.45,407.55,398.5,399.9,16286096
2018-01-29,402.5,405.9,398.1,398.9,5758917
2018-01-30,400.0,402.3,395.0,395.7,6955733
2018-01-31,395.5,400.95,395.65,400.0,5102403
2018-02-01,399.9,403.8,390.6,393.2,7239285
2018-02-02,392.0,397.4,381.3,383.0,10036933
2018-02-05,381.0,398.0,380.4,398.0,9831549
2018-02-06,363.0,379.8,357.1,375.3,25199879
2018-02-07,380.4,385.2,375.3,378.15,12663290
2018-02-08,379.9,379.95,372.3,376.2,12435326
2018-02-09,369.9,373.0,368.0,369.5,8775489
2018-02-12,373.4,376.2,370.2,371.0,5975494
2018-02-14,372.9,382.25,370.65,375.8,9601890
2018-02-15,379.8,382.2,373.25,375.9,10210414
2018-02-16,378.0,379.4,367.7,370.5,8532969
2018-02-19,373.7,373.85,362.9,370.3,5433465
2018-02-20,370.35,370.8,366.5,369.3,3925336
2018-02-21,372.5,371.95,363.05,364.05,8577447
2018-02-22,363.0,362.75,357.55,358.65,10822216
2018-02-23,360.1,364.55,358.85,360.35,6735874
2018-02-26,362.0,373.5,362.2,373.0,10561823
2018-02-27,375.0,376.45,370.35,373.05,6128244
