date,open,high,low,close,volume
2017-07-03,551.9,558.0,547.2,552.0,1144167
2017-07-04,554.25,555.7,547.25,552.5,333532
2017-07-05,550.2,551.6,543.3,548.1,909434
2017-07-06,547.3,558.6,547.3,554.3,764155
2017-07-07,553.0,575.7,552.2,575.2,2044638
2017-07-10,575.0,617.1,563.0,570.0,25769914213
2017-07-11,571.55,575.9,565.25,568.0,650114
2017-07-12,567.6,571.55,561.1,564.0,656228
2017-07-13,567.2,573.0,566.2,571.7,624711
2017-07-14,571.65,573.0,563.95,568.1,455835
2017-07-17,571.8,576.4,567.0,571.0,582046
2017-07-18,571.95,580.1,566.85,572.0,775919
2017-07-19,569.0,576.0,566.0,573.0,392260
2017-07-20,573.1,575.85,570.1,573.0,302965
2017-07-21,572.0,575.8,565.9,571.55,412694
2017-07-24,576.15,580.65,571.65,577.9,485956
2017-07-25,580.7,580.7,568.7,570.55,987597
2017-07-26,572.0,573.45,568.55,570.45,756933
2017-07-27,573.0,578.3,566.75,576.0,3498350
2017-07-28,571.95,586.0,571.0,583.9,990323
2017-07-31,583.0,586.4,580.95,581.35,353834
2017-08-01,584.1,599.6,582.2,595.0,1278984
2017-08-02,595.05,595.05,586.1,590.5,517955
2017-08-03,588.75,596.0,581.5,592.65,426301
2017-08-04,587.95,603.35,587.95,599.0,1476326
2017-08-07,599.0,605.95,599.0,601.5,596896
2017-08-08,603.0,610.45,594.0,595.0,566557
2017-08-09,593.2,599.9,589.0,591.0,579586
2017-08-10,589.7,591.35,571.4,582.2,1368003
2017-08-11,570.55,574.55,527.65,547.9,4188287
2017-08-14,548.0,559.0,543.3,556.5,1731064
2017-08-16,557.55,589.45,557.55,583.55,2145586
2017-08-17,586.45,586.85,577.2,579.65,690629
2017-08-18,575.1,587.0,571.4,586.1,1496118
2017-08-21,587.75,589.0,570.0,572.1,680703
2017-08-22,574.5,586.0,572.0,581.55,1818597
2017-08-23,584.9,587.55,574.2,583.1,904584
2017-08-24,585.0,596.45,578.7,593.85,611987
2017-08-28,594.95,607.5,594.95,603.0,1121642
2017-08-29,601.5,601.95,592.45,594.9,599284
2017-08-30,597.55,614.45,597.25,608.0,2621497
2017-08-31,607.0,611.4,601.55,606.0,2169078
2017-09-01,607.55,611.65,605.7,607.0,1583277
2017-09-04,620.0,620.7,605.75,612.0,2513671
2017-09-05,611.95,617.5,609.1,612.15,852768
2017-09-06,609.9,623.0,607.0,620.0,1110580
2017-09-07,622.65,640.25,618.1,632.4,1810887
2017-09-08,636.0,640.55,631.4,635.0,911127
2017-09-11,636.3,647.1,635.6,638.05,2070510
2017-09-12,643.75,646.0,639.15,642.0,510042
