date,open,high,low,close,volume
2018-03-27,499.0,499.0,455.0,469.9,91025159
2018-03-28,463.75,478.9,463.0,470.0,12007656
2018-04-02,472.05,485.0,472.0,477.15,5206117
2018-04-03,474.5,485.9,469.15,484.0,2788010
2018-04-04,484.6,488.8,478.0,485.65,2454973
2018-04-05,490.0,514.9,487.3,514.4,8145049
2018-04-06,512.5,517.7,505.2,505.8,1834696
2018-04-09,508.8,519.9,496.05,514.4,2649821
2018-04-10,515.0,520.8,510.2,518.0,1720359
2018-04-11,519.9,535.0,513.0,534.0,3543907
2018-04-12,530.0,540.8,526.1,531.0,1881517
2018-04-13,533.0,536.95,526.4,528.5,1047812
2018-04-16,523.9,532.35,516.1,516.8,757837
2018-04-17,520.0,521.4,500.0,505.1,1152203
2018-04-18,508.0,513.5,501.0,504.1,813221
2018-04-19,505.2,508.9,502.0,505.2,587125
2018-04-20,505.1,510.5,493.1,495.0,939774
2018-04-23,496.0,504.3,481.75,497.5,2473070
2018-04-24,500.0,502.3,486.0,490.0,1198757
2018-04-25,490.05,497.1,485.25,494.0,1311648
2018-04-26,497.1,501.4,491.1,494.6,1873259
2018-04-27,498.8,522.95,498.5,503.5,5631215
2018-04-30,509.5,515.9,502.7,513.75,1449336
2018-05-02,513.0,520.9,511.0,515.8,1310793
2018-05-03,511.95,515.0,496.4,502.0,860723
2018-05-04,503.0,506.0,500.5,503.05,1077269
2018-05-07,507.0,508.0,492.65,493.0,762669
2018-05-08,496.95,497.0,490.0,493.7,567812
2018-05-09,492.0,495.25,485.3,488.8,501312
2018-05-10,490.0,493.9,484.05,485.5,250050
2018-05-11,486.55,492.2,480.25,483.5,1027958
2018-05-14,484.0,489.4,478.4,480.15,376778
2018-05-15,483.9,489.8,473.5,479.0,1462585
2018-05-16,479.9,484.9,475.0,480.3,432214
2018-05-17,483.0,487.0,477.65,482.0,476256
2018-05-18,481.05,485.05,478.0,478.2,293108
2018-05-21,474.0,481.2,463.2,467.75,361693
2018-05-22,468.8,477.4,468.0,470.05,242186
2018-05-23,471.8,500.0,469.3,495.25,1808151
2018-05-24,489.8,495.1,474.6,477.25,433686
2018-05-25,483.75,487.0,476.85,484.15,288631
2018-05-28,486.7,488.4,481.0,483.5,227924
2018-05-29,485.1,488.5,478.25,479.0,171189
2018-05-30,477.0,478.95,468.2,469.65,369250
2018-05-31,472.2,474.0,463.1,470.0,375129
2018-06-01,470.0,478.75,470.0,475.0,346794
2018-06-04,479.0,479.0,470.4,474.2,330302
2018-06-05,474.0,474.0,456.15,468.9,535009
2018-06-06,471.0,503.6,467.0,495.75,2578729
2018-06-07,501.0,502.9,491.2,498.3,765409
2018-06-08,496.9,502.35,492.3,496.2,969279
2018-06-11,501.0,529.0,496.05,510.0,3518000
2018-06-12,510.1,525.5,505.55,521.05,1051723
2018-06-13,521.05,539.85,518.55,539.25,1530678
2018-06-14,538.0,560.0,538.0,544.5,3165558
2018-06-15,544.4,553.8,531.4,552.0,1465102
2018-06-18,548.05,557.9,545.2,548.85,653104
2018-06-19,546.25,549.95,532.0,533.0,601889
2018-06-20,536.95,551.4,535.15,541.15,616132
2018-06-21,541.0,547.9,535.15,538.15,326031
2018-06-22,537.55,544.0,533.15,533.15,293442
2018-06-25,538.35,542.0,533.05,535.5,306266
2018-06-26,532.1,542.0,528.05,529.3,1183029
2018-06-27,535.0,535.0,520.05,523.15,853974
2018-06-28,522.0,523.85,508.0,512.25,259907
2018-06-29,514.95,530.0,512.25,529.15,346522
2018-07-02,530.0,530.65,523.0,527.65,1118979
2018-07-03,527.0,567.8,525.0,554.0,679136
