date,open,high,low,close,volume
2017-07-03,162.7,164.95,160.6,162.05,8834510
2017-07-04,162.3,163.0,159.0,159.0,5619982
2017-07-05,159.9,162.4,158.5,161.2,6604386
2017-07-06,161.7,165.75,161.5,162.0,11912780
2017-07-07,162.5,163.85,160.2,160.4,9161121
2017-07-10,160.35,167.5,160.35,166.6,25775819914
2017-07-11,167.1,167.5,161.65,162.15,7367114
2017-07-12,162.7,164.0,160.65,163.15,8630187
2017-07-13,164.5,165.7,162.0,163.5,7611427
2017-07-14,163.7,166.4,162.25,164.8,7699338
2017-07-17,165.15,165.6,162.8,164.6,7224373
2017-07-18,163.25,167.15,162.9,163.4,7776257
2017-07-19,163.9,165.5,163.5,164.6,5385778
2017-07-20,163.6,165.4,161.5,161.9,8054299
2017-07-21,162.4,163.85,160.8,161.75,6343649
2017-07-24,162.15,165.95,162.1,164.15,7899258
2017-07-25,165.0,166.2,164.3,165.15,8720510
2017-07-26,165.55,166.5,163.05,163.55,7764021
2017-07-27,163.8,165.0,160.25,160.5,11443354
2017-07-28,160.8,162.95,160.2,161.5,6171559
2017-07-31,161.9,168.4,160.55,166.25,15859901
2017-08-01,166.7,167.0,162.65,163.6,7800756
2017-08-02,164.25,165.3,162.85,163.15,6509010
2017-08-03,163.2,163.65,157.1,158.4,9322599
2017-08-04,157.8,160.85,155.7,159.1,7101168
2017-08-07,160.5,161.3,159.25,160.0,4360722
2017-08-08,160.95,161.2,156.1,156.6,5932854
2017-08-09,156.65,157.7,154.15,154.9,7517869
2017-08-10,154.75,155.6,145.5,149.1,10535060
2017-08-11,145.95,150.5,141.25,143.0,14439765
2017-08-14,140.25,143.15,139.7,142.05,16010618
2017-08-16,143.1,148.6,137.65,146.95,25030620
2017-08-17,148.3,152.25,146.65,148.3,20075900
2017-08-18,145.8,148.2,144.45,147.55,13603587
2017-08-21,147.9,149.6,141.0,142.0,11140135
2017-08-22,143.3,143.75,138.3,139.7,17676829
2017-08-23,140.8,142.25,138.5,140.9,18871569
2017-08-24,141.0,144.0,140.65,142.85,12306734
2017-08-28,144.0,145.85,143.05,144.0,10522885
2017-08-29,141.7,143.5,139.6,139.95,13994618
