date,open,high,low,close,volume
2017-07-03,291.7,292.25,288.8,290.05,6082792
2017-07-04,292.4,292.75,288.6,289.3,8287965
2017-07-05,289.8,293.75,288.55,293.5,6951142
2017-07-06,294.1,295.1,292.4,293.15,9941908
2017-07-07,293.4,293.4,289.25,289.6,8448509
2017-07-10,290.3,295.0,289.2,291.9,17180972111
2017-07-11,292.55,292.9,288.7,289.6,10876598
2017-07-12,289.65,294.6,288.6,294.05,8070751
2017-07-13,295.75,299.5,295.05,297.55,13675290
2017-07-14,298.95,299.0,294.5,298.15,6181356
2017-07-17,299.45,304.55,298.9,302.7,12410474
2017-07-18,301.5,306.0,301.5,303.55,11751294
2017-07-19,303.35,304.9,301.4,302.5,10752823
2017-07-20,302.0,303.85,299.8,300.9,8425075
2017-07-21,299.4,303.65,296.25,302.8,9691499
2017-07-24,302.0,306.6,301.85,303.0,15580066
2017-07-25,305.0,305.8,301.9,304.0,18079567
2017-07-26,306.0,311.0,304.55,309.95,25996241
2017-07-27,313.25,314.3,305.45,308.8,28433173
2017-07-28,303.95,303.95,293.95,296.2,30400513
2017-07-31,298.2,306.4,296.85,302.8,21504855
2017-08-01,303.5,305.2,301.5,302.4,10671978
2017-08-02,302.35,304.45,299.7,299.7,8326521
2017-08-03,301.3,301.5,294.55,295.3,14365869
2017-08-04,295.55,297.5,293.9,296.3,10088348
2017-08-07,297.2,303.0,296.8,300.0,11853487
2017-08-08,299.8,301.55,293.85,295.95,10266124
2017-08-09,294.05,294.05,289.85,290.25,12945829
2017-08-10,288.95,293.1,285.7,291.65,17140917
2017-08-11,283.95,289.6,280.45,285.8,17180837
2017-08-14,288.15,292.85,287.75,291.15,8416879
2017-08-16,291.8,295.65,287.3,295.2,8597886
2017-08-17,297.15,297.15,291.5,294.45,8144694
2017-08-18,291.8,294.35,290.8,292.9,6667302
2017-08-21,295.2,299.7,292.3,293.35,10539978
2017-08-22,296.9,296.95,292.15,294.0,7508522
2017-08-23,295.5,299.2,295.3,298.6,9128300
2017-08-24,299.75,300.0,296.65,298.95,12651311
2017-08-28,299.4,302.25,298.95,301.1,8802461
2017-08-29,299.65,302.75,298.15,298.7,12721783
2017-08-30,301.5,302.3,299.4,300.1,8531634
2017-08-31,300.7,300.75,297.0,298.5,14854804
2017-09-01,299.2,299.5,297.15,298.3,7458691
2017-09-04,299.9,300.0,294.6,297.1,6222447
2017-09-05,297.1,299.0,297.0,297.3,7672280
2017-09-06,294.8,296.0,294.3,295.45,4833167
2017-09-07,297.7,298.5,292.1,292.9,15607254
2017-09-08,294.45,294.45,290.05,292.6,8062597
2017-09-11,293.05,293.7,289.05,291.5,7625091
2017-09-12,292.2,293.35,290.5,291.55,8485227
2017-09-13,292.15,293.25,291.2,291.85,8288295
2017-09-14,292.0,295.6,291.95,294.35,12239488
2017-09-15,294.2,295.55,290.95,291.35,22585926
2017-09-18,293.8,294.4,292.15,293.15,11118693
2017-09-19,291.75,295.5,289.6,294.1,7546526
2017-09-20,291.6,292.75,289.6,289.95,14587025
2017-09-21,289.5,290.4,283.7,285.15,14479873
2017-09-22,283.4,283.6,275.8,277.7,23418268
2017-09-25,278.9,280.1,275.55,279.25,13320202
2017-09-26,278.85,284.0,276.8,282.2,11318197
2017-09-27,284.2,284.2,275.5,276.1,17841727
2017-09-28,275.9,277.8,269.15,277.1,32206231
2017-09-29,277.4,281.65,275.8,276.5,9964307
2017-10-03,279.75,280.6,275.15,278.05,6715798
2017-10-04,279.0,279.35,275.1,276.2,7400158
2017-10-05,275.55,277.4,271.1,272.0,10947932
2017-10-06,272.45,274.45,270.65,272.3,25353482
2017-10-09,274.25,276.25,271.3,271.55,20446549
2017-10-10,272.7,272.8,269.15,270.0,18582810
2017-10-11,270.65,272.0,266.25,267.15,12671001
2017-10-12,267.6,267.95,264.05,267.45,11814133
2017-10-13,267.6,274.5,267.6,271.2,14383223
2017-10-16,274.95,275.9,270.5,274.75,12822009
2017-10-17,274.75,276.55,273.2,274.05,9170111
2017-10-18,274.0,274.0,262.25,263.15,14915841518
2017-10-23,257.55,264.4,256.5,262.55,12889484370
2017-10-24,263.0,268.15,259.1,266.15,15100685
2017-10-25,293.2,310.65,284.4,305.35,122956601
2017-10-26,298.55,314.5,295.0,297.1,43167986
2017-10-27,291.45,305.35,285.55,302.4,36843561
2017-10-30,295.4,308.4,295.4,300.4,37738737
2017-10-31,300.1,303.25,298.45,300.0,19019210
2017-11-01,303.0,318.8,302.55,313.8,38802968
2017-11-02,313.45,320.4,311.45,316.15,27714353
2017-11-03,317.8,318.65,314.15,315.2,14237042
2017-11-06,314.8,320.15,311.75,315.45,16333557
2017-11-07,317.1,317.95,309.4,312.45,12743918
2017-11-08,312.0,313.95,303.9,306.4,11930203
2017-11-09,306.8,314.65,306.85,311.85,12669480
2017-11-10,312.5,324.2,311.15,318.3,20977562
2017-11-13,317.0,321.55,313.0,314.5,13653646
2017-11-14,313.3,317.1,309.85,313.55,12353590
2017-11-15,312.95,319.4,312.65,315.6,14399484
2017-11-16,316.15,319.9,316.0,318.55,8964130
2017-11-17,324.0,332.3,323.85,324.6,20323530
2017-11-20,323.35,323.5,317.45,318.85,13581246
2017-11-21,318.75,322.2,317.55,318.55,13034088
2017-11-22,319.4,322.05,318.05,318.5,9315127
2017-11-23,319.75,320.5,315.2,319.7,9987453
2017-11-24,319.9,321.0,315.95,317.2,7850167
2017-11-27,315.05,318.6,313.5,317.15,9319528
2017-11-28,313.1,315.25,311.75,313.0,13913577
2017-11-29,312.6,316.25,312.3,314.15,12368463
2017-11-30,314.95,314.8,306.5,308.0,23790770
2017-12-01,309.7,309.95,304.5,305.15,6596200
2017-12-04,307.25,307.45,302.35,305.4,8755052
2017-12-05,304.8,307.6,303.7,305.05,8202350
2017-12-06,303.8,305.0,298.15,300.0,6740147
2017-12-07,301.5,306.75,300.2,306.4,7402666
2017-12-08,307.25,311.6,307.0,310.75,10724711
2017-12-11,311.0,312.25,308.25,311.9,6809185
2017-12-12,312.05,312.15,306.3,308.1,11985552
2017-12-13,308.0,308.15,300.25,304.05,14795718
2017-12-14,303.85,306.0,301.35,304.5,11119400
2017-12-15,310.4,310.4,302.55,303.65,23162487
2017-12-18,298.0,312.3,287.1,308.7,16249441
2017-12-19,309.2,314.75,308.8,313.2,13113367
2017-12-20,314.1,317.85,311.5,316.25,13979931
2017-12-21,315.4,316.55,312.1,313.7,9696064
2017-12-22,315.0,319.15,313.8,317.0,7622848
2017-12-26,316.25,319.0,313.25,317.85,7622728
2017-12-27,315.95,317.9,312.1,312.5,6342947
2017-12-28,312.8,319.2,310.55,313.0,22667649
2017-12-29,313.9,315.7,312.5,314.25,9629492
2018-01-01,314.0,313.9,309.2,309.3,7731571
2018-01-02,310.95,311.7,307.5,310.0,7039087
2018-01-03,312.5,316.3,312.55,314.9,8880940
2018-01-04,314.95,315.6,311.5,314.6,6375864
2018-01-05,314.45,315.1,311.6,313.4,6357151
2018-01-08,313.5,318.2,312.7,313.4,7313055
2018-01-09,314.8,315.65,310.85,312.4,9168983
2018-01-10,312.55,312.95,310.55,311.55,6721403
2018-01-11,312.5,312.5,308.55,308.85,8332431
2018-01-12,309.6,318.75,309.7,317.25,11669329
2018-01-15,320.8,330.7,320.75,329.45,30165866
2018-01-16,329.75,340.65,326.55,333.55,26684434
2018-01-17,334.05,344.05,334.55,343.35,43275568
2018-01-18,350.0,353.0,343.6,346.0,31382268
2018-01-19,347.45,355.0,340.9,354.15,18778052
2018-01-22,352.4,352.7,344.85,350.25,15229468
2018-01-23,350.45,364.45,351.0,361.7,22463432
2018-01-24,357.75,359.05,352.05,353.2,12791039
2018-01-25,352.5,364.75,352.05,359.35,30116622
2018-01-29,360.0,365.65,355.6,357.4,17837444
2018-01-30,356.8,356.8,350.6,353.3,13350318
2018-01-31,348.85,353.9,343.6,353.9,22564707
