date,open,high,low,close,volume
2017-07-03,54.8,55.2,54.55,54.9,7188161
2017-07-04,55.2,57.2,55.05,56.8,12717480
2017-07-05,57.1,62.55,56.8,62.5,43337183
2017-07-06,63.0,64.75,62.2,63.25,54751244
2017-07-07,65.5,65.9,63.95,64.6,41694039
2017-07-10,68.75,71.15,64.6,65.15,17187932243
2017-07-11,65.7,65.8,61.5,62.1,18159765
2017-07-12,62.1,64.8,61.6,63.8,19363745
2017-07-13,64.4,64.45,62.55,62.65,11213830
2017-07-14,62.75,63.4,62.3,62.6,11272644
2017-07-17,63.15,63.3,61.45,61.45,9385986
2017-07-18,61.4,63.05,61.1,61.8,10831765
2017-07-19,62.25,62.55,61.6,62.0,12423098
2017-07-20,61.35,62.4,61.25,61.35,6933012
2017-07-21,61.45,61.75,60.0,60.25,7130715
2017-07-24,60.7,60.85,60.3,60.45,5046570
2017-07-25,60.6,60.9,60.2,60.45,3380187
2017-07-26,60.5,60.9,60.1,60.3,6583297
2017-07-27,60.0,61.35,58.75,59.1,20180402
2017-07-28,59.3,60.75,59.3,60.6,8687732
2017-07-31,60.7,60.75,59.35,59.6,8359781
2017-08-01,60.1,60.1,59.0,59.15,5090439
2017-08-02,59.35,59.35,58.1,58.15,5731741
2017-08-03,58.55,59.0,57.8,57.95,9098694
2017-08-04,58.0,58.2,56.85,57.3,8047129
2017-08-07,57.4,57.95,57.15,57.75,4544079
2017-08-08,57.75,57.8,56.55,56.6,4764567
2017-08-09,56.6,56.7,55.85,56.0,7148195
2017-08-10,55.95,56.25,53.45,54.4,8521005
2017-08-11,53.55,54.35,52.55,53.6,10579569
2017-08-14,53.75,55.1,53.75,54.5,5367397
2017-08-16,54.95,55.9,54.4,55.85,9467828
2017-08-17,56.2,56.7,55.75,56.45,5269446
2017-08-18,56.3,56.3,55.4,55.8,3714951
2017-08-21,56.15,56.35,54.5,54.55,2846479
2017-08-22,54.95,55.1,54.1,54.75,3310711
2017-08-23,54.75,55.85,54.6,55.65,3003472
2017-08-24,55.5,55.7,55.05,55.1,2474096
2017-08-28,55.6,56.3,55.3,56.0,3281241
2017-08-29,55.55,55.75,55.0,55.2,2625118
2017-08-30,55.55,55.85,55.4,55.6,2320974
2017-08-31,55.7,55.7,54.65,54.9,5616489
2017-09-01,55.15,57.7,55.0,57.1,15924337
2017-09-04,57.4,57.8,55.9,57.0,6624015
2017-09-05,57.7,57.75,56.85,57.5,3535456
2017-09-06,57.05,58.25,56.8,57.7,6057374
2017-09-07,58.0,58.2,57.05,57.4,4074204
2017-09-08,57.6,57.6,56.1,56.2,5417339
2017-09-11,56.55,56.95,56.05,56.2,2926399
2017-09-12,56.4,57.75,56.0,57.3,6960664
2017-09-13,57.3,59.25,57.15,58.9,12336698
2017-09-14,59.15,61.0,59.15,60.95,11513409
2017-09-15,60.5,60.85,59.5,60.3,13781258
2017-09-18,60.85,61.35,60.55,60.7,5145624
2017-09-19,60.85,61.05,59.8,59.95,7986863
2017-09-20,60.3,60.75,59.25,59.95,8470945
2017-09-21,60.05,60.25,58.45,59.3,4308864
2017-09-22,58.9,59.0,57.35,57.5,4786702
2017-09-25,57.4,57.55,55.7,56.65,5845076
2017-09-26,56.3,57.5,56.3,57.15,4229035
2017-09-27,57.75,57.75,56.05,56.15,4652144
