date,open,high,low,close,volume
2017-07-03,274.2,275.45,272.55,275.25,8911681
2017-07-04,275.0,276.4,272.1,273.3,7839306
2017-07-05,273.5,275.5,272.35,275.1,10032662
2017-07-06,275.2,282.65,274.7,281.0,16097816
2017-07-07,280.5,282.4,279.2,279.9,5883499
2017-07-10,300.0,300.0,279.9,285.3,30066847753
2017-07-11,287.05,289.7,283.0,283.75,12361474
2017-07-12,284.7,288.4,283.2,287.95,7508915
2017-07-13,288.85,290.0,286.6,288.35,8370561
2017-07-14,288.8,293.6,287.3,291.65,13731220
2017-07-17,292.5,294.0,289.65,293.25,10442441
2017-07-18,291.55,296.4,290.0,290.55,11890939
2017-07-19,291.8,294.0,291.4,293.95,8990098
2017-07-20,293.25,294.15,290.1,291.3,6220017
2017-07-21,291.4,292.2,288.3,291.0,7252543
2017-07-24,290.85,296.3,290.8,294.25,11182151
2017-07-25,295.9,297.25,294.75,296.45,10820798
2017-07-26,296.4,299.55,295.25,296.0,12512455
2017-07-27,297.05,299.85,296.5,298.35,22269331
2017-07-28,297.0,300.75,295.6,299.2,15734672
2017-07-31,299.45,313.75,298.0,312.8,41504266
2017-08-01,314.6,314.8,308.15,309.25,14768150
2017-08-02,309.95,311.75,305.5,305.6,16978092
2017-08-03,306.25,307.4,299.15,300.75,14416061
2017-08-04,300.3,306.25,297.7,305.8,9576880
2017-08-07,305.8,311.8,305.2,310.6,11406172
2017-08-08,311.05,311.8,301.3,305.0,13551892
2017-08-09,303.0,307.45,300.1,301.5,15823223
2017-08-10,301.2,302.4,292.05,297.65,14473721
2017-08-11,293.95,302.9,277.6,280.4,67588568
2017-08-14,281.25,282.2,276.5,277.8,23699159
2017-08-16,278.9,283.85,274.2,283.25,21037589
2017-08-17,283.7,284.65,280.0,280.8,12113813
2017-08-18,278.05,279.65,276.0,278.3,12607573
2017-08-21,279.4,280.6,273.45,274.55,9190796
2017-08-22,276.2,277.0,271.2,274.05,11786541
2017-08-23,274.75,279.7,274.35,278.7,11299378
2017-08-24,279.4,281.45,277.5,280.1,14109118
2017-08-28,281.75,281.8,279.0,279.3,10459361
2017-08-29,278.0,280.8,276.05,276.35,10309477
2017-08-30,278.2,279.25,276.0,276.65,7585408
2017-08-31,276.9,279.5,274.2,278.5,14191905
2017-09-01,277.75,280.15,276.6,278.0,8234974
2017-09-04,278.9,279.6,276.4,277.45,7139675
2017-09-05,278.4,279.5,276.05,276.6,9542233
2017-09-06,275.7,276.6,273.65,274.1,7265025
2017-09-07,275.4,276.9,273.1,273.95,16079525
2017-09-08,275.0,275.4,271.15,271.45,7033340
2017-09-11,272.85,273.5,269.6,270.6,14444714
2017-09-12,271.65,275.6,270.5,273.6,8355829
2017-09-13,274.9,276.6,272.8,272.9,10097877
2017-09-14,274.15,275.55,272.45,274.4,7984436
2017-09-15,270.75,274.5,270.75,271.5,18327677
2017-09-18,273.45,274.0,269.65,270.0,17487840
2017-09-19,270.55,270.8,266.45,267.65,14274958
2017-09-20,268.2,272.05,267.5,269.4,12341362
2017-09-21,269.75,271.35,267.35,268.65,8492435
2017-09-22,267.0,267.15,261.1,262.05,12826244
2017-09-25,261.6,261.8,254.65,258.5,13906374
2017-09-26,258.4,259.65,256.0,258.15,11704251
2017-09-27,259.8,259.8,249.6,250.4,17060905
2017-09-28,250.75,253.5,249.5,252.95,17714474
2017-09-29,254.25,255.4,253.05,254.35,10037549
2017-10-03,256.25,256.25,250.6,251.35,10500748
2017-10-04,251.75,254.6,251.55,253.4,14040458
2017-10-05,253.6,253.9,249.25,252.1,13439371
2017-10-06,252.35,257.8,252.2,257.2,11884434
2017-10-09,256.55,258.6,254.25,256.9,7983691
2017-10-10,256.75,258.2,255.75,257.0,9725781
2017-10-11,257.2,258.4,250.45,251.2,14176002
2017-10-12,251.85,252.95,248.6,250.55,13385930
2017-10-13,251.05,255.25,250.3,252.3,15677999
2017-10-16,253.75,254.45,250.1,252.1,12149938
2017-10-17,252.0,254.7,250.75,251.35,13490363
2017-10-18,251.35,251.35,243.1,243.75,4315644732
2017-10-23,242.2,247.0,242.2,245.95,35369484935
2017-10-24,245.95,255.3,245.95,254.9,17173465
2017-10-25,292.6,328.0,290.0,322.7,261935271
2017-10-26,330.1,350.9,317.8,318.3,112360985
2017-10-27,319.45,323.6,310.25,310.7,27514152
2017-10-30,311.7,322.3,310.7,313.1,28430649
2017-10-31,313.15,313.7,304.3,306.6,16419384
2017-11-01,309.4,321.4,309.65,320.25,34840903
2017-11-02,320.0,323.05,313.55,314.45,23066350
2017-11-03,315.45,327.1,312.75,325.95,26814025
2017-11-06,323.6,330.0,321.7,327.7,17096510
2017-11-07,328.95,331.7,315.55,317.4,21853081
2017-11-08,318.0,318.7,306.7,312.55,20200394
2017-11-09,313.15,318.0,308.3,315.0,21808389
2017-11-10,315.0,338.2,309.6,333.8,82825216
2017-11-13,336.75,344.8,329.75,331.0,38608585
2017-11-14,330.35,334.7,327.5,329.05,25621063
2017-11-15,328.0,331.15,322.45,326.25,17360954
2017-11-16,327.4,334.2,323.7,333.95,22485048
2017-11-17,345.0,346.45,336.1,336.65,26279149
2017-11-20,337.1,337.15,331.3,332.75,13461903
2017-11-21,335.0,335.15,330.0,330.15,14159817
2017-11-22,330.85,339.6,327.2,335.5,22837704
2017-11-23,335.5,336.65,331.65,335.95,13315478
2017-11-24,336.0,336.8,331.55,332.1,11661184
2017-11-27,329.9,337.0,328.05,336.7,13077725
2017-11-28,336.0,336.6,331.2,331.75,16022104
2017-11-29,332.35,334.8,327.2,327.85,11241582
2017-11-30,325.8,326.5,318.5,321.2,27214727
2017-12-01,321.5,322.15,311.25,312.9,16364107
2017-12-04,314.7,315.85,311.2,314.45,13858392
2017-12-05,312.5,320.65,308.95,320.4,15113100
2017-12-06,316.7,317.4,311.55,312.2,18624258
2017-12-07,312.5,317.65,312.5,316.05,12243236
2017-12-08,316.6,318.8,312.1,313.2,16394116
2017-12-11,315.95,319.25,315.1,318.3,13974630
2017-12-12,317.75,320.5,314.7,318.0,17627991
2017-12-13,316.15,318.95,311.2,313.3,17509265
2017-12-14,314.3,315.3,309.55,314.0,13858346
2017-12-15,318.4,319.3,311.55,312.2,16097310
2017-12-18,308.0,323.4,300.5,318.7,31970188
2017-12-19,319.45,322.15,318.45,320.1,14706263
2017-12-20,319.0,318.95,316.6,317.5,9873145
2017-12-21,316.6,318.15,315.5,316.5,9891916
2017-12-22,317.1,323.8,316.5,319.15,13784815
2017-12-26,318.6,319.95,316.4,317.0,9295234
2017-12-27,316.5,320.3,313.1,313.45,14260681
2017-12-28,315.3,316.5,307.7,308.3,20310815
2017-12-29,310.0,312.0,309.2,310.0,11907517
2018-01-01,310.6,312.7,306.35,306.8,12130858
2018-01-02,309.0,309.0,301.6,303.0,14746905
2018-01-03,305.3,306.45,302.15,302.8,13819973
2018-01-04,304.5,309.9,303.15,309.2,24479017
2018-01-05,311.4,311.2,305.65,307.3,14474864
2018-01-08,307.2,309.45,305.0,306.05,13500904
2018-01-09,307.5,309.5,303.35,303.9,15531672
2018-01-10,304.65,305.85,300.0,301.05,13043675
2018-01-11,300.9,303.0,300.0,302.15,12219762
2018-01-12,304.65,304.35,300.85,302.6,17563074
2018-01-15,303.95,305.25,301.75,302.25,18143306
2018-01-16,302.4,303.3,295.3,297.2,18017489
2018-01-17,296.0,308.25,292.6,308.0,26250739
2018-01-18,315.0,317.65,300.5,304.95,39787312
2018-01-19,303.95,310.0,302.55,308.75,18408341
2018-01-22,308.35,308.6,304.1,306.2,12596213
2018-01-23,306.4,320.5,306.35,318.95,35220379
2018-01-24,317.7,331.5,316.3,330.05,37960329
2018-01-25,332.75,331.9,311.95,312.0,42167509
2018-01-29,313.15,316.9,311.0,313.0,23541339
2018-01-30,312.05,318.8,311.0,313.45,25787391
2018-01-31,313.0,316.6,307.85,314.6,16386540
2018-02-01,316.9,317.3,305.0,305.45,19447934
2018-02-02,302.9,305.6,295.5,295.8,23202060
2018-02-05,292.65,300.25,290.05,299.25,18880629
2018-02-06,285.0,297.15,283.4,294.7,30467278
2018-02-07,296.6,297.9,290.0,292.1,21416175
2018-02-08,292.9,303.2,292.8,302.25,18904597
2018-02-09,297.0,300.5,295.0,295.65,15692051
2018-02-12,288.25,292.35,285.35,290.0,50540942
2018-02-14,288.7,288.6,275.0,275.5,45519661
2018-02-15,274.8,282.25,274.8,279.65,25991583
2018-02-16,280.5,281.05,270.1,271.2,30298504
2018-02-19,271.5,271.8,256.7,269.4,42303909
2018-02-20,269.0,274.15,264.8,269.5,33072817
2018-02-21,272.2,274.1,267.4,273.35,23589249
2018-02-22,270.4,273.6,269.45,272.5,25470160
2018-02-23,273.45,277.05,272.5,276.25,15455997
2018-02-26,280.0,279.0,273.85,274.3,15241234
2018-02-27,273.0,275.85,266.0,267.9,20790677
2018-02-28,264.25,269.6,260.8,267.95,26764215
2018-03-01,266.3,270.0,261.3,262.15,22801842
2018-03-05,260.45,264.95,258.8,263.15,18421049
2018-03-06,265.85,265.85,255.0,255.35,20750752
2018-03-07,255.05,255.25,246.1,246.6,31217291
2018-03-08,247.0,257.65,244.3,256.75,33078802
2018-03-09,257.0,257.25,251.8,254.0,21487100
2018-03-12,254.1,255.0,247.25,253.55,25304409
2018-03-13,251.3,262.4,250.4,254.1,37609129
2018-03-14,252.5,257.8,250.0,257.8,25425204
2018-03-15,257.0,258.7,252.55,253.35,18300430
2018-03-16,250.65,255.7,250.2,252.7,25622666
2018-03-19,252.9,253.6,246.15,247.9,18136789
2018-03-20,246.7,252.25,245.35,250.0,20536207
2018-03-21,251.75,254.3,247.1,247.45,19505771
2018-03-22,247.0,247.35,240.65,241.5,26748320
2018-03-23,237.2,239.65,232.35,234.55,27056210
2018-03-26,234.7,247.85,234.25,247.2,30318319
2018-03-27,251.5,255.5,248.0,253.4,30980224
2018-03-28,252.0,256.2,248.7,249.2,36565750
2018-04-02,251.8,252.0,244.9,245.85,14953022
2018-04-03,249.55,252.8,248.25,250.85,19804153
2018-04-04,251.7,253.0,245.5,246.7,18799644
2018-04-05,252.6,261.9,250.0,260.8,22812221
2018-04-06,259.65,261.45,254.85,258.8,24790697
2018-04-09,260.65,262.75,257.6,259.85,20173064
2018-04-10,261.1,265.0,258.5,263.15,21161792
2018-04-11,263.0,262.85,256.3,257.4,14858301
