date,open,high,low,close,volume
2017-07-03,426.73,434.17,426.73,432.67,2390109
2017-07-04,431.8,443.33,431.8,438.07,4960974
2017-07-05,439.4,442.5,437.67,442.0,1145161
2017-07-06,442.37,442.37,438.33,440.0,1605849
2017-07-07,440.43,446.4,439.73,442.67,2433796
2017-07-10,434.0,447.73,434.0,442.47,14316880919
2017-07-11,445.93,453.73,442.83,453.3,2493510
2017-07-12,455.87,458.0,452.17,456.0,2082690
2017-07-13,460.4,465.4,454.4,458.3,3862173
2017-07-14,462.05,464.4,456.25,461.0,2653504
2017-07-17,460.95,469.0,460.05,468.95,2021860
2017-07-18,467.05,474.95,464.35,469.6,2791579
2017-07-19,470.15,472.55,465.6,469.1,2542637
2017-07-20,469.5,471.5,463.45,467.5,1797470
2017-07-21,467.5,468.9,461.4,467.15,2004557
2017-07-24,467.1,472.75,464.9,465.9,2588678
2017-07-25,466.5,468.55,463.75,467.0,4177353
2017-07-26,466.55,472.55,466.55,471.0,3227496
2017-07-27,471.05,480.0,471.05,479.85,3549304
2017-07-28,474.0,480.5,469.45,474.0,3724151
2017-07-31,472.55,478.1,468.75,471.0,2993176
2017-08-01,472.0,486.95,472.0,484.35,3473884
2017-08-02,485.6,489.5,484.7,487.5,3564987
2017-08-03,489.3,498.5,485.1,490.15,6208220
2017-08-04,491.35,525.45,491.0,518.75,5399833
2017-08-07,519.95,529.0,514.6,525.95,4670603
2017-08-08,528.0,528.55,502.75,504.5,4294348
2017-08-09,502.4,512.0,493.0,494.95,3116177
2017-08-10,493.9,495.0,471.6,482.0,4838782
2017-08-11,475.95,491.9,472.15,483.85,4206556
2017-08-14,480.7,482.0,465.35,478.8,4832063
2017-08-16,481.85,488.1,474.0,484.55,3198853
2017-08-17,485.55,504.2,480.15,494.2,4637949
2017-08-18,492.8,511.6,488.05,504.6,5968655
2017-08-21,508.15,515.6,495.15,498.6,4347843
2017-08-22,497.65,513.0,494.5,511.65,4567362
2017-08-23,514.75,514.95,506.1,509.4,3061839
2017-08-24,510.6,514.5,504.3,508.0,2925285
2017-08-28,508.3,509.85,500.5,508.3,3075388
2017-08-29,507.95,518.45,501.5,503.05,3869949
2017-08-30,510.8,524.3,508.0,521.0,4112770
2017-08-31,520.45,534.45,516.9,528.8,5955775
2017-09-01,530.55,539.85,525.2,536.2,3651040
2017-09-04,537.0,546.1,527.5,529.85,4477371
2017-09-05,530.95,541.4,527.65,538.8,2006808
2017-09-06,537.25,537.25,529.75,534.9,1838226
2017-09-07,538.5,538.5,522.3,523.0,3258327
2017-09-08,526.0,526.0,511.25,513.4,3208550
2017-09-11,518.95,523.8,510.55,513.65,3026985
2017-09-12,515.5,535.15,512.55,534.5,3955215
2017-09-13,536.95,540.4,489.4,499.4,8954167
2017-09-14,522.7,524.9,487.3,500.95,15749740
2017-09-15,499.0,502.7,491.25,499.0,5331718
2017-09-18,503.35,506.6,493.4,498.2,2844279
2017-09-19,498.9,508.0,493.9,507.25,3964478
2017-09-20,507.0,507.0,492.5,494.5,6299662
2017-09-21,495.55,499.95,491.0,495.0,5449066
2017-09-22,494.05,497.15,483.2,492.5,4802864
2017-09-25,488.95,492.0,478.4,487.0,3635080
2017-09-26,483.0,485.4,460.1,468.5,9201195
2017-09-27,472.55,476.45,462.75,466.1,5545336
2017-09-28,463.9,464.65,449.9,463.0,6840222
2017-09-29,466.9,476.0,462.25,475.0,6019541
2017-10-03,477.5,481.65,467.0,478.75,3260734
2017-10-04,493.2,493.2,476.55,486.0,4871945
2017-10-05,483.5,484.7,475.55,480.0,2915995
2017-10-06,479.0,492.8,478.5,488.9,2489277
2017-10-09,486.1,492.05,479.6,481.9,3032502
2017-10-10,482.55,484.1,476.25,482.3,3168355
2017-10-11,481.05,496.0,479.45,487.7,6000895
2017-10-12,490.45,493.7,486.5,493.7,2325172
2017-10-13,492.4,494.0,484.0,484.0,3241692
2017-10-16,490.0,501.0,489.2,498.0,4141335
2017-10-17,498.0,514.5,494.05,512.75,4446212
2017-10-18,514.0,519.45,508.0,513.6,2687829
