date,open,high,low,close,volume
2017-07-03,203.7,206.5,203.55,204.8,4034234
2017-07-04,205.55,209.3,205.1,208.5,5691036
2017-07-05,209.0,212.95,208.05,212.4,6889849
2017-07-06,212.7,214.05,210.9,213.0,6676779
2017-07-07,212.3,217.0,210.35,216.05,6438628
2017-07-10,216.55,220.55,215.5,217.7,12886089992
2017-07-11,219.4,219.4,213.1,214.55,3643723
2017-07-12,214.15,215.1,210.5,214.15,4856731
2017-07-13,215.0,217.0,211.7,212.55,2471406
2017-07-14,212.4,216.2,212.4,216.0,3480973
2017-07-17,216.7,218.5,215.55,218.2,3274775
2017-07-18,217.45,219.7,214.05,216.05,3627644
2017-07-19,216.65,220.25,215.95,220.0,3111477
2017-07-20,219.5,220.1,214.15,214.55,3216703
2017-07-21,215.15,216.0,212.0,214.25,4629543
2017-07-24,213.2,217.5,212.35,212.7,2885892
2017-07-25,213.5,215.85,213.4,215.5,2223367
2017-07-26,216.9,221.95,216.65,219.1,4568309
2017-07-27,218.1,220.6,212.1,212.9,10568079
2017-07-28,212.4,216.65,211.1,215.25,2594653
2017-07-31,216.9,221.9,215.8,221.0,5153351
2017-08-01,222.1,225.2,220.2,224.85,5343159
2017-08-02,222.0,222.45,215.2,219.15,7662735
2017-08-03,219.3,225.0,216.2,223.0,6611631
2017-08-04,222.8,229.0,222.0,228.2,5026598
2017-08-07,228.95,232.0,227.85,229.3,3213585
2017-08-08,229.65,232.95,225.1,231.5,4247718
2017-08-09,230.75,233.5,228.5,229.5,3586345
2017-08-10,229.0,229.4,218.6,224.05,5720903
2017-08-11,221.5,226.15,217.55,225.0,4605575
2017-08-14,225.55,234.3,225.55,232.1,3500373
2017-08-16,232.05,238.85,231.3,237.8,4103326
2017-08-17,237.85,239.25,233.45,234.25,2582113
2017-08-18,232.95,238.5,232.0,238.0,3475509
2017-08-21,238.65,242.7,232.0,233.8,3174426
2017-08-22,235.65,237.3,228.25,232.1,4442810
2017-08-23,233.25,240.4,230.7,239.7,4268124
2017-08-24,238.7,248.2,238.7,245.7,4456404
2017-08-28,246.5,247.6,243.0,244.55,3521461
2017-08-29,244.85,249.2,242.2,247.15,3791085
2017-08-30,249.9,260.0,248.5,259.6,6389784
2017-08-31,259.45,260.25,253.25,254.0,7413111
