date,open,high,low,close,volume
2017-07-03,687.98,690.8,679.31,685.01,1039636
2017-07-04,691.84,706.85,688.47,704.32,2127143
2017-07-05,707.3,716.9,705.31,713.26,3076291
2017-07-06,716.61,718.19,712.25,713.78,1534706
2017-07-07,715.22,741.67,713.73,738.0,4056395
2017-07-10,745.43,745.43,737.56,738.5,10636986690
2017-07-11,744.22,744.99,736.57,741.22,2367606
2017-07-12,742.09,755.34,741.97,748.53,1931840
2017-07-13,747.12,755.34,746.08,752.17,2568522
2017-07-14,752.37,760.79,750.73,759.3,2316764
2017-07-17,761.53,772.48,761.53,767.23,2099527
2017-07-18,765.74,768.47,748.43,753.33,2219467
2017-07-19,750.34,761.78,750.34,761.78,1329063
2017-07-20,762.65,767.72,754.72,756.26,1537944
2017-07-21,766.48,788.38,765.94,784.56,10939056
2017-07-24,791.99,804.82,785.5,801.6,4894464
2017-07-25,804.38,804.72,791.3,793.73,2262779
2017-07-26,794.82,807.3,793.03,802.96,2482548
2017-07-27,807.35,808.09,786.89,788.92,2079468
2017-07-28,788.03,794.96,781.72,789.66,1617199
2017-07-31,792.98,801.77,790.51,800.14,1874058
2017-08-01,803.34,803.34,788.28,795.36,1381350
2017-08-02,796.52,810.1,796.52,804.92,2351550
2017-08-03,805.79,824.58,800.93,817.97,2227118
2017-08-04,822.21,822.68,799.97,806.08,2089562
2017-08-07,808.14,808.14,798.83,801.4,1074288
2017-08-08,801.7,802.89,786.4,794.77,1238492
2017-08-09,792.49,802.39,785.06,790.01,1180220
2017-08-10,789.47,795.78,781.59,789.39,1151575
2017-08-11,771.83,780.75,759.33,765.27,1910132
2017-08-14,773.99,784.81,773.17,778.72,1516657
2017-08-16,778.1,780.6,767.82,780.6,1535517
2017-08-17,777.88,791.27,773.25,773.96,1786687
2017-08-18,774.16,781.49,769.6,780.67,896469
2017-08-21,782.53,784.64,772.8,774.81,854821
2017-08-22,777.9,782.53,770.72,773.17,1077848
2017-08-23,775.08,785.8,769.28,783.84,939510
2017-08-24,787.44,788.33,775.03,778.12,1430060
2017-08-28,781.91,783.42,773.44,775.03,1391416
2017-08-29,773.59,776.39,757.82,758.83,1714668
2017-08-30,765.91,776.98,764.26,774.29,1164800
2017-08-31,780.15,791.18,779.63,790.51,2833348
2017-09-01,791.99,800.71,791.99,797.96,1742786
2017-09-04,800.17,810.34,790.53,799.92,2437535
2017-09-05,805.37,809.33,802.91,808.41,2845712
2017-09-06,805.37,818.44,804.25,813.93,5508778
2017-09-07,814.97,824.63,807.35,808.93,7291580
2017-09-08,812.85,815.52,804.57,809.28,5989108
2017-09-11,813.29,818.84,808.88,811.8,5742327
2017-09-12,814.48,817.25,809.33,816.76,2937266
2017-09-13,816.16,851.78,814.38,844.4,13282399
2017-09-14,847.71,853.36,834.09,836.27,5346526
2017-09-15,833.65,844.84,826.96,834.09,12940726
2017-09-18,843.06,843.06,835.18,837.26,2279769
2017-09-19,840.78,840.78,829.14,831.12,3491328
2017-09-20,850.34,863.86,837.16,840.04,11202892
2017-09-21,839.05,843.7,828.69,835.03,5843435
2017-09-22,830.58,830.58,806.21,809.28,5554243
2017-09-25,805.66,820.13,797.69,813.39,6440111
2017-09-26,814.03,819.28,804.57,811.51,4779265
2017-09-27,817.25,817.25,788.23,790.9,8343344
