date,open,high,low,close,volume
2017-07-03,618.0,625.95,611.5,624.0,774881
2017-07-04,628.95,631.6,623.0,624.0,730282
2017-07-05,625.0,647.0,622.85,647.0,1512920
2017-07-06,653.95,657.4,642.2,644.1,1653805
2017-07-07,644.1,653.3,639.0,649.0,1020459
2017-07-10,649.0,652.4,647.7,649.0,25769864302
2017-07-11,651.0,652.0,634.75,637.7,616013
2017-07-12,640.0,649.7,638.0,643.9,601387
2017-07-13,643.85,645.7,637.7,641.0,339796
2017-07-14,640.8,642.35,633.2,640.5,447210
2017-07-17,639.85,641.85,628.2,631.75,680781
2017-07-18,630.05,634.85,621.0,622.95,585816
2017-07-19,625.7,631.25,623.3,628.7,599439
2017-07-20,627.2,630.35,623.6,626.8,244261
2017-07-21,626.1,628.05,619.5,624.05,683761
2017-07-24,624.65,627.9,615.1,615.5,309536
2017-07-25,620.0,625.6,617.2,619.0,274889
2017-07-26,617.1,630.1,617.1,626.1,568067
2017-07-27,628.0,634.7,619.0,620.5,572467
2017-07-28,624.15,628.8,619.55,622.55,448969
2017-07-31,612.0,622.25,611.5,619.0,529160
2017-08-01,621.0,624.35,613.1,613.8,314045
2017-08-02,618.95,622.35,610.3,612.1,459242
2017-08-03,616.9,616.9,596.75,597.1,634258
2017-08-04,600.65,607.55,594.2,605.7,1221263
2017-08-07,607.6,611.75,605.2,606.0,351119
2017-08-08,609.0,613.55,592.15,595.5,544153
2017-08-09,584.9,584.9,562.6,577.0,2192859
2017-08-10,574.5,587.9,562.35,580.0,1065373
2017-08-11,567.0,583.8,560.65,576.9,784879
2017-08-14,578.0,594.0,578.0,592.0,314654
2017-08-16,593.9,603.9,586.0,603.0,366253
2017-08-17,603.5,605.3,588.85,589.0,376598
2017-08-18,585.7,598.8,583.55,592.4,463882
2017-08-21,594.0,598.7,585.3,588.0,421951
2017-08-22,589.0,594.0,576.5,582.0,509635
2017-08-23,585.95,592.0,582.8,589.5,512901
2017-08-24,590.8,597.55,575.0,583.9,391257
2017-08-28,586.0,595.2,584.0,590.5,1115967
2017-08-29,589.85,596.8,585.0,587.0,338690
2017-08-30,590.0,596.6,586.0,586.75,596601
2017-08-31,591.7,593.4,582.1,585.0,750350
2017-09-01,586.85,591.5,584.0,587.5,192016
2017-09-04,587.45,589.5,571.0,579.0,1012130
2017-09-05,582.0,584.6,574.25,575.2,1050613
2017-09-06,572.0,583.4,568.2,582.0,584309
2017-09-07,575.35,622.5,575.35,618.15,2087945
2017-09-08,624.0,628.0,613.9,621.25,1682206
2017-09-11,630.0,630.0,618.3,620.25,386676
2017-09-12,623.7,636.0,623.0,632.0,867686
2017-09-13,639.15,647.0,632.05,637.5,2140252
2017-09-14,650.0,653.5,635.0,637.6,1060484
2017-09-15,636.9,640.7,628.65,636.55,425203
2017-09-18,639.95,646.5,637.25,643.0,506823
2017-09-19,647.5,667.5,642.0,659.45,2074474
2017-09-20,660.9,660.9,643.1,644.9,805859
2017-09-21,646.95,649.4,636.0,641.9,572638
2017-09-22,638.45,638.45,612.25,612.25,972620
2017-09-25,611.1,620.95,597.45,619.65,519952
2017-09-26,615.0,633.3,612.95,624.0,529683
2017-09-27,628.9,628.9,612.2,620.0,396556
2017-09-28,624.0,641.9,611.0,637.5,2136292
2017-09-29,639.7,645.5,631.0,645.0,1130212
2017-10-03,647.0,648.0,637.05,638.35,399481
2017-10-04,639.25,643.0,634.5,638.2,291127
2017-10-05,636.85,677.7,636.85,667.9,1744172
2017-10-06,674.0,687.7,668.4,678.4,2348968
2017-10-09,685.0,692.0,678.75,681.9,1211885
2017-10-10,684.2,687.3,677.7,682.7,406941
2017-10-11,684.9,702.3,672.5,681.55,2966833
2017-10-12,686.75,701.75,681.0,694.35,1218252
2017-10-13,696.55,700.7,687.55,692.0,1131109
2017-10-16,690.25,700.0,685.25,697.5,618089
2017-10-17,699.7,724.95,698.1,724.4,3094606
2017-10-18,724.4,730.75,716.8,726.2,4297949779
2017-10-23,714.0,734.0,714.0,730.0,3224699511
2017-10-24,734.95,751.5,729.0,746.05,1806941
2017-10-25,748.0,750.0,734.0,742.0,567091
2017-10-26,742.0,765.6,734.5,754.8,2521811
2017-10-27,759.0,759.2,739.3,742.95,668866
2017-10-30,745.9,755.6,738.0,739.05,421317
2017-10-31,740.5,747.8,730.75,732.5,582022
2017-11-01,739.0,744.35,727.15,729.8,1984225
2017-11-02,730.2,736.45,712.15,716.8,807882
2017-11-03,733.45,734.0,721.0,730.85,1008819
2017-11-06,734.0,751.9,727.1,735.05,1256192
2017-11-07,749.15,748.05,703.0,710.0,1564435
2017-11-08,712.0,719.0,705.0,712.35,695085
2017-11-09,714.0,724.6,706.5,719.9,657013
2017-11-10,719.0,723.7,710.95,718.95,534744
2017-11-13,720.0,738.0,715.25,720.0,2234228
2017-11-14,721.95,730.0,712.6,713.1,747935
2017-11-15,710.0,722.75,703.6,707.0,482626
2017-11-16,707.0,716.95,705.0,714.2,409807
2017-11-17,716.0,725.0,714.45,714.75,544530
2017-11-20,719.75,741.2,713.0,740.0,918119
2017-11-21,745.95,749.9,732.65,735.95,1139228
2017-11-22,738.0,748.65,729.0,736.8,1052680
2017-11-23,740.0,745.95,731.65,738.0,704164
