date,open,high,low,close,volume
2017-07-03,541.0,554.4,539.5,550.75,614309
2017-07-04,552.0,579.35,548.7,574.5,1842228
2017-07-05,578.9,579.2,568.0,570.4,850601
2017-07-06,570.4,573.7,561.0,561.6,304827
2017-07-07,560.9,579.0,560.9,571.95,1166753
2017-07-10,590.0,590.0,570.0,578.5,21474999155
2017-07-11,578.5,583.5,555.65,560.6,443011
2017-07-12,563.0,568.25,559.0,562.25,579408
2017-07-13,562.9,569.45,560.8,564.5,145745
2017-07-14,564.9,564.9,555.05,558.7,142073
2017-07-17,562.0,562.75,553.5,554.4,173863
2017-07-18,553.0,573.85,552.0,572.1,655445
2017-07-19,573.95,576.7,569.2,571.8,467062
2017-07-20,573.9,582.0,566.45,573.85,633050
2017-07-21,583.05,588.5,571.3,579.6,1340459
2017-07-24,579.95,595.65,577.0,588.25,1419452
2017-07-25,589.8,595.5,581.0,581.95,846570
2017-07-26,585.4,589.7,583.0,583.75,673846
2017-07-27,587.4,590.0,569.0,570.0,1130226
2017-07-28,568.0,580.9,565.2,575.0,484984
2017-07-31,578.0,589.9,575.5,588.5,865178
2017-08-01,589.5,593.35,582.35,587.0,773803
2017-08-02,587.5,590.6,582.0,585.5,489480
2017-08-03,601.0,625.9,597.15,620.5,8399300
2017-08-04,622.0,635.85,621.0,631.95,2400561
2017-08-07,633.0,644.2,633.0,640.05,1081873
2017-08-08,639.3,648.0,627.45,633.4,696572
2017-08-09,634.0,646.85,629.2,634.45,717743
2017-08-10,635.0,643.7,622.2,636.45,800267
2017-08-11,621.0,644.35,621.0,636.55,1317197
2017-08-14,641.45,665.3,639.3,660.8,1753371
2017-08-16,663.3,675.3,658.05,675.3,1246955
2017-08-17,674.0,685.4,666.7,674.95,934409
2017-08-18,673.95,686.3,670.05,679.0,1146540
2017-08-21,679.1,688.35,663.9,669.0,819855
2017-08-22,677.3,690.4,665.0,686.1,1565391
2017-08-23,686.2,693.3,675.15,676.25,874998
2017-08-24,679.4,680.45,666.1,669.0,625718
2017-08-28,669.65,684.0,668.9,682.0,656408
2017-08-29,683.25,688.35,675.0,675.2,706224
2017-08-30,685.0,694.95,680.7,686.9,931579
2017-08-31,688.35,695.0,678.2,681.0,655436
2017-09-01,685.0,688.2,680.15,685.3,341661
2017-09-04,685.1,699.5,676.0,682.0,774106
2017-09-05,688.0,692.2,683.2,688.2,305809
2017-09-06,686.5,698.95,683.0,693.25,803946
2017-09-07,694.9,699.75,688.1,688.95,451338
2017-09-08,691.8,695.05,687.0,689.95,377506
2017-09-11,694.9,722.9,694.0,722.9,2420637
2017-09-12,723.95,727.35,713.7,720.0,781369
2017-09-13,720.85,726.1,706.0,710.0,582940
2017-09-14,711.0,726.0,710.1,723.65,444468
2017-09-15,720.15,725.0,714.6,719.3,257045
2017-09-18,721.95,737.6,719.75,729.5,896113
2017-09-19,732.0,740.7,731.05,735.5,883892
2017-09-20,738.9,738.9,725.1,729.0,214855
2017-09-21,729.0,749.6,724.25,748.45,678232
2017-09-22,743.0,743.5,722.5,723.55,516371
2017-09-25,721.7,724.95,702.45,711.9,348339
2017-09-26,712.0,713.35,685.7,690.0,795958
2017-09-27,696.0,696.7,678.3,682.9,564132
2017-09-28,676.5,698.0,668.5,697.25,502993
2017-09-29,698.95,698.95,684.45,693.4,334618
2017-10-03,692.25,697.8,685.0,696.85,339358
2017-10-04,698.95,733.7,698.1,732.5,2020480
2017-10-05,730.9,732.0,721.0,727.0,428209
2017-10-06,726.9,747.0,726.0,738.05,1516529
2017-10-09,738.75,763.8,734.7,763.0,1180659
2017-10-10,767.0,784.1,762.4,780.0,2160817
2017-10-11,782.8,783.5,760.1,768.5,844548
2017-10-12,767.9,776.0,762.2,772.5,577601
2017-10-13,774.0,793.05,768.05,790.9,1093797
2017-10-16,792.0,796.0,781.15,783.25,591138
2017-10-17,783.55,789.05,777.1,785.0,338750
2017-10-18,783.0,804.65,781.65,801.7,3687659135
2017-10-23,789.5,807.95,789.5,794.05,7957362915
2017-10-24,793.8,800.95,783.25,788.0,383874
2017-10-25,795.5,796.0,778.55,781.6,263594
2017-10-26,781.6,784.75,766.7,772.55,1557845
2017-10-27,773.55,784.5,771.0,778.8,356265
2017-10-30,783.0,823.95,780.6,821.3,1921209
2017-10-31,819.0,825.3,808.8,813.0,576572
2017-11-01,809.55,832.8,810.0,811.55,1309227
2017-11-02,809.7,823.2,808.1,813.35,346877
2017-11-03,817.75,825.5,809.95,811.15,428757
2017-11-06,813.05,821.95,808.8,813.0,210129
2017-11-07,811.5,810.55,775.45,779.15,700650
2017-11-08,778.0,786.1,767.6,780.0,512752
2017-11-09,776.8,809.9,777.0,809.9,569823
2017-11-10,802.85,814.5,791.0,799.0,672202
2017-11-13,800.0,804.05,788.0,791.5,250473
2017-11-14,793.05,809.0,774.0,779.0,2338615
2017-11-15,787.2,786.95,738.4,739.0,1708117
2017-11-16,740.0,748.95,730.0,746.0,678108
2017-11-17,752.95,759.35,744.3,750.35,471438
2017-11-20,752.05,753.55,736.55,738.05,519191
2017-11-21,742.3,769.9,743.0,769.1,769912
2017-11-22,780.0,794.3,744.0,747.5,3839083
2017-11-23,752.0,760.0,741.5,745.05,990538
2017-11-24,727.65,743.9,730.1,740.65,1404853
2017-11-27,742.0,754.9,735.7,754.9,559426
2017-11-28,751.0,757.8,738.3,741.0,758512
2017-11-29,743.0,751.05,738.0,747.35,671306
2017-11-30,744.9,745.0,730.5,734.5,1090396
2017-12-01,737.0,743.4,725.15,729.0,610966
2017-12-04,733.5,733.9,710.0,719.95,881738
2017-12-05,717.55,728.55,707.8,728.0,799061
2017-12-06,723.65,742.2,718.0,729.15,822823
2017-12-07,733.95,739.5,725.05,726.5,643821
2017-12-08,732.5,744.7,728.05,733.0,610614
2017-12-11,736.0,746.0,733.7,735.0,445209
2017-12-12,736.55,736.55,716.1,716.7,606340
2017-12-13,716.0,724.4,711.05,718.95,469952
2017-12-14,721.65,727.95,711.5,717.5,531575
2017-12-15,728.05,741.95,722.05,723.0,992554
2017-12-18,720.0,738.0,704.65,729.05,903705
2017-12-19,733.9,738.95,728.1,734.4,624395
2017-12-20,736.0,754.6,735.0,752.3,1275410
2017-12-21,763.95,760.0,746.5,752.0,601818
2017-12-22,753.0,757.5,745.85,750.0,501565
2017-12-26,750.0,761.0,746.5,755.0,397680
2017-12-27,753.8,763.5,750.0,752.45,564074
2017-12-28,745.0,759.1,740.25,744.5,463849
2017-12-29,747.95,751.2,745.0,749.0,362944
2018-01-01,751.95,758.4,745.05,756.5,555976
2018-01-02,757.0,761.85,744.6,752.0,499165
2018-01-03,756.8,774.0,752.65,774.0,1332906
2018-01-04,779.95,778.6,764.25,768.2,930651
2018-01-05,770.0,771.75,760.8,763.5,418138
2018-01-08,764.0,768.0,758.5,761.5,460915
2018-01-09,762.55,765.4,745.0,748.45,583339
2018-01-10,747.0,760.75,740.9,752.05,977891
2018-01-11,748.1,754.4,746.45,749.9,727199
2018-01-12,753.55,754.5,731.45,744.0,521071
2018-01-15,752.9,754.95,742.25,743.1,426726
2018-01-16,746.8,747.1,725.4,730.0,435588
2018-01-17,727.0,739.4,708.6,723.0,573781
2018-01-18,725.1,735.85,715.95,717.75,375882
2018-01-19,719.3,723.0,709.0,715.6,553128
2018-01-22,717.0,732.0,715.3,731.1,357039
2018-01-23,730.55,738.0,721.5,731.0,539037
2018-01-24,731.0,732.65,720.0,724.0,180888
2018-01-25,724.05,724.35,703.0,709.0,488305
2018-01-29,713.0,716.75,701.55,714.05,901483
2018-01-30,713.5,720.75,705.1,709.4,375583
2018-01-31,710.1,717.2,700.1,705.0,289663
2018-02-01,706.95,717.8,695.25,711.0,665521
2018-02-02,706.95,707.55,684.4,689.45,910816
2018-02-05,680.0,695.5,661.2,693.0,432145
2018-02-06,660.0,686.55,653.15,681.3,574057
2018-02-07,684.0,703.0,682.0,695.0,264090
2018-02-08,700.05,719.25,698.3,710.3,786963
2018-02-09,698.0,719.0,693.0,715.1,565093
2018-02-12,734.6,730.1,711.8,713.0,747379
2018-02-14,715.0,725.0,713.75,719.0,622917
2018-02-15,718.25,729.9,714.25,720.0,565185
2018-02-16,720.0,728.35,693.75,700.25,613770
2018-02-19,701.2,715.0,696.0,714.65,481608
2018-02-20,714.65,718.7,710.15,711.6,332892
2018-02-21,712.4,720.2,701.95,703.45,319754
2018-02-22,703.8,709.0,696.1,699.0,304517
2018-02-23,700.35,721.8,700.85,719.0,267477
2018-02-26,724.0,732.5,720.05,727.5,417400
2018-02-27,731.0,740.7,719.0,722.0,836406
2018-02-28,715.0,735.2,714.0,731.7,513703
2018-03-01,729.95,736.85,721.1,724.7,399849
2018-03-05,722.0,726.25,714.2,717.0,255008
2018-03-06,720.0,724.5,711.0,714.5,424175
2018-03-07,713.0,718.75,705.05,705.25,421895
2018-03-08,707.8,718.9,696.55,717.0,330062
2018-03-09,725.0,725.0,704.0,704.1,576997
2018-03-12,705.1,722.0,705.9,710.95,471554
2018-03-13,701.3,717.45,701.3,713.6,563836
2018-03-14,712.95,713.9,704.2,706.65,340474
2018-03-15,711.0,716.35,702.0,711.1,505375
2018-03-16,711.0,714.75,697.0,701.15,469745
2018-03-19,699.9,704.5,674.0,678.75,532823
2018-03-20,677.95,698.0,673.9,694.3,468632
2018-03-21,697.5,709.6,696.4,709.0,526200
2018-03-22,708.55,717.6,703.0,706.9,579587
2018-03-23,698.0,713.8,688.8,711.05,392343
2018-03-26,711.05,747.55,711.05,745.1,1283094
2018-03-27,749.9,753.5,734.8,744.85,635833
2018-03-28,731.1,754.8,727.0,730.0,1329192
2018-04-02,735.3,755.0,731.35,754.4,713786
2018-04-03,750.0,754.9,739.55,750.9,355067
2018-04-04,752.0,773.4,740.0,744.8,1518341
2018-04-05,748.0,770.0,749.55,765.75,903136
2018-04-06,768.0,775.0,763.85,773.9,565729
2018-04-09,776.7,782.7,771.5,774.5,435286
2018-04-10,772.25,781.5,761.0,770.45,425314
2018-04-11,772.0,794.35,764.6,793.1,873012
2018-04-12,794.9,800.85,768.45,770.95,1600463
2018-04-13,775.0,778.7,767.1,769.95,526462
2018-04-16,768.0,786.15,763.7,783.0,749448
2018-04-17,789.95,790.9,779.0,782.9,543616
2018-04-18,783.75,783.75,770.4,778.0,505393
2018-04-19,777.9,777.9,766.0,768.0,276986
2018-04-20,769.9,807.4,763.3,799.0,1209262
2018-04-23,802.0,802.0,782.2,784.45,870195
2018-04-24,785.0,804.55,781.5,785.45,867438
2018-04-25,783.0,792.2,774.55,781.55,544297
2018-04-26,781.0,788.5,772.75,780.1,452539
2018-04-27,785.0,797.65,780.15,790.95,723001
2018-04-30,810.0,816.7,798.7,799.5,1389516
2018-05-02,802.0,807.0,768.0,782.0,608937
2018-05-03,780.3,781.85,763.0,770.35,454663
2018-05-04,768.15,789.05,767.25,776.55,599711
2018-05-07,776.95,794.25,776.95,785.1,540888
2018-05-08,786.5,794.2,782.2,784.45,314283
2018-05-09,782.25,802.7,782.1,790.5,767460
2018-05-10,795.6,797.0,776.0,776.1,356896
2018-05-11,783.0,792.55,773.65,790.0,567698
2018-05-14,788.0,795.95,775.5,777.0,459106
2018-05-15,778.0,802.0,747.9,762.55,1080743
2018-05-16,761.0,775.0,755.7,760.5,506001
2018-05-17,760.3,768.75,752.85,756.0,396464
2018-05-18,756.2,761.0,746.05,754.85,453312
2018-05-21,759.4,761.0,740.6,746.2,458263
2018-05-22,744.0,755.0,735.3,754.9,844221
2018-05-23,755.1,782.2,753.7,756.35,1963620
2018-05-24,765.9,766.0,744.35,751.15,665239
2018-05-25,748.55,772.0,748.55,762.45,899135
2018-05-28,765.0,786.0,764.0,777.0,868758
2018-05-29,780.65,780.65,761.85,771.05,549439
2018-05-30,765.15,798.0,763.1,792.6,1329521
2018-05-31,800.0,800.0,773.5,786.0,1315410
2018-06-01,783.9,793.65,755.05,763.95,800335
2018-06-04,767.65,776.0,748.0,749.0,504680
2018-06-05,748.7,758.85,739.2,751.65,691034
2018-06-06,748.55,754.95,742.4,754.0,495634
2018-06-07,756.1,769.7,756.1,763.7,467520
2018-06-08,763.5,772.0,752.1,767.0,592140
