date,open,high,low,close,volume
2017-07-03,228.7,232.5,225.7,227.4,200494
2017-07-04,229.6,229.6,223.75,223.75,104516
2017-07-05,224.0,229.85,221.1,225.0,199374
2017-07-06,227.5,231.45,223.95,225.95,444460
2017-07-07,227.0,229.0,224.3,226.0,592092
2017-07-10,226.0,226.0,223.1,223.55,21474872142
2017-07-11,226.0,227.1,218.4,219.1,270660
2017-07-12,219.25,223.75,219.25,221.7,129833
2017-07-13,222.0,225.1,219.85,221.6,439894
2017-07-14,219.25,222.8,215.2,217.0,479024
2017-07-17,219.4,219.4,213.45,214.35,819160
2017-07-18,214.95,214.95,202.0,208.3,1250286
2017-07-19,211.85,212.95,201.7,204.2,1003810
2017-07-20,203.15,207.95,203.15,206.4,3093406
2017-07-21,207.35,210.0,200.05,204.4,1846973
2017-07-24,205.95,209.4,204.25,205.5,1778424
2017-07-25,207.0,207.4,203.55,204.4,170228
2017-07-26,204.25,207.95,203.15,206.5,832068
2017-07-27,207.0,211.4,203.2,209.0,1632969
2017-07-28,205.5,211.0,205.5,208.95,1727809
2017-07-31,210.8,219.0,209.4,218.5,1536901
2017-08-01,220.0,220.0,211.05,216.25,588323
2017-08-02,216.0,219.25,212.15,215.0,212886
2017-08-03,213.05,215.8,213.05,214.55,1189945
2017-08-04,213.0,217.5,211.45,216.25,885690
2017-08-07,216.25,217.85,214.5,215.75,590536
2017-08-08,215.2,219.0,213.85,219.0,230510
2017-08-09,215.05,218.85,215.0,215.5,882847
2017-08-10,213.0,218.0,213.0,216.5,964055
2017-08-11,213.0,226.6,211.5,226.0,568576
2017-08-14,226.0,228.8,220.3,225.1,931030
2017-08-16,225.2,232.0,223.2,225.0,371865
2017-08-17,225.4,229.7,222.2,224.4,276160
2017-08-18,224.1,228.0,223.3,225.45,270630
2017-08-21,222.4,229.6,222.4,226.35,259505
2017-08-22,226.95,228.5,215.5,216.65,350120
2017-08-23,217.35,218.35,212.7,215.2,978555
2017-08-24,215.4,217.5,211.95,214.3,489558
2017-08-28,214.25,220.75,212.2,219.5,499295
2017-08-29,220.0,222.75,214.5,216.5,250852
2017-08-30,217.5,220.2,215.8,219.8,181243
2017-08-31,220.8,220.8,217.05,219.75,137600
2017-09-01,219.0,224.75,217.0,217.3,556532
2017-09-04,217.9,219.95,215.0,217.5,250350
2017-09-05,217.5,219.05,215.0,216.5,158687
2017-09-06,216.6,218.2,215.3,216.05,120396
2017-09-07,217.5,219.15,215.65,216.15,237213
2017-09-08,217.65,218.45,214.9,215.7,190298
2017-09-11,217.7,217.8,210.5,214.2,1423528
2017-09-12,215.8,218.95,215.0,216.6,1003872
2017-09-13,217.0,225.9,216.3,221.25,598564
2017-09-14,222.2,223.65,217.9,218.1,226765
2017-09-15,218.8,223.95,213.05,214.5,1024451
2017-09-18,219.45,226.85,218.05,220.8,661463
2017-09-19,219.35,220.95,218.0,219.65,142300
2017-09-20,219.9,225.7,218.0,221.15,540196
2017-09-21,222.8,222.8,215.3,217.75,622191
2017-09-22,216.45,218.0,210.0,210.4,398184
2017-09-25,210.95,210.95,204.5,206.35,458148
2017-09-26,207.75,214.75,206.3,210.75,364885
2017-09-27,210.75,212.0,205.25,208.5,2046348
2017-09-28,207.45,209.85,205.0,207.5,338973
2017-09-29,207.8,211.35,207.45,208.5,462381
2017-10-03,212.0,219.6,211.0,216.0,941625
2017-10-04,218.3,218.3,213.7,214.5,461681
2017-10-05,213.15,217.25,213.15,216.0,246376
2017-10-06,219.95,224.7,218.55,223.95,359029
2017-10-09,225.0,225.0,216.55,217.0,182387
2017-10-10,218.6,219.65,211.25,212.1,881777
2017-10-11,212.1,216.0,210.3,212.95,1054303
2017-10-12,212.0,213.35,208.75,210.8,1217808
2017-10-13,210.0,212.05,208.6,210.05,497549
2017-10-16,211.15,218.0,210.65,216.1,600239
2017-10-17,217.9,218.0,211.1,211.4,292951
2017-10-18,211.6,214.65,210.0,212.3,16274974795
2017-10-23,216.5,226.25,216.0,222.15,14727228347
2017-10-24,223.55,224.4,217.0,220.0,450450
2017-10-25,220.0,222.5,212.25,220.0,1055511
2017-10-26,220.6,222.0,214.4,216.65,796962
2017-10-27,228.0,229.55,215.6,219.0,2952141
