date,open,high,low,close,volume
2017-07-03,536.95,536.95,527.5,531.05,1290927
2017-07-04,533.9,538.65,526.0,534.25,1620607
2017-07-05,537.0,538.95,530.5,531.65,890323
2017-07-06,532.8,536.5,528.9,533.85,1427788
2017-07-07,533.85,538.9,529.0,534.0,1723406
2017-07-10,535.0,538.0,523.2,536.5,21475344647
2017-07-11,537.9,537.9,526.35,528.0,944005
2017-07-12,532.0,534.85,528.25,530.55,853845
2017-07-13,526.0,537.0,526.0,534.0,1055087
2017-07-14,538.3,541.85,532.1,532.6,1126600
2017-07-17,535.5,538.75,531.25,531.5,1304297
2017-07-18,531.85,536.8,526.7,528.0,1386199
2017-07-19,528.8,535.15,527.5,532.15,840513
2017-07-20,531.6,535.65,528.4,529.5,590298
2017-07-21,531.65,545.5,530.6,545.5,1144753
2017-07-24,544.95,546.95,535.8,536.85,1114359
2017-07-25,539.0,542.7,534.55,535.0,720696
2017-07-26,535.7,541.0,533.2,536.7,814973
2017-07-27,537.9,539.7,525.0,528.3,1801017
2017-07-28,527.35,535.0,525.85,533.8,675900
2017-07-31,528.9,546.6,528.85,544.0,1112347
2017-08-01,546.5,549.9,538.1,538.3,1343928
2017-08-02,542.0,555.4,538.7,553.0,1465445
2017-08-03,555.95,565.35,547.75,556.6,4326613
2017-08-04,565.0,616.35,565.0,610.75,14917213
2017-08-07,606.5,618.3,602.1,612.35,2462755
2017-08-08,607.2,615.75,604.0,610.2,1885450
2017-08-09,611.0,627.25,606.2,618.85,4436352
2017-08-10,616.8,618.85,601.6,614.0,1373683
2017-08-11,603.65,617.5,602.0,611.65,1485533
2017-08-14,611.05,636.5,611.05,633.0,2942280
2017-08-16,634.15,638.25,619.3,627.85,2070313
2017-08-17,628.15,631.55,619.2,623.45,936701
2017-08-18,620.0,630.35,616.6,623.85,1399639
2017-08-21,624.0,630.0,613.0,614.0,1007314
2017-08-22,617.1,627.2,610.15,616.0,1366787
2017-08-23,618.1,620.0,602.2,607.5,2029407
2017-08-24,609.95,613.8,603.5,605.95,1114459
2017-08-28,602.05,614.25,600.1,612.0,1282104
2017-08-29,610.25,613.7,598.65,600.65,1076375
2017-08-30,608.0,614.85,604.0,611.0,976559
2017-08-31,610.0,621.0,608.0,618.9,1815215
2017-09-01,618.0,619.95,610.2,613.5,515366
2017-09-04,610.0,620.0,606.5,612.1,538297
2017-09-05,613.0,642.0,610.0,638.9,3634708
2017-09-06,636.8,651.0,636.0,641.9,3280708
2017-09-07,641.5,644.65,629.6,637.7,1504875
2017-09-08,640.7,645.9,631.0,631.6,1681463
2017-09-11,637.0,637.95,631.9,632.65,737770
2017-09-12,636.9,640.7,632.35,637.45,1101184
2017-09-13,638.0,648.25,627.7,629.0,1345274
2017-09-14,631.3,636.95,628.35,631.1,702653
2017-09-15,630.0,633.2,622.65,631.65,1065680
2017-09-18,635.65,650.45,627.95,644.1,1407703
2017-09-19,651.9,651.95,640.0,640.05,1202439
2017-09-20,639.3,645.9,628.35,629.9,1304638
2017-09-21,631.6,638.1,615.9,618.45,1386436
2017-09-22,617.0,617.5,600.0,601.5,981081
2017-09-25,603.0,611.45,584.8,603.0,1000838
2017-09-26,606.9,606.9,588.05,591.2,818942
2017-09-27,601.55,601.55,586.05,588.0,1071225
2017-09-28,590.5,590.6,571.0,572.1,1799257
2017-09-29,581.3,587.0,563.65,584.2,3135218
2017-10-03,589.45,601.8,589.35,600.25,1793471
2017-10-04,603.4,608.5,598.95,600.25,1258594
2017-10-05,602.9,603.45,594.35,595.0,654771
2017-10-06,599.55,604.9,594.9,595.4,907352
2017-10-09,623.7,626.0,613.45,616.0,2443972
2017-10-10,619.75,621.3,613.7,614.8,782533
2017-10-11,619.35,623.7,607.65,610.65,1164538
2017-10-12,613.8,626.5,608.1,623.0,2281613
2017-10-13,626.2,633.5,622.0,623.0,1646832
2017-10-16,624.25,631.0,622.25,627.55,727788
2017-10-17,628.5,631.95,624.0,626.9,705657
2017-10-18,626.85,626.85,611.0,612.9,7013692686
2017-10-23,602.0,607.95,594.9,604.05,6731947363
2017-10-24,604.05,611.45,600.1,605.7,537708
2017-10-25,610.0,613.0,589.55,589.95,1095276
2017-10-26,587.0,598.55,582.1,583.0,1706101
2017-10-27,588.3,592.1,583.8,590.65,1200915
2017-10-30,590.05,622.0,590.05,619.2,1374425
2017-10-31,623.85,639.5,621.4,637.25,1879069
2017-11-01,640.0,643.05,634.6,638.0,964617
2017-11-02,635.05,661.8,636.1,661.25,1678413
2017-11-03,664.0,668.0,652.0,657.5,2403311
2017-11-06,725.7,822.7,729.0,780.0,21757176
2017-11-07,778.0,779.65,748.5,753.0,5815608
2017-11-08,757.55,760.9,739.0,744.85,2986152
2017-11-09,740.2,779.5,744.35,777.0,5208700
2017-11-10,769.15,791.85,766.6,782.05,3214653
2017-11-13,780.0,790.0,762.3,765.0,1078826
2017-11-14,765.0,783.2,757.65,774.9,1511962
2017-11-15,745.0,778.0,758.6,770.0,1508285
2017-11-16,771.2,777.6,765.9,771.0,793946
2017-11-17,778.4,797.95,774.5,784.7,2401179
2017-11-20,791.1,793.4,778.0,784.0,1243337
2017-11-21,789.0,819.3,788.3,819.0,4965354
2017-11-22,820.0,826.5,810.65,811.95,4203523
2017-11-23,815.0,820.45,794.65,804.9,1685712
2017-11-24,806.95,831.5,796.75,830.25,2729285
2017-11-27,838.9,837.0,825.8,832.8,3528255
2017-11-28,832.0,832.4,815.0,820.0,1745790
2017-11-29,820.0,828.45,813.0,815.4,1657397
2017-11-30,812.0,822.45,808.1,819.0,2805552
2017-12-01,821.0,825.7,799.0,804.45,1561148
2017-12-04,805.15,813.7,798.0,804.55,1288915
2017-12-05,808.75,810.0,787.15,792.7,1135242
2017-12-06,790.95,795.0,770.35,773.05,1740595
2017-12-07,775.0,807.0,773.95,806.0,2084238
2017-12-08,795.25,821.2,798.95,807.6,2826829
2017-12-11,813.0,824.95,811.0,818.1,1787255
2017-12-12,820.25,831.6,814.45,821.05,2323100
2017-12-13,821.5,844.2,812.0,821.6,3126743
2017-12-14,820.0,827.6,805.1,817.05,3014740
2017-12-15,826.25,836.0,818.5,831.45,1995375
2017-12-18,830.0,846.35,806.6,837.5,1696975
2017-12-19,845.0,871.0,843.4,871.0,3305449
2017-12-20,869.35,871.95,861.3,863.95,1100848
2017-12-21,862.9,866.0,855.25,857.05,895813
2017-12-22,859.0,868.55,853.9,854.95,1379502
2017-12-26,857.0,863.9,852.55,857.0,1465872
2017-12-27,856.4,860.2,842.0,843.3,733357
2017-12-28,849.85,856.3,840.6,854.0,977124
2017-12-29,854.5,863.6,851.4,858.35,1243997
2018-01-01,857.7,862.0,851.15,853.8,472053
2018-01-02,854.1,858.45,840.6,845.35,1181166
2018-01-03,863.9,869.0,853.0,854.5,2595943
2018-01-04,864.4,897.45,853.15,894.55,3025399
2018-01-05,895.0,913.5,894.1,909.0,4027925
2018-01-08,911.0,929.7,906.75,924.7,2109632
2018-01-09,925.0,938.5,917.35,932.0,2414644
2018-01-10,932.5,935.0,911.9,915.0,1598949
2018-01-11,916.9,917.7,903.55,905.4,1595571
2018-01-12,906.0,917.4,892.45,901.95,1869932
2018-01-15,909.0,921.9,898.0,919.0,2192602
2018-01-16,927.0,925.5,882.6,892.85,2372263
2018-01-17,892.8,895.55,862.5,895.0,2552417
