date,open,high,low,close,volume
2017-07-03,460.0,470.7,453.75,468.3,931247
2017-07-04,468.05,469.35,460.65,461.35,1039036
2017-07-05,462.4,478.6,461.95,477.0,1100857
2017-07-06,475.75,477.0,469.0,469.8,965525
2017-07-07,470.35,473.0,465.5,465.5,704275
2017-07-10,465.5,469.75,464.95,467.0,25769933973
2017-07-11,469.65,471.75,460.35,462.7,406080
2017-07-12,463.7,475.0,462.9,472.8,1107396
2017-07-13,476.0,486.4,472.0,486.0,1559173
2017-07-14,486.9,488.95,479.95,481.0,1135073
2017-07-17,484.6,486.75,480.3,483.45,590871
2017-07-18,482.8,490.85,480.65,485.05,1239860
2017-07-19,487.95,495.45,484.1,493.0,1121743
2017-07-20,493.95,494.7,488.5,489.35,534449
2017-07-21,492.0,501.4,489.3,500.0,1786496
2017-07-24,498.5,505.3,494.0,504.0,958036
2017-07-25,502.3,507.5,498.3,502.55,1687166
2017-07-26,502.1,506.75,498.3,499.7,804462
2017-07-27,501.0,520.75,498.3,517.6,2315269
2017-07-28,512.05,516.9,507.55,508.5,1118917
2017-07-31,510.0,510.8,502.3,505.05,768116
2017-08-01,507.0,535.0,506.05,533.05,3086719
2017-08-02,534.8,555.85,522.2,543.55,6305744
2017-08-03,540.0,550.0,532.95,539.95,2365037
2017-08-04,535.25,544.65,530.05,542.3,959092
2017-08-07,544.0,546.1,535.15,537.0,782204
2017-08-08,536.85,541.8,528.2,535.25,876468
2017-08-09,533.2,537.4,524.4,525.5,894822
2017-08-10,522.5,531.8,513.65,521.9,1085430
2017-08-11,512.0,523.35,505.6,518.0,929076
2017-08-14,517.55,556.45,517.55,556.0,2649226
2017-08-16,553.8,553.85,540.4,543.8,1446800
2017-08-17,544.0,553.15,539.85,543.0,1253032
2017-08-18,541.35,541.5,530.2,539.0,674257
2017-08-21,538.9,544.85,529.65,530.35,685581
2017-08-22,532.05,534.15,522.6,525.25,971465
2017-08-23,526.05,527.45,515.65,522.1,837253
2017-08-24,522.0,525.0,517.85,520.9,952383
2017-08-28,521.05,542.75,521.05,538.05,1966982
2017-08-29,537.4,537.5,518.45,520.8,1683177
2017-08-30,525.3,528.9,520.3,524.85,1050497
2017-08-31,524.0,528.55,518.55,525.7,2168631
2017-09-01,525.45,532.0,525.1,526.0,1187323
2017-09-04,526.8,526.9,509.6,519.4,1232891
2017-09-05,520.45,526.6,519.2,522.4,696059
2017-09-06,518.0,528.75,516.65,527.0,585038
2017-09-07,529.95,539.25,529.0,534.0,1205543
2017-09-08,534.9,543.9,533.1,538.0,1193003
2017-09-11,539.9,540.8,529.0,534.65,1027674
2017-09-12,537.35,564.9,536.05,562.2,2591720
2017-09-13,563.0,564.95,547.45,549.2,1602306
2017-09-14,550.4,555.0,543.1,543.55,642012
2017-09-15,540.95,547.0,533.05,543.25,1102294
2017-09-18,548.15,558.0,547.5,553.0,896826
2017-09-19,553.0,555.25,546.1,550.0,504449
2017-09-20,550.95,554.45,545.5,548.3,651385
2017-09-21,549.15,551.35,532.1,533.0,656952
2017-09-22,530.1,530.1,512.2,515.5,1158728
2017-09-25,515.5,517.0,497.4,510.0,1607069
2017-09-26,508.05,520.75,502.15,520.05,1274851
2017-09-27,521.0,525.0,509.3,512.6,1203192
2017-09-28,513.0,514.95,494.65,503.1,1773562
2017-09-29,502.45,510.85,500.1,505.6,1110845
2017-10-03,508.2,525.85,508.0,524.0,1794182
2017-10-04,523.5,526.9,518.6,519.25,627933
2017-10-05,520.6,526.5,515.5,519.65,605537
2017-10-06,523.0,534.4,520.6,527.75,1488249
2017-10-09,528.6,529.3,515.05,522.2,562709
2017-10-10,523.95,532.8,521.5,528.65,926800
2017-10-11,530.9,540.95,515.2,522.5,2436403
2017-10-12,529.0,536.45,521.55,535.7,1798303
2017-10-13,539.0,540.0,531.05,534.1,785927
2017-10-16,536.3,537.25,529.6,531.45,523309
2017-10-17,531.0,542.6,529.3,538.5,1282060
2017-10-18,538.5,545.9,536.2,537.45,20006016938
2017-10-23,532.85,545.0,532.85,543.85,12493863300
2017-10-24,544.05,544.4,531.75,538.95,588923
2017-10-25,541.55,541.55,528.2,533.95,551201
2017-10-26,532.0,536.1,529.5,533.35,668602
2017-10-27,534.15,544.95,529.05,543.0,681207
2017-10-30,544.4,561.45,544.0,557.5,1742312
2017-10-31,558.0,572.2,552.3,567.65,1459431
2017-11-01,570.0,572.6,558.4,560.6,591667
2017-11-02,562.0,562.0,542.0,548.0,799539
2017-11-03,548.0,557.0,546.0,550.0,724483
2017-11-06,550.0,561.65,549.15,552.5,988824
2017-11-07,556.9,558.9,541.55,548.4,441468
2017-11-08,550.0,564.0,546.45,558.5,1648512
2017-11-09,570.0,568.0,550.3,563.0,2099221
2017-11-10,562.0,592.45,558.9,571.35,3231489
2017-11-13,564.1,582.4,556.85,578.3,1522893
2017-11-14,576.9,602.0,572.05,602.0,2461107
2017-11-15,604.55,603.45,578.2,585.0,1276930
2017-11-16,586.9,617.85,586.25,615.65,3246204
2017-11-17,619.0,618.3,603.25,611.4,1129663
2017-11-20,612.05,633.45,613.0,632.3,2113857
2017-11-21,630.5,637.2,625.5,628.7,1098514
2017-11-22,629.15,630.2,615.4,622.5,846765
2017-11-23,627.0,631.5,615.1,624.9,769395
2017-11-24,626.0,629.35,618.2,623.25,497509
2017-11-27,619.9,652.1,617.55,647.85,2127946
2017-11-28,646.95,648.4,633.35,637.0,869307
2017-11-29,639.0,653.75,638.2,641.5,1308829
2017-11-30,637.55,647.0,634.2,638.35,882090
2017-12-01,633.0,639.45,611.8,619.0,1250550
2017-12-04,619.1,620.95,604.75,613.65,691982
2017-12-05,606.0,623.4,607.1,621.0,731357
2017-12-06,620.3,620.2,598.25,599.6,1230876
2017-12-07,599.7,620.0,586.65,617.3,2174776
2017-12-08,617.0,627.85,617.0,625.2,927516
2017-12-11,624.4,634.55,620.85,625.45,1109443
2017-12-12,623.4,636.7,621.0,629.5,1358621
2017-12-13,627.65,632.95,615.3,618.6,540346
2017-12-14,619.0,624.15,606.45,616.0,712918
2017-12-15,625.0,642.7,622.15,631.5,1640218
2017-12-18,628.05,635.95,611.6,631.4,822982
2017-12-19,631.4,637.25,629.35,633.0,648119
2017-12-20,632.95,643.0,632.5,639.0,1480058
2017-12-21,638.9,653.95,638.0,647.1,2115235
2017-12-22,651.9,667.4,645.55,658.6,2150557
2017-12-26,658.95,665.0,649.55,654.15,846577
2017-12-27,654.0,672.7,650.75,665.85,1132230
2017-12-28,670.1,675.3,652.0,656.15,2275960
2017-12-29,659.0,670.0,653.2,655.0,892392
2018-01-01,656.0,660.8,646.8,650.0,510822
2018-01-02,650.0,657.95,642.2,646.95,750916
2018-01-03,650.65,652.4,639.2,642.25,798264
2018-01-04,647.0,650.75,636.6,648.9,1080453
2018-01-05,649.5,657.95,644.0,646.0,1026031
2018-01-08,646.1,652.8,636.0,639.55,898328
2018-01-09,639.65,653.75,634.1,650.0,1305963
2018-01-10,650.0,649.5,626.65,629.15,1114538
2018-01-11,633.9,634.65,621.75,626.2,1174707
2018-01-12,629.0,645.45,630.15,633.8,2079001
2018-01-15,635.6,639.0,626.55,631.9,1012401
2018-01-16,635.0,639.95,618.5,624.0,920885
2018-01-17,625.0,634.0,611.9,628.0,1118712
2018-01-18,629.2,631.05,595.15,603.0,1397872
2018-01-19,603.55,620.7,602.35,617.75,1347199
2018-01-22,615.05,626.7,611.55,625.3,1375573
2018-01-23,621.6,635.0,617.1,628.55,2196120
2018-01-24,626.0,629.35,604.5,615.0,1076223
2018-01-25,611.0,619.8,605.0,617.4,829808
2018-01-29,618.0,620.45,607.0,615.45,652472
2018-01-30,612.5,612.0,605.4,606.2,1009263
2018-01-31,609.7,616.0,600.75,605.0,1409319
2018-02-01,605.0,610.0,597.05,605.85,1134159
2018-02-02,600.0,601.4,568.1,569.55,1731139
2018-02-05,565.0,600.0,556.1,599.35,1336895
2018-02-06,574.1,594.0,562.45,586.5,872308
2018-02-07,598.0,614.0,585.0,600.3,4410638
