date,open,high,low,close,volume
2017-09-27,651.1,693.65,638.9,680.1,34584336
2017-09-28,671.05,689.95,661.0,686.3,4525798
2017-09-29,685.7,687.7,678.0,680.3,1362199
2017-10-03,678.15,688.45,674.1,686.0,1745986
2017-10-04,681.45,686.85,680.0,680.3,543454
2017-10-05,676.1,680.95,665.3,667.0,484766
2017-10-06,665.0,680.35,663.0,680.0,566404
2017-10-09,675.05,685.95,675.05,685.0,645685
2017-10-10,680.0,690.0,680.0,687.0,748471
2017-10-11,683.6,689.9,683.6,687.5,350361
2017-10-12,685.0,701.9,684.8,701.0,936242
2017-10-13,695.05,701.0,694.5,695.0,238487
2017-10-16,692.15,697.5,674.45,696.05,237063
2017-10-17,694.0,719.9,690.2,716.35,960087
2017-10-18,716.5,720.75,703.8,715.25,3957405773
2017-10-23,715.2,715.2,690.1,693.1,11535428938
2017-10-24,693.15,705.0,685.3,704.95,642909
2017-10-25,696.2,699.95,675.55,678.55,1107656
2017-10-26,679.1,690.0,679.1,684.0,220953
2017-10-27,682.0,685.0,679.05,683.0,342729
2017-10-30,681.0,686.0,675.75,681.0,287214
2017-10-31,675.15,688.0,674.6,682.0,948600
2017-11-01,677.0,685.55,677.0,680.0,199541
2017-11-02,675.15,689.0,675.0,677.0,234338
2017-11-03,681.0,689.5,671.05,677.0,301505
2017-11-06,671.0,684.25,671.0,680.0,185105
2017-11-07,680.0,682.95,679.55,680.15,171059
2017-11-08,674.1,682.0,674.1,681.0,104911
2017-11-09,675.3,681.0,667.65,679.85,120288
2017-11-10,670.0,680.95,670.5,680.5,113953
2017-11-13,680.5,687.0,676.2,686.8,272713
2017-11-14,676.0,690.0,676.0,686.8,207746
2017-11-15,677.1,688.0,677.1,686.0,439655
2017-11-16,682.5,685.95,670.0,679.55,164085
2017-11-17,681.0,689.0,676.25,686.0,210443
2017-11-20,683.0,692.0,681.0,684.1,188801
2017-11-21,684.5,707.0,684.5,695.0,336733
2017-11-22,696.0,700.0,690.0,695.0,67811
2017-11-23,694.0,707.35,686.0,696.0,91251
2017-11-24,693.0,702.0,694.0,702.0,163275
2017-11-27,692.6,703.0,692.75,700.0,66452
2017-11-28,695.05,713.5,698.6,706.0,229014
2017-11-29,700.5,726.0,697.1,712.0,405269
2017-11-30,711.2,717.0,706.1,714.0,73203
2017-12-01,710.0,723.5,710.0,721.0,142993
2017-12-04,712.0,724.5,715.0,717.0,119793
2017-12-05,715.3,729.95,708.85,727.85,157197
2017-12-06,725.0,729.0,715.15,725.0,101775
2017-12-07,726.0,744.9,718.5,735.0,174713
2017-12-08,731.0,769.0,732.65,766.5,726645
