date,open,high,low,close,volume
2017-10-23,50.0,55.33,50.0,54.31,1003716
2017-10-24,53.84,54.16,53.18,53.23,64836
2017-10-25,53.33,53.37,51.52,51.9,42237
2017-10-26,51.9,53.0,51.04,52.0,26166
2017-10-27,52.0,52.47,51.7,52.17,9396
2017-10-30,52.17,52.7,51.95,52.1,14091
2017-10-31,52.03,52.43,51.67,51.68,7113
2017-11-01,51.68,52.33,51.3,51.74,28032
2017-11-02,52.0,52.5,51.67,52.0,8703
2017-11-03,51.77,53.96,51.83,53.03,28455
2017-11-06,52.67,53.93,52.67,53.57,14430
2017-11-07,53.67,53.93,53.04,53.43,15396
2017-11-08,53.4,53.95,50.37,52.67,7446
2017-11-09,52.87,53.73,51.93,53.17,7932
2017-11-10,52.73,53.67,52.79,53.17,5190
2017-11-13,52.95,53.37,52.3,52.33,3840
2017-11-14,52.5,52.79,51.35,51.35,3306
2017-11-15,51.83,51.83,50.3,50.3,3711
2017-11-16,51.1,50.9,49.67,50.21,31584
2017-11-17,50.5,50.83,50.17,50.53,3141
2017-11-20,50.79,51.5,50.0,50.1,5184
2017-11-21,50.17,50.73,50.17,50.49,2526
2017-11-22,50.2,52.63,50.2,52.17,6459
2017-11-23,52.22,52.43,51.24,51.71,11601
2017-11-24,51.54,52.13,51.38,51.5,7197
2017-11-27,51.34,52.33,51.25,51.97,3012
2017-11-28,52.16,52.16,51.27,51.83,1899
2017-11-29,51.57,51.77,50.44,51.0,2469
2017-11-30,50.83,51.73,50.7,51.23,2004
2017-12-01,51.23,51.83,50.83,51.07,3390
2017-12-04,51.01,51.28,50.13,50.4,2721
2017-12-05,50.17,50.88,49.8,50.2,1818
2017-12-06,50.33,50.75,50.13,50.5,1584
2017-12-07,50.11,51.5,50.11,51.01,1689
2017-12-08,50.67,51.75,50.67,51.67,4536
2017-12-11,51.2,52.1,51.0,51.93,8121
2017-12-12,53.23,53.95,52.4,53.8,103311
2017-12-13,54.5,55.0,53.17,53.17,15447
2017-12-14,53.5,54.33,52.58,52.67,3879
2017-12-15,53.3,53.77,51.87,52.0,3228
2017-12-18,51.67,53.47,51.23,53.0,5373
2017-12-19,53.03,53.07,52.37,52.67,2661
2017-12-20,52.37,54.3,51.64,54.3,4896
2017-12-21,53.33,53.97,52.73,52.77,5034
2017-12-22,53.0,54.13,52.87,53.33,36666
2017-12-26,53.2,54.16,52.93,53.0,5829
2017-12-27,52.94,53.83,52.67,52.87,9381
2017-12-28,52.67,54.67,52.67,54.0,51003
2017-12-29,54.76,54.83,53.52,53.7,5910
2018-01-01,53.33,53.93,53.33,53.58,2814
2018-01-02,53.61,54.03,52.77,53.83,5274
2018-01-03,53.57,54.0,52.87,53.17,3900
2018-01-04,53.3,54.03,53.26,53.57,3543
2018-01-05,54.03,53.83,52.67,53.5,3084
2018-01-08,52.72,53.97,52.72,53.5,2397
2018-01-09,53.67,54.63,53.17,53.67,6498
2018-01-10,54.0,55.9,53.37,54.37,72180
2018-01-11,55.0,54.97,53.33,53.43,6054
2018-01-12,53.67,55.07,52.72,54.5,15462
2018-01-15,54.0,55.66,53.67,53.73,17853
2018-01-16,54.07,54.67,53.37,53.87,12924
2018-01-17,53.7,54.0,53.33,53.4,2502
2018-01-18,53.57,54.29,53.17,54.0,17106
2018-01-19,53.67,54.17,53.6,53.83,8856
2018-01-22,53.77,54.5,53.77,53.9,8979
2018-01-23,54.0,54.33,52.5,53.19,7653
2018-01-24,53.5,53.83,53.0,53.0,1962
2018-01-25,52.83,53.72,52.83,53.67,2640
2018-01-29,53.47,54.17,53.33,53.67,2400
2018-01-30,53.67,53.67,53.0,53.03,4296
2018-01-31,53.33,53.67,53.0,53.48,4095
2018-02-01,53.0,54.0,53.0,53.5,3003
2018-02-02,53.0,53.53,52.93,53.0,17103
2018-02-05,52.0,52.92,51.7,52.67,7239
2018-02-06,50.5,52.2,50.5,51.2,3243
2018-02-07,51.5,52.16,51.04,51.43,2922
2018-02-08,51.33,52.57,51.33,52.5,9435
2018-02-09,51.51,52.5,51.29,51.31,3009
2018-02-12,51.67,52.48,51.57,52.07,3072
2018-02-14,52.21,52.17,51.67,51.67,3840
2018-02-15,52.05,52.17,51.38,51.47,2889
2018-02-16,52.16,52.16,51.0,51.2,1419
2018-02-19,51.33,51.5,50.1,50.67,4512
2018-02-20,51.38,51.38,50.34,50.43,5967
2018-02-21,50.83,50.87,50.01,50.5,1947
2018-02-22,50.0,50.33,49.57,49.63,2688
2018-02-23,50.0,50.0,48.0,48.61,3564
2018-02-26,48.67,49.5,48.47,48.47,2319
2018-02-27,49.33,49.33,48.16,48.17,3072
2018-02-28,49.0,49.0,48.03,48.67,3177
2018-03-01,48.03,49.0,48.03,48.47,27045
2018-03-05,48.67,48.89,48.23,48.26,1665
2018-03-06,48.68,49.0,48.13,48.17,2463
2018-03-07,48.17,48.45,46.73,46.73,2112
2018-03-08,47.57,48.0,46.73,48.0,8910
2018-03-09,48.33,48.33,47.5,48.22,1215
2018-03-12,48.33,48.33,47.79,47.84,2310
2018-03-13,47.7,49.38,47.7,49.37,7266
2018-03-14,48.17,49.26,48.17,48.93,1074
2018-03-15,49.6,49.8,48.58,49.33,4440
2018-03-16,49.33,50.0,49.33,49.87,1989
2018-03-19,50.17,50.34,48.04,49.04,2223
2018-03-20,48.67,49.5,48.5,48.83,1551
2018-03-21,48.49,49.46,48.49,49.33,1617
2018-03-22,49.13,49.25,48.34,48.54,4515
2018-03-23,48.37,48.8,48.17,48.53,2418
2018-03-26,48.37,52.97,48.32,50.0,4770
2018-03-27,51.23,52.0,50.0,51.67,3369
2018-03-28,51.05,54.83,50.21,53.85,10257
2018-04-02,53.37,53.5,52.5,53.3,5145
2018-04-03,53.3,53.51,52.67,52.67,3804
2018-04-04,52.52,53.4,51.17,51.17,2421
2018-04-05,52.12,53.17,51.5,53.03,3240
2018-04-06,52.9,53.59,52.0,53.49,4023
2018-04-09,53.4,54.7,53.0,54.67,9897
2018-04-10,54.5,55.0,53.87,54.17,5412
2018-04-11,54.01,54.27,53.0,53.12,4611
2018-04-12,53.33,53.67,52.73,53.33,4002
2018-04-13,53.5,53.7,53.17,53.67,5073
2018-04-16,53.5,54.5,53.0,54.33,2910
2018-04-17,54.59,54.93,53.74,54.33,7842
2018-04-18,54.5,54.84,54.27,54.83,3957
2018-04-19,54.21,55.13,54.21,54.89,16248
2018-04-20,54.89,55.14,54.33,54.8,2109
2018-04-23,54.4,55.2,54.33,54.33,2754
2018-04-24,54.67,55.58,54.53,54.83,8628
2018-04-25,55.47,55.96,54.8,55.63,8886
2018-04-26,55.53,55.9,55.08,55.26,4569
2018-04-27,55.02,55.44,53.77,54.27,22527
2018-04-30,54.0,54.98,53.5,53.5,1728
2018-05-02,53.85,54.16,52.17,52.57,1899
2018-05-03,52.49,53.27,52.17,53.13,1674
2018-05-04,52.46,53.27,52.0,52.07,1017
2018-05-07,52.7,53.2,52.1,53.13,1380
2018-05-08,53.33,54.17,53.33,53.87,1965
2018-05-09,53.9,54.57,53.41,54.16,3573
2018-05-10,53.4,54.83,53.4,54.8,3744
2018-05-11,54.34,54.5,53.83,53.97,1578
2018-05-14,53.84,54.34,53.21,53.97,1938
2018-05-15,54.13,54.8,53.69,54.2,4374
2018-05-16,54.0,54.83,54.0,54.67,4401
2018-05-17,54.37,54.83,54.1,54.6,2118
2018-05-18,54.69,55.0,53.33,53.5,5367
2018-05-21,53.3,54.45,53.3,53.83,2559
2018-05-22,53.78,54.65,53.43,54.55,4368
2018-05-23,54.35,54.6,52.84,53.02,2532
2018-05-24,53.35,53.5,52.67,53.17,1857
2018-05-25,53.33,54.33,53.26,54.29,4218
2018-05-28,54.67,54.67,53.52,53.57,6321
2018-05-29,54.17,54.5,53.01,53.16,2697
2018-05-30,53.23,53.65,52.85,52.93,4551
2018-05-31,53.0,53.7,51.37,53.26,21750
2018-06-01,52.08,53.59,52.03,52.27,13884
2018-06-04,52.47,53.73,52.4,52.4,1587
2018-06-05,53.33,53.33,51.63,51.83,2481
2018-06-06,52.13,53.67,51.64,53.67,1992
2018-06-07,53.21,53.8,53.0,53.0,909
2018-06-08,53.19,54.1,53.07,53.33,34446
2018-06-11,53.5,54.67,53.5,54.5,41367
2018-06-12,54.33,54.83,53.87,53.93,65082
2018-06-13,54.03,55.7,54.03,54.07,115167
2018-06-14,54.07,54.74,53.73,54.34,1899
2018-06-15,54.3,54.6,53.71,53.8,1557
2018-06-18,53.67,54.24,52.84,53.11,2823
2018-06-19,53.33,53.88,52.7,53.53,3297
2018-06-20,53.0,53.8,53.0,53.73,1752
2018-06-21,52.85,53.9,52.26,53.9,4695
2018-06-22,53.33,53.53,53.2,53.53,2394
2018-06-25,52.84,54.17,52.84,54.13,28236
2018-06-26,53.81,54.17,53.33,53.67,1452
2018-06-27,53.71,54.18,53.28,53.33,3354
2018-06-28,53.54,53.75,52.74,52.75,62391
2018-06-29,53.04,56.18,52.72,56.09,3756
2018-07-02,56.67,56.67,54.83,55.33,4032
2018-07-03,55.47,55.47,54.0,54.33,3279
2018-07-04,54.43,54.63,53.83,54.03,837
2018-07-05,54.07,54.79,53.76,54.2,657
2018-07-06,54.11,54.83,54.08,54.5,828
2018-07-09,53.7,54.46,53.7,54.13,639
2018-07-10,54.83,55.27,54.17,54.67,2199
2018-07-11,54.58,55.0,54.27,54.5,888
2018-07-12,55.0,55.0,54.17,54.18,828
2018-07-13,54.66,54.66,53.77,54.0,990
2018-07-16,54.0,54.03,53.1,53.5,20397
2018-07-17,53.66,54.07,53.17,53.83,3183
2018-07-18,54.46,54.46,53.17,53.33,6297
2018-07-19,53.0,53.58,52.7,53.05,1827
2018-07-20,52.33,53.69,52.33,53.33,687
2018-07-23,53.1,53.65,52.46,52.69,2229
2018-07-24,52.87,53.77,52.84,53.08,2496
2018-07-25,53.24,53.35,52.86,53.01,663
2018-07-26,53.23,53.46,52.87,53.04,432
2018-07-27,52.87,53.73,52.84,52.87,882
2018-07-30,52.7,53.33,52.27,52.85,1302
2018-07-31,52.67,53.4,52.67,53.33,813
2018-08-01,53.63,53.63,53.04,53.27,363
2018-08-02,53.1,53.77,53.03,53.33,483
2018-08-03,53.33,53.67,53.03,53.03,534
2018-08-06,54.67,54.67,52.29,53.43,46176
2018-08-07,53.66,53.66,53.1,53.57,456
2018-08-08,53.33,53.59,53.05,53.1,30684
2018-08-09,53.33,54.33,53.07,53.33,1794
2018-08-10,54.33,54.96,53.43,54.16,5325
2018-08-13,54.16,55.07,53.72,54.67,1995
2018-08-14,54.96,55.26,53.33,54.47,4689
2018-08-16,54.41,55.5,54.08,54.4,3141
2018-08-17,54.5,55.37,54.5,55.33,2805
2018-08-20,54.37,55.67,54.37,55.17,3024
2018-08-21,55.01,55.83,55.0,55.17,2763
2018-08-23,55.0,55.67,55.0,55.67,2727
2018-08-24,55.33,55.46,54.74,55.1,1311
2018-08-27,55.04,58.47,55.04,57.33,16119
2018-08-28,57.47,58.6,55.53,56.17,10050
2018-08-29,56.75,57.33,55.54,55.73,4671
2018-08-30,55.34,56.0,55.09,55.96,1992
2018-08-31,55.33,58.87,55.33,58.4,7362
2018-09-03,59.0,59.07,57.68,57.88,4482
2018-09-04,58.0,58.22,56.93,57.63,3360
2018-09-05,56.67,59.33,56.59,57.93,27999
2018-09-06,58.7,58.76,57.67,58.09,2208
2018-09-07,58.45,58.45,56.85,57.33,1554
2018-09-10,57.17,58.33,56.84,58.06,3264
2018-09-11,58.04,58.07,56.67,57.17,3366
2018-09-12,56.67,57.4,56.24,56.24,2094
2018-09-14,56.7,57.97,56.49,57.97,47322
2018-09-17,57.27,57.73,56.5,56.67,2016
2018-09-18,56.33,57.4,56.33,56.73,1155
2018-09-19,56.49,58.47,56.33,57.87,4728
2018-09-21,58.33,58.83,56.19,56.63,5538
2018-09-24,57.01,57.3,55.98,56.67,2940
2018-09-25,56.12,58.07,56.12,57.38,5943
2018-09-26,57.5,58.5,57.5,57.54,2961
2018-09-27,57.41,59.17,56.64,56.67,38751
2018-09-28,57.14,57.14,52.0,53.67,4752
2018-10-01,53.56,55.33,53.24,53.7,40182
2018-10-03,53.67,53.99,53.3,53.37,1332
2018-10-04,53.39,54.96,52.93,54.93,4173
2018-10-05,53.67,55.33,53.67,54.4,1428
2018-10-08,55.23,55.23,54.0,54.5,1893
2018-10-09,54.5,54.9,53.95,54.17,3114
2018-10-10,55.5,55.5,54.17,54.67,3870
2018-10-11,54.17,54.83,53.33,54.5,2982
2018-10-12,55.03,55.03,54.15,54.67,2007
2018-10-15,55.57,55.53,54.67,54.83,2295
2018-10-16,55.5,55.5,54.87,55.17,3084
2018-10-17,55.43,55.67,54.67,55.4,2706
2018-10-19,53.9,56.27,53.7,54.8,152535
2018-10-22,54.85,55.97,53.67,53.8,83151
2018-10-23,53.5,54.33,49.68,51.95,137346
2018-10-24,51.5,55.62,51.4,53.67,2318010
2018-10-25,52.67,53.98,52.67,53.35,90456
2018-10-26,54.15,54.65,52.5,53.47,4714431
2018-10-29,53.97,54.0,50.13,51.33,4665273
