date,open,high,low,close,volume
2017-07-03,745.0,753.9,737.0,753.25,1193746
2017-07-04,755.5,759.0,743.5,749.05,1138402
2017-07-05,749.5,754.65,746.1,752.5,1233761
2017-07-06,753.5,757.65,739.4,751.75,869050
2017-07-07,751.3,757.0,740.0,743.75,695169
2017-07-10,742.55,750.25,741.75,743.2,25770003709
2017-07-11,745.45,745.45,723.0,724.5,1674770
2017-07-12,723.85,729.25,718.0,725.05,2523972
2017-07-13,728.7,741.15,728.0,736.95,1422407
2017-07-14,738.95,744.25,730.95,742.4,777981
2017-07-17,742.85,747.25,735.15,746.5,831526
2017-07-18,742.0,750.0,738.35,742.9,761115
2017-07-19,744.35,755.7,737.6,749.85,871230
2017-07-20,752.5,756.8,747.8,753.0,507640
2017-07-21,751.5,755.25,726.35,739.0,841397
2017-07-24,741.4,748.5,738.1,741.0,1300831
2017-07-25,742.9,745.25,731.0,732.7,1508784
2017-07-26,732.7,743.3,731.95,736.05,1138621
2017-07-27,740.0,752.6,734.9,741.0,2496329
2017-07-28,738.9,755.55,712.4,714.6,6237169
2017-07-31,713.9,714.0,686.55,689.85,6644828
2017-08-01,690.75,698.3,677.35,692.15,3586277
2017-08-02,694.75,697.75,690.3,692.95,1954964
2017-08-03,693.0,698.75,676.0,680.0,2254620
2017-08-04,681.0,686.9,673.1,684.6,1110364
2017-08-07,688.1,692.2,680.9,688.5,1958877
2017-08-08,684.2,687.8,673.0,680.5,2013521
2017-08-09,678.05,685.25,673.5,673.7,905450
2017-08-10,674.45,674.45,648.45,661.1,1864376
2017-08-11,647.35,669.75,641.2,652.1,1355309
2017-08-14,653.0,664.85,652.8,657.4,1153729
2017-08-16,658.05,663.35,647.2,659.2,2705825
2017-08-17,662.85,666.5,656.4,661.25,1470531
2017-08-18,653.05,660.6,647.1,658.6,1314606
2017-08-21,660.3,663.3,647.05,648.5,791926
2017-08-22,653.5,653.5,634.4,635.85,1060801
2017-08-23,638.0,662.85,635.9,661.95,1600857
2017-08-24,662.45,664.9,656.1,657.0,1107699
2017-08-28,658.55,661.5,650.65,657.95,2115721
2017-08-29,654.2,672.0,652.4,658.65,1949299
2017-08-30,665.05,667.0,660.0,663.0,1207159
2017-08-31,664.3,676.2,657.8,673.95,3580136
2017-09-01,677.0,684.0,674.9,681.0,1778766
2017-09-04,682.35,689.4,673.05,675.2,1723648
2017-09-05,679.4,683.8,673.7,677.0,1463930
2017-09-06,675.0,681.15,670.55,674.2,1795330
2017-09-07,679.95,684.5,671.75,673.0,1698016
2017-09-08,672.95,675.75,655.75,658.75,2005133
2017-09-11,663.5,665.0,653.2,654.75,1600161
2017-09-12,659.0,665.5,655.5,659.95,979703
2017-09-13,660.65,671.0,658.8,660.1,1038007
2017-09-14,662.95,666.3,655.85,659.15,729215
2017-09-15,651.1,656.7,644.0,645.0,2684614
2017-09-18,649.65,660.0,649.0,657.9,1374499
2017-09-19,656.35,662.95,648.45,650.0,2155760
2017-09-20,653.1,656.4,646.5,649.3,1528517
2017-09-21,650.15,662.4,642.9,661.5,2150165
2017-09-22,657.2,658.2,635.0,636.0,1411550
2017-09-25,634.75,637.75,613.65,622.5,1715523
2017-09-26,621.05,628.1,616.25,617.8,1060178
2017-09-27,622.15,624.3,604.3,606.0,1848775
2017-09-28,611.35,629.75,609.85,620.0,2829339
2017-09-29,621.7,635.0,621.7,627.0,1643608
2017-10-03,632.0,644.25,630.0,644.0,1947290
2017-10-04,644.85,648.1,639.6,645.5,1482582
2017-10-05,642.65,654.35,640.25,650.3,1725762
2017-10-06,653.9,664.8,651.45,662.0,1945394
2017-10-09,664.0,671.55,660.05,665.75,1988965
2017-10-10,667.9,667.9,658.6,659.9,644709
2017-10-11,665.8,665.8,635.25,637.4,1945356
2017-10-12,642.1,654.0,636.55,652.5,2035627
2017-10-13,652.05,657.8,650.35,652.6,620506
2017-10-16,655.0,661.0,652.0,660.85,1144527
2017-10-17,659.6,674.2,659.45,669.65,2379768
2017-10-18,669.0,674.6,663.0,669.1,11433298350
2017-10-23,658.5,667.95,648.1,651.0,7751005609
2017-10-24,651.4,652.9,630.85,635.0,2420167
2017-10-25,639.05,639.05,609.15,618.05,2333938
2017-10-26,614.25,624.4,608.45,616.1,3140153
2017-10-27,620.0,624.15,610.5,613.5,839564
2017-10-30,614.3,627.95,613.55,618.15,2688044
2017-10-31,606.25,621.8,597.2,599.0,5918379
2017-11-01,599.0,606.4,591.15,597.3,4982671
2017-11-02,598.0,608.4,595.8,606.1,3385332
2017-11-03,608.5,613.85,602.1,608.2,2678285
2017-11-06,607.0,613.0,605.05,605.3,1201033
2017-11-07,608.0,611.0,596.7,600.2,2092326
2017-11-08,601.6,602.2,583.6,585.5,2233349
2017-11-09,586.8,592.75,575.1,583.8,1913395
2017-11-10,583.0,594.0,580.7,586.5,1462800
2017-11-13,587.45,590.5,583.0,585.15,1085200
2017-11-14,585.0,595.9,584.05,584.8,1453912
2017-11-15,586.0,589.0,573.9,579.0,1189054
2017-11-16,580.25,588.15,573.65,586.75,1255044
2017-11-17,599.0,607.95,592.2,602.8,2418418
2017-11-20,605.95,610.0,600.55,604.0,1375849
2017-11-21,606.7,610.0,600.0,600.95,1203067
2017-11-22,602.2,604.1,593.5,597.15,971162
2017-11-23,599.45,608.0,597.65,601.6,1175022
2017-11-24,603.0,606.35,596.4,597.65,827512
2017-11-27,596.7,600.65,592.6,596.05,1404183
2017-11-28,593.1,605.35,592.4,597.0,1679203
2017-11-29,598.3,602.65,597.75,599.0,971894
2017-11-30,597.95,597.55,579.05,583.0,3350458
2017-12-01,585.5,591.0,568.0,570.75,1670000
2017-12-04,572.5,575.85,565.15,572.25,1250881
2017-12-05,570.35,574.7,562.0,574.15,1220811
2017-12-06,572.5,572.75,551.55,552.6,2163814
2017-12-07,552.5,562.45,550.1,562.0,1510540
2017-12-08,563.7,571.2,563.05,564.0,1696658
2017-12-11,568.85,569.9,560.05,562.55,1094302
2017-12-12,562.1,562.4,550.25,550.95,1746397
2017-12-13,551.45,559.5,541.15,546.2,1620475
2017-12-14,548.0,547.85,536.2,545.55,1613953
2017-12-15,552.05,558.0,548.8,557.0,1578488
2017-12-18,549.45,567.3,540.05,557.3,2416322
2017-12-19,562.0,567.35,558.7,567.2,2169801
2017-12-20,566.85,572.9,566.8,570.05,1715667
2017-12-21,569.0,577.0,563.25,571.05,1491070
2017-12-22,575.1,576.6,565.1,568.0,1224397
2017-12-26,567.0,573.5,567.0,569.0,636312
2017-12-27,569.4,573.5,565.95,566.0,1464612
2017-12-28,567.0,567.0,559.05,561.2,1472920
2017-12-29,562.35,568.4,560.3,563.5,1226860
2018-01-01,565.5,573.45,564.25,565.95,918468
2018-01-02,567.65,569.85,559.6,561.4,966976
2018-01-03,563.35,569.45,563.2,566.6,925355
2018-01-04,567.35,569.3,561.8,568.0,877166
2018-01-05,568.2,574.6,568.2,570.55,1742762
2018-01-08,575.4,586.0,572.25,583.9,3160187
2018-01-09,585.95,588.15,575.55,577.3,2263713
2018-01-10,577.5,581.4,571.05,574.0,1378061
2018-01-11,574.95,574.1,565.6,568.65,2786800
2018-01-12,571.5,574.0,560.5,565.45,1279968
