date,open,high,low,close,volume
2017-07-03,130.61,130.73,127.61,129.15,4266759
2017-07-04,130.09,131.59,128.93,129.49,5296894
2017-07-05,129.38,130.28,128.06,129.26,3687977
2017-07-06,129.79,134.78,129.79,132.79,9853806
2017-07-07,133.46,136.31,133.46,136.13,10907818
2017-07-10,141.0,141.0,136.13,139.88,34361432615
2017-07-11,140.18,141.68,138.45,138.9,6856733
2017-07-12,139.58,141.08,139.28,140.89,4424639
2017-07-13,141.08,141.79,139.35,140.63,3542482
2017-07-14,140.03,140.89,136.76,137.78,11854516
2017-07-17,137.85,141.0,137.81,139.99,7756685
2017-07-18,139.09,140.33,137.18,137.85,4073006
2017-07-19,137.93,138.71,136.31,136.88,5118126
2017-07-20,137.03,138.75,136.95,137.7,5861107
2017-07-21,138.08,138.45,136.05,136.43,5903813
2017-07-24,136.88,138.68,135.26,136.16,8895084
2017-07-25,136.43,136.8,133.05,133.31,7134971
2017-07-26,132.9,134.7,131.63,131.93,8881034
2017-07-27,132.53,133.24,130.46,131.06,5680592
2017-07-28,131.18,132.23,130.39,131.25,4280135
2017-07-31,132.56,132.56,130.13,131.1,4052000
2017-08-01,131.48,133.58,130.73,131.06,7696381
2017-08-02,131.36,131.74,128.4,128.74,4412811
2017-08-03,129.11,131.85,127.05,129.98,8943395
2017-08-04,130.28,131.66,129.19,130.69,4916027
2017-08-07,131.25,136.54,130.88,136.35,9689125
2017-08-08,137.44,138.0,133.46,134.1,10107698
2017-08-09,134.44,136.01,130.88,131.55,6389992
2017-08-10,130.8,131.48,120.23,123.41,17268880
2017-08-11,119.63,126.41,116.03,123.83,9428539
2017-08-14,123.0,126.0,121.88,125.18,5084889
2017-08-16,125.48,126.6,121.88,123.04,6113963
2017-08-17,123.56,129.45,123.23,126.94,8819382
2017-08-18,125.89,128.85,124.28,125.03,8875181
2017-08-21,125.55,126.75,120.15,121.01,7482401
2017-08-22,122.48,122.48,114.15,114.86,13191701
2017-08-23,115.5,118.5,115.5,117.38,8032638
2017-08-24,117.56,121.09,117.08,120.75,11297415
2017-08-28,121.8,125.48,121.46,124.05,10625633
2017-08-29,123.41,125.36,122.4,123.26,9722124
2017-08-30,124.73,127.24,123.94,124.99,6281307
2017-08-31,126.08,127.13,124.95,126.45,12250469
2017-09-01,126.53,128.44,126.15,126.71,7247000
2017-09-04,126.6,126.9,122.1,123.38,6769660
2017-09-05,123.75,124.39,121.84,123.0,5130620
2017-09-06,122.25,124.16,121.5,123.38,7619614
2017-09-07,123.9,124.69,122.03,122.44,4815597
2017-09-08,122.78,123.38,120.75,122.1,2922964
2017-09-11,122.93,124.05,122.4,123.41,5297150
2017-09-12,123.79,124.05,122.48,123.34,5227870
2017-09-13,123.41,130.39,123.19,128.33,17542520
2017-09-14,127.05,131.36,125.96,126.83,13303659
2017-09-15,126.64,128.06,125.25,125.78,6556301
2017-09-18,126.75,128.51,124.69,125.18,6574374
2017-09-19,125.55,127.43,124.76,126.94,5829954
2017-09-20,128.59,129.38,126.04,126.26,7263609
2017-09-21,126.53,126.98,122.66,124.58,10039646
2017-09-22,124.31,125.44,121.84,122.51,16594650
2017-09-25,123.3,126.0,121.73,125.93,11640870
2017-09-26,128.18,128.18,120.0,120.38,20538732
2017-09-27,120.75,121.2,113.33,113.85,21754038
2017-09-28,112.65,115.09,111.0,113.78,10428319
2017-09-29,113.81,116.14,113.81,114.83,6925977
2017-10-03,114.41,115.39,113.44,113.96,7534810
2017-10-04,114.45,116.89,114.04,116.14,6188132
2017-10-05,116.21,117.3,115.05,115.24,5284527
2017-10-06,116.1,117.75,115.88,117.0,5729627
2017-10-09,116.63,117.38,113.63,114.23,8121456
2017-10-10,114.64,115.61,114.04,114.6,4151045
2017-10-11,115.16,116.63,112.24,113.55,8000953
2017-10-12,114.23,115.28,113.14,115.24,6431713
2017-10-13,115.13,117.53,114.75,116.25,6384838
2017-10-16,116.74,116.74,113.14,114.45,6661543
2017-10-17,114.6,116.74,114.15,116.14,4805078
2017-10-18,116.14,120.6,115.58,119.66,9050886
2017-10-23,117.45,119.25,116.18,117.23,4949606
2017-10-24,117.9,118.54,116.14,117.04,3537843
2017-10-25,118.88,124.43,117.56,122.78,14266807
2017-10-26,122.78,126.75,122.4,125.25,24580443
2017-10-27,125.93,132.53,125.93,130.31,14832153
2017-10-30,130.5,132.26,127.61,128.25,6608312
2017-10-31,127.73,130.35,126.68,130.13,7511321
2017-11-01,130.5,132.19,129.41,129.79,6803392
2017-11-02,130.28,136.69,129.86,136.65,11208784
2017-11-03,136.99,138.0,134.03,134.63,9230081
2017-11-06,135.0,137.25,123.68,124.01,20364946
2017-11-07,125.55,128.7,124.24,125.1,14562329
2017-11-08,126.26,126.86,123.49,125.14,5241601
2017-11-09,125.03,126.0,122.03,123.45,5641181
2017-11-10,123.0,123.04,120.04,120.45,6529407
2017-11-13,121.13,122.85,118.05,120.6,7708524
2017-11-14,120.68,121.69,119.81,120.19,4597100
2017-11-15,119.33,119.78,115.39,115.91,12121009
2017-11-16,116.81,117.45,115.61,117.0,6568244
2017-11-17,118.09,122.81,118.58,120.68,10609516
2017-11-20,120.86,121.69,119.21,119.4,6635566
2017-11-21,120.56,122.25,119.7,122.18,8607215
2017-11-22,122.51,123.0,120.6,121.5,7050184
2017-11-23,121.58,123.75,121.16,123.38,4121827
2017-11-24,123.83,123.38,121.46,122.36,4355674
2017-11-27,122.1,121.88,120.38,120.86,5735740
2017-11-28,120.04,120.45,118.88,119.25,6869815
2017-11-29,119.29,119.66,118.5,118.76,3565958
2017-11-30,118.35,118.5,115.16,115.69,14525871
2017-12-01,116.18,117.53,114.98,115.35,7127677
2017-12-04,115.73,115.95,113.59,114.56,4938372
2017-12-05,114.6,114.75,113.51,114.11,4232474
2017-12-06,114.0,115.09,113.25,113.51,6205835
2017-12-07,114.3,114.6,113.51,114.26,3644241
2017-12-08,114.6,115.31,114.41,114.79,4267937
2017-12-11,115.35,115.35,113.21,113.48,4719600
2017-12-12,113.59,113.96,109.95,110.33,5764185
2017-12-13,109.31,110.51,108.49,109.35,8447846
2017-12-14,110.33,110.06,106.31,108.34,10656589
2017-12-15,109.69,110.96,109.16,109.91,5301943
2017-12-18,109.05,114.34,105.6,114.15,9754177
2017-12-19,118.5,118.91,116.7,117.83,19909209
2017-12-20,118.01,117.94,116.1,116.93,5312420
2017-12-21,116.63,119.06,116.4,117.68,5297464
2017-12-22,117.9,118.39,117.08,117.26,3111516
2017-12-26,117.49,118.69,116.55,118.46,4652393
2017-12-27,118.5,119.25,117.04,117.23,3751109
2017-12-28,117.53,117.38,115.54,115.88,5215429
2017-12-29,115.88,117.86,115.88,116.96,4702756
2018-01-01,116.93,120.3,116.85,119.33,6051498
2018-01-02,119.44,119.81,117.19,118.09,4641073
2018-01-03,118.5,119.44,118.01,118.43,3442691
2018-01-04,118.61,121.8,117.98,121.73,6100469
2018-01-05,122.18,123.08,120.9,121.31,5367790
2018-01-08,121.43,123.23,121.2,122.96,4904264
2018-01-09,123.38,123.94,121.54,122.44,4562199
2018-01-10,122.33,123.45,121.01,121.65,4443786
2018-01-11,121.35,123.11,120.49,121.91,4982608
2018-01-12,122.4,122.85,119.89,120.9,4677148
