date,open,high,low,close,volume
2017-07-03,1001.05,1034.0,994.65,1029.2,3239124
2017-07-04,1037.0,1055.9,1023.9,1047.15,3357232
2017-07-05,1059.0,1101.0,1050.75,1099.0,4097507
2017-07-06,1099.4,1137.0,1096.05,1107.0,1720304
2017-07-07,1115.0,1134.25,1085.1,1087.15,1326290
2017-07-10,1100.0,1100.0,1000.05,1056.0,30064988776
2017-07-11,1060.0,1060.0,1006.2,1011.25,1341668
2017-07-12,1015.05,1040.4,1005.0,1032.0,1355495
2017-07-13,1026.0,1041.8,1019.95,1025.4,771104
2017-07-14,1030.0,1035.45,1014.6,1029.4,518845
2017-07-17,1036.0,1043.1,1004.0,1009.0,743698
2017-07-18,1014.8,1018.95,959.5,965.8,1384014
2017-07-19,974.15,981.8,961.45,975.05,1095659
2017-07-20,975.0,979.0,955.0,962.0,638340
2017-07-21,963.95,974.0,953.75,966.5,480382
2017-07-24,969.95,976.4,961.25,964.0,354153
2017-07-25,967.0,1003.0,961.5,1000.0,1089663
2017-07-26,1002.0,1004.45,975.2,979.6,650658
2017-07-27,987.55,997.9,971.65,975.0,1428098
2017-07-28,973.9,978.2,966.05,969.85,532317
2017-07-31,974.2,1023.15,963.5,1023.0,3736323
2017-08-01,1030.0,1041.9,1014.8,1033.35,1864506
2017-08-02,1035.85,1036.55,1008.5,1012.85,530505
2017-08-03,1018.45,1028.0,988.1,999.0,791217
2017-08-04,999.05,1007.45,983.25,991.0,568908
2017-08-07,997.9,1005.0,985.15,989.0,413527
2017-08-08,989.95,1006.35,969.0,970.05,1051698
2017-08-09,974.0,974.0,935.5,939.0,949899
2017-08-10,935.15,957.35,918.1,942.0,1028193
2017-08-11,920.25,957.9,920.25,951.95,825527
2017-08-14,955.0,984.35,955.0,976.5,786977
2017-08-16,979.5,988.4,954.95,975.0,452529
2017-08-17,980.9,999.0,967.25,973.0,618034
2017-08-18,974.5,974.85,954.85,968.0,320563
2017-08-21,972.35,988.0,952.4,959.2,524288
2017-08-22,970.95,973.0,952.0,958.3,527804
2017-08-23,964.8,979.05,960.85,972.0,438076
2017-08-24,970.9,988.5,969.1,974.0,451361
2017-08-28,977.95,987.5,971.0,980.0,247158
2017-08-29,972.55,983.95,965.5,971.65,369181
2017-08-30,976.05,984.8,973.35,976.6,246976
2017-08-31,980.0,994.85,975.65,986.7,672810
2017-09-01,995.0,1025.85,985.05,1024.8,1391813
2017-09-04,1029.0,1078.1,1001.9,1064.55,1537765
2017-09-05,1072.95,1083.05,1047.55,1065.0,991981
2017-09-06,1064.65,1074.3,1052.0,1060.0,441990
2017-09-07,1070.55,1098.0,1066.6,1078.0,1107111
2017-09-08,1081.05,1103.5,1051.95,1057.5,983238
2017-09-11,1060.15,1069.75,1050.95,1056.3,297137
2017-09-12,1060.0,1078.5,1052.3,1075.0,501302
2017-09-13,1076.0,1088.0,1052.55,1065.0,387346
2017-09-14,1061.1,1083.9,1061.1,1083.9,363891
2017-09-15,1078.0,1096.5,1071.4,1077.5,644084
2017-09-18,1093.0,1115.0,1080.0,1083.0,651075
2017-09-19,1083.0,1089.65,1063.6,1069.0,297554
2017-09-20,1062.0,1088.0,1055.7,1065.95,462542
2017-09-21,1074.95,1080.0,1052.0,1076.7,915850
2017-09-22,1057.95,1059.85,988.35,995.0,1131756
2017-09-25,1006.9,1006.9,968.5,983.0,768162
2017-09-26,987.95,1023.4,982.8,1005.15,573289
2017-09-27,1036.45,1076.65,1033.3,1049.25,2671413
2017-09-28,1051.35,1068.8,1033.05,1060.0,2015692
2017-09-29,1060.0,1069.2,1051.35,1055.0,646243
2017-10-03,1066.0,1085.5,1056.3,1065.2,566798
2017-10-04,1069.4,1069.4,1040.45,1048.1,480330
2017-10-05,1049.05,1071.9,1046.05,1065.9,743514
2017-10-06,1071.95,1072.0,1046.1,1053.5,404654
2017-10-09,1054.2,1076.1,1048.45,1069.5,653029
2017-10-10,1068.2,1092.0,1063.3,1079.2,676658
2017-10-11,1082.6,1124.0,1074.9,1098.2,885083
2017-10-12,1101.0,1112.45,1079.65,1102.45,326114
2017-10-13,1104.55,1116.0,1090.95,1096.4,719544
2017-10-16,1103.4,1109.6,1094.0,1099.0,486253
2017-10-17,1100.0,1116.4,1097.85,1107.95,792149
2017-10-18,1107.0,1112.0,1090.0,1104.25,4295342405
2017-10-23,1072.35,1137.5,1072.35,1111.1,17464358253
2017-10-24,1124.85,1130.9,1113.0,1115.0,438874
2017-10-25,1123.0,1128.45,1051.05,1089.0,697521
2017-10-26,1081.35,1126.3,1078.25,1124.0,1317953
2017-10-27,1126.3,1171.6,1126.3,1159.0,830373
2017-10-30,1164.95,1199.25,1164.95,1190.0,1210723
2017-10-31,1200.0,1200.0,1160.95,1170.7,1085017
2017-11-01,1168.0,1210.4,1168.0,1196.5,2499494
2017-11-02,1208.0,1335.8,1217.7,1298.0,5142789
2017-11-03,1291.0,1309.1,1286.65,1298.9,1093516
2017-11-06,1290.0,1312.5,1283.75,1308.05,1665944
2017-11-07,1308.05,1320.3,1276.6,1286.75,897337
2017-11-08,1281.95,1281.95,1267.0,1270.0,904526
2017-11-09,1270.0,1284.8,1255.2,1264.8,1113483
2017-11-10,1259.95,1274.25,1248.0,1260.0,562074
2017-11-13,1265.0,1291.0,1255.6,1282.45,424292
2017-11-14,1279.95,1281.55,1246.3,1247.1,397284
2017-11-15,1226.65,1256.0,1214.95,1220.05,663893
2017-11-16,1221.15,1244.0,1204.4,1240.0,487515
2017-11-17,1245.0,1313.3,1247.0,1293.05,1907782
2017-11-20,1299.75,1299.75,1263.4,1277.0,736908
2017-11-21,1277.0,1284.35,1258.5,1266.95,592444
2017-11-22,1276.95,1275.95,1244.75,1251.0,463823
2017-11-23,1250.2,1257.45,1232.0,1235.8,336859
2017-11-24,1241.9,1246.95,1232.45,1237.6,451502
2017-11-27,1238.0,1267.0,1224.95,1265.25,890696
2017-11-28,1256.0,1285.75,1256.6,1275.0,1018723
2017-11-29,1275.45,1346.2,1274.15,1339.0,1769471
2017-11-30,1338.5,1364.6,1321.1,1328.0,1777524
2017-12-01,1336.0,1359.45,1318.0,1327.0,876434
2017-12-04,1339.0,1352.0,1282.0,1305.2,661382
2017-12-05,1300.0,1378.0,1294.4,1372.5,1277410
2017-12-06,1372.0,1371.95,1331.3,1339.25,1011574
2017-12-07,1336.0,1355.05,1318.75,1345.0,662248
2017-12-08,1345.0,1390.85,1345.0,1373.3,768228
2017-12-11,1380.0,1400.75,1368.1,1394.0,588351
2017-12-12,1395.0,1392.15,1360.0,1363.7,493731
2017-12-13,1363.0,1404.9,1348.0,1365.3,704291
2017-12-14,1374.15,1386.9,1354.05,1370.0,379867
2017-12-15,1382.1,1412.0,1383.0,1407.0,983523
2017-12-18,1417.8,1427.0,1370.0,1414.0,610113
2017-12-19,1416.0,1459.1,1410.6,1455.45,796668
2017-12-20,1455.25,1462.8,1430.0,1434.0,635104
2017-12-21,1444.8,1459.9,1432.8,1436.0,542300
2017-12-22,1439.0,1471.2,1432.1,1464.25,396739
2017-12-26,1470.0,1478.45,1457.4,1462.7,258297
2017-12-27,1462.45,1472.85,1440.2,1463.75,587457
2017-12-28,1461.75,1470.7,1439.35,1444.0,1322685
2017-12-29,1452.0,1496.5,1451.95,1473.0,513836
2018-01-01,1491.4,1495.0,1463.5,1479.0,212492
2018-01-02,1483.0,1485.4,1452.1,1455.9,276025
2018-01-03,1455.9,1468.5,1445.0,1455.0,496873
2018-01-04,1455.0,1483.0,1449.55,1482.0,520839
2018-01-05,1470.0,1492.0,1460.0,1485.8,699364
2018-01-08,1484.9,1519.5,1480.05,1505.0,556510
2018-01-09,1520.0,1521.9,1503.4,1518.0,263720
2018-01-10,1523.0,1545.3,1514.85,1516.0,822812
2018-01-11,1515.0,1515.0,1495.85,1497.4,657325
2018-01-12,1504.9,1533.95,1486.0,1514.0,989534
2018-01-15,1513.7,1523.7,1496.9,1501.0,213495
2018-01-16,1510.0,1530.95,1492.4,1510.95,605734
2018-01-17,1517.0,1512.9,1490.0,1505.2,397586
2018-01-18,1505.2,1513.7,1445.55,1459.0,796086
2018-01-19,1472.0,1472.0,1408.55,1429.9,553463
2018-01-22,1435.95,1488.95,1411.4,1475.0,495819
2018-01-23,1469.2,1493.1,1458.05,1472.0,896326
2018-01-24,1470.0,1472.9,1424.35,1435.0,477254
2018-01-25,1420.3,1457.0,1420.3,1456.0,592680
2018-01-29,1475.1,1515.0,1423.2,1425.95,780906
2018-01-30,1439.0,1439.0,1363.1,1374.0,757606
2018-01-31,1353.15,1405.0,1351.05,1375.0,755358
2018-02-01,1373.1,1422.0,1363.25,1376.0,721564
2018-02-02,1352.3,1374.4,1284.8,1319.0,963818
2018-02-05,1300.0,1358.0,1300.35,1358.0,668599
2018-02-06,1280.05,1381.0,1275.55,1360.3,1249773
2018-02-07,1382.0,1390.9,1313.35,1325.2,1086143
2018-02-08,1325.5,1351.95,1326.0,1336.9,351125
2018-02-09,1331.0,1362.0,1295.0,1311.9,862873
2018-02-12,1312.0,1341.5,1295.9,1323.15,662347
2018-02-14,1334.9,1376.1,1326.25,1340.0,534911
2018-02-15,1354.9,1390.0,1346.7,1360.95,564410
2018-02-16,1358.15,1375.0,1312.2,1318.5,514468
2018-02-19,1318.45,1323.95,1262.55,1291.0,703422
2018-02-20,1282.05,1305.95,1277.65,1295.0,357650
2018-02-21,1301.0,1303.35,1255.5,1260.15,618811
2018-02-22,1272.0,1304.0,1261.25,1290.5,847927
2018-02-23,1296.5,1335.85,1295.0,1323.0,447017
2018-02-26,1333.9,1358.8,1331.35,1347.2,422616
2018-02-27,1347.5,1357.0,1337.0,1350.05,529782
2018-02-28,1316.55,1357.5,1329.55,1337.9,490093
2018-03-01,1340.0,1347.5,1326.0,1340.0,523583
2018-03-05,1338.0,1373.9,1334.1,1369.4,595578
2018-03-06,1381.5,1403.15,1313.4,1350.05,926682
2018-03-07,1353.0,1362.95,1312.15,1322.5,693264
2018-03-08,1328.0,1341.55,1305.75,1326.0,505165
2018-03-09,1332.0,1359.05,1332.05,1337.5,593607
2018-03-12,1345.5,1369.9,1335.35,1349.4,1207745
2018-03-13,1357.0,1368.55,1347.15,1357.15,1016931
2018-03-14,1348.1,1382.0,1348.35,1379.3,748289
2018-03-15,1370.1,1466.6,1371.95,1460.0,1419640
2018-03-16,1459.95,1473.4,1437.2,1453.5,1232983
2018-03-19,1459.5,1459.5,1398.15,1407.3,659512
2018-03-20,1383.1,1400.0,1366.0,1380.0,951600
2018-03-21,1386.8,1413.3,1382.0,1396.65,627085
2018-03-22,1393.0,1409.7,1383.05,1405.0,528646
2018-03-23,1390.1,1411.15,1360.0,1384.1,416559
2018-03-26,1390.15,1426.4,1390.0,1418.35,708096
2018-03-27,1427.85,1498.85,1427.85,1450.0,1308983
2018-03-28,1452.0,1468.0,1433.85,1442.1,587426
2018-04-02,1441.0,1486.5,1397.6,1471.2,1056130
2018-04-03,1468.6,1486.5,1449.0,1481.85,360397
2018-04-04,1482.0,1492.7,1440.0,1453.0,884736
2018-04-05,1458.9,1547.0,1457.8,1539.0,1399170
2018-04-06,1532.1,1590.4,1506.0,1582.0,2167806
2018-04-09,1577.75,1610.0,1553.9,1555.0,1545178
2018-04-10,1567.0,1588.8,1557.0,1560.0,431730
2018-04-11,1563.0,1579.95,1545.0,1555.25,618902
