date,open,high,low,close,volume
2017-07-03,291.8,296.3,291.8,296.3,1456750
2017-07-04,297.6,299.8,293.5,293.65,2255098
2017-07-05,292.65,298.45,292.65,298.0,1071250
2017-07-06,297.8,302.6,296.25,301.0,2672929
2017-07-07,301.4,303.3,299.05,301.9,1865827
2017-07-10,303.65,304.65,301.0,304.0,21474924558
2017-07-11,302.1,307.4,302.1,305.75,2493764
2017-07-12,305.9,308.85,303.3,305.0,1475356
2017-07-13,304.7,306.95,302.5,303.25,1113456
2017-07-14,305.75,306.4,301.1,303.5,1200843
2017-07-17,304.1,305.95,296.75,302.2,1661033
2017-07-18,300.7,301.9,297.6,300.0,1333592
2017-07-19,301.0,306.8,300.0,306.35,1115422
2017-07-20,306.0,307.4,300.0,301.05,1050991
2017-07-21,301.1,303.55,299.7,302.55,823566
2017-07-24,302.2,306.7,300.8,305.1,651047
2017-07-25,306.75,308.95,305.75,307.0,966245
2017-07-26,307.9,308.0,304.15,306.4,696549
2017-07-27,307.0,313.6,306.0,312.4,2489595
2017-07-28,310.5,312.45,305.5,310.0,1042219
2017-07-31,310.55,312.7,308.3,309.0,744057
2017-08-01,309.8,310.25,301.2,301.3,1751537
2017-08-02,302.05,304.6,298.6,299.35,748043
2017-08-03,299.7,307.3,297.2,305.5,1517575
2017-08-04,307.0,309.0,301.65,307.0,3311725
2017-08-07,310.2,320.0,309.1,318.5,2364508
2017-08-08,320.15,323.0,313.2,316.0,1100864
2017-08-09,315.55,315.55,309.8,309.9,642817
2017-08-10,307.25,310.9,305.7,306.35,563010
2017-08-11,301.0,307.6,301.0,303.1,649237
2017-08-14,304.15,311.5,303.5,308.0,553103
2017-08-16,309.95,311.45,307.2,310.0,920543
2017-08-17,310.05,311.25,306.25,306.45,740879
2017-08-18,305.55,311.4,305.55,311.0,584523
2017-08-21,311.05,313.1,302.8,304.2,572723
2017-08-22,304.9,307.0,300.5,301.2,856673
2017-08-23,302.0,302.4,296.5,300.15,1159494
2017-08-24,301.0,302.9,298.2,299.35,764996
2017-08-28,302.0,313.65,301.7,313.1,1642600
2017-08-29,312.5,312.5,305.5,309.0,876232
2017-08-30,311.0,315.5,310.0,314.1,790074
2017-08-31,314.9,316.7,312.5,316.05,1792796
2017-09-01,316.1,316.4,312.1,313.0,566317
2017-09-04,313.0,314.5,308.6,314.5,418117
2017-09-05,311.95,314.5,310.35,312.65,1165387
2017-09-06,312.7,313.3,308.75,309.9,657008
2017-09-07,311.75,311.9,307.9,309.0,692204
2017-09-08,309.0,311.55,305.45,307.65,1049905
2017-09-11,309.3,310.6,307.2,309.15,456951
2017-09-12,309.95,309.95,305.6,307.0,981585
2017-09-13,306.3,312.8,306.0,308.4,1218954
2017-09-14,309.0,309.9,306.05,307.05,705222
2017-09-15,307.0,311.7,305.4,309.8,1089927
2017-09-18,310.5,311.0,306.65,308.0,587990
2017-09-19,307.8,316.65,307.6,315.4,1573859
2017-09-20,316.25,318.3,313.5,314.25,925268
2017-09-21,315.45,316.45,308.0,310.3,673181
2017-09-22,310.05,312.45,303.65,305.05,1002517
2017-09-25,304.5,315.5,298.75,312.3,1489029
2017-09-26,314.85,314.85,305.55,308.0,1673215
2017-09-27,314.35,314.35,303.65,307.8,1428510
2017-09-28,307.2,313.2,306.15,312.0,1483794
2017-09-29,312.85,314.0,303.9,305.25,1485719
2017-10-03,308.9,313.2,306.05,312.0,926668
2017-10-04,312.3,319.35,312.3,316.95,1431895
2017-10-05,318.05,320.4,315.75,316.8,778529
2017-10-06,316.75,318.45,315.15,315.7,520224
2017-10-09,315.6,319.65,315.3,317.0,521144
2017-10-10,316.5,321.8,314.95,317.85,576955
2017-10-11,317.5,322.45,315.5,316.0,1246309
2017-10-12,316.95,328.1,316.65,325.5,2232563
2017-10-13,327.15,328.15,321.0,322.0,1253090
2017-10-16,324.5,324.5,320.2,322.5,707996
2017-10-17,322.5,322.5,318.25,319.95,659016
2017-10-18,319.95,320.4,315.0,319.05,11069923454
2017-10-23,317.45,320.0,316.1,316.8,17981267707
2017-10-24,318.8,320.9,315.65,318.35,631219
2017-10-25,319.35,324.8,318.3,323.1,1403086
2017-10-26,325.25,326.45,321.2,322.7,1474221
2017-10-27,323.25,325.0,319.7,322.35,509826
2017-10-30,323.35,325.0,318.0,321.65,498496
2017-10-31,325.15,334.6,322.8,333.3,3620418
2017-11-01,338.9,360.4,338.6,348.6,6770138
2017-11-02,345.85,349.05,340.3,341.3,1335877
