date,open,high,low,close,volume
2017-07-03,349.15,353.1,340.35,342.5,46810242
2017-07-04,343.4,343.4,336.25,337.95,11189957
2017-07-05,337.3,337.8,330.25,332.0,11966254
2017-07-06,332.95,338.75,331.3,337.1,13413918
2017-07-07,337.85,337.85,333.05,334.5,9907595
2017-07-10,337.6,367.4,331.0,333.0,12886159839
2017-07-11,334.95,334.95,330.0,330.2,8312051
2017-07-12,329.95,333.6,327.4,329.75,10218814
2017-07-13,331.0,339.5,331.0,339.25,17432947
2017-07-14,339.75,339.8,334.8,337.75,5577579
2017-07-17,334.8,334.8,321.0,323.25,20214387
2017-07-18,287.1,289.9,279.5,284.7,148219624
2017-07-19,288.0,292.9,286.3,291.95,39063392
2017-07-20,294.9,294.9,288.4,290.0,15249920
2017-07-21,291.4,291.5,286.55,288.6,13145186
2017-07-24,289.8,295.2,288.1,293.15,17768872
2017-07-25,294.55,294.8,290.85,291.5,9528964
2017-07-26,292.25,294.25,291.55,293.4,9197866
2017-07-27,294.7,295.3,286.75,291.9,18818861
2017-07-28,294.3,294.3,287.2,290.3,18295064
2017-07-31,290.15,290.15,284.5,285.25,21172305
2017-08-01,285.5,288.55,285.0,288.1,13479822
2017-08-02,288.65,288.75,284.35,284.85,9820326
2017-08-03,285.0,285.35,280.65,280.9,10182748
2017-08-04,280.6,284.3,279.65,280.7,11237555
2017-08-07,281.7,283.0,279.5,279.5,8427969
2017-08-08,280.35,281.4,273.5,273.85,12713707
2017-08-09,274.0,275.4,270.6,272.55,9887072
2017-08-10,272.6,274.65,270.75,273.95,9966723
2017-08-11,271.65,274.45,270.1,271.2,14374841
2017-08-14,273.55,274.05,270.5,271.3,9669857
2017-08-16,271.8,281.65,271.55,279.2,18677823
2017-08-17,281.45,282.9,277.9,280.0,13680142
2017-08-18,279.4,284.0,277.0,281.05,14836944
2017-08-21,282.25,285.0,280.95,282.45,13058465
2017-08-22,282.4,285.0,280.35,283.1,11938294
2017-08-23,283.75,285.5,281.6,281.9,8740843
2017-08-24,281.95,283.5,281.1,281.5,10813193
2017-08-28,282.0,283.0,279.45,283.0,9943664
2017-08-29,282.1,282.9,279.45,281.0,6135958
2017-08-30,281.15,282.9,280.6,282.25,6525519
2017-08-31,282.95,283.05,280.4,282.5,11210183
2017-09-01,282.15,284.35,280.7,283.9,7235659
2017-09-04,283.4,283.85,282.0,282.8,8474305
2017-09-05,282.8,283.9,281.6,282.0,7799941
2017-09-06,280.55,280.8,275.25,275.6,14141150
2017-09-07,277.0,277.5,269.7,271.0,19200433
2017-09-08,271.25,273.3,270.0,271.4,9700662
2017-09-11,272.5,274.4,271.5,273.8,9295122
2017-09-12,275.1,278.25,274.65,277.35,11447301
2017-09-13,277.4,277.4,270.95,271.65,12109990
2017-09-14,272.4,272.4,270.45,272.0,7029890
2017-09-15,272.0,272.7,268.25,269.0,13129632
2017-09-18,270.8,271.7,266.3,267.4,10117679
2017-09-19,268.0,269.95,264.1,267.75,33864013
2017-09-20,269.4,272.0,267.75,271.8,9588751
2017-09-21,271.55,272.4,267.1,269.0,7734748
2017-09-22,268.25,270.95,267.05,267.7,6850291
2017-09-25,268.6,269.6,260.9,262.25,17559383
2017-09-26,263.0,263.75,261.05,261.2,9570655
2017-09-27,265.15,265.15,256.9,259.2,17437109
2017-09-28,260.15,263.2,259.1,260.2,21582186
2017-09-29,262.6,262.85,257.45,257.9,12149494
2017-10-03,262.2,262.75,258.55,261.05,11455989
2017-10-04,264.75,268.5,263.2,267.0,10745333
2017-10-05,268.7,268.7,264.4,264.7,6923339
2017-10-06,265.6,267.5,264.7,266.35,7825216
2017-10-09,268.05,269.1,266.4,268.1,6069977
2017-10-10,267.3,267.7,265.15,265.95,5462827
2017-10-11,266.65,266.95,264.45,265.05,7727672
2017-10-12,265.55,269.2,264.0,267.05,9156265
2017-10-13,266.95,267.5,264.2,266.05,12024301
2017-10-16,267.8,269.95,266.25,267.85,9135110
2017-10-17,267.9,268.5,265.95,267.25,10621875
2017-10-18,267.25,270.75,267.1,270.35,3587231281
2017-10-23,269.35,272.75,265.85,267.05,18781099749
2017-10-24,268.35,268.35,266.1,267.0,8386306
2017-10-25,268.5,271.5,268.2,269.0,5922440
2017-10-26,270.05,270.05,267.2,268.0,9235368
2017-10-27,270.5,276.0,267.45,269.3,22943928
2017-10-30,268.7,270.6,263.5,265.3,17528930
2017-10-31,265.95,266.65,264.0,265.85,8124121
2017-11-01,267.0,271.15,266.3,269.8,7220750
2017-11-02,269.7,269.95,265.3,265.8,9659757
2017-11-03,267.0,267.9,264.9,265.65,5962548
2017-11-06,266.25,267.9,264.35,265.15,9007221
2017-11-07,265.7,267.65,263.65,265.1,9493342
2017-11-08,265.35,266.5,264.7,265.1,5946658
2017-11-09,266.4,266.5,259.35,261.0,20223660
2017-11-10,260.55,265.2,259.4,262.1,16756698
2017-11-13,263.0,263.25,258.0,258.6,7371973
2017-11-14,258.5,260.85,256.0,256.25,8317077
2017-11-15,257.0,257.2,250.4,253.85,17003313
2017-11-16,254.7,255.5,252.4,255.0,9945279
2017-11-17,256.5,259.0,256.0,258.6,9980831
2017-11-20,258.6,260.6,257.25,259.0,7902996
2017-11-21,259.5,259.45,255.25,255.6,16617650
2017-11-22,256.0,258.65,255.6,258.6,8587730
2017-11-23,258.35,260.6,256.4,258.55,7497637
2017-11-24,258.5,261.45,258.05,260.65,7308477
2017-11-27,260.0,260.2,257.3,259.05,4813388
2017-11-28,259.1,259.2,256.0,257.0,17503132
2017-11-29,258.0,258.7,257.0,258.1,8693454
2017-11-30,257.9,258.15,254.7,255.9,22097734
2017-12-01,256.95,259.6,254.65,255.1,6585680
2017-12-04,256.0,256.2,253.55,254.7,6096704
2017-12-05,255.0,255.35,252.65,252.9,8983512
2017-12-06,253.25,253.25,250.85,251.5,8230578
2017-12-07,250.0,254.1,250.65,253.7,5373196
2017-12-08,253.75,263.0,253.4,262.6,13117324
2017-12-11,264.65,267.5,263.3,266.0,17140719
2017-12-12,264.5,265.2,260.5,261.2,9227669
2017-12-13,259.6,262.4,257.6,259.35,8614650
2017-12-14,260.9,266.15,257.55,264.0,8028785
2017-12-15,266.0,266.85,263.45,264.1,12244181
2017-12-18,265.5,265.5,259.05,263.35,9271899
2017-12-19,263.4,265.4,263.1,264.2,5870950
2017-12-20,264.7,264.5,262.7,263.1,7424003
2017-12-21,265.9,265.9,261.6,263.05,6732294
2017-12-22,263.5,264.2,262.45,262.5,6393007
2017-12-26,263.25,265.0,263.25,263.75,9539681
2017-12-27,264.2,264.3,261.65,262.3,6082948
2017-12-28,263.4,264.0,261.05,261.85,15875770
2017-12-29,262.5,264.0,262.3,263.25,6543192
2018-01-01,263.25,266.3,261.3,261.8,10448776
2018-01-02,262.6,264.2,260.45,260.7,5664601
2018-01-03,261.3,262.65,260.6,260.95,10983686
2018-01-04,260.95,262.7,260.6,261.75,9326234
2018-01-05,261.9,263.5,262.0,263.0,9187363
2018-01-08,264.0,266.8,263.25,265.75,14408776
2018-01-09,265.5,271.95,265.0,270.2,25687276
2018-01-10,273.45,273.7,269.1,269.35,16366281
2018-01-11,269.5,271.0,268.15,269.95,11275707
2018-01-12,270.25,271.35,266.15,267.15,8048102
2018-01-15,268.0,271.05,267.0,267.75,10522615
2018-01-16,268.2,268.7,260.8,262.6,12918868
2018-01-17,262.0,267.0,259.55,266.4,16359768
2018-01-18,268.0,275.25,266.65,274.0,26407025
2018-01-19,276.0,277.45,271.25,274.2,25637796
2018-01-22,275.0,275.2,271.7,272.7,8303927
2018-01-23,274.0,277.15,273.6,276.8,18224127
2018-01-24,276.65,282.0,276.05,280.55,17275364
2018-01-25,281.0,283.05,278.6,280.7,13098003
2018-01-29,281.15,283.3,275.0,275.2,9542648
2018-01-30,275.0,276.15,272.0,275.75,13046321
2018-01-31,273.9,276.0,270.05,271.35,18916030
2018-02-01,272.0,290.1,267.45,275.2,59216500
