date,open,high,low,close,volume
2017-07-03,685.7,690.0,679.0,684.1,1496957
2017-07-04,683.0,687.3,675.05,679.35,1175745
2017-07-05,677.9,684.8,669.5,679.0,2171477
2017-07-06,684.05,688.0,678.2,683.0,1720806
2017-07-07,683.0,699.5,678.6,698.65,3011546
2017-07-10,699.4,712.0,698.65,711.9,25770401631
2017-07-11,711.0,716.4,696.2,699.0,2545849
2017-07-12,702.05,703.5,691.15,695.0,2144008
2017-07-13,696.05,709.0,691.2,706.3,1834717
2017-07-14,721.0,750.0,715.95,742.95,8179815
2017-07-17,748.45,765.5,734.6,749.0,4482510
2017-07-18,743.1,749.15,728.3,738.8,3010079
2017-07-19,776.5,794.35,761.35,763.9,11227442
2017-07-20,770.05,771.25,747.6,751.2,2407131
2017-07-21,754.85,755.9,733.2,744.65,2336294
2017-07-24,750.5,754.85,743.0,743.55,1564222
2017-07-25,745.0,755.0,739.85,751.95,1791873
2017-07-26,753.95,754.5,743.1,745.05,1761012
2017-07-27,746.5,758.25,735.85,739.1,2198582
2017-07-28,742.45,743.0,717.65,724.95,2170002
2017-07-31,725.0,732.9,715.0,718.65,2190233
2017-08-01,720.0,741.7,720.0,736.0,2522130
2017-08-02,736.9,736.9,724.3,728.75,1395766
2017-08-03,730.1,748.5,729.85,741.0,3434475
2017-08-04,725.75,733.5,718.2,724.05,1823337
2017-08-07,727.5,734.65,722.0,726.0,1313304
2017-08-08,725.55,740.1,721.35,726.7,1704626
2017-08-09,725.4,725.4,676.7,682.3,5406188
2017-08-10,713.3,721.7,665.6,697.0,9008884
2017-08-11,672.7,710.35,670.55,706.8,4627107
2017-08-14,712.0,720.7,706.1,708.0,2023624
2017-08-16,717.5,717.5,705.35,714.0,1692838
2017-08-17,714.4,725.0,701.0,703.5,2141608
2017-08-18,703.0,708.55,687.6,705.85,1512384
2017-08-21,711.0,715.0,691.8,695.0,1458510
2017-08-22,702.0,708.45,693.3,694.3,1653919
2017-08-23,698.75,704.5,695.45,698.85,1617311
2017-08-24,702.5,734.85,699.5,733.5,4298262
2017-08-28,734.9,750.4,734.85,744.0,2293496
2017-08-29,739.0,742.7,726.8,729.0,1323578
2017-08-30,747.95,750.0,732.5,735.0,1866580
2017-08-31,736.8,739.95,722.5,726.25,1218422
2017-09-01,728.75,761.95,723.6,757.3,3441203
2017-09-04,765.45,772.0,742.45,748.3,3136100
2017-09-05,752.55,755.0,741.15,743.0,1502073
2017-09-06,740.45,754.45,738.0,747.4,1321502
2017-09-07,751.7,758.0,726.35,739.75,3362649
2017-09-08,739.55,751.85,736.0,736.05,1694558
2017-09-11,743.0,748.0,737.5,741.05,1130836
2017-09-12,744.0,762.95,742.45,756.1,2643559
2017-09-13,755.0,771.6,751.35,764.0,2746810
2017-09-14,762.0,776.0,762.0,767.0,1865262
2017-09-15,760.5,768.7,753.0,756.0,1880254
2017-09-18,764.75,772.1,749.5,758.4,1424877
2017-09-19,761.0,770.8,743.4,745.0,2204729
2017-09-20,750.0,754.95,738.8,745.6,1655757
2017-09-21,745.45,760.95,745.0,751.35,2431088
2017-09-22,749.1,756.95,718.5,723.95,3360993
2017-09-25,726.0,726.0,693.95,699.5,3810202
2017-09-26,701.0,714.4,696.0,704.75,2870645
2017-09-27,712.15,712.3,687.2,689.8,1409058
2017-09-28,689.05,691.0,665.25,677.0,6467021
2017-09-29,675.8,706.0,675.8,694.2,5457213
2017-10-03,695.9,711.5,695.0,708.7,2259169
2017-10-04,711.0,729.5,706.2,728.2,2495478
2017-10-05,728.0,753.25,727.25,744.25,4837689
2017-10-06,746.75,752.1,740.05,745.55,2809904
2017-10-09,753.25,756.1,725.45,729.55,3107512
2017-10-10,730.9,741.1,730.5,737.0,1619751
2017-10-11,738.95,747.9,728.0,732.5,1929618
2017-10-12,733.85,749.0,733.85,747.7,2560233
2017-10-13,749.95,754.0,742.55,742.55,1423501
2017-10-16,749.25,762.0,745.5,758.0,2064208
2017-10-17,759.0,772.0,753.55,764.45,2346022
2017-10-18,766.5,768.35,753.65,756.0,10343350056
2017-10-23,752.0,767.2,745.0,750.95,14833740767
2017-10-24,756.3,757.95,741.05,742.5,1524907
2017-10-25,748.05,752.1,732.25,734.5,1504550
2017-10-26,736.15,753.75,725.0,753.5,1969191
2017-10-27,755.9,775.0,753.0,762.0,2645362
2017-10-30,765.95,773.3,756.4,767.1,1171786
2017-10-31,764.05,772.0,755.05,761.5,2009831
2017-11-01,763.5,771.5,755.5,761.45,1731978
2017-11-02,768.0,797.65,768.0,790.0,5836994
2017-11-03,795.0,799.6,776.7,788.1,2789137
2017-11-06,788.0,804.8,788.1,795.95,2687232
2017-11-07,798.0,809.45,770.65,781.7,3566545
2017-11-08,784.0,794.85,778.15,791.5,1681746
2017-11-09,794.9,798.5,741.4,787.25,3859275
2017-11-10,804.0,801.0,729.8,743.4,9019847
2017-11-13,750.0,749.2,706.5,708.1,5578386
2017-11-14,711.05,718.9,695.95,699.0,3459447
2017-11-15,699.0,711.5,689.35,698.0,2776823
2017-11-16,700.0,715.8,700.3,713.75,2016388
2017-11-17,719.45,722.85,706.75,708.0,1474476
2017-11-20,710.0,714.5,704.15,706.5,1647863
2017-11-21,709.0,716.35,704.5,708.15,1862344
2017-11-22,710.0,711.85,694.85,698.55,1738514
2017-11-23,700.0,706.0,689.55,695.15,1911296
2017-11-24,696.9,717.55,694.85,717.0,2441046
2017-11-27,714.1,723.5,710.1,720.0,2102723
2017-11-28,719.95,721.25,704.0,705.7,2467948
2017-11-29,705.1,715.1,705.4,710.0,1436505
2017-11-30,710.0,712.7,690.45,692.85,3884374
2017-12-01,696.0,702.5,668.6,674.95,2545998
2017-12-04,674.0,681.3,661.25,674.95,2294235
2017-12-05,674.0,673.9,662.55,668.55,1577257
2017-12-06,669.0,671.9,650.0,653.8,2050813
2017-12-07,657.95,673.0,657.65,671.55,1887722
2017-12-08,672.0,677.95,669.05,673.0,1191591
2017-12-11,672.5,692.05,672.4,690.9,2247282
2017-12-12,691.45,697.6,676.15,677.75,1986232
2017-12-13,681.0,685.9,665.05,670.0,1929331
2017-12-14,670.95,676.8,660.6,665.4,1879639
2017-12-15,675.0,676.7,665.65,668.0,1297450
2017-12-18,668.0,679.8,650.4,673.0,1435731
2017-12-19,679.85,686.8,677.0,685.25,2196746
2017-12-20,688.0,694.75,681.4,687.75,1712732
2017-12-21,688.0,695.95,681.55,684.15,1487751
2017-12-22,691.5,691.3,676.9,682.0,1665237
2017-12-26,684.75,685.5,680.2,683.3,829522
2017-12-27,685.1,701.4,682.95,691.0,4378642
2017-12-28,698.65,700.9,680.55,684.0,2918884
2017-12-29,689.0,690.0,684.35,686.9,1430545
2018-01-01,690.0,698.8,681.3,685.35,1626522
2018-01-02,685.35,688.3,668.65,672.5,1853281
2018-01-03,671.0,674.25,664.0,666.7,1707231
2018-01-04,667.0,670.4,661.7,669.0,1780025
2018-01-05,669.0,672.5,666.1,670.0,1515035
2018-01-08,670.0,683.7,670.05,676.2,2099544
2018-01-09,677.9,680.4,668.55,673.5,1373025
2018-01-10,673.4,679.15,669.7,672.5,1010727
2018-01-11,670.0,681.3,668.5,674.9,1442970
2018-01-12,675.0,679.0,665.5,667.9,1480622
2018-01-15,668.25,671.6,655.6,660.2,1441283
2018-01-16,658.6,662.0,639.0,642.6,2162140
2018-01-17,642.0,661.35,634.05,657.0,2648063
2018-01-18,657.0,663.5,639.1,644.7,2629988
2018-01-19,640.2,647.25,633.65,644.15,3429869
2018-01-22,639.0,644.15,636.5,642.0,1231006
2018-01-23,641.15,659.45,640.95,653.4,1868618
2018-01-24,647.6,663.0,648.0,657.0,2211493
2018-01-25,658.5,659.85,637.7,639.9,1719255
2018-01-29,643.0,645.0,633.85,634.85,1309444
2018-01-30,634.0,637.5,623.1,633.0,1992706
2018-01-31,623.2,635.5,624.9,630.4,1866342
2018-02-01,628.6,631.0,605.0,611.2,2658012
2018-02-02,606.0,623.95,603.0,605.45,2249023
2018-02-05,595.0,616.85,588.35,615.5,1839528
2018-02-06,592.9,605.4,584.0,596.55,2240648
2018-02-07,605.0,621.15,603.25,613.4,2697571
2018-02-08,615.75,620.0,600.0,601.55,4406249
2018-02-09,591.0,596.75,580.1,587.85,4993108
2018-02-12,594.05,610.4,593.15,606.95,3055150
2018-02-14,612.9,614.8,599.0,599.95,1790856
2018-02-15,603.0,608.4,590.15,592.0,2190980
2018-02-16,594.0,597.7,586.25,589.65,1811598
