date,open,high,low,close,volume
2017-07-03,165.0,166.12,164.05,165.75,866678
2017-07-04,166.82,167.5,164.0,167.25,1770544
2017-07-05,167.5,170.5,166.7,170.5,1648476
2017-07-06,170.98,171.73,169.0,169.25,1154500
2017-07-07,169.4,171.9,167.57,168.52,1724178
2017-07-10,167.5,168.52,159.62,160.95,42950820728
2017-07-11,162.65,164.7,161.1,161.45,2359422
2017-07-12,173.25,184.9,170.12,184.6,39578638
2017-07-13,184.0,185.0,178.75,182.62,16443146
2017-07-14,193.77,202.23,193.77,199.15,38654532
2017-07-17,199.77,206.1,197.02,204.27,14826978
2017-07-18,202.77,209.75,199.25,207.1,13501272
2017-07-19,207.18,212.2,206.6,209.5,10889854
2017-07-20,209.43,209.95,199.7,200.85,8211008
2017-07-21,201.35,204.75,197.02,199.5,6049844
2017-07-24,199.9,202.95,198.05,199.8,4160394
2017-07-25,200.0,204.0,197.77,202.0,4677254
2017-07-26,202.55,203.88,199.48,202.3,4368044
2017-07-27,202.5,204.02,198.38,199.52,5093402
2017-07-28,186.25,196.98,186.25,195.45,9391432
2017-07-31,195.5,197.62,191.75,192.75,3854022
2017-08-01,186.0,190.43,185.65,189.0,6421838
2017-08-02,188.57,193.35,188.05,191.0,3881700
2017-08-03,191.12,191.2,187.02,187.38,3153168
2017-08-04,174.77,179.75,173.25,178.32,19114906
2017-08-07,180.5,180.85,176.7,177.35,3441268
2017-08-08,177.95,179.27,174.3,174.9,4006942
2017-08-09,175.4,175.4,168.0,168.7,3257562
2017-08-10,168.27,171.7,161.27,168.43,3966976
2017-08-11,164.65,173.3,162.15,170.38,5126898
2017-08-14,172.35,175.95,169.1,174.6,3621236
2017-08-16,175.0,175.73,160.15,164.1,21596616
2017-08-17,162.5,168.98,159.32,164.65,13713308
2017-08-18,164.0,165.93,162.3,163.75,4449442
2017-08-21,165.0,165.45,162.57,163.3,3288610
2017-08-22,164.73,166.15,163.05,164.0,3416480
2017-08-23,164.2,167.4,164.2,165.0,2784440
