date,open,high,low,close,volume
2017-07-03,783.0,787.45,763.0,775.0,219380
2017-07-04,779.95,787.0,774.0,778.0,93538
2017-07-05,782.0,816.7,782.0,807.0,607093
2017-07-06,807.1,820.95,800.0,803.5,131037
2017-07-07,803.5,844.95,801.05,842.0,359851
2017-07-10,850.0,850.0,833.05,849.9,21474854820
2017-07-11,849.0,851.5,837.0,838.0,63062
2017-07-12,842.0,849.85,830.5,839.0,49225
2017-07-13,841.0,847.25,835.3,840.0,40854
2017-07-14,838.0,845.7,826.25,829.0,67309
2017-07-17,833.7,881.0,833.0,860.0,284705
2017-07-18,862.0,879.75,860.5,864.45,109871
2017-07-19,867.1,871.8,854.55,857.5,67421
2017-07-20,858.0,858.0,844.25,846.25,43531
2017-07-21,853.75,855.3,835.25,836.55,46458
2017-07-24,852.0,853.15,834.35,838.2,90613
2017-07-25,835.1,851.0,835.0,837.95,42711
2017-07-26,842.0,842.05,835.0,835.0,34464
2017-07-27,835.0,844.35,820.05,826.0,96187
2017-07-28,826.0,841.45,816.3,824.0,34470
2017-07-31,840.0,840.0,821.05,826.5,57343
2017-08-01,826.5,838.0,821.0,822.0,39465
2017-08-02,822.0,835.0,822.0,829.05,21710
2017-08-03,827.0,833.05,811.3,820.0,22967
2017-08-04,820.0,825.0,810.2,811.0,25854
2017-08-07,811.0,858.0,811.0,838.6,194491
2017-08-08,848.0,856.0,820.0,822.2,252941
2017-08-09,822.2,823.35,805.0,807.0,44914
2017-08-10,801.0,807.0,789.0,800.05,39201
2017-08-11,790.0,822.0,775.0,807.0,40885
2017-08-14,820.0,820.0,801.15,809.9,21588
2017-08-16,807.0,810.0,796.3,803.7,26467
2017-08-17,810.0,810.0,804.05,806.0,69704
2017-08-18,808.0,810.0,803.75,808.0,19106
2017-08-21,808.55,813.65,801.05,806.0,27560
2017-08-22,808.9,811.0,800.2,810.5,38575
2017-08-23,809.75,812.75,799.7,810.0,33346
2017-08-24,810.0,810.9,805.0,806.0,73050
2017-08-28,810.0,811.0,805.0,807.0,26558
2017-08-29,807.0,809.9,780.0,799.5,366388
2017-08-30,798.0,807.7,798.0,804.4,53727
2017-08-31,804.9,847.7,795.0,804.95,115232
2017-09-01,812.3,820.0,805.0,805.0,75491
2017-09-04,805.0,838.0,805.0,831.0,68525
2017-09-05,830.0,838.0,814.6,828.25,49685
2017-09-06,828.25,834.35,821.0,826.25,30293
2017-09-07,824.0,830.55,821.05,828.0,20912
2017-09-08,828.0,848.0,807.3,808.5,72861
2017-09-11,813.0,819.8,797.0,801.2,68099
2017-09-12,798.0,814.8,798.0,804.0,23521
2017-09-13,806.0,814.9,800.0,801.0,31993
2017-09-14,805.0,810.9,800.0,800.1,44457
2017-09-15,800.1,811.0,800.0,806.9,55105
2017-09-18,806.9,815.5,804.7,809.0,49363
