date,open,high,low,close,volume
2019-04-15,958.0,982.7,935.0,955.2,7273541
2019-04-16,995.0,1005.6,971.75,987.45,1206721
2019-04-18,984.8,984.8,950.05,973.0,325065
2019-04-22,963.0,963.0,938.7,946.0,164901
2019-04-23,950.0,967.25,939.7,947.15,106706
2019-04-24,954.0,977.4,945.0,967.0,120777
2019-04-25,965.0,976.4,946.2,950.0,73251
2019-04-26,947.2,954.8,935.0,940.1,40546
2019-04-30,941.0,959.4,927.1,950.0,64338
2019-05-02,956.7,957.95,933.9,944.05,61524
2019-05-03,945.05,952.4,936.0,950.0,31369
2019-05-06,933.1,952.4,927.0,951.0,44884
2019-05-07,951.0,951.0,928.0,930.0,64134
2019-05-08,931.05,942.0,930.6,938.0,79394
2019-05-09,938.0,941.0,925.05,935.8,39210
2019-05-10,940.1,948.0,932.1,943.05,39492
2019-05-13,947.85,947.85,907.0,933.0,173153
2019-05-14,925.0,925.0,907.0,910.2,62020
2019-05-15,918.0,935.35,908.85,930.0,53235
2019-05-16,930.0,930.0,917.1,925.0,50712
2019-05-17,927.0,928.7,916.1,916.55,68375
2019-05-20,928.0,969.0,919.0,962.1,175147
2019-05-21,964.0,977.0,940.7,970.0,60236
2019-05-22,980.0,980.0,946.2,962.0,34616
2019-05-23,960.0,970.0,935.1,940.9,15275
2019-05-24,935.0,952.4,930.65,950.0,12440
2019-05-27,955.0,975.0,945.15,970.0,27705
2019-05-28,975.0,978.0,963.05,965.95,16673
2019-05-29,967.95,969.0,961.7,965.1,24696
2019-05-30,955.15,968.4,955.1,959.0,12582
2019-05-31,970.0,970.0,957.85,965.0,183424
2019-06-03,965.0,973.0,960.25,970.95,29563
2019-06-04,970.2,973.0,962.2,973.0,33534
2019-06-06,972.0,974.85,950.8,960.1,32781
2019-06-07,969.95,969.95,956.95,957.1,14089
2019-06-10,962.0,965.0,927.4,965.0,15510
2019-06-11,950.0,970.0,945.1,967.15,17239
2019-06-12,950.1,972.0,950.1,970.05,28371
2019-06-13,950.1,977.0,950.1,967.0,17004
2019-06-14,970.45,980.0,950.0,977.5,13562
2019-06-17,961.0,974.35,930.0,935.0,87717
2019-06-18,933.0,965.9,933.0,964.0,12962
2019-06-19,951.0,981.0,931.1,966.5,21076
2019-06-20,953.1,990.0,953.1,982.1,30187
2019-06-21,975.0,995.95,967.1,990.0,22822
2019-06-24,980.0,989.85,966.0,966.0,11213
2019-06-25,971.9,974.75,957.75,963.0,9451
2019-06-26,963.0,973.75,963.0,966.0,7044
2019-06-27,966.0,972.7,953.0,955.85,16946
2019-06-28,955.85,976.0,948.05,961.1,18320
2019-07-01,961.1,974.0,949.0,950.5,13699
2019-07-02,947.95,965.0,946.15,958.95,10225
2019-07-03,951.95,987.8,951.95,973.05,30629
2019-07-04,973.0,1005.7,973.0,979.05,50839
2019-07-05,991.65,996.95,974.0,978.0,22873
2019-07-08,977.4,977.4,953.0,971.5,31966
2019-07-09,971.5,971.5,955.1,960.0,31407
2019-07-10,967.8,1003.0,954.95,986.5,31464
2019-07-11,986.5,1024.9,980.1,1015.0,39473
2019-07-12,1009.9,1080.0,1003.1,1056.0,86860
2019-07-15,1064.0,1064.0,1030.0,1040.0,12667
2019-07-16,1043.6,1058.7,1030.0,1031.0,9648
2019-07-17,1032.0,1055.0,1030.15,1035.05,8336
2019-07-18,1035.05,1050.0,1025.0,1025.0,15446
2019-07-19,1027.05,1039.8,1010.0,1038.7,13626
2019-07-22,1031.3,1036.65,1005.0,1028.0,19589
2019-07-23,1015.0,1060.0,1010.05,1042.0,12437
2019-07-24,1067.0,1067.0,1032.2,1032.2,10965
2019-07-25,1068.75,1068.75,1024.0,1025.65,7474
2019-07-26,1015.25,1027.9,1010.0,1010.0,12050
2019-07-29,1014.95,1049.0,1005.0,1005.0,21563
2019-07-30,1019.95,1019.95,1005.0,1005.0,4993
2019-07-31,1005.0,1049.8,995.0,1020.0,13478
2019-08-01,1000.0,1040.0,1000.0,1040.0,19520
2019-08-02,1010.0,1045.0,1010.0,1038.0,3943
2019-08-05,1038.0,1038.0,1005.0,1020.1,5761
2019-08-06,1020.1,1064.95,1006.0,1050.1,12376
2019-08-07,1059.85,1064.25,1028.8,1033.0,26621
2019-08-08,1043.0,1062.3,1035.0,1057.0,21148
2019-08-09,1057.0,1075.0,1055.0,1055.05,10768
2019-08-13,1079.0,1079.0,1025.0,1025.0,4163
2019-08-14,1042.7,1043.7,1020.0,1020.15,8742
2019-08-16,1020.15,1036.0,1015.0,1016.5,11158
2019-08-19,1016.5,1030.0,1005.0,1028.8,8124
2019-08-20,1010.0,1046.0,1009.95,1031.0,7661
2019-08-21,1031.0,1056.0,1021.1,1041.55,20551
2019-08-22,1057.5,1057.5,1005.05,1036.3,51376
2019-08-23,1035.15,1050.05,1027.25,1043.65,145166
2019-08-26,1036.85,1060.0,1035.0,1035.0,203043
2019-08-27,1035.0,1070.0,1025.15,1066.5,15667
2019-08-28,1069.0,1080.0,1035.0,1064.0,26560
2019-08-29,1070.0,1090.0,1041.2,1090.0,13731
2019-08-30,1078.65,1174.0,1067.4,1160.0,116502
2019-09-03,1162.0,1234.95,1142.3,1190.05,107096
2019-09-04,1209.0,1240.0,1170.0,1207.0,52748
2019-09-05,1217.9,1229.0,1175.0,1183.0,7700
2019-09-06,1199.95,1213.0,1175.0,1186.25,13622
2019-09-09,1196.2,1322.0,1170.0,1305.25,89519
2019-09-11,1323.0,1360.0,1280.0,1281.05,61083
2019-09-12,1287.65,1313.05,1240.0,1243.1,27790
2019-09-13,1259.3,1286.35,1237.85,1272.1,26271
2019-09-16,1285.0,1288.0,1235.0,1235.0,10720
2019-09-17,1260.6,1260.6,1218.0,1233.0,20127
2019-09-18,1233.0,1264.0,1220.3,1242.3,18248
2019-09-19,1242.3,1250.0,1220.25,1232.35,11022
2019-09-20,1229.9,1292.0,1220.2,1249.0,56576
2019-09-23,1298.95,1340.0,1275.25,1332.0,104372
2019-09-24,1330.0,1337.35,1287.35,1295.0,67148
2019-09-25,1298.0,1298.0,1269.0,1269.0,22330
2019-09-26,1274.95,1325.0,1272.05,1275.25,48923
2019-09-27,1280.0,1296.0,1271.15,1275.0,11548
2019-09-30,1277.45,1287.0,1265.0,1265.0,42487
2019-10-01,1268.0,1282.35,1240.0,1250.0,14662
2019-10-03,1225.1,1244.6,1225.0,1239.0,25165
2019-10-04,1256.1,1269.7,1218.7,1230.0,11120
2019-10-07,1242.1,1294.95,1225.75,1250.0,21560
2019-10-09,1235.0,1300.0,1235.0,1270.0,20511
2019-10-10,1272.8,1290.0,1267.3,1274.0,183312
2019-10-11,1275.5,1294.3,1225.75,1285.0,63418
2019-10-14,1285.0,1323.95,1270.95,1292.95,29860
2019-10-15,1292.95,1292.95,1275.0,1286.0,7265
2019-10-16,1277.5,1287.65,1266.35,1278.0,9875
2019-10-17,1278.0,1279.0,1262.85,1270.0,18064
2019-10-18,1280.0,1409.95,1269.0,1374.45,67495
2019-10-22,1372.6,1404.4,1332.05,1360.05,58818
2019-10-23,1359.85,1368.0,1342.0,1357.5,17005
2019-10-24,1360.0,1370.1,1330.0,1333.0,21405
2019-10-25,1338.0,1458.0,1338.0,1412.0,64591
2019-10-27,1419.9,1475.9,1415.4,1434.0,27716
2019-10-29,1462.0,1480.0,1395.0,1430.0,45356
2019-10-30,1449.95,1473.0,1424.95,1430.0,30533
2019-10-31,1453.0,1457.0,1437.0,1449.0,16355
2019-11-01,1435.0,1451.8,1409.9,1441.0,15593
2019-11-04,1438.0,1481.2,1416.05,1460.0,20145
2019-11-05,1462.9,1462.9,1413.7,1453.0,14805
2019-11-06,1488.0,1488.0,1395.0,1395.65,21467
2019-11-07,1415.6,1430.6,1375.0,1375.0,11120
2019-11-08,1386.5,1401.05,1336.6,1336.6,39688
2019-11-11,1385.0,1423.3,1384.5,1400.0,34778
2019-11-13,1426.0,1434.95,1383.5,1395.0,82611
2019-11-14,1414.0,1415.65,1385.75,1399.9,51371
2019-11-15,1395.0,1425.0,1363.8,1380.0,30303
2019-11-18,1380.0,1409.9,1380.0,1388.0,17968
2019-11-19,1404.0,1440.0,1383.05,1402.0,49503
2019-11-20,1408.95,1460.0,1408.65,1430.0,75440
2019-11-21,1430.0,1447.9,1425.0,1440.0,25638
2019-11-22,1448.5,1448.5,1402.65,1424.05,17066
2019-11-25,1432.7,1432.7,1385.55,1412.2,35879
2019-11-26,1417.3,1442.95,1345.0,1367.65,225369
2019-11-27,1399.9,1413.9,1375.25,1401.0,35698
2019-11-28,1402.1,1414.05,1373.35,1398.0,21974
2019-11-29,1406.95,1406.95,1380.0,1393.5,17555
2019-12-02,1385.0,1408.4,1365.0,1370.0,13452
2019-12-03,1376.0,1404.95,1374.45,1383.7,31735
2019-12-04,1384.0,1393.0,1366.0,1366.0,23614
2019-12-05,1370.1,1380.3,1350.0,1363.15,20418
2019-12-06,1371.7,1375.0,1350.0,1350.0,19871
2019-12-09,1358.3,1365.0,1332.0,1340.0,26845
2019-12-10,1342.7,1350.4,1250.0,1285.05,80423
2019-12-11,1272.0,1300.0,1263.7,1290.0,38870
2019-12-12,1283.0,1313.05,1270.55,1289.95,30041
2019-12-13,1291.0,1299.8,1256.85,1293.0,43491
2019-12-16,1275.55,1298.0,1275.1,1275.1,41860
2019-12-17,1282.65,1299.5,1276.25,1298.0,46738
2019-12-18,1305.0,1320.0,1282.45,1314.9,43551
2019-12-19,1309.0,1338.0,1286.05,1320.8,55131
2019-12-20,1318.3,1326.9,1295.4,1324.0,61836
2019-12-23,1325.0,1347.4,1302.6,1316.5,36675
2019-12-24,1324.0,1388.0,1314.3,1370.25,36974
2019-12-26,1377.2,1404.4,1361.95,1365.05,28359
2019-12-27,1362.05,1434.5,1362.05,1411.0,27005
2019-12-30,1410.0,1445.0,1410.0,1428.0,11623
2019-12-31,1436.95,1465.0,1406.8,1450.0,42911
2020-01-01,1430.2,1468.0,1426.8,1450.0,18304
2020-01-02,1443.65,1444.55,1399.0,1399.0,10155
2020-01-03,1427.0,1427.0,1395.0,1400.0,14900
2020-01-06,1385.55,1401.95,1340.0,1362.0,21734
2020-01-07,1352.0,1429.9,1352.0,1425.0,29675
2020-01-08,1409.0,1525.0,1381.1,1503.0,160329
2020-01-09,1525.0,1595.0,1501.0,1574.0,135413
2020-01-10,1580.35,1638.0,1573.6,1629.0,76920
2020-01-13,1629.0,1719.95,1605.4,1692.0,78409
2020-01-14,1690.0,1700.0,1666.2,1675.0,33330
2020-01-15,1670.05,1718.8,1661.1,1668.35,32551
2020-01-16,1681.45,1689.8,1615.0,1628.8,26633
2020-01-17,1636.0,1675.0,1634.9,1648.0,33677
2020-01-20,1667.25,1695.0,1650.6,1665.0,14034
2020-01-21,1677.0,1677.0,1615.0,1642.0,34570
2020-01-22,1659.95,1678.0,1625.0,1625.0,19686
2020-01-23,1621.05,1701.6,1621.05,1670.0,43107
2020-01-24,1660.0,1707.2,1641.0,1667.0,31634
2020-01-27,1710.0,1730.0,1625.0,1639.8,42495
2020-01-28,1649.0,1690.0,1635.1,1660.55,30876
2020-01-29,1665.0,1710.0,1662.25,1674.9,28290
2020-01-30,1689.95,1700.05,1649.9,1654.0,14513
2020-01-31,1660.0,1682.45,1642.0,1642.0,12613
2020-02-01,1664.0,1725.0,1645.0,1670.0,27605
2020-02-03,1650.0,1725.0,1645.0,1652.0,23301
2020-02-04,1690.0,1715.0,1635.0,1640.0,32954
2020-02-05,1652.0,1684.0,1642.05,1650.0,22745
2020-02-06,1665.0,1675.0,1515.0,1600.0,75677
2020-02-07,1637.7,1678.8,1626.0,1645.0,97915
2020-02-10,1660.0,1660.0,1585.55,1621.0,37989
2020-02-11,1621.05,1725.0,1602.25,1710.0,57384
2020-02-12,1704.65,1857.9,1660.2,1838.05,169034
