date,open,high,low,close,volume
2017-07-03,236.82,238.95,234.6,235.0,115124
2017-07-04,235.5,241.0,234.85,238.0,155126
2017-07-05,238.5,240.82,238.12,239.0,104620
2017-07-06,239.0,239.62,235.35,235.73,60964
2017-07-07,236.6,240.0,234.6,235.0,277462
2017-07-10,235.0,236.38,232.6,234.93,42949702600
2017-07-11,234.5,236.8,232.38,233.43,163916
2017-07-12,233.9,242.62,233.9,239.48,670836
2017-07-13,239.5,241.45,234.75,235.0,213638
2017-07-14,237.5,252.43,237.5,248.0,1598500
2017-07-17,251.48,254.5,247.55,249.2,385484
2017-07-18,247.5,249.2,240.5,243.02,133056
2017-07-19,244.43,250.5,243.3,246.85,122110
2017-07-20,247.5,248.5,240.98,242.0,93806
2017-07-21,242.68,247.5,240.85,241.5,131400
2017-07-24,241.77,244.35,238.05,238.6,137988
2017-07-25,239.25,240.8,234.12,234.5,195116
2017-07-26,235.98,244.5,235.5,242.0,251844
2017-07-27,244.5,246.5,242.0,243.25,204318
2017-07-28,242.23,244.95,238.5,243.5,476040
2017-07-31,242.9,244.95,236.02,236.88,131820
2017-08-01,238.5,238.95,231.35,232.75,170070
2017-08-02,231.8,242.0,231.8,241.05,360528
2017-08-03,241.0,241.45,233.82,234.5,293428
2017-08-04,233.77,235.68,230.02,231.12,255330
2017-08-07,231.75,236.25,231.75,234.8,84516
2017-08-08,234.1,236.4,229.98,231.07,137584
2017-08-09,232.0,235.0,225.05,225.55,189922
2017-08-10,225.55,227.98,218.05,220.0,206974
2017-08-11,217.5,226.0,215.05,224.38,150386
2017-08-14,225.8,229.15,223.55,226.0,77014
2017-08-16,228.7,229.75,226.0,227.98,82276
2017-08-17,227.55,228.98,224.02,224.75,57958
2017-08-18,222.05,227.43,220.27,225.5,93980
2017-08-21,226.55,228.0,221.05,221.1,55392
2017-08-22,225.75,225.75,220.05,220.5,66450
2017-08-23,221.25,223.57,218.0,218.5,88672
2017-08-24,220.5,225.73,220.0,222.75,106520
2017-08-28,223.45,226.75,220.6,224.75,72328
