date,open,high,low,close,volume
2017-07-03,1266.0,1292.85,1266.0,1286.95,117459
2017-07-04,1283.0,1286.95,1265.0,1266.8,78064
2017-07-05,1268.0,1281.9,1262.95,1275.0,237698
2017-07-06,1275.0,1284.25,1254.0,1260.0,199744
2017-07-07,1254.35,1267.5,1241.2,1250.0,140103
2017-07-10,1258.0,1260.0,1240.95,1250.95,17179916920
2017-07-11,1251.0,1257.7,1231.25,1233.5,215361
2017-07-12,1243.65,1249.6,1226.0,1230.5,127206
2017-07-13,1238.25,1253.0,1231.05,1249.95,185563
2017-07-14,1242.75,1258.65,1242.75,1249.0,307493
2017-07-17,1250.0,1258.8,1235.95,1239.1,149720
2017-07-18,1239.1,1255.7,1237.05,1245.85,137562
2017-07-19,1254.9,1254.9,1243.5,1250.0,224069
2017-07-20,1255.0,1255.1,1230.95,1235.0,211494
2017-07-21,1241.15,1272.85,1230.05,1269.5,383380
2017-07-24,1267.75,1298.0,1267.75,1294.0,283581
2017-07-25,1298.95,1301.45,1285.05,1294.6,126040
2017-07-26,1293.9,1312.0,1281.2,1295.0,249150
2017-07-27,1298.0,1319.9,1285.0,1296.0,382657
2017-07-28,1293.85,1319.0,1245.55,1278.0,240117
2017-07-31,1282.4,1300.45,1242.75,1258.25,230856
2017-08-01,1267.8,1282.5,1260.65,1265.5,119153
2017-08-02,1265.6,1281.4,1262.0,1280.0,103418
2017-08-03,1285.0,1290.0,1260.1,1268.0,230288
2017-08-04,1267.55,1278.75,1250.0,1257.2,94472
2017-08-07,1263.4,1277.95,1260.05,1267.0,83234
2017-08-08,1267.2,1280.45,1246.6,1249.5,182953
2017-08-09,1258.0,1258.0,1210.0,1221.0,238059
2017-08-10,1220.0,1239.7,1199.75,1213.95,218722
2017-08-11,1202.7,1240.4,1198.65,1223.0,179002
2017-08-14,1231.0,1244.4,1185.0,1189.0,429619
2017-08-16,1175.0,1177.25,1154.4,1158.8,477794
2017-08-17,1145.55,1148.45,1067.0,1103.0,1612215
2017-08-18,1079.2,1096.25,1057.0,1067.8,1450766
2017-08-21,1078.0,1080.65,1049.9,1055.0,627485
2017-08-22,1060.0,1105.0,1057.75,1101.65,1027422
2017-08-23,1109.7,1134.9,1082.9,1089.75,1079511
2017-08-24,1094.95,1099.45,1073.6,1084.0,398472
2017-08-28,1091.35,1105.0,1085.0,1088.0,224598
2017-08-29,1088.0,1090.0,1067.65,1076.5,210813
2017-08-30,1078.85,1104.95,1077.0,1086.7,409505
2017-08-31,1091.0,1091.8,1075.2,1082.0,642121
2017-09-01,1085.0,1094.05,1081.0,1090.6,127300
2017-09-04,1098.7,1117.4,1086.55,1114.8,335493
2017-09-05,1119.75,1122.2,1097.0,1100.0,464141
2017-09-06,1099.9,1108.0,1082.9,1100.0,293792
2017-09-07,1100.95,1112.9,1095.8,1103.0,380507
2017-09-08,1102.0,1109.0,1090.0,1091.9,171436
2017-09-11,1100.25,1106.0,1089.0,1095.0,74130
2017-09-12,1099.75,1109.35,1089.6,1091.55,311705
2017-09-13,1098.75,1098.75,1067.0,1068.0,491903
2017-09-14,1069.0,1074.7,1048.05,1063.1,1532356
2017-09-15,1060.0,1075.7,1055.25,1055.25,381651
2017-09-18,1062.75,1071.95,1058.0,1060.0,198028
2017-09-19,1064.4,1066.9,1050.0,1058.25,275419
2017-09-20,1059.0,1071.7,1057.15,1064.5,233616
2017-09-21,1066.5,1077.5,1057.5,1061.15,221364
2017-09-22,1059.0,1059.0,1032.0,1032.0,280118
2017-09-25,1031.05,1031.05,999.6,1010.5,382119
2017-09-26,1006.85,1024.4,1006.75,1010.5,481015
2017-09-27,1008.0,1013.75,997.85,1005.9,290775
2017-09-28,1006.0,1013.85,987.25,993.0,399517
2017-09-29,997.55,1026.85,987.0,1004.9,282583
2017-10-03,1011.5,1058.0,1011.5,1058.0,579713
2017-10-04,1058.25,1058.25,1032.8,1045.3,370751
2017-10-05,1048.8,1094.95,1047.6,1077.0,616080
2017-10-06,1086.0,1087.6,1060.0,1062.0,195161
2017-10-09,1063.5,1080.0,1050.0,1050.0,115941
2017-10-10,1053.5,1093.0,1053.5,1093.0,481146
2017-10-11,1095.75,1097.25,1073.4,1075.0,342773
2017-10-12,1078.0,1090.0,1071.0,1077.9,418754
2017-10-13,1070.15,1086.05,1068.0,1070.35,387464
2017-10-16,1076.85,1087.15,1071.5,1080.0,257304
2017-10-17,1082.0,1083.0,1065.6,1070.2,126194
2017-10-18,1070.0,1077.65,1060.95,1063.35,4203196005
2017-10-23,1060.0,1076.5,1045.4,1062.45,4103394987
2017-10-24,1066.95,1072.0,1052.5,1057.0,172116
2017-10-25,1057.95,1064.95,1031.0,1035.9,323966
2017-10-26,1032.05,1045.8,1020.0,1025.0,186853
2017-10-27,1026.75,1045.0,1022.35,1026.5,195910
2017-10-30,1033.9,1039.4,1022.55,1029.25,134976
2017-10-31,1036.95,1045.0,1033.35,1036.0,169889
2017-11-01,1044.85,1044.8,1021.2,1035.0,465139
2017-11-02,1029.2,1044.9,1029.0,1032.0,123182
2017-11-03,1030.0,1038.2,1016.1,1018.0,256786
2017-11-06,1016.0,1022.45,1010.0,1011.8,264319
2017-11-07,1020.0,1020.9,1001.0,1003.75,187424
2017-11-08,1009.9,1009.9,975.6,987.0,296724
2017-11-09,996.0,1000.0,987.8,997.0,487872
2017-11-10,995.0,1016.8,994.7,1003.0,356518
2017-11-13,1008.85,1011.35,983.15,998.0,601588
2017-11-14,999.0,1012.2,957.7,993.95,1079827
2017-11-15,991.0,1002.35,990.85,999.0,274389
2017-11-16,1007.1,1026.75,998.0,1023.0,594737
2017-11-17,1027.4,1065.05,1024.05,1050.5,657518
2017-11-20,1058.4,1063.3,1038.05,1053.3,373824
2017-11-21,1068.55,1128.0,1060.4,1106.6,1478291
2017-11-22,1110.0,1157.0,1110.0,1155.0,1420619
2017-11-23,1149.0,1148.0,1125.85,1136.75,471422
2017-11-24,1130.0,1153.0,1121.35,1143.3,332061
2017-11-27,1135.15,1140.0,1119.65,1136.0,507211
2017-11-28,1132.4,1167.15,1091.7,1102.0,982408
2017-11-29,1103.0,1121.6,1097.45,1105.9,702784
2017-11-30,1110.0,1124.0,1085.4,1116.0,6939205
2017-12-01,1117.95,1153.1,1116.1,1145.3,705878
2017-12-04,1147.0,1164.3,1134.15,1155.05,448538
2017-12-05,1156.45,1179.9,1144.0,1163.0,859888
2017-12-06,1156.5,1165.0,1147.0,1160.0,699113
2017-12-07,1150.5,1175.25,1150.0,1170.9,588477
2017-12-08,1182.0,1193.9,1178.15,1190.0,540025
2017-12-11,1190.0,1209.0,1186.0,1193.9,545810
2017-12-12,1199.85,1201.95,1176.4,1188.8,740804
2017-12-13,1188.8,1192.85,1174.0,1180.05,259287
2017-12-14,1183.95,1210.0,1183.95,1206.0,763013
2017-12-15,1206.9,1214.95,1179.2,1196.0,317557
2017-12-18,1198.5,1200.65,1161.75,1172.0,306950
2017-12-19,1173.5,1188.0,1156.35,1178.0,334397
2017-12-20,1178.0,1190.0,1168.5,1177.7,201140
2017-12-21,1176.65,1201.9,1161.3,1193.2,359653
2017-12-22,1195.0,1208.0,1174.65,1179.75,214051
2017-12-26,1180.0,1192.45,1168.4,1176.1,171793
2017-12-27,1187.0,1203.0,1176.1,1202.95,460269
2017-12-28,1201.2,1242.0,1200.0,1230.0,705585
2017-12-29,1230.0,1230.0,1200.15,1205.0,182780
2018-01-01,1216.0,1216.0,1199.1,1208.0,117116
2018-01-02,1205.0,1211.95,1186.5,1190.2,211303
2018-01-03,1195.0,1203.95,1174.0,1174.1,261488
2018-01-04,1185.0,1188.45,1156.75,1161.5,263198
