date,open,high,low,close,volume
2017-07-03,118.53,119.92,118.14,119.1,8742726
2017-07-04,120.11,120.11,118.31,118.87,4510313
2017-07-05,118.87,119.18,118.14,118.25,6042062
2017-07-06,118.59,118.62,117.86,118.03,5560869
2017-07-07,118.25,118.65,117.41,117.86,7618509
2017-07-10,119.66,119.66,117.86,119.55,45701276160
2017-07-11,119.8,120.25,118.96,119.21,13780932
2017-07-12,119.72,121.24,119.72,120.65,9181211
2017-07-13,121.61,122.31,120.93,121.02,9520975
2017-07-14,121.49,121.92,120.96,121.02,4872794
2017-07-17,121.55,122.62,121.47,122.2,6183796
2017-07-18,122.26,124.06,121.1,121.24,7525883
2017-07-19,122.59,123.78,121.92,122.99,8488458
2017-07-20,122.88,124.06,122.73,122.99,10205289
2017-07-21,123.41,123.41,120.39,120.93,4929134
2017-07-24,120.51,122.51,120.51,122.14,6116954
2017-07-25,122.23,123.27,121.97,122.4,6076857
2017-07-26,122.65,122.88,121.55,122.26,5239731
2017-07-27,122.76,123.55,121.69,122.93,21326147
2017-07-28,121.86,122.23,119.58,120.62,8233254
2017-07-31,121.44,126.43,121.07,125.75,17341508
2017-08-01,126.2,127.22,124.62,126.4,15132743
2017-08-02,126.68,127.39,124.45,124.68,11902248
2017-08-03,124.74,126.63,123.64,125.19,5265853
2017-08-04,125.53,126.88,125.1,126.32,7932016
2017-08-07,126.8,127.58,125.75,127.16,4602159
2017-08-08,127.53,127.56,124.88,125.53,3217374
2017-08-09,125.44,126.99,124.51,125.24,4559346
2017-08-10,124.51,124.68,121.44,122.59,6786143
2017-08-11,119.72,124.23,119.72,123.13,8830870
2017-08-14,123.78,126.29,123.5,125.92,4969077
2017-08-16,126.01,126.68,123.86,123.95,5203787
2017-08-17,124.34,124.96,123.44,123.72,2827727
2017-08-18,123.36,126.17,123.36,125.47,7698270
2017-08-21,125.75,126.85,123.81,124.65,5174168
2017-08-22,125.19,125.19,122.99,123.5,6617200
2017-08-23,123.83,124.51,122.73,123.69,5297051
2017-08-24,123.75,125.3,123.55,124.06,5476383
2017-08-28,124.43,124.54,122.17,122.62,9722980
2017-08-29,122.59,123.19,120.62,121.58,12196565
2017-08-30,122.06,122.62,120.82,121.41,9278915
2017-08-31,121.92,124.06,121.55,123.27,8099989
2017-09-01,123.33,123.33,121.69,121.95,8778457
2017-09-04,122.09,123.64,120.0,121.97,6219913
2017-09-05,122.37,122.68,121.75,121.86,3923020
