date,open,high,low,close,volume
2017-07-03,470.55,477.35,467.42,476.8,1268817
2017-07-04,477.0,484.5,474.75,480.5,1290839
2017-07-05,479.0,479.38,472.73,476.0,1054664
2017-07-06,473.52,478.5,472.12,473.4,953388
2017-07-07,472.48,472.65,466.52,467.55,1441118
2017-07-10,472.0,514.45,467.55,477.02,8590299406
2017-07-11,478.33,494.65,478.33,489.3,2883906
2017-07-12,487.48,490.5,484.38,486.5,1562703
2017-07-13,489.17,491.67,482.2,490.0,1288698
2017-07-14,500.0,503.17,483.02,485.05,5557893
2017-07-17,488.12,496.0,487.5,492.77,1909204
2017-07-18,493.02,502.35,490.62,492.0,2061495
2017-07-19,490.75,494.33,484.55,489.8,1468896
2017-07-20,489.88,489.88,483.48,484.25,1700946
2017-07-21,486.83,491.25,485.75,489.95,1494079
2017-07-24,491.77,496.92,491.3,495.25,1527792
2017-07-25,495.0,499.5,493.1,496.42,1782027
2017-07-26,499.3,499.42,495.25,497.0,1716141
2017-07-27,498.42,502.0,483.4,484.92,3166601
2017-07-28,488.42,501.38,481.17,497.85,2771131
2017-07-31,495.92,510.83,493.42,507.5,4786346
2017-08-01,505.5,508.5,499.17,502.25,1912908
2017-08-02,503.38,506.3,493.75,494.58,1063216
2017-08-03,496.08,499.38,490.15,490.9,1158112
2017-08-04,492.5,494.35,488.08,491.75,1334282
2017-08-07,491.88,491.88,482.85,483.25,1517109
2017-08-08,484.25,485.05,477.58,481.75,1499967
2017-08-09,483.52,486.85,482.27,485.35,978915
2017-08-10,485.0,493.7,484.67,492.48,2283546
2017-08-11,486.52,498.42,484.8,493.25,1634397
2017-08-14,494.5,494.5,488.58,491.0,952726
2017-08-16,491.0,493.05,484.58,489.67,1542813
2017-08-17,501.92,514.6,499.1,510.52,6374671
2017-08-18,492.27,494.35,442.5,461.7,41068866
2017-08-21,462.0,462.0,435.0,435.45,22426497
2017-08-22,445.77,445.83,430.08,438.2,12214922
2017-08-23,440.02,451.7,436.98,446.6,15294922
2017-08-24,453.98,459.08,451.2,456.0,10552470
2017-08-28,470.35,476.95,469.1,470.12,10079133
2017-08-29,470.65,470.85,462.8,463.05,3328551
2017-08-30,468.1,469.35,462.08,463.5,4023405
2017-08-31,463.98,464.45,456.45,457.38,3745122
2017-09-01,457.7,462.9,455.0,459.98,2102536
2017-09-04,460.4,460.5,446.77,449.98,2536612
2017-09-05,451.5,452.33,448.62,450.5,2441747
2017-09-06,450.0,450.0,445.0,448.45,1930022
2017-09-07,449.52,450.25,446.2,447.5,1553999
2017-09-08,449.02,449.3,441.05,441.5,2146512
2017-09-11,445.17,445.88,437.0,439.67,3448947
2017-09-12,441.3,443.73,439.5,441.75,4305770
2017-09-13,442.6,443.8,440.5,442.25,2866791
2017-09-14,442.25,448.12,440.95,446.15,3419712
2017-09-15,446.3,456.5,446.3,454.27,3309698
2017-09-18,455.4,458.88,453.62,454.5,2112822
2017-09-19,454.45,458.0,451.75,456.58,1503653
2017-09-20,458.23,458.23,453.73,456.65,1437838
2017-09-21,457.35,457.48,454.1,455.5,2047821
2017-09-22,455.0,455.12,444.08,449.5,4398583
2017-09-25,450.4,450.98,444.83,450.5,2269614
2017-09-26,448.95,454.12,447.15,450.88,1838819
2017-09-27,453.65,453.65,447.6,447.95,1497958
2017-09-28,449.0,451.95,447.2,447.75,4382593
2017-09-29,449.17,451.2,447.5,449.5,1424752
2017-10-03,455.08,455.95,450.8,451.8,1226284
2017-10-04,451.5,452.6,448.6,451.25,1245814
2017-10-05,450.0,452.48,450.0,451.67,2149753
2017-10-06,452.45,460.98,451.98,460.25,2134164
2017-10-09,459.95,464.5,457.08,462.12,871416
2017-10-10,469.3,469.7,464.77,467.58,1760165
2017-10-11,467.73,468.98,464.0,464.8,1491016
2017-10-12,465.0,467.05,459.77,464.15,2560132
2017-10-13,465.0,466.75,463.9,464.73,1791204
2017-10-16,467.5,471.0,466.5,469.5,1435821
2017-10-17,468.25,468.25,464.75,465.5,1400804
2017-10-18,465.38,465.38,461.48,462.17,1807977
2017-10-23,463.88,471.0,463.88,469.75,8037807877
2017-10-24,472.58,473.25,461.38,462.15,3597378
2017-10-25,459.88,472.35,457.75,467.33,3464010
2017-10-26,471.02,475.48,470.45,474.27,8401695
2017-10-27,477.5,478.85,472.05,473.48,2124959
2017-10-30,476.42,477.0,470.7,471.95,3217237
2017-10-31,461.48,465.0,460.0,461.0,2469302
2017-11-01,462.5,464.7,461.7,463.0,1401246
2017-11-02,461.52,463.0,460.0,461.55,1167670
2017-11-03,458.5,464.95,458.98,463.4,920918
2017-11-06,461.58,467.48,461.45,464.4,1265132
2017-11-07,463.12,480.0,463.0,477.67,3357253
2017-11-08,480.12,480.75,473.75,475.98,1335566
2017-11-09,476.5,481.48,474.12,477.0,1178369
2017-11-10,479.4,482.15,475.12,481.5,1642000
2017-11-13,481.02,484.67,474.67,476.25,1253683
2017-11-14,475.98,477.3,471.62,474.55,1429750
2017-11-15,472.58,476.67,472.27,475.38,1754754
2017-11-16,475.9,497.8,474.27,495.0,3919197
2017-11-17,492.75,492.0,482.6,482.75,2008561
2017-11-20,484.5,485.5,478.7,480.48,1404819
2017-11-21,480.65,485.65,480.02,482.75,1340190
2017-11-22,483.3,485.5,481.7,482.65,1520518
2017-11-23,485.75,497.0,484.75,495.73,2969698
2017-11-24,495.45,509.62,495.17,504.0,4643156
2017-11-27,503.35,502.75,496.65,498.45,1497972
2017-11-28,497.2,499.95,490.65,491.33,1149973
2017-11-29,493.83,495.9,490.27,491.75,958147
2017-11-30,494.73,494.5,484.52,486.5,4312158
2017-12-01,489.7,491.58,478.6,480.0,1019589
2017-12-04,490.0,498.35,484.65,492.2,4429336
2017-12-05,492.67,501.5,489.5,492.15,2491273
2017-12-06,492.5,497.0,492.15,493.9,1864420
2017-12-07,494.5,501.45,492.95,499.92,1882958
2017-12-08,500.5,503.5,498.02,499.7,1493107
2017-12-11,497.48,503.35,496.98,502.5,1278879
2017-12-12,501.0,507.0,501.45,505.25,2328546
2017-12-13,505.45,509.48,499.35,502.5,1338085
2017-12-14,502.62,507.5,499.65,506.0,1504807
2017-12-15,506.5,513.08,506.0,509.5,2592263
2017-12-18,505.95,515.35,502.9,507.0,1007213
2017-12-19,508.73,508.98,499.88,502.5,1777414
2017-12-20,502.55,508.98,500.5,508.17,1044824
2017-12-21,507.4,514.45,499.2,510.75,2761983
2017-12-22,508.0,522.4,508.08,518.92,3220011
2017-12-26,515.0,520.75,511.5,517.5,2696510
2017-12-27,514.0,519.5,513.7,517.0,1738761
2017-12-28,515.0,520.0,512.0,515.22,2106678
2017-12-29,515.05,524.38,515.0,520.62,1647763
2018-01-01,518.85,522.25,515.0,516.08,1355792
2018-01-02,518.62,520.95,511.5,514.12,1525824
2018-01-03,514.25,515.8,509.3,511.25,1709473
2018-01-04,510.5,510.5,504.9,507.5,2234567
2018-01-05,507.65,513.03,503.0,507.48,2754270
2018-01-08,512.45,519.5,510.15,517.78,1393119
2018-01-09,520.0,522.28,514.5,519.95,2483780
2018-01-10,523.4,528.0,517.0,526.5,2358545
2018-01-11,527.62,541.42,528.0,538.25,4190666
2018-01-12,542.9,542.55,535.45,539.33,4461307
2018-01-15,540.0,546.22,532.8,540.5,2638639
2018-01-16,540.62,567.2,540.62,562.5,5655411
2018-01-17,562.42,580.72,561.67,574.0,6533528
2018-01-18,572.5,582.45,566.1,575.25,3296447
2018-01-19,572.5,573.92,568.0,572.17,1493313
2018-01-22,566.08,578.45,566.25,574.05,2409727
2018-01-23,577.5,594.0,578.42,587.97,3846842
2018-01-24,587.4,610.45,583.85,590.62,5147062
2018-01-25,591.0,591.58,581.15,586.85,3382472
2018-01-29,583.28,598.12,582.8,590.28,2700987
2018-01-30,589.45,591.55,581.5,584.0,2154738
2018-01-31,579.58,582.7,571.08,573.72,2300625
2018-02-01,571.1,578.85,559.92,571.62,3248746
2018-02-02,567.62,581.38,565.05,572.5,2559674
2018-02-05,570.0,577.33,568.03,569.5,2460341
2018-02-06,549.97,564.0,548.85,555.7,2633752
2018-02-07,558.0,562.3,551.78,554.0,2083511
2018-02-08,561.4,573.2,558.3,566.08,2198227
2018-02-09,559.0,560.05,553.0,556.0,1093599
2018-02-12,557.4,560.12,549.0,550.5,1569831
2018-02-14,553.0,558.55,545.1,545.5,2083241
2018-02-15,551.5,564.85,551.5,556.75,1994115
2018-02-16,562.5,570.8,559.2,563.0,2469847
2018-02-19,564.2,567.97,560.17,567.15,1558947
2018-02-20,551.88,574.65,559.47,567.95,1776430
2018-02-21,573.75,575.88,570.0,572.53,3423543
2018-02-22,572.78,581.97,570.53,579.5,4448550
2018-02-23,581.75,583.0,573.38,577.2,2363290
2018-02-26,575.5,577.53,567.17,569.97,1269075
2018-02-27,572.47,576.83,562.92,573.9,1652696
2018-02-28,573.8,594.75,571.28,584.92,4314518
2018-03-01,584.8,584.47,578.03,580.12,1637735
2018-03-05,580.38,585.4,571.88,579.85,2021169
2018-03-06,581.28,582.62,571.83,573.1,1670621
2018-03-07,577.5,580.0,569.08,573.5,1581215
2018-03-08,574.5,582.9,576.0,578.58,1521850
2018-03-09,581.17,583.0,577.78,582.0,1052887
2018-03-12,588.0,595.88,586.03,592.0,1904254
2018-03-13,590.1,598.15,587.58,591.0,2139548
2018-03-14,590.0,595.28,584.55,590.55,1105325
2018-03-15,590.0,594.2,586.0,590.95,1524585
2018-03-16,591.0,591.05,584.62,585.0,4487533
2018-03-19,582.0,590.25,571.33,574.0,1877969
2018-03-20,574.7,585.0,574.55,582.28,2135842
2018-03-21,585.42,587.75,581.1,582.6,1919605
2018-03-22,582.28,588.72,577.65,578.08,1700679
2018-03-23,572.6,586.9,571.17,582.5,2997746
2018-03-26,582.5,582.5,572.0,577.8,2224485
2018-03-27,579.72,580.65,575.05,576.05,947177
2018-03-28,574.75,574.75,563.12,570.35,3122438
2018-04-02,570.78,574.78,560.65,568.35,2011420
2018-04-03,566.53,571.78,564.05,569.7,1016635
2018-04-04,572.0,572.28,560.0,561.5,1198301
2018-04-05,569.78,575.65,564.55,573.0,1937139
2018-04-06,571.5,573.0,561.05,563.78,1481966
2018-04-09,562.5,562.9,553.28,555.72,1797973
2018-04-10,556.0,562.25,552.7,557.33,2229210
2018-04-11,559.0,565.75,558.25,562.25,2255150
2018-04-12,564.72,586.38,562.5,582.5,4258002
2018-04-13,587.0,592.95,575.12,584.0,5298857
2018-04-16,551.0,570.0,551.0,567.25,5883165
2018-04-17,563.5,563.7,557.5,562.33,2588632
2018-04-18,561.42,567.38,556.92,562.97,2600279
2018-04-19,562.0,569.9,561.55,566.7,2127447
2018-04-20,569.5,596.85,568.47,589.83,6065403
2018-04-23,584.0,607.2,577.62,592.5,5453043
2018-04-24,592.5,598.2,575.05,577.0,2123510
2018-04-25,576.0,585.5,572.6,577.97,2893928
2018-04-26,587.0,590.83,580.0,588.53,2823520
2018-04-27,590.0,595.8,587.1,592.42,1914198
2018-04-30,590.85,603.97,590.33,599.97,1376075
2018-05-02,599.45,600.8,590.5,596.05,2568691
2018-05-03,598.62,602.35,588.05,589.0,1331668
2018-05-04,592.5,593.0,577.5,584.8,1504797
2018-05-07,590.62,595.0,587.75,592.0,1156834
2018-05-08,588.95,588.95,580.53,583.75,1427489
2018-05-09,583.75,588.45,581.5,586.0,943590
2018-05-10,588.0,591.5,581.42,585.0,794188
2018-05-11,586.15,591.6,583.03,591.6,827372
2018-05-14,592.17,595.75,585.0,595.25,1107234
2018-05-15,594.05,604.0,594.05,597.6,1401198
2018-05-16,593.62,599.0,592.25,595.3,1548718
2018-05-17,598.0,598.72,586.78,590.0,2377445
2018-05-18,591.5,593.28,586.5,590.0,1784325
2018-05-21,589.78,594.2,585.0,591.6,2117992
2018-05-22,587.5,599.0,586.95,597.5,1408474
2018-05-23,597.5,603.83,590.75,591.22,2382442
2018-05-24,599.0,613.78,599.0,610.0,2432374
2018-05-25,615.05,624.33,610.4,614.5,2218729
2018-05-28,615.5,616.3,603.0,606.05,1431958
2018-05-29,607.03,613.28,603.1,609.7,846344
2018-05-30,608.5,614.38,602.8,605.2,1576377
2018-05-31,605.85,621.0,605.12,619.0,4924898
2018-06-01,615.2,623.12,608.6,611.1,1248587
2018-06-04,610.55,621.5,606.0,621.0,1065650
2018-06-05,621.0,621.0,608.5,609.42,1175909
2018-06-06,612.6,620.78,610.03,619.05,1008722
2018-06-07,619.0,629.0,619.0,624.0,1666321
2018-06-08,624.0,631.0,623.03,629.4,1613094
2018-06-11,632.78,635.0,627.53,630.5,1287201
2018-06-12,632.88,635.62,625.22,629.5,1957219
2018-06-13,633.4,642.0,633.4,637.5,1439608
2018-06-14,626.5,626.5,617.05,620.0,1888583
2018-06-15,618.5,645.75,617.5,644.4,4984196
2018-06-18,642.0,645.62,631.17,632.9,2046338
2018-06-19,631.5,631.7,619.03,621.0,1884741
2018-06-20,624.25,626.17,619.0,620.72,1340385
2018-06-21,622.97,628.25,618.0,622.95,1447424
2018-06-22,621.5,627.75,620.6,623.2,1085233
2018-06-25,628.58,639.4,627.0,634.83,1925305
2018-06-26,634.5,641.95,633.12,640.0,1117604
2018-06-27,641.97,646.72,632.8,635.75,1733934
2018-06-28,638.15,649.0,638.12,642.17,2747765
2018-06-29,649.03,657.5,641.62,655.5,2482053
2018-07-02,657.0,670.0,657.0,668.55,1201130
2018-07-03,665.95,678.95,665.88,677.5,2028567
2018-07-04,676.03,676.33,669.42,674.2,1253590
2018-07-05,673.55,673.62,634.05,643.25,4253174
2018-07-06,645.12,650.92,634.5,643.6,2798427
2018-07-09,648.5,651.5,639.53,650.6,1658647
2018-07-10,654.25,657.72,647.15,650.0,1491241
2018-07-11,658.78,671.05,645.67,659.22,2967484
2018-07-12,663.05,663.55,642.22,647.38,3310540
2018-07-13,657.5,665.8,649.17,661.5,4864094
2018-07-16,658.7,692.2,643.85,668.0,8783851
2018-07-17,664.85,674.75,656.35,662.75,2782439
2018-07-18,669.9,671.7,657.0,662.25,1726319
2018-07-19,661.5,665.95,654.55,657.97,1278232
2018-07-20,663.0,683.58,660.65,675.55,2924391
2018-07-23,676.08,684.0,668.12,675.9,1916450
2018-07-24,687.2,691.2,678.0,687.67,1533904
2018-07-25,689.5,696.9,682.72,690.58,1732500
2018-07-26,689.28,695.2,684.6,686.85,1837874
2018-07-27,686.6,694.5,684.15,685.38,1622140
2018-07-30,685.0,686.5,674.0,675.5,1596011
2018-07-31,674.28,685.0,667.78,684.0,1983106
2018-08-01,681.9,684.22,675.5,676.0,1167120
2018-08-02,679.8,683.38,675.08,676.7,1483232
2018-08-03,683.1,683.1,678.0,682.88,986388
2018-08-06,683.03,687.5,673.75,682.0,1541587
2018-08-07,687.0,689.97,680.33,683.5,1833568
2018-08-08,685.9,686.25,676.65,681.0,996613
2018-08-09,686.83,694.72,686.83,689.62,1598606
2018-08-10,692.9,694.5,686.53,691.12,1191550
2018-08-13,695.0,704.92,689.35,704.0,2491754
2018-08-14,706.97,712.28,702.0,703.72,1534628
2018-08-16,707.47,717.45,705.62,715.25,1650962
2018-08-17,715.45,718.83,711.5,713.58,1590589
2018-08-20,694.0,703.97,686.75,694.1,4006004
2018-08-21,695.0,698.0,686.88,692.6,2086150
2018-08-23,696.5,700.75,692.67,700.0,1922386
2018-08-24,698.25,700.95,688.05,689.67,1758068
2018-08-27,691.5,709.97,690.7,708.0,1750180
2018-08-28,708.6,719.2,705.75,713.0,1613141
2018-08-29,716.8,716.8,702.58,705.5,1407141
2018-08-30,706.4,710.78,698.08,709.05,2875969
2018-08-31,712.55,727.15,710.55,720.0,2713857
2018-09-03,724.5,733.95,715.0,718.1,2735258
2018-09-04,722.0,748.5,716.0,733.45,15364325
2018-09-05,741.95,744.05,725.4,728.9,8655408
2018-09-06,732.55,735.5,724.1,726.0,5596452
2018-09-07,734.35,735.15,723.8,734.0,6505057
2018-09-10,737.75,747.0,729.4,734.0,5623835
2018-09-11,735.9,744.75,732.0,733.7,6961070
2018-09-12,744.4,746.5,736.25,740.9,4630950
2018-09-14,741.9,745.0,729.05,734.9,7893793
2018-09-17,735.0,740.0,724.6,726.9,5425993
2018-09-18,730.0,730.0,717.0,719.7,7726125
2018-09-19,727.0,727.0,713.2,719.25,4847065
2018-09-21,713.85,717.4,692.0,710.1,14348094
2018-09-24,706.5,729.95,706.5,719.95,8636878
2018-09-25,718.25,736.0,717.0,726.0,9600067
2018-09-26,731.2,731.85,712.0,719.9,6597337
2018-09-27,722.0,730.8,717.45,724.3,14585520
2018-09-28,721.0,734.55,715.2,731.7,7488404
2018-10-01,737.5,754.9,733.0,742.95,8249195
2018-10-03,743.8,751.95,726.3,728.5,7791489
2018-10-04,728.5,729.75,702.5,711.0,6170926
2018-10-05,713.0,731.5,709.3,722.5,8540591
2018-10-08,725.05,728.7,709.25,714.65,7258190
2018-10-09,717.1,722.4,702.65,721.0,6775729
2018-10-10,719.9,719.9,695.4,700.35,8861098
2018-10-11,685.0,692.9,663.3,675.3,10979669
2018-10-12,676.4,684.05,661.5,678.15,8905425
2018-10-15,688.6,705.0,681.5,704.0,6221038
2018-10-16,710.0,713.9,689.4,692.9,11578437
2018-10-17,710.0,721.8,701.35,705.5,20356661
2018-10-19,687.0,687.7,678.0,683.5,10418609
2018-10-22,688.7,695.05,673.8,680.5,6659089
2018-10-23,675.95,682.0,653.3,663.0,9040584
2018-10-24,663.0,666.5,647.15,650.35,7056216
2018-10-25,643.0,656.35,636.25,647.3,8258835
2018-10-26,645.3,648.7,629.9,634.05,5461538
2018-10-29,633.7,650.55,631.5,646.1,7136483
2018-10-30,641.1,663.8,637.45,658.9,8790791
2018-10-31,663.9,692.95,663.05,685.95,11944335
2018-11-01,689.7,689.7,659.6,667.0,5856229
2018-11-02,665.95,675.8,660.1,663.2,6651178
2018-11-05,663.5,668.6,657.0,663.7,5797837
2018-11-06,667.9,675.0,660.65,667.2,6974398
2018-11-07,673.0,677.5,672.0,677.45,757945
2018-11-09,679.0,679.0,655.5,658.7,9687084
2018-11-12,666.0,676.4,662.3,665.85,7116350
2018-11-13,663.5,667.75,656.3,665.15,4134426
2018-11-14,665.7,665.7,640.5,652.4,7320123
2018-11-15,654.0,666.0,646.7,655.7,5510865
2018-11-16,659.9,662.5,644.2,652.0,8580532
2018-11-19,659.0,662.0,649.25,651.95,6017232
2018-11-20,651.7,656.0,640.1,640.6,5380551
2018-11-21,640.0,640.05,612.1,619.5,14352744
2018-11-22,622.25,628.15,616.75,620.9,6629839
2018-11-26,621.0,628.0,599.85,621.2,15070978
2018-11-27,625.5,641.0,625.3,641.0,12283064
2018-11-28,640.95,668.7,640.0,665.0,17708499
2018-11-29,671.0,674.9,658.8,665.5,13385623
2018-11-30,661.0,672.0,660.95,670.0,10444143
2018-12-03,673.15,679.0,665.95,672.45,8260300
2018-12-04,672.55,688.25,671.3,683.0,7822562
2018-12-05,683.0,683.65,672.5,681.15,5175169
2018-12-06,676.1,685.45,664.55,669.5,8037964
2018-12-07,672.0,685.75,665.6,680.75,5551484
2018-12-10,669.9,683.8,665.2,670.3,5118202
2018-12-11,669.2,681.9,660.6,673.25,7119675
2018-12-12,677.1,680.65,670.6,678.1,6925034
2018-12-13,682.0,700.0,680.0,695.8,7519652
2018-12-14,697.45,713.7,694.4,706.15,9555832
2018-12-17,711.85,711.85,692.75,693.0,4776558
2018-12-18,686.5,686.5,674.55,677.0,8013000
2018-12-19,671.55,671.55,661.1,665.0,8290986
2018-12-20,660.0,671.55,656.4,666.9,11702948
2018-12-21,659.5,659.5,643.45,647.0,12791514
2018-12-24,657.0,658.8,647.6,648.5,8371982
2018-12-26,647.0,647.0,637.35,643.9,6173759
2018-12-27,652.75,663.25,649.0,655.55,15320008
2018-12-28,663.35,663.5,653.3,656.4,4732406
2018-12-31,660.0,662.0,655.8,659.5,3371805
2019-01-01,660.95,666.3,654.15,665.95,2941038
2019-01-02,666.0,674.0,662.05,668.0,7415736
2019-01-03,672.0,677.0,663.1,668.95,6826458
2019-01-04,671.75,673.9,651.0,660.2,7882720
2019-01-07,665.0,673.6,661.5,671.55,8043686
2019-01-08,674.95,677.45,668.55,669.65,8615984
2019-01-09,686.2,689.8,664.0,675.6,18117864
2019-01-10,681.6,682.0,672.55,681.0,9565348
2019-01-11,680.2,685.5,672.5,684.35,12271214
2019-01-14,707.0,710.2,695.95,701.3,19306995
2019-01-15,707.2,730.0,707.2,728.3,19669414
2019-01-16,729.9,737.8,728.5,735.95,9656061
2019-01-17,735.8,739.0,729.1,733.2,6901865
2019-01-18,730.0,736.2,726.3,733.5,5901219
2019-01-21,738.2,751.0,734.0,743.25,8127299
2019-01-22,741.25,749.0,734.0,747.0,6720657
2019-01-23,742.35,742.6,729.2,731.65,7208577
2019-01-24,728.1,736.1,721.0,734.0,7427761
2019-01-25,728.0,737.9,724.25,730.3,5541658
2019-01-28,731.0,732.6,719.0,731.0,7943308
2019-01-29,725.5,732.85,716.5,730.05,6755406
2019-01-30,727.9,734.8,721.1,724.3,5761471
2019-01-31,726.0,751.3,726.0,750.0,13816598
2019-02-01,751.35,762.5,744.5,756.7,6274072
2019-02-04,757.0,762.5,749.2,755.9,3944103
2019-02-05,747.0,759.95,747.0,755.0,4692319
2019-02-06,755.55,766.95,754.35,763.8,5878942
2019-02-07,763.05,769.45,761.0,763.0,3960816
2019-02-08,760.0,772.25,754.9,760.9,5914161
2019-02-11,766.9,768.75,759.0,760.45,5498609
2019-02-12,760.35,760.35,741.0,750.4,7305909
2019-02-13,750.1,759.7,743.65,754.0,5046692
2019-02-14,751.0,753.0,737.25,740.35,4606821
2019-02-15,742.3,746.5,732.6,742.05,5585727
2019-02-18,742.35,747.65,736.0,741.0,5346342
2019-02-19,739.1,740.55,721.3,724.5,9398714
2019-02-20,727.0,743.0,726.05,740.55,5209040
2019-02-21,738.0,738.0,727.1,734.0,7201920
2019-02-22,732.5,738.2,728.0,734.9,3749376
2019-02-25,735.55,758.0,735.55,755.0,6545026
2019-02-26,748.6,752.6,740.15,741.55,8313183
2019-02-27,745.0,746.4,732.75,734.5,5934830
2019-02-28,738.7,742.4,732.3,734.0,8557127
2019-03-01,735.5,743.4,735.5,741.5,3998303
2019-03-05,740.5,742.5,730.25,732.75,4823194
2019-03-06,736.1,736.1,727.0,732.25,6074318
2019-03-07,734.0,734.5,720.55,723.4,5949142
2019-03-08,722.95,722.95,710.65,713.2,7190056
2019-03-11,713.3,718.5,709.4,711.1,9926267
2019-03-12,709.0,714.95,705.6,706.25,11993926
2019-03-13,710.0,718.6,706.3,709.0,11344248
2019-03-14,714.0,714.9,706.2,708.45,6412490
2019-03-15,712.0,723.75,709.6,720.0,14631902
2019-03-18,721.55,723.7,705.35,709.5,8062740
2019-03-19,712.8,726.5,707.4,725.8,8915770
2019-03-20,727.25,742.3,727.15,737.5,13462392
2019-03-22,745.0,746.35,732.3,745.0,8880302
2019-03-25,742.4,742.4,730.55,733.95,7643640
2019-03-26,735.25,735.25,719.1,727.8,9404806
2019-03-27,730.0,732.3,727.15,728.9,7385765
2019-03-28,730.0,745.0,730.0,739.0,9272560
2019-03-29,743.9,747.95,740.0,742.15,6920880
2019-04-01,742.0,760.0,742.0,754.0,6581503
2019-04-02,759.0,765.8,754.6,755.0,7282492
2019-04-03,756.0,758.5,746.8,751.65,6895087
