date,open,high,low,close,volume
2017-07-03,789.1,793.85,783.9,787.55,28422
2017-07-04,787.0,795.2,784.0,785.0,26233
2017-07-05,785.0,801.0,780.0,796.05,72021
2017-07-06,798.0,804.75,786.5,786.7,19270
2017-07-07,790.0,798.0,785.0,792.1,34779
2017-07-10,792.1,792.1,785.0,790.0,17179872663
2017-07-11,788.15,799.45,785.0,785.0,22548
2017-07-12,786.0,790.95,785.7,785.7,16454
2017-07-13,788.0,795.75,783.15,789.0,28585
2017-07-14,782.1,790.0,779.0,779.05,24019
2017-07-17,774.5,779.0,771.5,775.0,18079
2017-07-18,772.5,791.45,771.1,784.75,24066
2017-07-19,784.75,792.65,784.75,790.0,83729
2017-07-20,790.0,791.95,780.0,785.0,24163
2017-07-21,779.05,779.95,761.0,770.0,59224
2017-07-24,768.0,781.1,750.0,765.0,57576
2017-07-25,780.0,780.0,765.6,773.25,52930
2017-07-26,771.0,784.0,763.05,769.35,104625
2017-07-27,770.4,775.0,758.2,768.95,68981
2017-07-28,770.0,774.9,760.0,760.05,75677
2017-07-31,760.05,766.0,760.0,766.0,23548
2017-08-01,766.0,780.0,760.0,772.0,61165
2017-08-02,774.0,778.0,768.0,768.1,16829
2017-08-03,774.0,780.35,760.0,774.5,35079
2017-08-04,778.45,778.45,765.6,775.0,15284
2017-08-07,775.0,780.0,770.1,775.0,18023
2017-08-08,779.0,780.0,772.0,777.0,17119
2017-08-09,779.05,779.05,760.0,760.05,11419
2017-08-10,760.0,777.75,740.0,744.35,13543
2017-08-11,735.0,762.05,724.55,740.0,23740
2017-08-14,726.3,743.0,726.3,737.0,11565
2017-08-16,738.1,750.0,738.1,743.0,18038
2017-08-17,743.0,780.0,741.05,777.0,44321
2017-08-18,773.75,776.0,749.0,770.2,20994
2017-08-21,770.0,773.0,749.55,751.1,11013
2017-08-22,751.7,767.0,740.0,741.1,20472
2017-08-23,743.35,752.75,739.05,740.0,9934
2017-08-24,740.0,745.5,732.05,732.05,19379
2017-08-28,740.0,752.4,740.0,748.0,29429
2017-08-29,748.0,752.85,745.0,748.95,10069
2017-08-30,748.0,756.85,738.0,752.0,37095
2017-08-31,752.0,755.0,741.35,754.85,41241
2017-09-01,754.5,770.0,748.55,756.5,20048
2017-09-04,760.0,768.9,753.4,760.0,18048
2017-09-05,755.2,769.8,748.55,764.9,79312
2017-09-06,764.9,775.95,760.0,772.1,37167
2017-09-07,766.6,775.0,764.75,773.0,80508
2017-09-08,766.05,779.9,764.05,775.05,27057
2017-09-11,775.0,776.85,766.2,766.6,13384
2017-09-12,774.95,774.95,758.2,765.0,31160
2017-09-13,769.95,773.0,764.95,765.0,12468
2017-09-14,765.0,773.0,762.2,770.5,20577
2017-09-15,764.9,769.0,752.25,753.05,42834
2017-09-18,756.7,765.0,753.15,756.0,23649
2017-09-19,756.5,770.0,753.0,769.9,155673
2017-09-20,773.5,776.0,767.0,769.5,18746
2017-09-21,751.05,788.6,751.05,781.0,152880
2017-09-22,780.0,785.0,775.05,780.0,92556
2017-09-25,768.5,779.0,744.1,777.0,39439
2017-09-26,757.55,781.0,757.55,776.0,43097
2017-09-27,780.0,781.9,768.2,775.0,23717
2017-09-28,774.0,775.4,765.15,774.5,22879
