date,open,high,low,close,volume
2017-07-03,195.0,195.3,189.0,195.0,2782891
2017-07-04,193.5,195.68,191.25,195.15,2929911
2017-07-05,195.0,195.3,192.34,193.05,2502624
2017-07-06,193.13,195.04,192.0,192.38,2197178
2017-07-07,192.0,193.65,191.25,192.83,1929241
2017-07-10,192.83,201.68,192.75,201.38,34360613241
2017-07-11,200.29,204.98,196.58,198.0,5386087
2017-07-12,197.81,199.35,195.98,197.55,1583814
2017-07-13,198.0,199.39,196.13,197.44,2157115
2017-07-14,198.11,198.71,194.25,195.0,3266061
2017-07-17,199.88,205.5,198.41,201.23,10214165
2017-07-18,200.66,204.3,199.88,201.75,3662974
2017-07-19,202.76,204.0,200.48,203.66,3961408
2017-07-20,202.88,205.69,201.19,202.5,3555189
2017-07-21,212.55,218.1,210.19,214.24,21582054
2017-07-24,217.99,220.13,216.94,218.25,8693266
2017-07-25,219.3,219.3,216.79,217.16,4458818
2017-07-26,217.5,218.63,215.85,217.46,3946128
2017-07-27,217.5,219.6,215.44,219.0,7869178
2017-07-28,217.61,218.14,215.93,216.75,3236051
2017-07-31,217.16,217.88,215.55,216.56,3389051
2017-08-01,216.75,221.96,216.75,220.99,5007972
2017-08-02,220.5,223.24,219.94,220.2,3226721
2017-08-03,220.73,221.55,216.49,216.94,4855616
2017-08-04,217.13,219.9,216.75,217.39,3393368
2017-08-07,217.2,217.43,215.33,215.96,1954295
2017-08-08,218.06,218.06,213.71,215.29,3601461
2017-08-09,215.33,216.41,214.43,214.95,1441744
2017-08-10,214.54,217.09,214.46,216.86,3603928
2017-08-11,215.93,220.91,215.93,217.2,4721505
2017-08-14,217.54,218.18,215.44,215.89,2132276
2017-08-16,217.05,217.58,216.04,216.86,2671180
2017-08-17,218.1,218.1,216.0,216.19,3496759
2017-08-18,216.08,218.25,216.0,216.04,3954053
2017-08-21,217.28,218.33,215.48,216.0,3784056
2017-08-22,217.88,219.75,216.83,217.88,3563523
2017-08-23,218.29,218.85,217.2,217.5,3102046
2017-08-24,217.61,218.25,216.6,217.5,3705702
2017-08-28,217.65,218.81,217.31,218.1,2849766
2017-08-29,218.06,219.0,217.58,218.14,2338431
2017-08-30,218.63,219.0,217.95,218.06,2433520
2017-08-31,221.63,225.26,220.88,223.39,13720779
2017-09-01,223.31,223.73,221.89,222.04,4224996
2017-09-04,222.41,223.43,221.81,223.13,3997385
2017-09-05,222.98,223.8,222.41,223.16,3891005
2017-09-06,222.53,223.43,222.08,223.09,4105914
2017-09-07,223.5,224.93,223.16,224.25,4440056
2017-09-08,224.55,226.28,223.88,225.86,5960787
2017-09-11,226.35,227.55,225.19,226.28,7120242
2017-09-12,226.58,227.1,223.13,223.46,10433582
2017-09-13,224.06,224.78,221.48,222.94,8822237
2017-09-14,214.46,216.68,211.88,212.55,7612694
2017-09-15,213.94,215.44,211.28,214.54,7422466
2017-09-18,212.93,217.5,212.93,216.86,2406503
2017-09-19,216.94,218.51,215.63,216.75,2272620
2017-09-20,216.45,219.08,214.69,218.78,2852294
2017-09-21,217.88,219.68,217.28,218.93,2465812
2017-09-22,217.99,221.21,217.91,220.46,4043429
2017-09-25,220.09,220.91,217.58,218.25,1784262
2017-09-26,218.25,219.23,216.79,217.2,2068544
2017-09-27,217.76,217.95,215.48,216.11,3044657
2017-09-28,216.75,217.69,213.68,214.8,5318386
2017-09-29,214.84,215.93,209.4,210.15,2106824
2017-10-03,211.05,214.2,210.53,211.99,1708265
2017-10-04,212.18,214.69,211.2,212.03,1164396
2017-10-05,212.7,213.75,211.65,212.55,765859
2017-10-06,213.38,215.25,212.81,214.88,1980222
2017-10-09,214.01,215.36,213.41,215.21,671594
2017-10-10,215.1,216.23,213.75,215.93,1212159
2017-10-11,214.73,218.89,214.65,218.25,2552449
2017-10-12,218.25,221.25,217.43,219.68,2295013
2017-10-13,220.31,221.78,218.1,218.78,2139937
2017-10-16,218.93,219.34,215.44,218.03,3463269
2017-10-17,217.8,219.41,214.84,217.54,4856227
2017-10-18,217.54,224.06,217.2,221.06,19133203138
2017-10-23,219.08,223.05,219.08,222.68,5730354617
2017-10-24,222.08,224.18,221.33,222.75,1982250
2017-10-25,222.98,226.39,222.0,223.88,2298496
2017-10-26,223.35,227.85,222.86,224.48,5028557
