date,open,high,low,close,volume
2017-07-03,1414.0,1444.0,1409.0,1440.0,197343
2017-07-04,1443.55,1445.0,1421.55,1421.6,63758
2017-07-05,1425.8,1431.85,1402.1,1403.55,180415
2017-07-06,1414.15,1439.0,1408.0,1425.0,120241
2017-07-07,1421.35,1465.0,1415.0,1418.0,317585
2017-07-10,1430.2,1432.8,1418.0,1428.0,25769821548
2017-07-11,1423.0,1425.0,1410.05,1417.15,84791
2017-07-12,1424.25,1443.9,1415.1,1422.0,155327
2017-07-13,1424.75,1439.3,1412.55,1418.05,85482
2017-07-14,1424.0,1425.95,1397.15,1404.05,163592
2017-07-17,1407.8,1413.45,1370.15,1382.5,217660
2017-07-18,1380.0,1394.0,1371.5,1384.0,211577
2017-07-19,1388.65,1401.3,1357.25,1385.3,336663
2017-07-20,1395.8,1413.0,1380.05,1383.5,378879
2017-07-21,1391.9,1392.0,1348.0,1369.0,251707
2017-07-24,1370.0,1383.4,1367.05,1370.0,134224
2017-07-25,1373.6,1398.0,1372.95,1381.0,242958
2017-07-26,1389.0,1404.45,1344.6,1357.0,685544
2017-07-27,1360.0,1368.6,1318.6,1340.0,331838
2017-07-28,1339.35,1351.85,1323.85,1340.0,108987
2017-07-31,1339.5,1352.6,1331.25,1341.55,133177
2017-08-01,1345.05,1378.0,1343.4,1377.0,300607
2017-08-02,1383.7,1389.9,1373.0,1375.0,212880
2017-08-03,1377.0,1384.95,1362.0,1373.2,202677
2017-08-04,1373.45,1408.15,1373.0,1400.0,285323
2017-08-07,1401.9,1437.2,1381.1,1432.0,289475
2017-08-08,1436.6,1445.0,1383.85,1410.0,293156
2017-08-09,1415.0,1428.1,1352.2,1354.2,227764
2017-08-10,1350.5,1380.6,1301.1,1339.0,247194
2017-08-11,1315.0,1340.0,1261.0,1284.65,354627
2017-08-14,1284.9,1307.55,1225.0,1293.0,400577
2017-08-16,1297.0,1332.95,1274.05,1328.0,362805
2017-08-17,1330.15,1339.15,1296.5,1304.95,183649
2017-08-18,1295.05,1329.0,1285.0,1315.35,113909
2017-08-21,1328.25,1328.25,1274.0,1278.35,160212
2017-08-22,1280.65,1294.9,1249.0,1270.4,177451
2017-08-23,1273.0,1282.9,1250.1,1257.7,173036
2017-08-24,1258.0,1272.0,1253.3,1264.0,103815
2017-08-28,1265.0,1284.5,1258.8,1282.1,183014
2017-08-29,1276.0,1283.3,1253.1,1263.15,120634
2017-08-30,1268.95,1314.0,1266.85,1311.5,183869
2017-08-31,1307.75,1330.0,1297.1,1322.0,164430
2017-09-01,1322.0,1350.0,1309.9,1328.55,208081
2017-09-04,1322.0,1330.7,1296.15,1301.05,94087
2017-09-05,1310.0,1310.0,1287.35,1307.0,132410
2017-09-06,1304.0,1324.0,1296.75,1310.05,129990
2017-09-07,1310.0,1338.0,1303.25,1319.95,122558
2017-09-08,1322.0,1374.3,1322.0,1371.0,335323
2017-09-11,1375.15,1387.8,1338.3,1348.9,302667
2017-09-12,1349.95,1365.0,1341.0,1349.0,99206
2017-09-13,1349.05,1362.95,1316.05,1327.0,96625
2017-09-14,1326.05,1345.6,1318.0,1318.25,72278
2017-09-15,1325.0,1353.15,1310.0,1335.35,192902
