date,open,high,low,close,volume
2017-07-03,494.0,494.6,489.0,489.1,1573383
2017-07-04,489.0,495.4,488.0,492.0,1676616
2017-07-05,491.0,500.95,489.3,499.5,2101304
2017-07-06,501.05,503.45,499.75,502.0,1526896
2017-07-07,503.0,508.65,500.0,508.5,1555845
2017-07-10,510.45,515.0,458.1,505.0,21475151686
2017-07-11,508.45,509.95,505.7,507.0,1611302
2017-07-12,507.5,512.05,507.1,510.25,1319253
2017-07-13,511.75,519.15,509.95,514.75,939697
2017-07-14,516.0,516.1,510.0,512.55,845245
2017-07-17,517.8,525.0,515.7,523.1,1548817
2017-07-18,522.35,537.15,522.35,529.05,5522462
2017-07-19,528.5,550.0,528.5,544.0,3827328
2017-07-20,544.9,549.7,535.55,538.5,990310
2017-07-21,539.8,557.65,539.0,556.5,2985739
2017-07-24,557.8,560.0,546.2,551.0,3136852
2017-07-25,558.5,558.5,535.1,535.55,4203230
2017-07-26,540.0,541.1,527.0,530.1,2052672
2017-07-27,530.0,540.5,528.75,540.3,3289254
2017-07-28,537.75,544.0,536.7,539.9,1506100
2017-07-31,541.05,545.3,539.6,540.0,1133086
2017-08-01,542.5,550.5,539.4,543.05,1847690
2017-08-02,545.5,545.5,539.9,540.0,817809
2017-08-03,540.1,541.7,538.35,540.0,1905694
2017-08-04,540.5,547.95,539.8,542.15,3432220
2017-08-07,542.55,545.3,539.95,540.0,808400
2017-08-08,538.9,542.55,538.85,540.0,2091716
2017-08-09,539.95,542.3,537.05,541.9,2994804
2017-08-10,540.0,542.5,503.0,529.2,2915684
2017-08-11,517.0,519.3,502.65,508.05,3635886
2017-08-14,509.9,521.0,500.2,515.8,2734540
2017-08-16,518.7,523.05,508.9,517.5,1654156
2017-08-17,518.25,529.9,509.7,526.4,2085665
2017-08-18,525.0,525.0,508.1,511.0,3538544
2017-08-21,512.4,515.0,505.35,511.3,2210296
2017-08-22,514.95,517.8,510.8,517.0,1300528
2017-08-23,516.55,518.0,508.0,515.2,1322975
2017-08-24,518.0,518.0,510.0,513.1,1186936
2017-08-28,515.1,520.1,510.4,516.0,1009455
2017-08-29,517.9,520.6,512.1,518.5,1429519
2017-08-30,520.9,522.0,512.1,520.0,1662251
2017-08-31,518.0,524.15,515.95,520.4,1865746
2017-09-01,520.25,527.0,520.0,523.5,926265
2017-09-04,521.4,526.3,518.55,520.25,1395722
2017-09-05,522.8,525.0,520.0,520.0,794642
2017-09-06,519.7,521.1,519.0,520.0,2442210
2017-09-07,520.5,525.0,520.0,522.0,1333128
2017-09-08,521.55,524.95,517.0,519.05,1748560
2017-09-11,521.8,524.65,519.95,521.5,1823734
2017-09-12,524.25,535.55,521.55,531.5,2422728
2017-09-13,534.5,535.75,528.0,531.9,1496109
2017-09-14,535.0,535.0,525.0,530.0,1205971
2017-09-15,528.0,536.9,521.5,530.55,2323670
2017-09-18,534.8,547.0,534.25,544.0,2318012
2017-09-19,546.7,547.85,541.35,544.9,1455603
2017-09-20,545.0,549.9,542.15,549.9,2072892
2017-09-21,550.0,551.0,527.8,535.0,1828975
2017-09-22,533.2,534.2,520.25,520.25,2141396
2017-09-25,520.25,528.95,519.4,526.8,3140371
2017-09-26,524.45,527.3,520.0,527.3,1404114
2017-09-27,525.05,528.35,520.5,522.8,1333413
2017-09-28,525.0,525.75,518.5,520.0,3201694
2017-09-29,522.0,524.75,518.4,520.0,1862657
2017-10-03,522.0,524.5,520.0,520.8,2801902
2017-10-04,521.15,522.9,519.2,522.45,2261054
2017-10-05,521.4,524.3,520.0,520.15,950320
2017-10-06,521.0,522.8,520.0,520.1,2103574
2017-10-09,526.8,531.45,523.95,526.0,1779909
2017-10-10,529.0,529.0,517.75,522.25,1259608
2017-10-11,523.35,524.0,507.2,515.2,3155230
2017-10-12,516.0,518.9,510.2,517.8,710324
2017-10-13,517.2,518.8,509.1,510.2,2511759
2017-10-16,511.2,515.3,505.75,514.5,3222982
2017-10-17,512.5,514.5,492.55,494.8,5484745
2017-10-18,495.8,495.8,477.0,490.75,31129334681
2017-10-23,487.8,500.8,485.1,491.65,8594096519
2017-10-24,496.05,537.45,492.7,524.4,12849521
2017-10-25,533.8,543.25,519.15,530.8,6140346
2017-10-26,532.5,541.0,524.55,533.0,2038672
2017-10-27,534.05,543.3,531.25,542.0,2032034
2017-10-30,541.5,550.45,540.3,548.0,1577103
2017-10-31,548.0,548.1,538.65,544.3,1912554
2017-11-01,544.8,544.7,531.0,535.5,2156473
2017-11-02,535.8,535.45,525.5,528.15,3004019
2017-11-03,533.0,540.4,527.25,537.0,2075675
2017-11-06,537.0,538.0,527.5,528.15,1720639
2017-11-07,530.9,545.5,529.15,538.35,3719731
2017-11-08,538.0,543.35,529.5,538.95,1427312
2017-11-09,538.0,542.5,530.95,537.95,1965179
2017-11-10,539.3,546.7,493.9,543.8,1677128
2017-11-13,540.0,547.5,540.0,543.75,1877834
2017-11-14,542.0,544.45,540.0,543.0,1241839
2017-11-15,541.0,543.0,536.8,540.0,2774026
2017-11-16,540.0,542.3,535.35,537.7,2818344
2017-11-17,540.2,543.15,533.0,535.5,2418671
2017-11-20,534.0,535.0,528.0,533.0,831734
2017-11-21,533.4,546.6,532.7,541.0,905451
2017-11-22,543.5,566.0,543.0,560.65,5018735
2017-11-23,562.0,567.75,556.7,563.1,2714508
2017-11-24,561.2,569.7,556.6,563.75,1798923
2017-11-27,559.55,577.6,557.2,575.35,2015677
2017-11-28,574.0,589.85,568.8,584.7,4476437
2017-11-29,585.2,596.55,572.35,575.9,2842116
2017-11-30,573.05,576.85,566.25,568.7,2193309
2017-12-01,572.4,579.55,555.0,557.0,1662039
2017-12-04,564.0,572.8,553.3,566.0,2155900
2017-12-05,564.95,569.75,556.7,569.0,1309146
2017-12-06,567.95,573.7,565.0,569.8,1800710
2017-12-07,570.5,574.9,566.5,574.35,1255652
2017-12-08,574.0,578.9,560.2,564.1,1154254
2017-12-11,565.0,576.3,565.7,568.95,1821243
2017-12-12,570.0,575.7,565.5,569.0,1255614
2017-12-13,569.8,573.5,562.55,566.25,1161674
2017-12-14,568.05,571.85,562.35,568.3,1798055
2017-12-15,577.95,579.6,568.25,569.35,2007419
2017-12-18,571.0,587.6,560.0,573.0,2137611
2017-12-19,578.65,583.55,574.2,578.55,1723018
2017-12-20,577.2,585.15,577.2,582.2,982812
2017-12-21,582.4,594.0,573.0,574.0,2083056
2017-12-22,577.5,579.7,569.7,573.75,917403
