date,open,high,low,close,volume
2017-07-03,64.2,65.6,64.2,64.65,1253822
2017-07-04,64.45,67.8,64.45,67.1,5288984
2017-07-05,67.7,67.85,67.1,67.3,1843885
2017-07-06,66.3,69.6,66.3,68.5,4249584
2017-07-07,68.6,68.85,67.35,67.4,1649157
2017-07-10,67.9,68.4,65.0,68.25,21475290864
2017-07-11,68.4,68.4,66.65,66.75,1431496
2017-07-12,67.1,68.4,66.85,67.8,1087169
2017-07-13,68.1,74.2,67.75,74.1,11022182
2017-07-14,74.5,74.7,69.4,70.2,7429979
2017-07-17,70.4,71.95,69.4,69.9,4170423
2017-07-18,69.3,70.5,68.2,68.8,2028923
2017-07-19,69.1,72.0,68.95,71.4,5549081
2017-07-20,71.45,71.45,69.3,70.0,2671396
2017-07-21,70.0,71.25,69.85,70.75,5950912
2017-07-24,70.8,71.45,69.5,69.85,2059800
2017-07-25,69.95,71.15,69.5,70.4,3395229
2017-07-26,71.3,73.0,70.5,70.95,4175223
2017-07-27,71.35,71.55,69.65,70.15,3306709
2017-07-28,69.6,70.35,69.05,69.45,1052090
2017-07-31,69.55,72.75,69.55,70.0,4374949
2017-08-01,70.3,71.1,69.6,70.0,1811224
2017-08-02,70.0,70.55,68.85,69.3,1525684
2017-08-03,69.9,70.15,66.15,66.5,2769897
2017-08-04,66.8,69.5,66.0,69.0,1886606
2017-08-07,69.8,69.85,66.75,69.2,953126
2017-08-08,70.65,73.25,69.55,69.8,7817899
2017-08-09,69.3,72.45,69.3,69.8,8184061
2017-08-10,67.2,68.55,63.4,65.45,5485508
2017-08-11,63.5,65.25,62.15,62.6,2264914
2017-08-14,63.45,66.5,63.2,65.9,2819875
2017-08-16,66.95,70.75,65.95,69.0,3927151
2017-08-17,69.75,71.7,69.6,70.0,4805404
2017-08-18,69.15,70.1,68.4,70.0,2332742
2017-08-21,70.7,71.45,68.8,68.9,2679345
2017-08-22,69.45,70.6,68.6,69.6,3019972
2017-08-23,70.1,70.65,69.05,69.8,1259159
2017-08-24,69.95,70.8,69.2,69.9,1520769
2017-08-28,69.65,70.5,69.35,69.5,1603423
2017-08-29,69.55,69.7,67.7,67.7,1672295
2017-08-30,68.5,69.95,68.5,69.4,1802338
2017-08-31,69.75,72.9,69.5,72.5,5523592
2017-09-01,73.25,75.1,72.3,75.0,5194831
2017-09-04,74.5,75.85,71.1,73.4,2953871
2017-09-05,74.15,74.95,73.0,73.8,1315696
2017-09-06,72.9,74.45,72.75,74.15,1901254
2017-09-07,74.2,84.15,74.2,83.05,20848876
2017-09-08,84.0,84.0,79.2,81.3,16222973
2017-09-11,81.6,84.45,80.2,82.95,7914751
2017-09-12,83.25,83.9,81.35,81.75,3223783
