date,open,high,low,close,volume
2017-07-03,469.0,474.9,466.3,472.0,582626
2017-07-04,476.5,507.85,475.0,489.75,3136003
2017-07-05,491.0,501.35,491.0,496.2,2391647
2017-07-06,496.0,499.7,485.6,491.6,1143468
2017-07-07,488.7,489.6,479.0,484.8,1034094
2017-07-10,484.8,488.5,482.85,484.8,12885019630
2017-07-11,486.65,498.6,485.1,489.45,983736
2017-07-12,490.05,494.45,481.0,485.95,1017558
2017-07-13,489.6,493.7,483.2,486.4,1204202
2017-07-14,486.1,486.9,482.0,483.65,306833
2017-07-17,485.0,485.9,471.75,474.0,803352
2017-07-18,474.0,492.5,472.45,477.0,1641950
2017-07-19,478.55,480.4,471.1,474.4,538370
2017-07-20,475.0,475.75,460.25,461.4,1203964
2017-07-21,461.5,472.8,460.25,464.35,1079999
2017-07-24,466.45,473.7,462.8,468.75,806069
2017-07-25,471.15,472.0,464.35,468.2,845239
2017-07-26,473.1,473.1,448.3,451.0,3293208
2017-07-27,454.6,457.3,433.15,440.05,2303458
2017-07-28,441.7,452.75,437.3,448.7,1421241
2017-07-31,451.5,459.9,449.6,459.3,877550
2017-08-01,459.05,459.15,441.7,445.7,1105684
2017-08-02,448.0,448.5,440.0,443.9,1081428
2017-08-03,443.35,444.9,439.3,440.5,538340
2017-08-04,442.25,447.1,435.3,439.05,1359384
2017-08-07,439.3,442.3,436.0,437.3,473141
2017-08-08,437.95,439.15,426.35,433.35,973820
2017-08-09,430.0,432.0,424.55,426.0,596156
2017-08-10,425.3,428.75,411.25,417.5,931298
2017-08-11,408.0,430.0,402.3,428.2,1564669
2017-08-14,432.8,441.75,429.8,435.35,943642
2017-08-16,436.95,438.55,430.55,435.95,525814
2017-08-17,441.95,441.95,424.0,425.0,905904
2017-08-18,421.95,429.0,420.15,428.15,507139
2017-08-21,427.5,439.0,419.1,420.5,1021421
2017-08-22,424.0,424.65,417.6,419.25,513827
2017-08-23,422.6,424.0,419.6,421.5,385180
2017-08-24,422.8,426.5,421.15,422.9,378439
2017-08-28,423.0,434.85,423.0,432.0,978322
2017-08-29,429.5,429.95,423.3,423.65,523272
2017-08-30,426.0,429.35,425.5,426.25,556901
2017-08-31,426.05,432.55,425.25,427.25,625629
2017-09-01,428.85,445.95,427.4,444.0,2101488
2017-09-04,444.8,447.8,434.5,439.05,890614
2017-09-05,440.0,447.0,439.35,446.9,1165690
2017-09-06,445.0,445.0,440.1,440.95,1540336
2017-09-07,442.5,450.7,437.5,439.45,989236
2017-09-08,442.5,443.6,435.05,437.4,339915
2017-09-11,440.0,443.0,436.1,437.25,336863
2017-09-12,438.1,439.45,430.1,431.5,653427
2017-09-13,434.25,438.0,426.4,426.65,634458
2017-09-14,427.7,431.55,420.25,425.95,970694
2017-09-15,428.2,434.3,422.5,424.5,2030507
2017-09-18,430.9,430.9,422.15,425.5,1058415
2017-09-19,425.5,426.6,420.15,424.35,912123
2017-09-20,426.15,428.25,402.7,408.0,1709627
2017-09-21,409.8,412.0,399.25,405.5,2210650
2017-09-22,403.0,413.3,401.6,404.0,1361155
2017-09-25,405.0,408.9,384.8,387.95,1463219
2017-09-26,387.95,400.7,385.2,397.5,1453875
2017-09-27,401.45,404.0,387.35,391.2,896800
2017-09-28,390.05,391.15,378.5,383.6,2827933
2017-09-29,385.8,393.7,383.0,388.6,1810591
2017-10-03,394.6,415.8,394.6,411.9,5354990
2017-10-04,415.75,416.85,409.15,411.95,667970
2017-10-05,412.5,412.5,398.0,398.95,1461794
2017-10-06,401.0,402.75,397.15,399.35,725949
2017-10-09,399.4,407.0,399.3,403.5,1177557
2017-10-10,403.9,409.95,402.5,407.5,1037602
2017-10-11,411.25,414.65,402.0,403.85,1014764
2017-10-12,407.5,408.55,402.1,407.0,504958
2017-10-13,407.0,410.2,404.4,404.6,513385
2017-10-16,405.3,408.0,392.05,395.05,1229393
2017-10-17,394.0,397.1,391.05,392.0,1348313
2017-10-18,392.0,393.55,389.2,391.7,853223
2017-10-23,394.55,398.5,389.05,389.75,9347471213
2017-10-24,391.4,395.15,389.0,389.35,884529
2017-10-25,395.25,400.0,385.55,388.1,2265228
2017-10-26,390.0,393.1,385.35,389.8,1301182
