date,open,high,low,close,volume
2017-07-03,1160.0,1204.0,1158.0,1188.0,999002
2017-07-04,1195.85,1215.85,1186.6,1192.0,476916
2017-07-05,1195.0,1223.0,1181.0,1222.0,348385
2017-07-06,1224.95,1242.9,1199.3,1228.3,512951
2017-07-07,1240.0,1255.0,1221.65,1250.0,740011
2017-07-10,1250.0,1268.15,1232.85,1239.5,12884970472
2017-07-11,1247.65,1253.55,1218.0,1223.8,391724
2017-07-12,1232.0,1268.9,1228.05,1263.0,852434
2017-07-13,1260.35,1281.6,1247.5,1275.95,787968
2017-07-14,1279.0,1286.6,1265.55,1276.0,329706
2017-07-17,1284.0,1293.7,1271.55,1281.0,319501
2017-07-18,1273.9,1285.8,1272.7,1276.0,412431
2017-07-19,1285.05,1286.65,1247.75,1254.95,344514
2017-07-20,1257.95,1258.0,1231.2,1243.5,512448
2017-07-21,1236.25,1250.5,1225.9,1247.5,328280
2017-07-24,1243.0,1248.7,1227.15,1229.95,288682
2017-07-25,1232.9,1257.95,1227.5,1245.15,578424
2017-07-26,1246.65,1246.65,1231.1,1232.1,417260
2017-07-27,1234.0,1248.8,1219.5,1248.1,933582
2017-07-28,1245.0,1303.2,1245.0,1281.0,1136641
2017-07-31,1291.0,1317.0,1283.0,1290.0,980626
2017-08-01,1325.0,1329.35,1267.55,1280.0,2388934
2017-08-02,1287.8,1305.0,1275.15,1277.0,382740
2017-08-03,1281.4,1290.0,1246.8,1259.9,328504
2017-08-04,1264.9,1285.95,1249.0,1276.0,324655
2017-08-07,1283.0,1298.5,1262.35,1287.0,331759
2017-08-08,1290.85,1316.45,1279.0,1295.0,656831
2017-08-09,1293.0,1324.4,1287.05,1298.0,707473
2017-08-10,1302.8,1309.55,1258.3,1270.05,722976
2017-08-11,1257.85,1265.35,1216.1,1240.0,575083
2017-08-14,1250.0,1288.9,1245.05,1285.0,228348
2017-08-16,1285.0,1346.0,1285.0,1311.0,1159159
2017-08-17,1323.9,1345.05,1300.05,1312.85,406635
2017-08-18,1278.95,1291.0,1247.5,1264.0,1066499
2017-08-21,1269.45,1283.9,1259.95,1274.0,470337
2017-08-22,1276.75,1286.35,1226.05,1229.3,473634
2017-08-23,1235.95,1242.0,1209.0,1209.0,513758
2017-08-24,1210.0,1215.35,1184.35,1188.0,690276
2017-08-28,1181.5,1199.85,1168.05,1186.0,738390
2017-08-29,1180.9,1198.0,1161.6,1171.0,413121
2017-08-30,1177.9,1199.9,1177.9,1194.15,306404
2017-08-31,1210.0,1233.5,1202.95,1232.0,806628
2017-09-01,1230.0,1259.1,1224.0,1253.0,418149
2017-09-04,1251.95,1272.9,1241.25,1259.0,594101
2017-09-05,1261.0,1274.0,1247.5,1251.0,230332
2017-09-06,1256.6,1257.0,1215.9,1218.95,318639
2017-09-07,1228.0,1245.0,1222.1,1230.0,277348
2017-09-08,1227.45,1242.8,1215.0,1217.8,236366
2017-09-11,1223.7,1234.35,1212.7,1216.75,236769
2017-09-12,1225.0,1226.1,1196.05,1202.9,263182
2017-09-13,1203.05,1220.85,1191.05,1200.0,536758
2017-09-14,1191.5,1191.5,1178.0,1180.2,493784
2017-09-15,1177.7,1197.8,1167.9,1175.0,848992
2017-09-18,1195.8,1195.8,1162.0,1167.7,753945
2017-09-19,1170.95,1170.95,1135.0,1149.0,635244
2017-09-20,1156.0,1157.05,1129.05,1134.0,1129819
2017-09-21,1131.5,1153.9,1130.1,1132.2,414010
2017-09-22,1131.0,1136.0,1106.0,1118.0,868849
2017-09-25,1112.15,1112.8,1022.55,1046.0,2822995
2017-09-26,1044.0,1053.5,1028.1,1040.5,1300254
2017-09-27,1043.05,1064.7,1043.05,1060.85,962028
2017-09-28,1060.8,1094.0,1043.55,1087.0,2142674
2017-09-29,1087.0,1104.9,1067.95,1094.55,940792
2017-10-03,1094.6,1109.7,1076.4,1090.0,505208
2017-10-04,1091.0,1107.0,1085.4,1096.0,510569
2017-10-05,1096.0,1116.45,1091.0,1101.0,277506
2017-10-06,1107.7,1113.85,1098.35,1107.5,247623
2017-10-09,1107.3,1119.9,1098.55,1103.0,389489
2017-10-10,1108.0,1128.9,1100.0,1120.0,709374
2017-10-11,1129.95,1142.0,1099.45,1105.25,826228
2017-10-12,1120.0,1138.45,1107.9,1131.95,206527
2017-10-13,1132.95,1146.0,1121.15,1127.5,275372
2017-10-16,1136.8,1136.8,1116.0,1127.7,275014
2017-10-17,1128.4,1128.4,1105.95,1109.55,351212
2017-10-18,1107.25,1161.85,1100.25,1149.15,21788843741
2017-10-23,1151.55,1172.65,1148.1,1159.6,20004487854
2017-10-24,1161.0,1176.3,1151.0,1171.0,565874
2017-10-25,1168.0,1178.95,1154.15,1165.25,567172
2017-10-26,1166.25,1182.9,1154.65,1170.0,389370
2017-10-27,1176.95,1214.45,1176.95,1200.0,709216
2017-10-30,1198.95,1231.8,1198.95,1229.7,947019
2017-10-31,1239.15,1252.0,1211.05,1248.0,1485070
2017-11-01,1294.0,1297.8,1226.0,1241.0,2962588
2017-11-02,1234.5,1263.2,1235.25,1248.95,474291
2017-11-03,1247.95,1266.75,1240.45,1255.6,662104
2017-11-06,1249.3,1260.1,1239.9,1240.7,499676
2017-11-07,1244.0,1241.45,1202.0,1206.4,412386
2017-11-08,1196.75,1213.8,1153.8,1183.0,816326
2017-11-09,1180.85,1211.0,1168.05,1203.0,502064
2017-11-10,1203.0,1220.4,1166.3,1180.0,505264
2017-11-13,1189.25,1189.1,1165.0,1166.8,322505
2017-11-14,1175.0,1183.6,1154.85,1171.0,185231
2017-11-15,1178.0,1208.0,1145.95,1167.0,702918
2017-11-16,1177.95,1177.75,1155.1,1166.45,186381
2017-11-17,1177.6,1182.6,1158.2,1168.2,424488
2017-11-20,1178.2,1178.2,1163.0,1170.0,202462
2017-11-21,1174.8,1184.75,1152.95,1165.0,173845
2017-11-22,1174.0,1178.0,1159.2,1167.6,123614
2017-11-23,1156.0,1177.7,1156.0,1166.65,249492
2017-11-24,1175.0,1188.95,1164.8,1182.5,237397
2017-11-27,1180.1,1180.45,1163.95,1166.45,137895
2017-11-28,1170.0,1175.55,1158.4,1162.5,173759
2017-11-29,1169.7,1170.0,1150.2,1151.0,177572
2017-11-30,1159.9,1159.9,1116.3,1124.6,529079
2017-12-01,1122.1,1154.0,1125.9,1132.0,398899
2017-12-04,1143.0,1148.1,1124.0,1142.5,352626
2017-12-05,1141.0,1162.0,1134.0,1158.0,258242
2017-12-06,1160.0,1165.45,1131.6,1135.5,264302
2017-12-07,1145.0,1152.45,1120.0,1126.0,502395
2017-12-08,1127.0,1197.0,1126.7,1183.5,755077
2017-12-11,1187.95,1199.0,1174.0,1192.75,358864
2017-12-12,1192.75,1190.95,1159.05,1171.2,688869
2017-12-13,1153.05,1157.3,1134.0,1135.0,604920
2017-12-14,1140.0,1145.45,1129.05,1139.0,633523
2017-12-15,1137.0,1148.95,1125.3,1135.25,579263
2017-12-18,1130.0,1149.5,1115.35,1138.55,565034
2017-12-19,1141.0,1164.5,1141.0,1157.9,570900
2017-12-20,1159.9,1172.9,1153.15,1170.0,708410
2017-12-21,1170.1,1173.9,1135.65,1141.4,458554
2017-12-22,1144.25,1185.95,1144.0,1181.95,857471
2017-12-26,1181.0,1211.0,1178.0,1203.4,1463998
2017-12-27,1202.0,1228.9,1187.0,1214.0,1222107
2017-12-28,1219.0,1223.55,1195.0,1206.55,509565
2017-12-29,1205.0,1222.0,1202.3,1202.55,356490
2018-01-01,1205.95,1219.4,1196.8,1199.9,286432
2018-01-02,1209.0,1209.5,1178.05,1208.0,563642
2018-01-03,1196.05,1211.2,1196.3,1210.0,401775
2018-01-04,1209.95,1219.7,1205.5,1210.5,330103
2018-01-05,1204.0,1213.55,1193.2,1197.0,267285
2018-01-08,1198.95,1228.5,1193.2,1222.9,547026
2018-01-09,1225.0,1235.45,1216.2,1227.35,310263
2018-01-10,1240.55,1255.0,1228.95,1236.45,1268915
2018-01-11,1237.0,1249.6,1229.5,1230.0,256262
2018-01-12,1231.0,1242.7,1219.0,1232.0,261402
2018-01-15,1240.0,1248.0,1216.1,1224.85,229946
2018-01-16,1224.3,1229.95,1176.0,1181.25,561074
2018-01-17,1180.0,1208.8,1178.5,1198.0,314277
2018-01-18,1204.75,1205.0,1176.9,1191.35,203782
2018-01-19,1190.9,1215.0,1182.0,1209.5,209761
2018-01-22,1210.6,1210.0,1188.15,1193.0,281515
2018-01-23,1200.9,1245.0,1188.85,1192.2,1175130
2018-01-24,1201.0,1264.5,1196.95,1260.0,1197506
2018-01-25,1279.0,1277.65,1226.35,1234.5,2189527
2018-01-29,1235.0,1236.0,1195.0,1196.0,349114
2018-01-30,1201.0,1226.25,1200.4,1208.2,780224
2018-01-31,1213.0,1225.0,1203.25,1212.3,393106
2018-02-01,1220.0,1233.9,1197.8,1216.85,544216
2018-02-02,1210.0,1209.95,1155.0,1166.0,894497
2018-02-05,1159.3,1208.4,1149.95,1192.0,421742
2018-02-06,1155.0,1211.0,1145.05,1198.75,451126
2018-02-07,1214.45,1221.0,1192.05,1213.0,408958
2018-02-08,1225.0,1283.0,1216.75,1251.5,1327532
2018-02-09,1242.0,1262.0,1230.95,1258.3,690392
2018-02-12,1238.15,1272.0,1237.5,1250.0,825042
2018-02-14,1242.0,1300.6,1241.5,1273.75,895381
2018-02-15,1280.0,1294.0,1255.0,1257.0,564997
2018-02-16,1261.5,1279.0,1255.05,1267.45,475980
2018-02-19,1278.0,1295.9,1261.0,1282.0,712237
2018-02-20,1294.0,1290.95,1261.25,1263.0,509418
2018-02-21,1274.0,1285.8,1261.05,1270.0,587650
2018-02-22,1260.0,1288.9,1255.6,1274.9,659299
2018-02-23,1275.05,1292.0,1265.3,1290.0,641107
2018-02-26,1298.0,1351.95,1295.0,1335.05,1793988
2018-02-27,1346.95,1357.15,1326.5,1337.9,819066
2018-02-28,1323.0,1350.0,1316.05,1339.9,686210
2018-03-01,1339.0,1344.9,1323.05,1333.05,358925
2018-03-05,1340.0,1344.0,1302.0,1308.95,1423185
2018-03-06,1316.0,1322.15,1275.0,1280.1,758296
2018-03-07,1278.0,1291.55,1261.9,1282.0,595604
2018-03-08,1275.1,1300.2,1224.25,1278.9,2633673
2018-03-09,1286.0,1301.5,1266.7,1289.5,365427
2018-03-12,1291.1,1319.25,1255.25,1278.0,695281
2018-03-13,1251.1,1310.0,1240.05,1302.0,1557593
2018-03-14,1297.0,1292.9,1231.0,1266.95,756619
2018-03-15,1261.2,1283.7,1254.55,1270.0,486963
2018-03-16,1265.0,1271.25,1242.2,1259.0,2558259
2018-03-19,1251.0,1261.5,1205.3,1215.15,851988
2018-03-20,1192.2,1248.5,1190.1,1241.45,1350684
2018-03-21,1239.95,1275.05,1231.2,1265.0,685912
2018-03-22,1257.0,1275.45,1250.0,1255.0,605270
2018-03-23,1237.0,1251.7,1230.0,1245.05,670019
2018-03-26,1243.0,1286.45,1243.0,1280.2,298899
2018-03-27,1290.3,1314.85,1285.25,1294.9,517283
2018-03-28,1293.0,1313.55,1272.45,1288.0,1569532
2018-04-02,1282.0,1336.0,1282.0,1325.0,523883
2018-04-03,1325.0,1378.0,1321.0,1366.4,860963
2018-04-04,1371.3,1417.95,1372.0,1394.0,1340675
2018-04-05,1402.0,1459.0,1398.0,1449.0,2148026
2018-04-06,1446.7,1470.6,1413.75,1458.0,923719
2018-04-09,1450.0,1509.0,1445.25,1498.0,1104112
2018-04-10,1492.05,1504.5,1473.2,1478.4,826806
2018-04-11,1475.0,1493.6,1428.05,1485.0,1202379
2018-04-12,1470.0,1507.0,1461.6,1489.0,1012208
2018-04-13,1493.0,1494.95,1453.05,1463.0,713665
2018-04-16,1471.1,1484.45,1448.05,1457.0,1147971
2018-04-17,1463.1,1495.0,1459.0,1493.0,664154
2018-04-18,1494.0,1497.5,1464.2,1470.8,600642
2018-04-19,1465.75,1492.0,1454.2,1485.25,1508114
2018-04-20,1485.0,1520.0,1473.05,1502.6,990583
2018-04-23,1502.0,1506.0,1476.05,1494.0,404443
2018-04-24,1480.0,1497.0,1463.75,1493.0,530090
2018-04-25,1481.0,1504.95,1481.0,1495.0,669152
2018-04-26,1494.95,1511.15,1472.4,1500.0,1078370
2018-04-27,1497.0,1498.75,1401.65,1404.0,1181633
2018-04-30,1360.0,1443.45,1357.25,1400.0,1829049
2018-05-02,1412.8,1412.8,1331.1,1348.4,2196015
2018-05-03,1285.0,1294.0,1077.55,1200.0,12985772
2018-05-04,1211.1,1217.3,1168.7,1177.9,1738421
2018-05-07,1182.25,1202.7,1140.1,1167.1,1829253
2018-05-08,1171.0,1203.7,1158.3,1200.25,1068575
2018-05-09,1180.0,1188.0,1161.0,1170.05,972023
2018-05-10,1163.25,1182.5,1140.8,1141.35,708333
2018-05-11,1151.0,1167.95,1138.2,1162.3,585097
2018-05-14,1174.7,1191.6,1150.0,1190.0,721898
2018-05-15,1187.65,1248.6,1187.0,1191.0,1685666
2018-05-16,1188.0,1209.95,1179.05,1203.35,820849
2018-05-17,1203.5,1206.2,1171.55,1172.35,659686
2018-05-18,1172.35,1194.7,1126.8,1138.65,985566
2018-05-21,1140.0,1153.3,1085.0,1143.0,993501
2018-05-22,1138.0,1154.9,1109.75,1142.0,1006870
2018-05-23,1137.6,1168.25,1114.85,1160.0,988837
2018-05-24,1144.0,1169.7,1142.2,1163.25,617458
2018-05-25,1174.0,1224.6,1171.5,1224.5,1485882
2018-05-28,1252.85,1276.45,1234.25,1243.0,1857297
2018-05-29,1247.0,1265.95,1210.05,1212.85,1137514
2018-05-30,1224.25,1249.6,1216.8,1237.15,1354912
2018-05-31,1244.95,1256.0,1194.3,1203.9,11013828
2018-06-01,1209.25,1225.35,1171.8,1177.5,901232
2018-06-04,1194.7,1216.2,1166.85,1176.55,1087386
2018-06-05,1179.95,1189.0,1155.1,1185.0,733427
2018-06-06,1174.0,1198.8,1161.25,1168.0,611442
2018-06-07,1174.0,1201.6,1165.6,1171.5,623228
2018-06-08,1171.0,1193.7,1165.0,1178.9,695191
2018-06-11,1190.0,1197.35,1180.25,1185.0,475770
2018-06-12,1190.0,1206.0,1188.45,1201.8,436191
2018-06-13,1197.0,1233.05,1197.0,1219.0,595741
