date,open,high,low,close,volume
2017-07-03,313.95,325.0,312.8,324.75,642167
2017-07-04,326.45,329.95,320.5,324.9,740556
2017-07-05,322.2,327.0,320.2,325.5,352958
2017-07-06,324.85,325.7,322.1,323.55,766893
2017-07-07,324.0,324.25,318.95,320.8,874954
2017-07-10,324.0,324.0,319.55,322.1,25769871883
2017-07-11,324.0,325.0,320.2,322.25,956330
2017-07-12,322.85,325.0,321.25,323.9,267515
2017-07-13,324.55,334.4,323.1,327.1,1096923
2017-07-14,329.3,333.3,326.1,326.6,828456
2017-07-17,327.15,329.9,324.1,328.0,429502
2017-07-18,327.2,330.6,324.15,329.55,790437
2017-07-19,332.05,333.5,329.5,329.9,501988
2017-07-20,331.6,331.85,322.0,326.0,446911
2017-07-21,326.5,330.8,324.45,328.3,1032911
2017-07-24,327.55,331.5,325.55,331.45,789053
2017-07-25,330.0,332.85,327.0,331.6,849083
2017-07-26,331.05,331.3,324.3,326.6,832713
2017-07-27,326.75,329.6,324.0,326.0,1996939
2017-07-28,325.2,333.0,324.6,333.0,881660
2017-07-31,334.05,335.4,327.7,333.05,837243
2017-08-01,334.8,334.8,317.0,326.55,5237932
2017-08-02,321.55,326.95,317.4,325.05,2174798
2017-08-03,324.55,329.2,319.75,326.15,3181336
2017-08-04,329.9,329.9,322.5,324.1,2127201
2017-08-07,326.8,335.45,325.3,334.2,3041978
2017-08-08,333.95,337.85,328.3,334.95,2831215
2017-08-09,333.0,333.0,324.3,325.0,2271934
2017-08-10,324.0,324.55,317.0,322.9,1678581
2017-08-11,320.55,324.0,315.35,319.85,1061779
2017-08-14,319.95,326.35,317.7,319.0,1143431
2017-08-16,318.45,320.0,312.4,317.2,1453528
2017-08-17,313.65,323.8,313.65,319.8,1553220
2017-08-18,318.55,321.9,317.0,321.0,927755
2017-08-21,319.85,320.2,315.7,318.8,943690
2017-08-22,318.0,322.4,314.75,315.45,1799922
2017-08-23,317.75,317.95,314.2,314.95,1265335
2017-08-24,315.9,317.6,315.0,315.75,695583
2017-08-28,317.6,320.0,316.35,318.25,1212956
2017-08-29,317.3,317.95,310.1,311.5,982387
2017-08-30,312.75,315.75,309.7,314.5,1028230
2017-08-31,314.3,317.2,311.2,315.6,2496024
2017-09-01,315.5,315.5,312.35,314.5,1354694
2017-09-04,314.0,315.55,311.15,314.8,1120018
2017-09-05,315.05,315.3,311.85,313.65,1052693
2017-09-06,313.05,320.8,313.05,319.1,1500069
2017-09-07,320.85,322.85,316.2,319.7,1112885
2017-09-08,320.35,326.35,320.1,325.0,1401340
2017-09-11,325.95,326.85,319.9,324.0,922002
2017-09-12,324.7,331.5,323.25,330.2,996299
2017-09-13,330.1,348.4,330.1,336.5,2707742
2017-09-14,341.1,342.0,330.05,331.5,1177346
2017-09-15,330.7,331.75,324.1,326.1,1392742
2017-09-18,327.15,333.45,324.85,331.05,737326
2017-09-19,331.8,336.1,331.0,332.0,992858
2017-09-20,333.0,333.0,329.05,330.55,597366
2017-09-21,329.85,330.55,320.4,323.5,1792218
2017-09-22,323.7,323.7,318.05,322.5,681560
2017-09-25,321.85,322.0,313.05,318.45,774702
2017-09-26,319.0,319.0,313.2,316.6,753043
2017-09-27,317.1,317.75,310.5,316.5,718839
2017-09-28,315.4,315.7,307.4,311.95,1519580
2017-09-29,311.45,315.4,309.7,310.15,751653
2017-10-03,312.0,314.15,307.5,307.75,691981
2017-10-04,308.6,312.8,308.3,312.8,490533
2017-10-05,311.8,315.45,311.0,313.25,310889
2017-10-06,314.0,316.25,311.0,314.5,783446
2017-10-09,315.85,318.65,313.0,313.4,460738
2017-10-10,313.4,317.7,311.25,316.0,846045
2017-10-11,318.0,318.0,312.7,313.7,576366
2017-10-12,313.75,320.65,312.5,318.95,965123
2017-10-13,320.95,323.35,316.0,317.0,800455
2017-10-16,317.0,320.05,313.25,319.8,773493
2017-10-17,319.0,322.6,316.75,322.55,613515
2017-10-18,322.55,322.55,314.55,316.5,11229747243
2017-10-23,314.4,319.9,314.4,317.5,7698379491
2017-10-24,318.5,318.55,312.0,312.4,613821
2017-10-25,314.6,317.6,312.1,317.0,660423
2017-10-26,316.9,317.6,312.3,313.3,2375857
2017-10-27,314.3,315.15,308.75,310.6,520490
2017-10-30,312.35,316.55,310.55,314.25,1229969
2017-10-31,315.0,316.4,309.6,315.35,1127593
2017-11-01,317.0,318.0,314.25,314.75,673466
2017-11-02,315.9,318.15,311.55,313.0,719610
2017-11-03,316.0,316.45,310.1,312.3,753232
2017-11-06,310.0,315.5,310.0,314.05,549536
2017-11-07,314.9,315.35,309.5,310.0,408189
2017-11-08,306.0,312.5,306.0,310.15,452368
2017-11-09,313.5,315.45,311.45,311.65,588017
2017-11-10,312.0,312.0,309.2,309.85,350742
2017-11-13,310.5,311.0,308.15,308.85,799002
2017-11-14,309.0,310.05,295.95,297.2,2128299
2017-11-15,297.2,297.2,288.25,291.5,1789964
2017-11-16,292.0,305.45,290.25,304.9,2086743
2017-11-17,306.0,309.35,304.25,306.3,1256354
2017-11-20,307.0,308.2,300.95,303.95,934874
2017-11-21,305.0,306.2,301.4,305.35,1082693
2017-11-22,305.9,306.2,300.65,302.65,818021
2017-11-23,302.0,306.6,300.05,305.1,859763
2017-11-24,306.45,310.3,305.45,309.5,664959
2017-11-27,310.0,312.35,307.35,312.15,687524
2017-11-28,312.9,313.15,308.45,310.8,825967
2017-11-29,312.0,311.85,308.9,310.95,415277
2017-11-30,310.0,310.55,305.0,308.75,1929933
2017-12-01,307.0,313.3,303.3,311.0,1001373
2017-12-04,314.0,313.95,305.5,313.9,554616
2017-12-05,310.5,312.7,308.3,309.35,814811
2017-12-06,310.95,310.95,304.8,306.5,380193
2017-12-07,306.1,310.1,306.0,309.05,723548
2017-12-08,310.05,313.25,310.05,312.25,1015152
2017-12-11,313.0,314.85,312.2,312.5,780596
2017-12-12,314.3,314.3,307.05,308.0,570484
2017-12-13,308.1,310.15,304.75,307.6,733869
2017-12-14,310.0,309.95,304.5,308.05,492533
2017-12-15,308.9,311.6,304.35,305.3,1257960
2017-12-18,306.0,309.05,293.05,308.75,717481
2017-12-19,307.9,314.1,307.9,313.5,601890
2017-12-20,313.2,321.65,313.2,320.65,1370009
2017-12-21,321.0,323.0,315.55,316.1,703455
2017-12-22,317.0,318.0,315.0,316.25,269383
2017-12-26,316.9,319.75,316.05,318.95,400850
2017-12-27,318.85,321.65,313.95,320.0,436683
2017-12-28,320.0,322.0,316.2,317.05,517330
2017-12-29,317.7,325.3,317.7,321.3,748570
2018-01-01,322.5,323.75,319.0,321.95,346007
2018-01-02,321.1,326.9,317.85,325.7,880356
2018-01-03,327.0,327.5,319.85,320.45,1158561
2018-01-04,320.2,324.0,320.8,322.0,1058338
2018-01-05,322.1,328.0,319.85,327.0,1390174
2018-01-08,328.0,328.0,322.15,323.0,1293222
2018-01-09,323.7,325.65,320.8,324.8,502983
2018-01-10,324.0,326.3,319.5,320.6,693899
2018-01-11,320.0,321.0,314.3,316.0,1243205
2018-01-12,317.75,318.5,309.6,312.85,1619198
2018-01-15,313.15,315.75,310.35,311.3,611823
2018-01-16,312.4,315.3,311.5,313.4,607465
2018-01-17,313.45,314.25,305.5,311.5,1509821
2018-01-18,315.6,315.6,307.55,311.0,952254
2018-01-19,314.0,315.5,310.5,314.2,487369
2018-01-22,314.1,318.4,312.5,316.5,466844
2018-01-23,318.1,319.5,312.75,313.0,598823
2018-01-24,312.75,315.2,311.0,311.7,531104
2018-01-25,312.65,312.7,304.65,308.95,1701262
2018-01-29,308.25,312.0,306.1,310.7,780337
2018-01-30,310.7,316.8,308.5,314.05,1181801
2018-01-31,314.9,314.95,307.65,308.6,721124
2018-02-01,307.75,312.5,306.35,310.0,851491
2018-02-02,308.1,311.5,302.35,304.5,1146777
2018-02-05,300.0,304.55,294.65,295.85,1281417
2018-02-06,289.0,300.45,284.65,299.5,2138826
2018-02-07,304.0,304.0,299.35,300.0,1608375
2018-02-08,301.7,304.0,299.3,299.95,1187411
2018-02-09,298.1,299.5,294.15,297.0,620700
2018-02-12,306.7,311.55,303.3,309.6,3510068
2018-02-14,315.0,317.4,313.05,313.5,2262935
2018-02-15,316.7,319.0,307.75,311.5,1554805
2018-02-16,311.4,310.75,303.15,307.7,877907
2018-02-19,307.55,309.1,303.15,305.9,560752
2018-02-20,306.9,310.55,305.4,307.0,554073
2018-02-21,311.0,309.95,304.15,306.9,478079
2018-02-22,306.4,307.0,301.2,301.75,580782
2018-02-23,303.0,307.2,300.3,307.0,899579
2018-02-26,307.35,312.45,304.0,310.0,2910572
2018-02-27,307.95,314.85,306.6,312.7,956712
2018-02-28,308.9,314.5,307.05,308.5,1016981
