date,open,high,low,close,volume
2017-07-03,480.41,493.11,480.41,487.2,80191
2017-07-04,487.2,508.48,487.2,507.4,230661
2017-07-05,512.61,520.8,509.0,520.41,221263
2017-07-06,521.32,525.83,509.0,511.0,137545
2017-07-07,509.93,530.29,508.32,525.2,187359
2017-07-10,525.2,529.6,500.0,528.8,4294983629
2017-07-11,532.01,535.98,523.6,527.85,103732
2017-07-12,535.79,537.0,530.84,535.07,93534
2017-07-13,536.61,536.97,527.63,532.0,67846
2017-07-14,531.0,540.17,531.0,534.0,69493
2017-07-17,534.54,553.98,534.0,551.4,175655
2017-07-18,547.03,550.79,543.84,546.6,63366
2017-07-19,547.78,554.8,544.44,546.0,60448
2017-07-20,547.0,550.96,537.34,537.34,46215
2017-07-21,540.88,547.98,530.99,546.5,85210
2017-07-24,541.0,544.89,523.8,530.42,103681
2017-07-25,526.6,526.74,513.65,519.4,169350
2017-07-26,519.93,520.19,513.41,514.0,63507
2017-07-27,517.52,522.3,506.0,512.0,68224
2017-07-28,510.01,519.6,508.06,512.0,84938
2017-07-31,514.56,515.59,505.0,506.72,50589
2017-08-01,508.0,530.2,505.0,530.0,126410
2017-08-02,530.8,531.66,518.0,518.6,98046
2017-08-03,520.4,531.58,519.32,522.8,87048
2017-08-04,522.4,529.71,515.7,519.4,61665
2017-08-07,519.79,524.8,512.4,513.4,54203
2017-08-08,515.96,520.39,508.0,511.0,49931
2017-08-09,508.6,513.93,505.0,505.0,42959
2017-08-10,507.6,509.68,489.6,498.8,99491
2017-08-11,493.0,502.6,483.01,483.6,113000
2017-08-14,490.8,500.37,485.52,497.99,55197
2017-08-16,498.6,511.39,496.92,511.0,42889
2017-08-17,510.04,526.95,508.8,523.0,103444
2017-08-18,518.6,523.96,513.01,520.93,43135
2017-08-21,521.99,528.92,502.66,502.66,44633
2017-08-22,507.79,510.36,496.4,500.4,27291
2017-08-23,501.6,501.94,490.41,493.6,38454
2017-08-24,506.1,521.4,506.1,513.05,166893
2017-08-28,515.82,519.38,510.46,513.6,66108
2017-08-29,511.6,515.7,505.04,510.8,51806
2017-08-30,515.02,516.8,509.22,509.26,32160
2017-08-31,510.23,515.0,506.84,507.98,99716
2017-09-01,510.02,513.09,508.24,508.76,33383
2017-09-04,509.2,530.95,509.2,514.0,144866
2017-09-05,520.0,520.98,510.46,512.2,49736
2017-09-06,510.0,512.0,505.65,507.6,52396
2017-09-07,508.07,520.99,505.09,507.0,37134
2017-09-08,510.51,511.72,504.22,505.64,49702
2017-09-11,512.0,522.49,512.0,517.2,82842
2017-09-12,519.15,525.0,511.65,524.0,33906
2017-09-13,521.0,539.98,521.0,532.0,104533
2017-09-14,535.74,538.46,524.2,525.0,40129
2017-09-15,524.08,534.99,522.41,529.0,74955
2017-09-18,531.16,540.0,527.7,533.4,45959
2017-09-19,534.56,544.59,532.71,534.99,56105
2017-09-20,537.6,537.9,523.74,523.74,30101
2017-09-21,525.99,526.68,511.0,511.98,39251
2017-09-22,508.0,512.16,491.28,494.66,54530
2017-09-25,494.23,499.42,484.0,489.8,69644
2017-09-26,490.79,496.39,483.57,492.01,42136
2017-09-27,497.0,497.0,480.0,481.2,42905
2017-09-28,482.01,484.97,478.03,482.0,44717
2017-09-29,482.0,489.58,478.0,480.0,53235
2017-10-03,486.35,493.48,482.32,491.2,48924
2017-10-04,490.45,494.0,478.12,480.71,53830
2017-10-05,478.0,483.97,477.6,478.6,28966
2017-10-06,480.02,482.09,471.0,471.53,74647
2017-10-09,474.0,474.6,468.01,470.4,38873
2017-10-10,474.51,480.39,470.82,474.68,49173
2017-10-11,477.87,483.19,476.0,482.2,57977
2017-10-12,483.6,495.6,482.99,488.06,109320
2017-10-13,490.21,492.92,483.81,485.2,32851
2017-10-16,491.05,491.05,480.56,484.8,38409
2017-10-17,484.8,500.6,482.96,499.51,81211
2017-10-18,500.52,507.6,498.08,500.63,4041602273
2017-10-23,490.8,502.82,490.8,500.3,3281918611
2017-10-24,501.98,508.57,496.24,501.79,62185
2017-10-25,506.01,512.69,495.22,507.47,84104
2017-10-26,507.47,519.93,500.0,519.38,125715
2017-10-27,548.79,635.0,542.21,607.35,1200559
2017-10-30,612.99,624.79,594.36,614.22,374424
2017-10-31,615.22,618.4,605.56,610.4,172877
2017-11-01,611.0,618.8,608.0,611.0,79154
2017-11-02,611.15,631.62,609.93,621.07,94552
2017-11-03,624.42,624.88,617.45,620.0,58037
2017-11-06,620.6,636.08,614.2,620.0,85531
2017-11-07,622.96,631.2,604.21,610.06,82746
2017-11-08,613.97,621.6,607.02,614.2,62727
2017-11-09,617.8,627.57,601.27,622.4,83431
2017-11-10,622.4,623.21,602.02,605.58,79343
2017-11-13,608.96,610.6,596.06,596.87,48375
2017-11-14,598.0,608.99,595.02,603.69,96762
2017-11-15,598.0,606.6,594.16,595.53,45502
2017-11-16,596.04,626.79,596.61,625.0,132577
2017-11-17,632.0,645.0,626.8,638.2,114626
2017-11-20,637.4,652.6,634.01,650.6,72275
2017-11-21,653.8,654.0,638.24,638.62,58325
2017-11-22,647.2,665.82,640.21,659.53,136751
2017-11-23,661.8,661.8,646.0,653.2,74872
2017-11-24,655.0,659.13,648.5,650.86,44862
2017-11-27,650.0,666.44,650.0,661.58,122167
2017-11-28,663.08,679.17,657.6,675.0,130518
2017-11-29,677.7,680.64,669.47,671.0,77841
2017-11-30,671.8,672.59,655.12,659.6,109214
2017-12-01,661.6,666.7,636.0,636.41,77531
2017-12-04,644.8,668.89,634.35,668.89,78226
2017-12-05,668.91,684.15,652.24,679.9,88611
2017-12-06,679.2,686.15,667.63,670.06,108257
2017-12-07,670.4,680.99,664.68,672.6,89479
2017-12-08,678.8,693.0,674.01,682.42,111871
2017-12-11,687.8,693.98,680.3,692.6,80486
2017-12-12,691.2,694.39,675.45,678.43,60732
2017-12-13,680.43,686.6,667.99,669.82,54818
2017-12-14,674.99,678.0,661.66,673.56,61974
2017-12-15,678.0,683.86,669.14,671.2,68636
2017-12-18,669.4,685.82,656.34,682.98,54597
2017-12-19,685.8,698.88,684.42,696.0,120074
2017-12-20,697.8,705.8,685.9,705.4,84127
2017-12-21,705.41,713.61,701.0,706.58,80290
2017-12-22,710.6,717.8,706.02,709.05,80196
2017-12-26,718.0,718.0,708.6,713.4,55912
2017-12-27,717.0,723.96,710.6,716.8,66049
2017-12-28,721.0,730.4,718.4,727.6,216472
2017-12-29,730.8,737.6,726.16,734.62,51609
2018-01-01,738.4,738.4,726.83,730.0,35859
2018-01-02,732.8,735.18,709.58,718.0,78410
2018-01-03,726.0,725.0,714.23,725.0,38929
2018-01-04,726.8,740.0,720.84,739.79,51398
2018-01-05,747.8,801.03,743.64,790.21,244685
2018-01-08,796.6,795.0,779.25,781.8,65235
2018-01-09,788.63,788.52,765.8,768.0,71687
