date,open,high,low,close,volume
2017-07-03,455.55,464.7,451.6,456.05,436847
2017-07-04,459.95,462.0,448.4,449.75,293755
2017-07-05,454.0,458.0,447.65,452.1,301159
2017-07-06,454.0,458.0,445.4,445.95,545688
2017-07-07,448.8,452.85,443.85,448.0,426652
2017-07-10,448.9,454.0,445.0,450.5,17179934476
2017-07-11,450.5,452.65,440.65,444.0,323222
2017-07-12,447.5,469.4,444.1,467.95,1064124
2017-07-13,472.9,474.9,463.35,469.8,954098
2017-07-14,470.95,478.85,465.95,472.4,990585
2017-07-17,472.0,473.9,464.8,469.0,324127
2017-07-18,464.1,476.1,460.1,468.0,488231
2017-07-19,468.5,475.3,465.1,468.25,894004
2017-07-20,471.5,472.65,458.55,460.1,539658
2017-07-21,460.9,464.8,447.4,451.7,451981
2017-07-24,453.5,468.9,451.45,461.1,791999
2017-07-25,462.05,469.8,456.0,466.1,460455
2017-07-26,468.8,482.95,467.05,476.15,1685803
2017-07-27,481.9,481.9,462.65,467.0,946884
2017-07-28,465.0,474.75,462.3,467.15,567089
2017-07-31,468.0,480.0,467.8,474.6,888466
2017-08-01,474.8,476.4,469.05,470.15,289106
2017-08-02,471.5,472.85,463.0,463.95,878486
2017-08-03,465.0,466.75,444.85,452.6,599210
2017-08-04,456.85,464.85,452.35,460.9,363166
2017-08-07,464.0,479.1,463.0,477.9,644270
2017-08-08,480.95,488.8,462.45,480.8,2440140
2017-08-09,484.2,484.2,451.75,457.3,1057617
2017-08-10,455.05,456.3,414.0,442.65,1498983
2017-08-11,430.85,452.95,420.05,440.0,1005415
2017-08-14,445.0,456.95,445.0,454.5,376602
2017-08-16,457.0,457.0,445.3,452.5,400006
2017-08-17,457.5,465.25,454.5,465.0,519987
2017-08-18,461.6,467.0,451.6,462.3,504315
2017-08-21,466.25,467.8,451.1,452.95,340787
2017-08-22,457.05,461.25,440.0,445.3,367366
2017-08-23,449.5,451.3,441.9,445.0,453545
2017-08-24,445.6,449.95,441.15,441.85,283065
2017-08-28,444.95,457.0,442.3,452.5,716610
2017-08-29,447.25,457.15,447.25,451.75,428224
2017-08-30,454.95,467.45,454.95,463.05,425320
2017-08-31,463.2,479.65,461.6,478.4,544134
2017-09-01,476.8,481.45,468.6,475.25,530072
2017-09-04,474.8,474.8,456.25,463.7,511461
2017-09-05,462.9,473.8,460.65,466.4,588205
2017-09-06,463.0,511.0,460.35,505.75,2610853
2017-09-07,507.9,516.9,490.0,494.0,1636178
2017-09-08,496.5,510.45,486.55,490.3,1472716
2017-09-11,492.5,511.9,492.5,501.95,1112930
2017-09-12,503.9,525.5,499.45,517.8,2143141
2017-09-13,522.85,525.5,505.15,507.15,1042149
2017-09-14,510.7,516.05,503.0,508.2,481467
2017-09-15,506.5,510.8,499.05,503.45,949261
2017-09-18,506.8,518.85,506.0,508.05,1049882
2017-09-19,513.8,515.35,508.0,510.5,733833
2017-09-20,514.15,516.65,504.9,509.3,545196
2017-09-21,513.7,517.0,490.95,502.9,717484
