date,open,high,low,close,volume
2017-07-03,813.0,825.05,799.25,818.0,406451
2017-07-04,818.2,827.55,817.6,821.2,288763
2017-07-05,820.0,831.8,818.8,830.9,296406
2017-07-06,832.0,834.95,825.35,833.0,453305
2017-07-07,829.9,834.0,810.05,811.4,577883
2017-07-10,812.0,831.75,810.05,829.95,21475014879
2017-07-11,832.0,832.0,811.2,815.95,359790
2017-07-12,818.0,824.65,813.0,816.9,193885
2017-07-13,821.15,831.0,819.7,822.5,346124
2017-07-14,824.5,827.35,805.0,806.4,548713
2017-07-17,806.8,811.7,803.0,807.9,571743
2017-07-18,808.25,820.0,806.6,814.85,741747
2017-07-19,816.3,818.0,795.65,797.8,977410
2017-07-20,801.0,801.2,791.0,799.9,603915
2017-07-21,801.1,805.75,792.5,805.0,621575
2017-07-24,806.0,816.5,802.45,814.8,296093
2017-07-25,817.25,831.0,811.0,827.3,748549
2017-07-26,811.3,812.0,797.45,807.5,970804
2017-07-27,808.1,810.25,785.35,788.0,878661
2017-07-28,791.95,791.95,781.05,788.0,282318
2017-07-31,795.0,801.0,786.5,795.0,591105
2017-08-01,790.0,798.45,788.9,797.15,452860
2017-08-02,796.95,802.15,790.0,802.15,319230
2017-08-03,798.85,808.55,792.75,805.15,313072
2017-08-04,806.0,810.75,798.6,804.5,314382
2017-08-07,807.95,815.05,805.45,815.05,251119
2017-08-08,813.95,814.0,797.15,812.0,316590
2017-08-09,807.0,807.0,790.0,795.0,401015
2017-08-10,795.0,802.2,776.0,800.0,554391
2017-08-11,784.25,793.0,775.6,790.0,326497
2017-08-14,797.0,820.0,791.0,813.3,497272
2017-08-16,815.0,824.0,808.9,819.0,302182
2017-08-17,819.8,825.85,813.15,813.15,263543
2017-08-18,816.0,824.0,810.0,820.5,235416
2017-08-21,823.45,827.95,804.0,816.0,554353
2017-08-22,817.0,825.0,808.1,817.0,334831
2017-08-23,814.0,824.0,806.0,815.0,396871
2017-08-24,819.3,832.5,812.05,828.9,343674
2017-08-28,834.7,843.7,831.25,834.55,590403
2017-08-29,836.15,839.7,821.0,826.2,295534
2017-08-30,828.0,836.0,827.15,833.95,227649
2017-08-31,830.05,840.0,821.0,839.55,567076
2017-09-01,839.95,849.4,836.1,842.05,612533
2017-09-04,847.35,849.5,829.0,833.15,315246
2017-09-05,841.3,846.95,832.35,841.95,259207
2017-09-06,840.0,846.0,836.2,840.0,288125
2017-09-07,840.0,849.35,840.0,841.5,287261
2017-09-08,844.55,854.5,840.2,845.35,378443
2017-09-11,850.0,853.5,840.1,845.0,301614
2017-09-12,846.9,859.0,846.65,850.0,477099
2017-09-13,851.0,851.75,829.1,830.6,305473
2017-09-14,833.0,842.4,830.0,837.95,205681
2017-09-15,835.0,842.8,833.0,838.0,199242
2017-09-18,840.95,844.45,835.3,837.3,166055
2017-09-19,840.5,866.0,833.1,866.0,572052
2017-09-20,867.55,868.45,849.1,850.7,348180
2017-09-21,852.0,855.0,837.5,839.95,213181
2017-09-22,839.45,839.45,811.75,813.0,192930
2017-09-25,813.95,814.45,796.0,802.7,243108
2017-09-26,804.8,804.8,785.2,792.5,384752
2017-09-27,792.25,797.2,775.3,780.5,256431
2017-09-28,780.95,786.7,775.0,776.25,387494
2017-09-29,779.75,808.0,778.3,795.55,346895
2017-10-03,804.85,811.25,786.0,787.3,252732
2017-10-04,786.3,801.25,783.0,795.9,274960
2017-10-05,795.55,806.8,790.6,794.0,145675
2017-10-06,798.65,806.7,794.55,799.0,128509
2017-10-09,801.05,808.0,795.3,804.55,179531
2017-10-10,806.0,806.9,795.0,805.0,264613
2017-10-11,801.95,813.0,797.0,805.05,472232
