date,open,high,low,close,volume
2017-07-03,137.5,139.95,136.6,139.6,4527470
2017-07-04,139.4,140.35,135.8,135.85,4789153
2017-07-05,136.4,137.6,135.25,136.6,6415036
2017-07-06,140.25,144.2,139.85,143.5,16788432
2017-07-07,143.3,144.8,142.5,144.0,6476439
2017-07-10,148.0,154.25,144.0,153.1,30071370740
2017-07-11,154.5,155.0,148.7,149.4,10941086
2017-07-12,149.9,152.9,148.45,152.7,7254714
2017-07-13,154.25,154.85,151.0,152.25,5331947
2017-07-14,151.8,154.9,150.1,153.5,7799980
2017-07-17,153.2,154.0,151.55,153.2,7379938
2017-07-18,152.9,158.95,151.9,155.8,12379845
2017-07-19,156.8,158.85,155.65,158.6,6028536
2017-07-20,157.0,158.7,155.9,157.5,5422631
2017-07-21,157.9,159.7,156.0,158.3,6918296
2017-07-24,158.5,163.4,158.15,161.4,8429878
2017-07-25,162.0,164.25,161.35,162.9,6855397
2017-07-26,162.5,163.7,158.1,158.55,8857956
2017-07-27,160.0,160.9,153.5,155.3,11112932
2017-07-28,154.0,159.4,153.0,159.2,7737974
2017-07-31,154.8,163.4,154.8,163.2,13127967
2017-08-01,163.85,164.2,157.0,157.3,11378178
2017-08-02,158.7,162.05,157.4,157.95,31537038
2017-08-03,157.75,157.75,148.2,148.8,19674864
2017-08-04,148.9,152.35,148.05,151.25,12873115
2017-08-07,151.3,153.0,151.05,152.0,5360528
2017-08-08,152.8,152.8,145.5,148.85,11520227
2017-08-09,148.35,150.25,146.6,147.75,7469644
2017-08-10,147.15,148.3,140.2,144.2,8494777
2017-08-11,138.75,144.55,137.55,140.05,14028938
2017-08-14,141.65,143.8,140.4,143.35,5275580
2017-08-16,143.75,149.1,140.8,148.8,7994191
2017-08-17,148.25,150.1,145.85,146.35,8365124
2017-08-18,144.05,144.25,140.85,141.8,9170744
2017-08-21,143.2,143.9,136.8,137.6,9027299
2017-08-22,138.85,139.5,135.65,138.2,9222870
2017-08-23,139.2,143.1,138.35,142.7,9471676
2017-08-24,141.9,145.5,140.25,143.9,8716659
2017-08-28,144.65,145.95,143.95,144.9,5347651
2017-08-29,143.7,145.4,140.3,141.0,6947570
2017-08-30,142.3,143.35,141.35,143.0,4276735
2017-08-31,142.2,145.0,141.5,143.8,8948629
2017-09-01,144.0,145.75,143.9,144.3,5308593
2017-09-04,144.55,145.4,141.65,142.5,4505931
2017-09-05,143.3,143.9,142.4,143.55,3183611
2017-09-06,142.25,142.6,138.4,138.7,12300588
2017-09-07,140.2,140.2,137.6,139.0,8808360
2017-09-08,139.45,139.8,137.1,137.8,4802109
2017-09-11,138.75,139.5,137.75,138.3,3580723
2017-09-12,138.75,142.0,138.0,141.7,7345662
2017-09-13,141.95,144.8,141.2,143.35,6507519
2017-09-14,143.15,145.8,143.05,145.25,6975598
2017-09-15,144.1,146.4,143.6,144.05,5227961
2017-09-18,145.65,147.3,144.5,144.6,4066543
2017-09-19,145.3,145.3,141.9,143.75,3863744
2017-09-20,144.2,146.45,142.8,144.85,9502555
2017-09-21,144.25,145.7,141.35,141.8,4941454
2017-09-22,141.15,141.2,137.15,137.6,4317336
2017-09-25,137.25,138.3,133.4,137.5,4989993
2017-09-26,137.4,138.25,135.85,136.4,4139840
2017-09-27,137.6,138.2,132.15,132.7,5037279
2017-09-28,132.85,133.9,130.25,130.75,6439723
2017-09-29,131.75,132.75,128.45,129.5,5667388
2017-10-03,130.95,130.95,128.25,129.55,6842613
2017-10-04,129.75,132.2,129.05,130.35,4804219
2017-10-05,130.1,133.3,130.1,132.7,5409605
2017-10-06,133.0,137.7,133.0,137.3,7496818
2017-10-09,136.4,137.8,135.2,137.2,4249216
2017-10-10,137.4,137.7,136.2,137.0,2364737
2017-10-11,137.75,138.8,130.8,131.0,5742479
2017-10-12,132.2,134.3,129.95,133.95,5355578
2017-10-13,133.75,136.75,132.45,134.9,5475081
2017-10-16,135.45,136.35,132.0,134.15,4412458
2017-10-17,133.8,136.8,133.4,134.45,4205548
2017-10-18,134.45,134.45,130.4,130.9,22819244516
2017-10-23,129.3,131.4,129.05,131.0,8431531632
2017-10-24,131.8,141.65,131.3,137.7,13674451
2017-10-25,158.9,206.5,158.9,205.9,166290460
2017-10-26,211.0,230.9,201.2,217.9,124338106
2017-10-27,212.0,212.05,195.5,197.2,39069118
2017-10-30,198.0,212.85,194.85,203.25,46082180
2017-10-31,204.3,206.7,196.65,197.5,26985205
2017-11-01,202.0,206.25,198.25,199.0,28081424
2017-11-02,199.05,203.5,196.1,197.55,20630932
2017-11-03,199.25,212.0,199.2,207.3,96319620
2017-11-06,206.8,207.35,199.75,201.9,21484400
2017-11-07,204.8,204.65,189.0,191.25,27739767
2017-11-08,192.85,194.75,186.05,191.5,22788607
2017-11-09,191.4,196.55,190.55,192.75,21150726
2017-11-10,190.0,196.0,187.2,189.95,26308390
2017-11-13,192.0,192.4,186.5,187.05,13712506
2017-11-14,188.3,189.9,183.25,184.4,14437862
2017-11-15,184.9,187.1,179.15,181.5,15459794
2017-11-16,182.4,191.0,180.1,190.0,22125301
2017-11-17,198.0,200.55,189.8,190.7,28074313
2017-11-20,190.7,190.3,186.55,186.55,13223411
2017-11-21,188.95,191.65,185.35,185.65,13778369
2017-11-22,187.0,192.9,183.5,188.8,23915861
2017-11-23,189.3,189.6,185.0,186.5,14217412
2017-11-24,187.0,189.2,185.1,185.95,11706882
2017-11-27,184.95,186.6,183.0,185.2,10509640
2017-11-28,186.7,187.8,182.8,183.0,13695681
2017-11-29,184.1,184.7,180.6,181.35,9778086
2017-11-30,180.9,180.65,175.35,176.85,17195387
2017-12-01,177.1,177.95,170.15,170.3,13128109
2017-12-04,171.9,174.25,169.55,174.25,12769648
2017-12-05,172.4,177.75,170.65,176.1,17471238
2017-12-06,175.4,175.7,171.1,171.4,12346500
2017-12-07,172.1,175.75,172.05,173.75,11314244
2017-12-08,174.35,175.3,172.0,172.4,8739279
2017-12-11,174.05,175.3,172.15,172.45,7911583
2017-12-12,172.9,176.15,170.3,173.1,16825040
2017-12-13,173.0,173.7,166.55,167.5,11511793
2017-12-14,169.0,170.55,166.15,169.5,12641998
2017-12-15,172.1,173.95,170.8,171.85,8732217
2017-12-18,168.0,180.55,162.7,179.9,27626361
2017-12-19,180.85,181.0,176.4,178.65,13532150
2017-12-20,171.9,172.6,169.7,170.55,63364824
2017-12-21,171.0,174.9,170.5,173.1,18030943
2017-12-22,173.9,177.15,172.15,175.6,22548141
2017-12-26,175.9,175.85,172.55,174.45,9978303
2017-12-27,174.2,177.6,172.7,173.0,14726954
2017-12-28,173.25,174.5,170.0,170.25,18930708
2017-12-29,171.8,173.65,170.65,171.55,9743292
2018-01-01,172.95,173.4,168.9,169.65,7838756
2018-01-02,170.5,170.85,165.4,166.05,13712954
2018-01-03,168.0,169.3,166.25,166.5,8503456
2018-01-04,167.35,179.0,165.4,178.35,31580677
2018-01-05,180.4,180.35,175.45,175.9,15391874
2018-01-08,177.05,178.15,175.1,175.5,7283304
