date,open,high,low,close,volume
2017-07-03,80.35,81.1,79.95,80.55,5296295
2017-07-04,80.7,81.7,80.7,81.55,2408531
2017-07-05,81.8,82.3,81.6,81.7,2217835
2017-07-06,82.35,82.45,81.85,81.95,1216641
2017-07-07,82.05,83.0,81.45,81.65,3223655
2017-07-10,89.0,89.0,81.65,83.4,25771200600
2017-07-11,84.1,84.2,82.75,83.0,4529907
2017-07-12,83.55,83.55,82.75,83.05,3274169
2017-07-13,83.5,83.9,82.9,83.2,1874547
2017-07-14,83.2,83.6,82.75,82.85,4105061
2017-07-17,83.1,84.1,83.0,83.4,5206049
2017-07-18,83.05,83.85,81.9,82.2,3269981
2017-07-19,82.4,83.25,81.9,83.0,3917534
2017-07-20,82.75,83.5,82.3,83.0,1365323
2017-07-21,83.2,83.6,82.5,83.3,2130121
2017-07-24,83.3,83.5,82.9,83.0,2109294
2017-07-25,83.25,83.4,82.65,82.95,7550414
2017-07-26,83.2,83.45,81.9,82.5,9527204
2017-07-27,82.6,83.15,81.85,82.1,2645222
2017-07-28,82.3,82.9,81.1,82.55,1677210
2017-07-31,81.95,82.7,81.1,82.0,2673212
2017-08-01,81.3,83.25,81.3,83.25,2348639
2017-08-02,82.8,82.9,82.1,82.3,864168
2017-08-03,82.45,83.4,82.2,82.45,2963115
2017-08-04,82.2,82.75,79.7,80.15,5295273
2017-08-07,80.45,80.9,79.85,80.0,3117555
2017-08-08,80.0,80.35,78.05,78.15,1831290
2017-08-09,78.0,78.25,77.15,77.95,2102759
2017-08-10,77.45,77.8,75.8,77.0,10797467
2017-08-11,76.35,77.1,75.85,76.6,4401547
2017-08-14,77.0,81.05,76.65,79.75,8109694
2017-08-16,81.3,83.45,81.3,82.0,11385626
2017-08-17,82.6,82.6,81.35,81.8,3761429
2017-08-18,80.8,81.35,80.05,80.4,2896460
2017-08-21,80.3,80.85,80.0,80.25,2741551
2017-08-22,81.05,81.5,79.65,80.1,2303282
2017-08-23,80.3,80.3,78.6,78.65,2053008
2017-08-24,79.7,80.8,78.8,79.05,7087872
2017-08-28,79.35,79.65,78.45,79.0,2112558
2017-08-29,78.3,78.4,76.8,77.0,4644415
2017-08-30,77.55,78.0,77.05,77.8,2199420
2017-08-31,77.7,79.55,77.55,79.25,5429414
2017-09-01,79.3,80.75,78.9,79.85,6996580
2017-09-04,79.85,80.15,78.0,78.5,1840148
2017-09-05,78.65,79.0,78.0,78.3,1493777
2017-09-06,78.2,78.65,77.85,78.05,4077007
2017-09-07,78.15,78.4,77.15,77.4,2540663
2017-09-08,77.6,78.3,76.75,76.95,1892247
2017-09-11,78.2,80.95,77.9,80.9,7783693
2017-09-12,81.4,81.8,80.7,80.8,5929262
2017-09-13,84.4,86.65,83.55,85.05,31292425
2017-09-14,85.15,87.3,84.75,85.05,15087480
2017-09-15,84.75,84.9,83.8,84.25,6455123
2017-09-18,84.9,85.25,83.35,83.6,3941392
2017-09-19,83.8,85.65,82.5,84.5,6963312
2017-09-20,85.9,86.15,83.75,83.9,6608082
2017-09-21,83.9,84.4,82.85,83.05,3541779
2017-09-22,82.85,82.85,80.1,80.4,3921966
2017-09-25,81.4,82.5,80.35,82.0,9639841
2017-09-26,82.85,82.85,79.7,79.85,7159283
2017-09-27,80.2,80.5,77.8,78.2,5895370
2017-09-28,78.35,78.75,77.0,77.95,42560973
2017-09-29,77.85,78.65,77.15,78.0,7947357
2017-10-03,78.9,79.55,77.1,77.35,8417805
2017-10-04,77.5,78.4,77.35,78.4,4675167
2017-10-05,78.4,79.2,78.4,79.0,3302262
2017-10-06,79.6,80.9,79.5,80.7,7178193
2017-10-09,80.3,82.05,80.3,81.5,6231937
2017-10-10,81.75,82.1,81.25,81.55,3889926
2017-10-11,81.8,82.55,80.5,80.75,5314286
2017-10-12,81.2,82.1,80.45,81.7,4267432
2017-10-13,82.4,82.45,81.4,81.6,2445989
2017-10-16,82.1,82.2,81.35,81.85,2578914
2017-10-17,82.0,82.1,81.5,81.9,3974315
2017-10-18,81.9,82.1,81.05,81.9,3991905252
2017-10-23,81.4,82.05,81.2,81.75,11952321131
2017-10-24,81.9,82.5,81.55,82.05,1970547
2017-10-25,82.5,83.8,81.85,82.3,6788509
2017-10-26,82.7,83.3,82.0,82.15,7204424
2017-10-27,82.55,85.7,82.4,85.45,7549240
2017-10-30,85.95,87.45,85.45,86.0,5879994
2017-10-31,86.35,86.35,84.6,85.15,3511086
2017-11-01,85.7,86.0,84.4,85.0,3992771
2017-11-02,85.2,85.7,84.05,84.8,3845011
2017-11-03,85.95,88.45,83.75,84.25,23561718
2017-11-06,84.45,86.35,83.75,85.25,9007381
2017-11-07,86.0,86.4,82.45,83.1,8519159
2017-11-08,83.45,84.55,83.0,83.15,5717944
2017-11-09,83.55,84.4,82.7,83.7,3729800
2017-11-10,83.45,84.25,82.35,83.2,3188292
2017-11-13,83.15,83.35,81.75,82.35,3915958
2017-11-14,82.0,83.2,81.65,81.7,5244306
2017-11-15,81.7,82.7,81.65,82.15,4304586
2017-11-16,82.4,85.25,82.45,84.9,9667540
2017-11-17,85.5,90.4,85.5,89.85,17469079
2017-11-20,89.0,92.4,89.3,91.65,22165844
2017-11-21,92.15,94.6,91.95,92.65,17229471
2017-11-22,92.75,93.4,90.5,93.25,10882966
2017-11-23,93.4,94.9,92.2,93.1,11252427
2017-11-24,93.1,94.35,92.6,93.75,6582394
2017-11-27,93.4,95.8,92.5,95.75,11690016
2017-11-28,95.75,96.9,94.6,95.85,13709758
2017-11-29,95.7,97.1,94.5,94.55,12084251
2017-11-30,94.75,95.75,93.7,94.95,17078288
2017-12-01,94.85,95.6,89.8,90.0,7285065
2017-12-04,91.0,91.8,89.25,90.15,4887900
2017-12-05,89.75,89.9,88.1,88.95,4040164
2017-12-06,89.0,90.2,87.05,87.4,4863773
2017-12-07,87.9,91.2,88.0,90.7,10019119
2017-12-08,91.5,93.8,91.2,91.5,8220230
2017-12-11,92.2,94.05,90.35,93.25,8204046
2017-12-12,92.85,92.9,90.2,90.7,5441907
2017-12-13,90.55,91.6,89.95,90.3,7755684
2017-12-14,90.5,91.0,89.4,90.75,9775929
2017-12-15,91.55,92.05,90.7,90.95,4950207
2017-12-18,90.0,93.05,88.35,91.2,8347117
2017-12-19,91.8,91.9,90.6,91.0,3602439
2017-12-20,91.0,91.9,90.55,90.85,4878491
2017-12-21,90.85,91.65,90.6,90.95,4904378
2017-12-22,91.3,93.85,91.1,92.65,12367659
2017-12-26,95.9,95.6,92.75,93.1,8340150
2017-12-27,93.5,94.2,91.55,92.2,5439950
2017-12-28,92.65,93.5,91.6,92.45,6420205
2017-12-29,92.75,94.65,92.4,93.4,9470710
2018-01-01,93.8,100.0,92.4,97.2,33152817
2018-01-02,98.25,100.2,96.15,99.6,29105311
2018-01-03,100.3,101.6,99.75,100.5,22942368
2018-01-04,100.95,101.0,99.25,99.5,6652831
2018-01-05,99.8,101.8,99.3,99.4,11626023
2018-01-08,100.0,100.5,98.9,100.0,5863303
2018-01-09,100.05,101.45,98.35,98.9,8647948
2018-01-10,98.85,99.9,97.1,98.3,5949289
2018-01-11,98.3,100.25,97.8,99.65,7118014
2018-01-12,99.7,101.15,97.5,98.8,8339586
2018-01-15,99.55,99.8,97.7,98.2,4930837
2018-01-16,98.2,98.45,92.9,93.7,9662012
2018-01-17,93.7,94.0,91.5,93.4,11497493
2018-01-18,93.9,94.25,90.1,90.5,8170157
2018-01-19,90.7,92.5,90.35,92.05,4536993
2018-01-22,92.6,92.65,91.25,92.1,3892154
2018-01-23,92.25,93.35,91.9,92.45,4918357
2018-01-24,92.25,92.85,90.9,91.35,4351332
2018-01-25,91.85,92.6,89.55,89.9,10831095
2018-01-29,90.1,91.15,89.45,89.9,4333987
2018-01-30,88.65,91.4,88.15,90.55,6961199
2018-01-31,90.4,91.2,88.55,88.95,5618152
2018-02-01,89.0,90.85,87.8,89.65,9039123
2018-02-02,88.4,88.7,84.2,84.8,6921327
2018-02-05,83.4,85.5,82.4,85.05,5146688
2018-02-06,82.0,84.2,79.7,82.7,7410937
2018-02-07,83.95,85.85,83.8,84.1,5546338
2018-02-08,84.95,86.15,84.65,84.9,3696650
2018-02-09,82.5,85.85,82.7,85.05,3527847
2018-02-12,85.5,87.35,85.5,86.6,3794773
2018-02-14,87.5,88.85,86.45,86.65,8429113
2018-02-15,88.8,88.3,85.6,86.55,4706792
2018-02-16,86.5,87.4,85.95,86.75,3900626
2018-02-19,86.7,86.85,85.0,86.0,3341457
2018-02-20,86.1,86.8,85.55,86.15,2934736
2018-02-21,86.5,87.05,84.6,86.3,6010246
2018-02-22,86.2,87.0,83.5,83.75,10074373
2018-02-23,85.0,86.45,84.6,85.7,6203449
2018-02-26,85.85,87.1,85.6,85.9,4983295
2018-02-27,86.35,86.9,85.3,85.4,3478412
2018-02-28,85.55,85.8,84.25,84.45,3862767
2018-03-01,85.0,85.85,83.95,84.5,6921581
2018-03-05,84.3,84.2,81.4,82.35,4962037
2018-03-06,82.6,83.15,81.2,81.55,4756811
2018-03-07,81.2,81.7,79.0,79.05,3992000
2018-03-08,78.6,80.4,77.0,79.45,8584549
2018-03-09,80.0,81.55,79.8,80.0,5480832
2018-03-12,80.55,81.05,79.95,80.65,3320806
2018-03-13,80.8,82.25,80.4,80.85,4744202
2018-03-14,81.25,81.4,79.85,80.4,3247891
2018-03-15,80.6,81.2,80.0,80.1,3874445
2018-03-16,80.25,80.65,79.75,80.2,9797258
2018-03-19,79.95,80.5,78.85,79.7,4099772
2018-03-20,78.85,80.55,78.85,80.15,2204978
2018-03-21,80.4,80.75,79.8,80.0,5274915
2018-03-22,79.95,80.35,79.75,80.05,3111605
2018-03-23,78.1,80.3,78.1,79.65,6395900
2018-03-26,80.9,81.25,78.75,80.0,6520708
2018-03-27,80.4,81.5,79.7,80.3,4065147
2018-03-28,79.8,80.35,78.35,78.65,10597741
2018-04-02,80.35,82.2,78.75,81.75,3638707
2018-04-03,81.15,84.6,81.15,84.45,3287931
2018-04-04,84.7,85.95,82.55,82.7,4955507
2018-04-05,84.0,84.75,83.3,83.35,2945082
2018-04-06,83.55,85.1,82.6,83.9,4216963
2018-04-09,84.15,85.4,83.95,85.0,1819762
2018-04-10,85.3,87.6,84.0,86.55,8586563
2018-04-11,86.9,88.1,86.0,87.05,5786044
2018-04-12,87.1,88.45,86.3,87.6,8420732
2018-04-13,87.8,88.7,87.2,87.55,4716490
2018-04-16,86.85,88.25,85.65,87.4,2335604
2018-04-17,87.85,88.1,87.0,87.1,2909893
2018-04-18,87.55,88.35,87.1,87.5,3411220
2018-04-19,87.85,88.55,86.5,86.6,6666443
2018-04-20,86.8,86.9,85.5,85.75,4156236
2018-04-23,85.5,86.1,84.6,85.45,4851834
2018-04-24,85.4,86.25,84.55,85.25,4770664
2018-04-25,85.1,86.95,84.75,86.25,3533694
2018-04-26,86.0,87.2,84.9,85.1,3334980
2018-04-27,85.9,88.6,85.2,87.45,6460834
2018-04-30,87.85,89.15,87.1,87.85,6097587
2018-05-02,88.75,89.55,86.3,87.0,5854177
2018-05-03,88.0,88.75,84.9,86.85,8363982
2018-05-04,86.1,86.55,83.4,84.45,8375376
2018-05-07,84.9,86.15,84.35,84.85,6827585
2018-05-08,85.2,86.2,82.7,83.95,6161998
2018-05-09,84.0,84.6,82.9,82.95,4399013
2018-05-10,83.35,83.75,80.85,81.6,5723356
2018-05-11,81.8,82.4,80.8,81.3,3801946
2018-05-14,81.6,82.0,80.35,81.55,7641918
2018-05-15,81.35,82.1,80.35,81.15,4060008
2018-05-16,80.7,81.5,80.5,81.05,2843966
2018-05-17,81.5,82.5,80.55,81.4,5777816
2018-05-18,81.5,81.5,80.25,80.4,7136545
2018-05-21,80.75,80.8,78.35,78.7,3129166
2018-05-22,78.95,79.25,77.7,77.75,3624097
2018-05-23,78.0,78.55,77.05,77.1,2174506
2018-05-24,77.55,77.9,75.3,75.95,5293271
2018-05-25,76.4,81.7,75.95,81.2,6107518
2018-05-28,81.25,83.0,80.65,81.95,3350304
2018-05-29,82.0,84.35,81.6,82.75,7247357
2018-05-30,82.45,84.0,81.5,82.2,4776175
2018-05-31,82.45,83.2,79.85,80.45,9106072
2018-06-01,80.65,81.25,78.3,79.55,3074487
2018-06-04,79.65,80.05,76.6,77.25,2174219
2018-06-05,77.1,79.25,76.3,78.7,5401232
2018-06-06,78.7,79.7,77.45,78.3,2847831
2018-06-07,78.7,79.9,78.1,78.6,3358660
2018-06-08,79.0,79.0,77.7,77.9,4033206
2018-06-11,78.3,80.35,78.1,78.3,7350205
2018-06-12,79.0,79.2,77.7,77.7,3488683
2018-06-13,78.2,78.35,76.8,76.85,3040254
2018-06-14,77.2,77.75,76.35,77.25,2938434
2018-06-15,77.4,77.6,75.9,76.1,2698222
2018-06-18,76.1,76.35,74.8,74.9,1845033
2018-06-19,74.6,74.85,73.05,73.15,3672684
2018-06-20,73.35,74.5,72.8,73.8,3573575
2018-06-21,74.8,75.2,73.9,74.45,2970434
2018-06-22,75.1,76.35,75.0,76.25,3075292
2018-06-25,76.75,77.3,76.0,76.2,4434646
2018-06-26,76.55,76.55,75.0,75.15,2538336
2018-06-27,75.0,75.25,71.3,71.65,4310184
2018-06-28,71.4,74.85,71.0,71.9,7465438
2018-06-29,72.0,73.65,71.8,73.65,3662399
2018-07-02,73.6,73.85,71.9,72.25,2624404
2018-07-03,72.5,73.0,71.9,72.3,3144279
2018-07-04,72.25,72.55,71.6,72.0,2324274
2018-07-05,72.0,72.2,71.1,71.25,1321976
2018-07-06,71.2,72.35,71.0,71.7,1679846
2018-07-09,72.0,73.8,72.0,73.6,1709603
2018-07-10,73.75,74.1,72.75,72.95,1893513
2018-07-11,72.55,73.45,71.65,71.9,2815089
2018-07-12,71.4,71.7,69.3,69.5,4331501
2018-07-13,69.7,70.5,69.1,70.2,3106668
2018-07-16,70.0,70.15,68.65,68.85,2178632
2018-07-17,68.7,71.3,68.05,70.75,2618560
2018-07-18,70.9,71.8,68.9,70.15,4724016
2018-07-19,70.2,70.45,67.6,68.5,2667809
2018-07-20,68.2,68.3,67.15,67.8,2459772
2018-07-23,67.9,68.7,66.55,68.0,3587551
2018-07-24,68.2,69.0,67.25,67.85,8539653
2018-07-25,68.1,69.45,67.5,67.8,2756261
2018-07-26,68.0,72.5,68.0,71.15,13039361
2018-07-27,71.05,72.5,70.85,71.9,4689741
2018-07-30,71.9,74.7,70.9,73.7,5215773
2018-07-31,73.8,75.0,72.6,74.45,3579406
2018-08-01,74.4,74.7,72.65,72.8,1908462
2018-08-02,73.0,73.1,71.4,71.85,2716723
2018-08-03,71.85,73.2,71.85,72.3,2270732
2018-08-06,72.6,72.9,71.65,71.85,1929455
2018-08-07,72.0,72.1,70.05,70.2,2064966
2018-08-08,70.3,70.85,69.1,69.5,2383735
2018-08-09,70.0,70.4,69.2,69.85,1534388
2018-08-10,69.9,71.15,69.0,69.25,2350544
2018-08-13,69.15,70.05,68.55,68.7,2139239
2018-08-14,69.05,69.55,68.6,68.7,1516529
2018-08-16,68.55,68.55,67.0,67.25,2996239
2018-08-17,67.4,69.0,67.05,68.9,2808538
2018-08-20,68.9,70.35,68.5,70.05,1940387
2018-08-21,69.8,73.0,69.7,72.9,4047602
2018-08-23,73.4,73.4,71.15,71.9,3857621
2018-08-24,71.8,72.5,70.6,71.7,1875271
2018-08-27,71.8,76.6,71.8,75.65,8312074
2018-08-28,75.4,76.75,73.85,74.6,6791903
2018-08-29,74.45,77.65,74.4,76.9,5484811
2018-08-30,77.0,77.4,75.7,76.15,3969023
2018-08-31,75.5,77.6,74.35,76.45,8652129
2018-09-03,77.0,79.0,76.25,78.5,9351156
2018-09-04,78.85,78.85,72.75,74.0,6416394
2018-09-05,73.5,75.35,72.7,75.15,4545010
2018-09-06,75.35,75.8,73.6,74.7,3305880
2018-09-07,74.95,75.95,73.85,75.5,3670451
2018-09-10,75.35,75.8,73.5,73.95,2479871
2018-09-11,73.95,76.95,73.9,74.25,9595106
2018-09-12,74.8,74.95,72.9,73.9,3111060
2018-09-14,74.15,76.5,74.15,76.0,3671742
2018-09-17,75.95,78.7,75.1,77.8,4913407
2018-09-18,77.9,78.95,74.05,75.0,5821047
2018-09-19,75.25,77.35,74.8,75.3,5375870
2018-09-21,75.55,76.5,68.25,72.7,11568214
2018-09-24,72.8,72.9,68.1,68.75,5122761
2018-09-25,69.0,71.3,68.0,70.25,6280720
2018-09-26,70.7,70.95,68.9,70.05,3273034
2018-09-27,70.05,70.65,68.2,68.8,3695214
2018-09-28,69.1,69.35,65.5,65.85,4303038
2018-10-01,66.45,68.4,64.8,67.75,5836345
2018-10-03,67.7,69.25,66.35,67.5,3645173
2018-10-04,66.9,68.0,66.1,66.85,2921555
2018-10-05,67.5,67.5,62.3,62.4,3744286
2018-10-08,62.85,65.3,60.35,61.75,4825090
2018-10-09,61.95,62.4,59.8,61.2,4968464
2018-10-10,61.3,65.45,61.25,65.2,5651874
2018-10-11,62.8,63.9,61.6,62.4,5041598
