date,open,high,low,close,volume
2017-07-03,211.41,212.5,209.41,210.21,50954
2017-07-04,211.93,213.42,210.03,212.12,45506
2017-07-05,213.15,215.8,212.13,215.36,44749
2017-07-06,214.8,216.27,212.7,214.6,72818
2017-07-07,213.6,215.86,213.6,214.9,34688
2017-07-10,214.4,216.2,214.01,214.15,3435976240
2017-07-11,215.59,225.5,213.1,224.38,210656
2017-07-12,226.14,227.0,222.6,224.07,136375
2017-07-13,224.41,227.05,223.4,224.6,59728
2017-07-14,225.2,228.24,223.32,224.0,51729
2017-07-17,230.48,232.5,227.34,229.9,145543
2017-07-18,229.42,229.74,224.43,225.12,24568
2017-07-19,226.0,230.48,225.72,226.4,70744
2017-07-20,228.14,228.72,224.0,224.13,24261
2017-07-21,225.6,230.09,223.0,229.05,96229
2017-07-24,228.8,228.8,225.85,227.2,16032
2017-07-25,227.51,228.05,224.46,224.6,25210
2017-07-26,227.61,228.25,225.2,226.26,39257
2017-07-27,228.78,237.86,228.41,235.99,235716
2017-07-28,235.0,245.61,234.34,238.0,210305
2017-07-31,238.07,239.95,233.49,235.4,90483
2017-08-01,240.0,240.0,234.06,238.2,65897
2017-08-02,238.42,240.9,234.06,235.7,80477
2017-08-03,235.98,240.3,234.82,237.0,62679
2017-08-04,236.4,238.0,235.0,237.0,33322
2017-08-07,237.8,242.83,237.0,240.05,80791
2017-08-08,240.39,246.5,234.35,246.0,92878
2017-08-09,247.38,256.37,244.76,246.02,178779
2017-08-10,245.6,249.5,240.3,242.57,76166
2017-08-11,240.2,246.04,236.26,245.72,152693
2017-08-14,244.01,260.55,244.0,259.4,263849
2017-08-16,261.33,263.77,253.68,255.1,109248
2017-08-17,255.88,259.59,254.28,255.39,63053
2017-08-18,254.74,257.79,252.2,256.0,63687
2017-08-21,256.4,257.4,251.0,252.0,102589
2017-08-22,252.04,254.3,251.0,251.99,47997
2017-08-23,252.34,254.8,247.77,254.66,40195
2017-08-24,254.66,254.66,249.06,250.0,60292
2017-08-28,250.31,252.2,248.0,249.8,89272
2017-08-29,248.61,251.42,243.7,248.2,87479
2017-08-30,249.03,253.6,249.03,251.6,60799
2017-08-31,253.6,258.0,252.62,254.6,98839
2017-09-01,256.0,258.0,253.2,254.1,58794
2017-09-04,255.0,258.27,250.51,255.6,53788
2017-09-05,257.01,264.79,255.6,264.49,195199
2017-09-06,262.6,265.87,260.3,260.8,137340
2017-09-07,262.4,264.32,261.49,262.8,43730
2017-09-08,262.97,276.39,262.64,276.0,325113
2017-09-11,277.69,279.4,275.53,276.2,84207
2017-09-12,277.02,288.2,277.02,285.84,178942
2017-09-13,285.18,287.78,275.76,283.25,131106
2017-09-14,282.3,287.42,281.31,285.45,93429
2017-09-15,284.01,290.5,281.69,287.27,77253
2017-09-18,288.0,290.3,286.2,289.6,76836
2017-09-19,291.5,297.6,291.19,297.0,120038
2017-09-20,297.61,301.0,294.82,300.0,105240
2017-09-21,300.02,304.68,296.93,303.98,121097
2017-09-22,300.6,302.0,285.94,288.98,153701
2017-09-25,289.6,292.6,279.4,291.11,106372
2017-09-26,292.34,294.0,285.99,286.87,73085
2017-09-27,288.41,289.37,279.97,280.0,97709
2017-09-28,280.4,293.89,278.11,292.65,180950
2017-09-29,294.4,301.2,292.82,294.98,167422
2017-10-03,299.78,299.78,291.4,295.5,124509
2017-10-04,295.6,295.6,288.61,290.07,84067
2017-10-05,289.41,292.62,286.8,287.2,63170
2017-10-06,287.0,291.0,285.51,289.0,73169
2017-10-09,287.61,292.18,287.61,289.6,32579
2017-10-10,289.6,299.0,289.4,298.6,117441
2017-10-11,302.52,308.28,298.02,303.29,319506
2017-10-12,306.0,306.66,301.2,305.67,73074
2017-10-13,307.7,307.7,302.68,304.21,59507
2017-10-16,305.78,306.7,304.0,304.2,31940
2017-10-17,305.01,305.99,297.24,300.0,79570
2017-10-18,300.0,316.76,298.31,314.75,2372933481
2017-10-23,309.63,324.0,309.63,322.64,3513157986
2017-10-24,324.26,324.26,318.0,318.36,68947
2017-10-25,322.82,323.07,309.0,312.8,70272
2017-10-26,315.31,320.0,310.48,319.6,59059
2017-10-27,319.56,321.9,315.36,316.4,48830
2017-10-30,317.09,324.8,314.45,322.6,100041
2017-10-31,322.79,322.79,315.4,317.21,81470
2017-11-01,319.8,322.18,315.61,316.0,107242
