date,open,high,low,close,volume
2017-07-03,128.4,129.85,127.47,129.17,1223714
2017-07-04,129.22,130.73,126.93,126.95,1808616
2017-07-05,127.88,129.0,126.72,128.47,1495385
2017-07-06,128.67,128.67,126.93,126.93,1904719
2017-07-07,127.42,127.78,125.72,127.63,1468965
2017-07-10,128.0,130.05,126.67,127.93,9663926870
2017-07-11,128.48,129.58,126.87,129.03,2585628
2017-07-12,130.03,132.87,130.03,130.83,3156760
2017-07-13,131.28,132.0,125.87,127.33,5640325
2017-07-14,127.97,127.97,123.73,124.23,4682642
2017-07-17,124.9,125.5,123.0,124.67,3594587
2017-07-18,124.77,125.98,123.5,124.5,4812257
2017-07-19,124.67,125.97,124.08,125.0,3240053
2017-07-20,124.65,125.93,124.05,124.93,2232628
2017-07-21,125.0,127.57,124.6,127.23,4132377
2017-07-24,127.03,127.65,125.87,126.17,2998078
2017-07-25,126.6,126.67,124.52,124.67,2610623
2017-07-26,125.33,125.33,124.07,124.42,2002150
2017-07-27,125.33,125.33,122.4,122.7,4506087
2017-07-28,122.67,123.33,121.43,122.93,2540938
2017-07-31,122.87,124.57,122.17,122.2,1898665
2017-08-01,123.98,125.17,123.03,123.37,3552098
2017-08-02,123.98,124.4,122.03,122.98,3214061
2017-08-03,123.7,131.67,123.7,129.18,12848549
2017-08-04,131.85,142.13,131.0,139.33,11681310
2017-08-07,140.0,144.47,138.15,143.33,6632080
2017-08-08,143.38,143.38,136.13,138.67,3868095
2017-08-09,135.03,141.93,135.03,137.67,4643749
2017-08-10,137.18,140.3,134.47,136.37,3175658
2017-08-11,135.32,138.5,134.67,137.42,2822864
2017-08-14,137.98,141.4,136.85,139.65,2235451
2017-08-16,141.05,142.67,140.48,140.98,2888316
2017-08-17,142.08,143.2,141.02,142.27,2255447
2017-08-18,142.3,145.33,141.55,142.18,4226006
2017-08-21,144.63,145.98,137.2,137.83,3993412
2017-08-22,138.55,143.13,138.43,141.3,4270107
2017-08-23,142.05,144.17,141.75,141.88,1987654
2017-08-24,142.77,144.27,142.0,142.33,2959149
2017-08-28,143.1,147.45,142.8,147.02,4584323
2017-08-29,147.02,148.82,144.0,145.67,3877406
2017-08-30,146.6,151.62,145.93,150.15,6554150
2017-08-31,151.15,154.28,149.37,151.83,8636349
2017-09-01,152.63,152.83,149.03,149.33,3256243
2017-09-04,146.67,148.23,142.52,142.83,4824722
2017-09-05,143.97,145.63,142.82,143.77,2955932
2017-09-06,143.77,145.2,142.05,142.68,2689897
2017-09-07,144.13,144.95,142.13,143.67,3118817
2017-09-08,144.33,146.17,141.83,143.07,2902199
2017-09-11,144.32,145.32,142.67,142.93,1837673
2017-09-12,144.0,145.6,143.33,145.08,2094313
2017-09-13,145.63,147.17,136.0,138.0,8515980
2017-09-14,143.3,144.63,137.83,140.0,6596467
2017-09-15,140.0,141.67,137.77,138.5,3894306
2017-09-18,140.0,140.33,138.27,138.48,2073455
2017-09-19,139.08,140.85,137.42,139.03,2303132
2017-09-20,139.67,139.75,137.33,138.17,1742728
2017-09-21,137.87,139.97,137.15,137.75,2700168
2017-09-22,137.97,137.98,133.08,136.47,3961816
2017-09-25,135.97,135.97,132.33,133.17,3637195
2017-09-26,133.67,134.57,128.33,133.13,4901272
2017-09-27,133.85,136.0,130.7,131.25,3133333
2017-09-28,130.8,133.53,125.15,132.18,5621190
2017-09-29,132.67,135.17,131.27,133.33,3033285
2017-10-03,135.15,136.93,132.7,136.0,1879147
2017-10-04,139.48,139.48,135.67,136.6,3758359
2017-10-05,136.03,136.17,133.73,135.7,1670129
2017-10-06,135.58,139.13,135.07,139.0,4013605
2017-10-09,138.28,140.3,137.28,138.0,3198248
2017-10-10,137.47,138.75,136.47,136.55,2309290
2017-10-11,137.33,141.42,137.08,139.08,4070292
2017-10-12,140.0,140.55,138.15,138.33,2217363
2017-10-13,138.67,140.1,137.98,137.98,1943779
2017-10-16,138.68,139.93,137.57,137.67,2547353
2017-10-17,137.55,140.47,137.33,137.97,2177367
2017-10-18,137.9,139.17,136.67,137.2,3021616696
2017-10-23,136.67,138.32,134.53,134.82,2724793
