date,open,high,low,close,volume
2017-07-03,999.0,999.0,982.7,990.1,79946
2017-07-04,990.0,994.6,982.1,986.0,130625
2017-07-05,997.75,997.75,978.8,984.0,196431
2017-07-06,987.7,987.7,977.0,979.95,109650
2017-07-07,976.1,983.0,971.4,974.05,66680
2017-07-10,974.05,992.95,929.0,979.0,21474851112
2017-07-11,980.0,996.0,973.0,985.1,206661
2017-07-12,994.4,1017.0,989.1,1005.5,825188
2017-07-13,1010.0,1011.05,992.1,992.15,249920
2017-07-14,995.0,1001.3,983.95,985.1,160455
2017-07-17,992.5,999.0,983.5,984.7,195338
2017-07-18,982.15,986.9,968.2,976.0,139930
2017-07-19,980.0,985.4,974.15,977.7,118945
2017-07-20,977.6,988.0,976.95,984.5,67869
2017-07-21,986.25,989.0,974.15,984.0,113729
2017-07-24,989.0,994.0,982.4,984.2,82976
2017-07-25,984.5,989.95,980.3,985.5,89072
2017-07-26,993.0,993.0,977.15,977.5,100802
2017-07-27,976.25,988.15,974.45,977.25,249618
2017-07-28,984.15,1003.25,975.55,985.0,472482
2017-07-31,993.75,1004.0,985.75,998.1,209553
2017-08-01,1005.0,1015.25,993.3,995.5,278050
2017-08-02,999.7,1003.0,990.85,997.0,69909
2017-08-03,996.0,1021.8,996.0,1010.0,341317
2017-08-04,1015.05,1029.5,1011.0,1029.05,272615
2017-08-07,1032.9,1045.0,1026.7,1041.55,264998
2017-08-08,1045.4,1066.95,1013.65,1065.0,497899
2017-08-09,1062.0,1089.25,1014.0,1025.75,982876
2017-08-10,1020.0,1020.0,951.3,968.75,526620
2017-08-11,950.0,992.45,923.0,991.0,311256
2017-08-14,1016.8,1036.0,1001.0,1035.0,523624
2017-08-16,1040.0,1047.0,1023.05,1036.6,227735
2017-08-17,1035.0,1052.65,1030.0,1033.0,190669
2017-08-18,1030.0,1048.9,1025.05,1037.0,136301
2017-08-21,1041.0,1046.2,1026.5,1027.95,104022
2017-08-22,1035.8,1037.65,1008.65,1013.0,108584
2017-08-23,1015.0,1029.3,1011.5,1027.75,124853
2017-08-24,1023.8,1035.95,1016.0,1035.0,132349
