date,open,high,low,close,volume
2017-07-03,215.05,217.4,210.9,214.25,2948326
2017-07-04,215.0,216.15,213.05,214.0,2052599
2017-07-05,214.6,216.35,213.9,215.05,2311513
2017-07-06,216.3,218.55,215.2,216.5,2470569
2017-07-07,217.1,218.35,215.0,217.8,1699246
2017-07-10,218.05,220.2,216.25,219.8,21475241395
2017-07-11,220.9,223.4,217.4,218.0,4158772
2017-07-12,218.1,218.1,214.9,217.25,2890621
2017-07-13,218.0,218.9,212.7,214.0,3327257
2017-07-14,215.45,215.45,209.65,211.0,4000689
2017-07-17,210.7,211.65,206.15,209.9,4690832
2017-07-18,208.5,210.25,206.2,207.0,4833813
2017-07-19,208.2,208.2,205.5,206.8,6902338
2017-07-20,206.3,207.4,204.4,206.05,4497547
2017-07-21,207.15,207.4,204.5,205.6,1827335
2017-07-24,206.1,206.85,201.7,202.6,4261716
2017-07-25,202.0,207.3,199.1,205.4,5929828
2017-07-26,207.7,208.6,206.2,207.65,3641408
2017-07-27,208.4,210.0,205.0,205.5,6669268
2017-07-28,205.25,206.5,201.6,202.15,5395711
2017-07-31,202.4,204.55,198.65,202.85,11855021
2017-08-01,203.35,214.35,203.0,212.0,7319983
2017-08-02,210.9,214.65,208.2,212.65,4816486
2017-08-03,213.8,217.35,205.9,207.85,6156872
2017-08-04,208.65,209.85,204.4,207.5,2202855
2017-08-07,207.0,214.35,206.5,212.5,5039236
2017-08-08,213.8,217.4,208.05,210.95,5409599
2017-08-09,210.9,212.9,206.1,206.8,1369944
2017-08-10,206.8,215.0,198.2,213.0,3956536
2017-08-11,208.25,214.6,206.05,210.0,10594583
2017-08-14,214.45,218.9,211.8,216.55,5280897
2017-08-16,219.5,230.7,219.5,230.5,9592946
2017-08-17,233.55,236.4,226.7,228.4,7283982
2017-08-18,226.95,233.0,224.3,227.9,5623715
2017-08-21,230.05,232.2,227.45,228.95,3850190
2017-08-22,229.1,232.0,228.3,229.2,2637226
2017-08-23,230.0,232.0,227.2,230.4,1708188
2017-08-24,232.2,233.85,225.05,226.4,4046310
2017-08-28,227.0,227.0,223.25,224.75,2452386
2017-08-29,223.95,228.8,222.35,223.0,2345955
2017-08-30,225.0,228.5,224.65,226.0,4376852
2017-08-31,223.95,232.0,222.5,225.2,10499923
2017-09-01,225.7,226.45,223.55,223.65,2490881
2017-09-04,224.0,224.85,220.3,223.3,1208008
2017-09-05,224.85,228.1,222.8,225.6,3791936
2017-09-06,224.15,226.9,223.65,225.2,1721973
2017-09-07,229.0,229.0,224.85,225.8,2354741
2017-09-08,226.45,228.5,222.3,223.5,2251923
2017-09-11,229.1,239.8,228.0,237.9,9485925
2017-09-12,240.05,241.0,235.0,236.3,4260142
2017-09-13,238.5,239.75,232.3,234.0,3717827
2017-09-14,234.8,237.55,229.45,232.95,2062438
2017-09-15,231.7,234.5,227.0,230.55,2985423
2017-09-18,234.5,238.6,233.5,233.9,2807784
2017-09-19,236.0,241.7,235.5,238.0,4526601
2017-09-20,238.6,239.5,234.25,235.4,1931311
2017-09-21,234.4,235.5,230.5,231.0,1836778
2017-09-22,229.85,231.75,224.5,225.0,1892235
2017-09-25,226.5,229.6,220.65,228.25,4063814
2017-09-26,227.75,234.95,227.25,231.5,2579110
2017-09-27,233.45,234.0,224.5,226.15,2122454
2017-09-28,227.5,227.85,222.55,224.0,4662242
2017-09-29,226.7,237.45,226.5,231.0,7697432
2017-10-03,232.9,236.65,232.0,234.0,4117820
2017-10-04,233.75,239.5,233.75,235.65,5145847
2017-10-05,235.95,240.05,235.5,240.0,3978577
2017-10-06,240.7,245.6,240.15,244.0,4969332
2017-10-09,245.5,246.25,241.0,241.05,2302789
2017-10-10,242.0,248.7,241.65,246.4,5949026
2017-10-11,248.4,260.7,248.4,256.9,9052877
2017-10-12,259.75,259.95,252.65,253.15,4901874
2017-10-13,255.7,255.7,249.05,250.55,3807128
2017-10-16,251.05,253.3,249.2,251.0,2300523
2017-10-17,250.1,262.0,250.1,261.5,4564008
2017-10-18,261.3,268.15,257.25,267.25,4298845759
2017-10-23,261.25,274.0,261.25,273.15,8213820752
2017-10-24,274.35,274.7,264.5,269.8,3299149
2017-10-25,272.55,272.8,256.0,259.2,5033482
2017-10-26,260.35,266.75,256.95,258.4,3938492
2017-10-27,260.5,263.0,255.2,256.5,2609368
2017-10-30,259.0,263.8,256.15,261.8,3915934
2017-10-31,262.15,262.15,257.75,260.0,1589752
2017-11-01,262.0,267.8,260.5,262.9,3974728
2017-11-02,264.2,266.45,260.6,263.3,2239137
2017-11-03,263.0,264.65,259.0,261.05,2500085
2017-11-06,258.0,262.9,258.3,260.95,2047321
2017-11-07,262.5,266.7,261.4,263.1,3774902
2017-11-08,265.1,271.0,253.0,260.2,3403037
2017-11-09,274.0,275.65,266.0,268.2,14349887
2017-11-10,268.0,268.5,261.1,263.95,5088246
2017-11-13,263.3,269.35,254.6,265.1,5741033
2017-11-14,268.9,267.15,257.25,259.35,6183313
