date,open,high,low,close,volume
2017-07-03,634.05,640.0,631.65,639.9,338919
2017-07-04,646.05,646.85,637.75,639.5,541489
2017-07-05,642.1,658.55,640.6,656.0,973266
2017-07-06,657.0,665.5,654.5,655.0,754941
2017-07-07,660.1,668.7,656.05,665.0,839575
2017-07-10,665.0,679.5,665.0,678.0,12885141420
2017-07-11,675.75,681.15,667.0,669.5,494732
2017-07-12,670.2,683.35,668.1,680.0,491980
2017-07-13,683.05,687.5,681.8,686.0,559507
2017-07-14,684.35,689.95,676.6,684.0,299628
2017-07-17,688.0,689.8,681.3,684.0,331903
2017-07-18,682.0,693.1,680.5,690.5,590861
2017-07-19,693.75,714.45,693.45,709.0,1051828
2017-07-20,711.0,713.5,702.1,705.1,546153
2017-07-21,707.6,709.95,695.15,695.5,273815
2017-07-24,695.5,695.85,685.45,689.7,253927
2017-07-25,695.95,705.6,689.7,699.1,485472
2017-07-26,698.5,709.45,694.4,708.95,536064
2017-07-27,711.0,718.15,708.0,716.0,1640396
2017-07-28,742.15,746.0,713.5,716.55,4363305
2017-07-31,716.0,718.4,695.0,696.5,1412449
2017-08-01,705.45,715.9,696.15,696.15,1085033
2017-08-02,699.7,705.0,698.0,703.0,386664
2017-08-03,703.5,711.1,697.8,697.8,924647
2017-08-04,696.6,698.5,686.5,690.3,784850
2017-08-07,690.1,694.55,686.9,689.0,588888
2017-08-08,692.9,693.95,665.65,669.7,677330
2017-08-09,669.5,669.65,640.0,640.0,963953
2017-08-10,641.95,651.45,608.3,608.3,1096002
2017-08-11,603.5,621.0,594.15,615.6,1341996
2017-08-14,616.6,633.75,610.85,628.25,519175
2017-08-16,635.0,639.6,619.0,621.35,1222396
2017-08-17,620.7,628.95,617.6,619.75,768317
2017-08-18,619.0,619.0,605.0,611.0,678972
2017-08-21,612.0,613.45,591.9,592.5,656870
2017-08-22,596.9,606.4,592.65,601.0,783521
2017-08-23,611.6,611.6,593.45,600.0,824495
2017-08-24,604.0,624.4,602.7,614.95,1309849
2017-08-28,619.0,633.5,617.6,622.9,1243572
2017-08-29,623.0,623.85,612.85,615.8,448510
2017-08-30,620.0,624.45,612.95,616.55,473995
2017-08-31,617.1,618.55,606.55,608.15,694228
2017-09-01,614.0,621.95,609.0,609.8,921654
2017-09-04,610.75,616.4,598.75,603.45,1130894
2017-09-05,605.1,610.0,600.1,602.5,540774
2017-09-06,602.0,607.35,599.25,600.65,911354
2017-09-07,604.0,606.5,594.7,597.7,861399
2017-09-08,601.95,602.0,576.25,579.45,1654456
2017-09-11,585.0,586.0,570.0,572.2,994882
