date,open,high,low,close,volume
2017-07-03,147.48,150.41,145.83,150.25,198815
2017-07-04,152.48,152.48,149.3,151.24,234031
2017-07-05,152.07,152.07,146.86,146.98,291724
2017-07-06,148.14,149.59,147.81,148.84,423602
2017-07-07,150.41,151.03,148.76,150.58,121230
2017-07-10,150.58,153.18,148.76,152.73,17747871747
2017-07-11,154.17,154.46,150.5,151.24,940107
2017-07-12,152.4,152.69,150.66,150.83,241791
2017-07-13,156.23,161.82,154.36,158.0,792176
2017-07-14,159.54,162.54,155.91,157.73,314083
2017-07-17,159.0,159.0,153.54,154.73,246445
2017-07-18,156.36,156.36,150.14,152.27,336222
2017-07-19,152.73,152.73,148.27,148.64,198153
2017-07-20,150.0,150.46,145.91,146.73,266990
2017-07-21,146.36,147.23,144.54,145.0,327090
2017-07-24,145.41,145.54,143.18,144.41,411183
2017-07-25,145.32,148.36,143.64,147.86,339176
2017-07-26,149.64,150.0,146.91,149.36,332193
2017-07-27,149.64,153.27,147.27,152.5,1436782
2017-07-28,152.73,152.73,149.73,152.36,260070
2017-07-31,153.91,163.64,148.18,162.96,821441
2017-08-01,160.0,162.27,154.73,162.27,761657
2017-08-02,157.77,160.68,154.54,154.68,296216
2017-08-03,155.68,156.86,154.54,155.04,147598
2017-08-04,155.91,155.91,151.32,152.82,381515
2017-08-07,157.09,157.27,154.41,155.46,399254
2017-08-08,156.36,156.36,151.46,152.59,277547
2017-08-09,152.27,156.36,145.91,146.68,1354275
2017-08-10,147.27,147.73,140.91,143.36,408049
2017-08-11,142.46,142.46,137.36,141.46,350957
2017-08-14,144.41,144.41,140.91,142.09,151748
2017-08-16,144.36,144.46,140.46,143.68,203431
2017-08-17,145.46,146.14,142.73,144.86,253067
2017-08-18,144.41,144.41,139.5,141.0,1197336
2017-08-21,141.82,143.32,140.18,142.36,211080
2017-08-22,144.36,144.36,141.32,142.46,199492
2017-08-23,141.82,144.54,141.82,143.54,205314
2017-08-24,144.0,148.18,142.96,147.73,570659
2017-08-28,149.04,149.04,144.04,145.04,412385
2017-08-29,146.36,146.36,143.0,145.0,174888
2017-08-30,143.68,146.09,142.73,144.27,242906
2017-08-31,145.46,145.46,143.04,144.64,125380
2017-09-01,144.18,146.73,144.04,145.46,440617
2017-09-04,145.54,147.36,145.09,146.23,317450
2017-09-05,145.09,147.23,144.64,146.09,202082
2017-09-06,144.77,147.27,144.77,146.46,158529
2017-09-07,147.18,148.18,143.73,145.46,423262
2017-09-08,145.41,145.82,145.0,145.46,86136
2017-09-11,145.0,148.64,145.0,148.18,306154
2017-09-12,149.91,152.64,147.82,151.23,524015
2017-09-13,152.73,154.46,149.64,152.64,473718
2017-09-14,154.09,154.09,150.0,152.27,151902
2017-09-15,151.82,152.73,150.27,150.91,425759
2017-09-18,151.77,158.36,150.91,154.54,1071866
2017-09-19,153.64,155.36,151.68,154.54,361803
2017-09-20,154.36,154.46,149.68,149.86,960146
2017-09-21,149.73,151.0,148.27,149.09,529416
2017-09-22,148.73,149.46,145.0,145.09,190772
2017-09-25,146.32,146.32,140.91,141.0,685532
2017-09-26,141.14,142.09,138.32,140.18,763026
2017-09-27,141.0,143.14,135.23,135.5,716056
2017-09-28,137.54,143.18,133.64,142.23,753983
2017-09-29,143.64,149.82,141.36,149.09,860353
2017-10-03,147.54,151.32,146.77,149.09,318242
2017-10-04,149.54,151.27,147.36,150.0,365020
2017-10-05,150.82,150.82,147.73,149.54,207332
2017-10-06,150.04,150.64,147.54,149.27,179769
2017-10-09,150.91,150.91,146.82,147.73,190909
2017-10-10,149.04,149.04,143.18,143.64,532798
2017-10-11,147.27,147.27,143.86,144.82,878229
2017-10-12,145.46,145.86,143.23,144.09,109360
2017-10-13,145.27,147.0,143.18,146.36,207127
2017-10-16,146.91,146.91,143.82,145.23,2419548
2017-10-17,145.32,147.09,144.09,145.91,160637
2017-10-18,145.91,146.73,144.32,145.14,3180947403
2017-10-23,142.32,146.36,141.46,145.18,17808614114
2017-10-24,146.14,146.14,143.64,144.54,227549
2017-10-25,146.36,147.0,142.14,142.73,282518
2017-10-26,144.5,144.91,142.91,143.46,140588
2017-10-27,145.14,145.46,142.54,145.0,1010237
2017-10-30,145.46,146.0,143.41,145.91,338869
2017-10-31,145.96,147.27,144.77,147.0,186036
2017-11-01,148.0,148.18,145.23,145.46,194830
2017-11-02,145.23,147.27,144.27,145.54,160228
2017-11-03,147.18,150.09,144.27,147.86,402892
2017-11-06,148.91,149.68,146.82,147.5,197532
2017-11-07,146.91,150.27,146.0,150.0,410265
2017-11-08,150.0,153.18,147.0,148.18,906879
2017-11-09,150.0,150.91,146.46,147.27,726255
