date,open,high,low,close,volume
2017-07-03,507.95,519.5,504.0,518.0,1677734
2017-07-04,518.25,527.35,516.0,522.0,2334385
2017-07-05,526.5,526.9,520.5,524.0,1348221
2017-07-06,521.15,529.35,521.15,524.0,967623
2017-07-07,509.95,529.75,509.55,527.1,4368594
2017-07-10,516.0,550.8,516.0,532.9,25770060111
2017-07-11,532.7,537.9,530.0,530.3,893575
2017-07-12,533.0,536.0,529.3,534.0,611480
2017-07-13,534.4,547.0,533.0,546.05,2011045
2017-07-14,551.5,551.5,538.45,540.8,1078215
2017-07-17,542.0,544.9,521.4,524.15,1218299
2017-07-18,522.55,526.5,517.35,521.5,1385122
2017-07-19,522.05,541.3,522.05,540.5,1882494
2017-07-20,542.7,547.0,536.0,538.5,2041100
2017-07-21,540.0,544.45,528.0,531.0,2046487
2017-07-24,531.8,538.7,522.5,524.45,859116
2017-07-25,527.55,530.75,524.9,529.65,678439
2017-07-26,530.0,530.5,525.05,528.3,778707
2017-07-27,529.0,544.0,517.85,532.6,3187874
2017-07-28,531.95,539.75,528.05,532.4,721027
2017-07-31,533.4,538.5,528.0,535.3,828525
2017-08-01,536.0,539.35,527.0,531.85,1031046
2017-08-02,531.1,535.6,526.4,526.55,1031886
2017-08-03,526.55,531.2,515.0,519.0,912626
2017-08-04,518.1,519.0,508.5,515.2,1113989
2017-08-07,518.65,523.35,517.05,520.0,580459
2017-08-08,521.85,522.0,506.7,511.55,953045
2017-08-09,511.8,511.8,493.25,495.0,1317430
2017-08-10,496.2,505.0,482.7,492.0,1505440
2017-08-11,477.1,498.95,475.0,490.05,1157612
2017-08-14,492.8,501.9,491.0,497.25,669320
2017-08-16,499.9,526.7,499.1,525.2,1814266
2017-08-17,526.0,526.0,513.7,517.1,1198088
2017-08-18,511.4,529.45,507.25,527.4,2047391
2017-08-21,528.15,529.7,503.5,507.5,1249559
2017-08-22,509.8,513.7,500.0,501.5,1005733
2017-08-23,505.5,512.85,504.0,508.6,606050
2017-08-24,508.25,514.8,506.35,510.7,783400
2017-08-28,513.1,519.4,507.4,515.6,1300740
2017-08-29,508.5,540.85,508.5,532.0,12391499
2017-08-30,538.5,542.5,528.85,536.0,5223141
2017-08-31,538.0,546.8,532.55,544.05,5082609
2017-09-01,544.6,546.5,532.15,535.6,2018118
2017-09-04,537.4,539.5,525.25,533.5,1232373
2017-09-05,536.8,543.5,536.0,536.4,1102755
2017-09-06,533.0,542.9,533.0,539.25,1816915
2017-09-07,542.0,542.85,530.0,532.85,1952249
2017-09-08,535.0,538.95,531.7,535.9,1034623
2017-09-11,539.4,543.0,532.95,536.0,1774589
2017-09-12,538.0,541.7,536.05,540.0,1149048
2017-09-13,540.95,544.35,530.6,535.1,1693994
2017-09-14,535.5,539.4,530.55,531.75,950357
2017-09-15,529.95,534.6,525.15,530.0,1308287
2017-09-18,532.75,540.25,532.75,535.8,893538
2017-09-19,537.45,539.0,534.0,534.75,405951
2017-09-20,535.05,536.8,529.0,529.9,611923
2017-09-21,530.45,535.45,523.9,534.65,1274853
2017-09-22,530.1,530.95,515.25,517.1,1037772
2017-09-25,511.0,517.5,497.0,510.0,1400218
2017-09-26,515.0,515.25,505.95,509.6,892278
2017-09-27,515.0,515.0,498.75,500.0,1331256
2017-09-28,502.25,511.9,496.65,501.55,2158512
2017-09-29,503.9,510.0,503.5,507.9,1129016
2017-10-03,509.1,513.3,509.0,510.9,964534
2017-10-04,512.95,512.95,509.0,509.9,921072
2017-10-05,511.95,516.05,510.65,512.5,1050157
2017-10-06,513.0,517.8,512.6,517.0,1108340
2017-10-09,517.0,520.25,514.0,519.0,659547
2017-10-10,519.1,520.5,515.2,516.6,705695
2017-10-11,516.95,521.1,508.0,508.4,1450249
2017-10-12,512.05,519.0,508.5,516.25,1045564
2017-10-13,520.0,524.8,515.25,518.25,1117633
2017-10-16,520.0,522.85,518.3,521.5,913862
2017-10-17,524.4,524.4,519.85,522.2,1365428
2017-10-18,522.5,526.75,516.0,522.25,12728529579
2017-10-23,520.0,531.75,520.0,527.55,8604922601
2017-10-24,529.0,538.5,525.5,534.5,1808965
2017-10-25,542.0,551.9,517.0,524.1,2281060
2017-10-26,533.7,544.45,522.15,530.0,4117917
2017-10-27,532.0,535.5,520.5,520.95,1642482
2017-10-30,526.25,532.5,521.5,525.1,1526485
2017-10-31,526.5,528.55,522.8,525.1,667870
2017-11-01,527.0,530.2,525.5,526.1,685306
2017-11-02,526.1,528.15,522.55,523.0,517857
2017-11-03,524.0,526.0,518.5,518.5,1422331
2017-11-06,517.0,528.7,516.65,518.5,806772
2017-11-07,518.1,521.4,513.0,514.85,602845
2017-11-08,515.0,518.5,506.2,509.0,822896
2017-11-09,510.65,514.35,509.05,512.0,785851
2017-11-10,509.0,515.0,506.65,509.1,616861
2017-11-13,509.95,516.0,508.65,510.15,528132
2017-11-14,510.1,514.3,508.4,510.4,390090
2017-11-15,510.15,512.0,504.5,507.35,764234
2017-11-16,509.0,510.95,505.3,507.3,547494
2017-11-17,512.0,516.0,509.75,510.05,699035
2017-11-20,513.95,516.75,512.6,515.15,650998
2017-11-21,515.2,515.5,510.1,512.0,497113
2017-11-22,513.95,514.4,506.05,507.0,619769
2017-11-23,508.0,511.85,504.55,507.9,817386
2017-11-24,513.2,525.9,510.55,512.4,2697323
2017-11-27,513.45,518.9,508.45,514.7,847403
2017-11-28,515.75,523.3,514.65,520.5,1071010
2017-11-29,523.0,525.9,518.6,520.0,1264829
2017-11-30,518.0,523.0,514.0,519.5,1293186
2017-12-01,518.7,529.75,517.5,519.6,1752083
2017-12-04,520.7,522.65,507.4,513.0,807562
2017-12-05,511.6,512.15,505.3,510.0,549530
2017-12-06,509.1,513.35,507.0,508.65,700310
2017-12-07,508.5,515.0,508.7,510.95,606708
2017-12-08,512.0,516.65,511.65,513.5,373310
2017-12-11,515.0,518.7,512.0,514.95,596788
2017-12-12,515.0,515.2,508.0,510.7,622711
2017-12-13,510.0,511.9,506.45,507.5,2073672
2017-12-14,511.0,510.0,501.95,509.0,1127264
2017-12-15,512.0,513.0,508.85,509.1,871388
2017-12-18,509.5,511.55,497.8,508.0,934355
2017-12-19,509.95,519.35,508.2,518.0,2303412
2017-12-20,520.0,523.5,514.4,515.85,735230
2017-12-21,515.15,519.85,512.6,515.2,596401
2017-12-22,517.0,518.5,511.35,516.0,677995
2017-12-26,514.0,520.0,513.0,516.55,605594
2017-12-27,519.4,519.4,510.0,510.0,416518
2017-12-28,510.5,514.75,506.0,506.9,522859
2017-12-29,508.85,511.1,507.85,510.5,378009
2018-01-01,510.0,513.8,509.05,510.05,468227
2018-01-02,510.9,513.4,508.15,513.4,615500
2018-01-03,513.4,516.75,509.0,514.55,1508264
2018-01-04,519.85,518.05,510.7,516.0,839433
2018-01-05,519.0,542.0,515.55,540.1,4364272
2018-01-08,543.95,550.0,541.0,545.15,1726399
2018-01-09,546.8,546.75,533.7,537.5,824175
2018-01-10,538.7,540.2,527.6,528.4,1220719
2018-01-11,529.1,542.05,529.1,533.5,1988264
2018-01-12,536.8,539.35,526.35,530.3,829993
2018-01-15,529.55,537.25,530.0,530.0,601928
2018-01-16,530.0,532.1,518.2,522.7,792265
2018-01-17,524.0,530.9,520.0,525.55,591161
2018-01-18,537.4,537.05,522.9,526.95,1002405
2018-01-19,528.5,534.75,518.7,524.35,1236013
2018-01-22,526.0,531.9,522.2,531.9,641222
2018-01-23,534.95,543.9,533.3,540.0,2673954
2018-01-24,535.0,533.0,510.25,514.5,2969627
2018-01-25,513.5,518.0,509.0,511.65,1108279
2018-01-29,513.45,514.0,502.9,504.8,753394
2018-01-30,502.25,508.0,496.1,501.1,1282628
2018-01-31,500.45,505.3,499.25,504.5,710754
2018-02-01,505.5,511.3,493.2,504.35,1061380
2018-02-02,500.0,498.95,479.0,482.75,1513303
2018-02-05,480.0,488.9,453.25,484.65,1327561
2018-02-06,461.0,478.9,460.0,471.5,1794021
2018-02-07,481.0,487.5,470.0,477.0,1597051
2018-02-08,480.75,492.0,476.2,487.9,1151459
2018-02-09,476.45,485.45,469.55,482.4,1026689
2018-02-12,485.0,489.65,480.0,484.8,955891
2018-02-14,492.0,492.0,482.4,483.0,944159
2018-02-15,484.45,485.1,476.05,481.0,901359
2018-02-16,481.1,486.05,473.6,477.0,908334
2018-02-19,476.5,478.3,470.1,473.55,514713
2018-02-20,472.0,477.6,470.5,471.65,399587
2018-02-21,473.0,474.4,460.55,470.0,819080
2018-02-22,470.4,474.35,467.25,471.95,710982
2018-02-23,471.4,490.0,471.45,487.3,711578
2018-02-26,490.05,497.85,481.95,494.1,823148
2018-02-27,495.0,496.8,486.0,491.1,636677
2018-02-28,485.0,493.15,483.5,491.0,665969
2018-03-01,492.0,495.0,483.5,483.5,512450
2018-03-05,485.05,485.9,475.1,477.0,1342500
2018-03-06,482.0,483.65,468.0,468.05,532940
2018-03-07,470.0,468.45,452.15,453.2,1279704
2018-03-08,458.0,458.0,443.5,454.5,1432649
2018-03-09,457.7,462.85,453.6,455.8,556033
2018-03-12,461.0,468.65,455.35,466.2,816993
2018-03-13,465.9,475.95,462.95,466.55,2992779
2018-03-14,466.0,475.0,462.1,471.25,2944578
2018-03-15,471.3,478.9,472.95,477.0,1084728
2018-03-16,475.95,479.95,467.15,467.5,421803
2018-03-19,468.0,471.75,460.0,463.0,782899
2018-03-20,461.45,469.0,461.45,465.5,901428
2018-03-21,469.35,470.15,461.3,462.2,754113
2018-03-22,464.0,467.0,459.05,462.6,747579
2018-03-23,452.9,464.75,452.85,459.15,932284
2018-03-26,460.05,467.0,456.65,465.5,695998
2018-03-27,467.8,488.8,467.8,477.35,1457707
2018-03-28,475.5,490.0,466.15,475.0,2357871
2018-04-02,478.5,487.5,475.0,483.4,1789778
2018-04-03,480.9,487.0,479.9,484.75,578571
2018-04-04,486.45,499.95,486.0,487.5,1489637
2018-04-05,498.8,498.0,492.0,497.5,1254957
2018-04-06,496.5,502.45,493.05,493.75,554083
2018-04-09,495.25,503.0,492.8,495.5,1255444
2018-04-10,496.5,502.85,494.35,501.0,1583644
2018-04-11,505.0,510.0,500.55,505.5,950765
2018-04-12,505.4,506.85,498.05,499.1,424164
2018-04-13,505.0,505.0,496.9,501.0,758901
2018-04-16,498.95,512.25,498.75,512.0,549264
2018-04-17,514.9,515.2,508.5,512.7,452581
2018-04-18,513.0,514.85,506.15,510.15,311059
2018-04-19,512.0,512.5,507.5,508.0,482147
2018-04-20,508.0,509.3,501.0,508.95,304031
2018-04-23,508.0,510.5,501.1,502.45,555486
2018-04-24,502.95,513.0,502.95,511.1,821553
2018-04-25,511.1,524.75,508.8,520.0,1440217
2018-04-26,522.9,524.0,514.75,523.15,1084504
2018-04-27,526.3,545.0,526.3,540.1,3672105
2018-04-30,541.0,541.8,525.9,527.5,3414874
2018-05-02,529.8,529.8,513.2,518.2,1591817
2018-05-03,516.7,526.0,509.0,519.2,1645312
2018-05-04,521.0,528.8,520.1,521.2,851006
2018-05-07,524.95,527.65,514.1,525.0,1154790
2018-05-08,523.95,523.95,514.55,519.0,1267249
2018-05-09,518.0,519.5,514.0,514.15,403118
2018-05-10,514.0,523.45,514.0,517.3,746724
2018-05-11,519.5,521.4,516.0,518.0,471200
2018-05-14,519.85,519.85,511.3,514.3,267411
2018-05-15,511.35,519.65,511.0,511.75,1162023
2018-05-16,510.0,518.3,507.1,513.55,369500
2018-05-17,513.0,516.4,509.1,512.05,402195
2018-05-18,511.1,513.4,502.15,507.0,409649
2018-05-21,505.55,508.9,493.6,497.75,868888
2018-05-22,497.75,505.9,495.0,500.0,445602
2018-05-23,498.0,503.8,495.6,498.5,351697
2018-05-24,503.5,503.5,492.3,495.0,267000
2018-05-25,495.45,516.5,493.9,515.85,789778
2018-05-28,515.9,525.0,513.9,522.25,563483
2018-05-29,525.0,528.85,521.6,528.0,908554
2018-05-30,524.15,525.2,515.25,518.3,726689
2018-05-31,518.65,521.1,508.85,512.0,1105324
2018-06-01,514.65,514.95,506.1,506.6,727140
2018-06-04,507.0,513.75,502.0,507.2,465074
2018-06-05,510.0,519.0,508.5,512.95,1522534
2018-06-06,511.9,521.2,509.45,519.8,950160
2018-06-07,521.0,530.5,518.45,527.0,1027071
2018-06-08,527.3,536.3,521.5,535.0,1494691
2018-06-11,536.05,548.9,533.15,541.25,2704683
2018-06-12,542.85,549.0,535.9,547.5,1372375
2018-06-13,549.95,570.0,549.9,557.5,3874184
2018-06-14,556.95,564.4,553.25,558.25,1318598
